chapter,verse,word
1,1,ΒΙΒΛΟΣ
1,1,ΓΕΝΕΣΕΩΣ
1,1,ΙΗΣΟΥ
1,1,ΧΡΙΣΤΟΥ
1,1,ΥΙΟΥ
1,1,ΔΑΥΕΙΔ
1,1,ΥΙΟΥ
1,1,ΑΒΡΑΑΜ
1,2,ΑΒΡΑΑΜ
1,2,ΕΓΕΝΝΗΣΕΝ
1,2,ΤΟΝ
1,2,ΙΣΑΑΚ
1,2,ΙΣΑΑΚ
1,2,ΔΕ
1,2,ΕΓΕΝΝΗΣΕΝ
1,2,ΤΟΝ
1,2,ΙΑΚΩΒ
1,2,ΙΑΚΩΒ
1,2,ΔΕ
1,2,ΕΓΕΝΝΗΣΕΝ
1,2,ΤΟΝ
1,2,ΙΟΥΔΑΝ
1,2,ΚΑΙ
1,2,ΤΟΥΣ
1,2,ΑΔΕΛΦΟΥΣ
1,2,ΑΥΤΟΥ
1,3,ΙΟΥΔΑΣ
1,3,ΔΕ
1,3,ΕΓΕΝΝΗΣΕΝ
1,3,ΤΟΝ
1,3,ΦΑΡΕΣ
1,3,ΚΑΙ
1,3,ΤΟΝ
1,3,ΖΑΡΑ
1,3,ΕΚ
1,3,ΤΗΣ
1,3,ΘΑΜΑΡ
1,3,ΦΑΡΕΣ
1,3,ΔΕ
1,3,ΕΓΕΝΝΗΣΕΝ
1,3,ΤΟΝ
1,3,ΕΣΡΩΜ
1,3,ΕΣΡΩΜ
1,3,ΔΕ
1,3,ΕΓΕΝΝΗΣΕΝ
1,3,ΤΟΝ
1,3,ΑΡΑΜ
1,4,ΑΡΑΜ
1,4,ΔΕ
1,4,ΕΓΕΝΝΗΣΕΝ
1,4,ΤΟΝ
1,4,ΑΜΙΝΑΔΑΒ
1,4,ΑΜΙΝΑΔΑΒ
1,4,ΔΕ
1,4,ΕΓΕΝΝΗΣΕΝ
1,4,ΤΟΝ
1,4,ΝΑΑΣΣΩΝ
1,4,ΝΑΑΣΣΩΝ
1,4,ΔΕ
1,4,ΕΓΕΝΝΗΣΕΝ
1,4,ΤΟΝ
1,4,ΣΑΛΜΩΝ
1,5,ΣΑΛΜΩΝ
1,5,ΔΕ
1,5,ΕΓΕΝΝΗΣΕΝ
1,5,ΤΟΝ
1,5,ΒΟΕΣ
1,5,ΕΚ
1,5,ΤΗΣ
1,5,ΡΑΧΑΒ
1,5,ΒΟΕΣ
1,5,ΔΕ
1,5,ΕΓΕΝΝΗΣΕΝ
1,5,ΤΟΝ
1,5,ΙΩΒΗΔ
1,5,ΕΚ
1,5,ΤΗΣ
1,5,ΡΟΥΘ
1,5,ΙΩΒΗΔ
1,5,ΔΕ
1,5,ΕΓΕΝΝΗΣΕΝ
1,5,ΤΟΝ
1,5,ΙΕΣΣΑΙ
1,6,ΙΕΣΣΑΙ
1,6,ΔΕ
1,6,ΕΓΕΝΝΗΣΕΝ
1,6,ΤΟΝ
1,6,ΔΑΥΕΙΔ
1,6,ΤΟΝ
1,6,ΒΑΣΙΛΕΑ
1,6,ΔΑΥΕΙΔ
1,6,ΔΕ
1,6,ΕΓΕΝΝΗΣΕΝ
1,6,ΤΟΝ
1,6,ΣΟΛΟΜΩΝΑ
1,6,ΕΚ
1,6,ΤΗΣ
1,6,ΤΟΥ
1,6,ΟΥΡΙΟΥ
1,7,ΣΟΛΟΜΩΝ
1,7,ΔΕ
1,7,ΕΓΕΝΝΗΣΕΝ
1,7,ΤΟΝ
1,7,ΡΟΒΟΑΜ
1,7,ΡΟΒΟΑΜ
1,7,ΔΕ
1,7,ΕΓΕΝΝΗΣΕΝ
1,7,ΤΟΝ
1,7,ΑΒΙΑ
1,7,ΑΒΙΑ
1,7,ΔΕ
1,7,ΕΓΕΝΝΗΣΕΝ
1,7,ΤΟΝ
1,7,ΑΣΑΦ
1,8,ΑΣΑΦ
1,8,ΔΕ
1,8,ΕΓΕΝΝΗΣΕΝ
1,8,ΤΟΝ
1,8,ΙΩΣΑΦΑΤ
1,8,ΙΩΣΑΦΑΤ
1,8,ΔΕ
1,8,ΕΓΕΝΝΗΣΕΝ
1,8,ΤΟΝ
1,8,ΙΩΡΑΜ
1,8,ΙΩΡΑΜ
1,8,ΔΕ
1,8,ΕΓΕΝΝΗΣΕΝ
1,8,ΤΟΝ
1,8,ΟΖΕΙΑΝ
1,9,ΟΖΕΙΑΣ
1,9,ΔΕ
1,9,ΕΓΕΝΝΗΣΕΝ
1,9,ΤΟΝ
1,9,ΙΩΑΘΑΜ
1,9,ΙΩΑΘΑΜ
1,9,ΔΕ
1,9,ΕΓΕΝΝΗΣΕΝ
1,9,ΤΟΝ
1,9,ΑΧΑΖ
1,9,ΑΧΑΖ
1,9,ΔΕ
1,9,ΕΓΕΝΝΗΣΕΝ
1,9,ΤΟΝ
1,9,ΕΖΕΚΙΑΝ
1,10,ΕΖΕΚΙΑΣ
1,10,ΔΕ
1,10,ΕΓΕΝΝΗΣΕΝ
1,10,ΤΟΝ
1,10,ΜΑΝΑΣΣΗ
1,10,ΜΑΝΑΣΣΗΣ
1,10,ΔΕ
1,10,ΕΓΕΝΝΗΣΕΝ
1,10,ΤΟΝ
1,10,ΑΜΩΣ
1,10,ΑΜΩΣ
1,10,ΔΕ
1,10,ΕΓΕΝΝΗΣΕΝ
1,10,ΤΟΝ
1,10,ΙΩΣΙΑΝ
1,11,ΙΩΣΙΑΣ
1,11,ΔΕ
1,11,ΕΓΕΝΝΗΣΕΝ
1,11,ΤΟΝ
1,11,ΙΕΧΟΝΙΑΝ
1,11,ΚΑΙ
1,11,ΤΟΥΣ
1,11,ΑΔΕΛΦΟΥΣ
1,11,ΑΥΤΟΥ
1,11,ΕΠΙ
1,11,ΤΗΣ
1,11,ΜΕΤΟΙΚΕΣΙΑΣ
1,11,ΒΑΒΥΛΩΝΟΣ
1,12,ΜΕΤΑ
1,12,ΔΕ
1,12,ΤΗΝ
1,12,ΜΕΤΟΙΚΕΣΙΑΝ
1,12,ΒΑΒΥΛΩΝΟΣ
1,12,ΙΕΧΟΝΙΑΣ
1,12,ΕΓΕΝΝΗΣΕΝ
1,12,ΤΟΝ
