chapter,verse,word
1,1,ΕΠΕΙΔΗΠΕΡ
1,1,ΠΟΛΛΟΙ
1,1,ΕΠΕΧΕΙΡΗΣΑΝ
1,1,ΑΝΑΤΑΞΑΣΘΑΙ
1,1,ΔΙΗΓΗΣΙΝ
1,1,ΠΕΡΙ
1,1,ΤΩΝ
1,1,ΠΕΠΛΗΡΟΦΟΡΗΜΕΝΩΝ
1,1,ΕΝ
1,1,ΗΜΙΝ
1,1,ΠΡΑΓΜΑΤΩΝ
1,2,ΚΑΘΩΣ
1,2,ΠΑΡΕΔΟΣΑΝ
1,2,ΗΜΙΝ
1,2,ΟΙ
1,2,ΑΠΟ
1,2,ΑΡΧΗΣ
1,2,ΑΥΤΟΠΤΑΙ
1,2,ΚΑΙ
1,2,ΥΠΗΡΕΤΑΙ
1,2,ΓΕΝΟΜΕΝΟΙ
1,2,ΤΟΥ
1,2,ΛΟΓΟΥ
1,3,ΕΔΟΞΕ
1,3,ΚΑΜΟΙ
1,3,ΠΑΡΗΚΟΛΟΥΘΗΚΟΤΙ
1,3,ΑΝΩΘΕΝ
1,3,ΠΑΣΙΝ
1,3,ΑΚΡΙΒΩΣ
1,3,ΚΑΘΕΞΗΣ
1,3,ΣΟΙ
1,3,ΓΡΑΨΑΙ
1,3,ΚΡΑΤΙΣΤΕ
1,3,ΘΕΟΦΙΛΕ
1,4,ΙΝΑ
1,4,ΕΠΙΓΝΩΙΣ
1,4,ΠΕΡΙ
1,4,ΩΝ
1,4,ΚΑΤΗΧΗΘΗΣ
1,4,ΛΟΓΩΝ
1,4,ΤΗΝ
1,4,ΑΣΦΑΛΕΙΑΝ
1,5,ΕΓΕΝΕΤΟ
1,5,ΕΝ
1,5,ΤΑΙΣ
1,5,ΗΜΕΡΑΙΣ
1,5,ΗΡΩΙΔΟΥ
1,5,ΒΑΣΙΛΕΩΣ
1,5,ΤΗΣ
1,5,ΙΟΥΔΑΙΑΣ
1,5,ΙΕΡΕΥΣ
1,5,ΤΙΣ
1,5,ΟΝΟΜΑΤΙ
1,5,ΖΑΧΑΡΙΑΣ
1,5,ΕΞ
1,5,ΕΦΗΜΕΡΙΑΣ
1,5,ΑΒΙΑ
1,5,ΚΑΙ
