chapter,verse,word
1,1,ΕΝ
1,1,ΑΡΧΗΙ
1,1,ΗΝ
1,1,Ο
1,1,ΛΟΓΟΣ
1,1,ΚΑΙ
1,1,Ο
1,1,ΛΟΓΟΣ
1,1,ΗΝ
1,1,ΠΡΟΣ
1,1,ΤΟΝ
1,1,ΘΕΟΝ
1,1,ΚΑΙ
1,1,ΘΕΟΣ
1,1,ΗΝ
1,1,Ο
1,1,ΛΟΓΟΣ
1,2,ΟΥΤΟΣ
1,2,ΗΝ
1,2,ΕΝ
1,2,ΑΡΧΗΙ
1,2,ΠΡΟΣ
1,2,ΤΟΝ
1,2,ΘΕΟΝ
1,3,ΠΑΝΤΑ
1,3,ΔΙΑ
1,3,ΑΥΤΟΥ
1,3,ΕΓΕΝΕΤΟ
1,3,ΚΑΙ
1,3,ΧΩΡΙΣ
1,3,ΑΥΤΟΥ
1,3,ΕΓΕΝΕΤΟ
1,3,ΟΥΔΕ
1,3,ΕΝ
1,3,Ο
1,3,ΓΕΓΟΝΕΝ
1,4,ΕΝ
1,4,ΑΥΤΩΙ
1,4,ΖΩΗ
1,4,ΗΝ
1,4,ΚΑΙ
1,4,Η
1,4,ΖΩΗ
1,4,ΗΝ
1,4,ΤΟ
1,4,ΦΩΣ
1,4,ΤΩΝ
1,4,ΑΝΘΡΩΠΩΝ
1,5,ΚΑΙ
1,5,ΤΟ
1,5,ΦΩΣ
1,5,ΕΝ
1,5,ΤΗΙ
1,5,ΣΚΟΤΙΑΙ
1,5,ΦΑΙΝΕΙ
1,5,ΚΑΙ
1,5,Η
1,5,ΣΚΟΤΙΑ
1,5,ΑΥΤΟ
1,5,ΟΥ
1,5,ΚΑΤΕΛΑΒΕΝ
1,6,ΕΓΕΝΕΤΟ
1,6,ΑΝΘΡΩΠΟΣ
1,6,ΑΠΕΣΤΑΛΜΕΝΟΣ
1,6,ΠΑΡΑ
1,6,ΘΕΟΥ
1,6,ΟΝΟΜΑ
1,6,ΑΥΤΩΙ
1,6,ΙΩΑΝΝΗΣ
1,7,ΟΥΤΟΣ
1,7,ΗΛΘΕΝ
1,7,ΕΙΣ
1,7,ΜΑΡΤΥΡΙΑΝ
1,7,ΙΝΑ
1,7,ΜΑΡΤΥΡΗΣΗΙ
1,7,ΠΕΡΙ
1,7,ΤΟΥ
1,7,ΦΩΤΟΣ
1,7,ΙΝΑ
1,7,ΠΑΝΤΕΣ
1,7,ΠΙΣΤΕΥΣΩΣΙΝ
1,7,ΔΙΑ
1,7,ΑΥΤΟΥ
1,8,ΟΥΚ
1,8,ΗΝ
1,8,ΕΚΕΙΝΟΣ
1,8,ΤΟ
1,8,ΦΩΣ
1,8,ΑΛΛΑ
1,8,ΙΝΑ
1,8,ΜΑΡΤΥΡΗΣΗΙ
1,8,ΠΕΡΙ
1,8,ΤΟΥ
1,8,ΦΩΤΟΣ
1,9,ΗΝ
1,9,ΤΟ
1,9,ΦΩΣ
1,9,ΤΟ
1,9,ΑΛΗΘΙΝΟΝ
1,9,Ο
1,9,ΦΩΤΙΖΕΙ
1,9,ΠΑΝΤΑ
1,9,ΑΝΘΡΩΠΟΝ
1,9,ΕΡΧΟΜΕΝΟΝ
1,9,ΕΙΣ
1,9,ΤΟΝ
1,9,ΚΟΣΜΟΝ
1,10,ΕΝ
1,10,ΤΩΙ
1,10,ΚΟΣΜΩΙ
1,10,ΗΝ
1,10,ΚΑΙ
1,10,Ο
1,10,ΚΟΣΜΟΣ
1,10,ΔΙΑ
1,10,ΑΥΤΟΥ
1,10,ΕΓΕΝΕΤΟ
1,10,ΚΑΙ
1,10,Ο
1,10,ΚΟΣΜΟΣ
1,10,ΑΥΤΟΝ
1,10,ΟΥΚ
1,10,ΕΓΝΩ
1,11,ΕΙΣ
1,11,ΤΑ
1,11,ΙΔΙΑ
1,11,ΗΛΘΕΝ
1,11,ΚΑΙ
1,11,ΟΙ
1,11,ΙΔΙΟΙ
1,11,ΑΥΤΟΝ
1,11,ΟΥ
1,11,ΠΑΡΕΛΑΒΟΝ
1,12,ΟΣΟΙ
1,12,ΔΕ
1,12,ΕΛΑΒΟΝ
1,12,ΑΥΤΟΝ
1,12,ΕΔΩΚΕΝ
1,12,ΑΥΤΟΙΣ
1,12,ΕΞΟΥΣΙΑΝ
1,12,ΤΕΚΝΑ
1,12,ΘΕΟΥ
1,12,ΓΕΝΕΣΘΑΙ
1,12,ΤΟΙΣ
1,12,ΠΙΣΤΕΥΟΥΣΙΝ
1,12,ΕΙΣ
1,12,ΤΟ
1,12,ΟΝΟΜΑ
1,12,ΑΥΤΟΥ
1,13,ΟΙ
1,13,ΟΥΚ
1,13,ΕΞ
1,13,ΑΙΜΑΤΩΝ
1,13,ΟΥΔΕ
1,13,ΕΚ
1,13,ΘΕΛΗΜΑΤΟΣ
1,13,ΣΑΡΚΟΣ
1,13,ΟΥΔΕ
1,13,ΕΚ
1,13,ΘΕΛΗΜΑΤΟΣ
1,13,ΑΝΔΡΟΣ
1,13,ΑΛΛΑ
1,13,ΕΚ
1,13,ΘΕΟΥ
1,13,ΕΓΕΝΝΗΘΗΣΑΝ
1,14,ΚΑΙ
1,14,Ο
1,14,ΛΟΓΟΣ
1,14,ΣΑΡΞ
1,14,ΕΓΕΝΕΤΟ
1,14,ΚΑΙ
1,14,ΕΣΚΗΝΩΣΕΝ
1,14,ΕΝ
1,14,ΗΜΙΝ
1,14,ΚΑΙ
1,14,ΕΘΕΑΣΑΜΕΘΑ
1,14,ΤΗΝ
1,14,ΔΟΞΑΝ
1,14,ΑΥΤΟΥ
1,14,ΔΟΞΑΝ
1,14,ΩΣ
1,14,ΜΟΝΟΓΕΝΟΥΣ
1,14,ΠΑΡΑ
1,14,ΠΑΤΡΟΣ
1,14,ΠΛΗΡΗΣ
1,14,ΧΑΡΙΤΟΣ
1,14,ΚΑΙ
1,14,ΑΛΗΘΕΙΑΣ
1,15,ΙΩΑΝΝΗΣ
1,15,ΜΑΡΤΥΡΕΙ
1,15,ΠΕΡΙ
1,15,ΑΥΤΟΥ
1,15,ΚΑΙ
1,15,ΚΕΚΡΑΓΕΝ
1,15,ΛΕΓΩΝ
1,15,ΟΥΤΟΣ
1,15,ΗΝ
1,15,ΟΝ
1,15,ΕΙΠΟΝ
1,15,Ο
1,15,ΟΠΙΣΩ
1,15,ΜΟΥ
1,15,ΕΡΧΟΜΕΝΟΣ
1,15,ΕΜΠΡΟΣΘΕΝ
1,15,ΜΟΥ
1,15,ΓΕΓΟΝΕΝ
1,15,ΟΤΙ
1,15,ΠΡΩΤΟΣ
1,15,ΜΟΥ
1,15,ΗΝ
1,16,ΟΤΙ
1,16,ΕΚ
1,16,ΤΟΥ
1,16,ΠΛΗΡΩΜΑΤΟΣ
1,16,ΑΥΤΟΥ
1,16,ΗΜΕΙΣ
1,16,ΠΑΝΤΕΣ
1,16,ΕΛΑΒΟΜΕΝ
1,16,ΚΑΙ
1,16,ΧΑΡΙΝ
1,16,ΑΝΤΙ
1,16,ΧΑΡΙΤΟΣ
1,17,ΟΤΙ
1,17,Ο
1,17,ΝΟΜΟΣ
1,17,ΔΙΑ
1,17,ΜΩΥΣΕΩΣ
1,17,ΕΔΟΘΗ
1,17,Η
1,17,ΧΑΡΙΣ
1,17,ΚΑΙ
1,17,Η
1,17,ΑΛΗΘΕΙΑ
1,17,ΔΙΑ
1,17,ΙΗΣΟΥ
1,17,ΧΡΙΣΤΟΥ
1,17,ΕΓΕΝΕΤΟ
1,18,ΘΕΟΝ
1,18,ΟΥΔΕΙΣ
1,18,ΕΩΡΑΚΕΝ
1,18,ΠΩΠΟΤΕ
1,18,ΜΟΝΟΓΕΝΗΣ
1,18,ΘΕΟΣ
1,18,Ο
1,18,ΩΝ
1,18,ΕΙΣ
1,18,ΤΟΝ
1,18,ΚΟΛΠΟΝ
1,18,ΤΟΥ
1,18,ΠΑΤΡΟΣ
1,18,ΕΚΕΙΝΟΣ
1,18,ΕΞΗΓΗΣΑΤΟ
1,19,ΚΑΙ
1,19,ΑΥΤΗ
1,19,ΕΣΤΙΝ
1,19,Η
1,19,ΜΑΡΤΥΡΙΑ
1,19,ΤΟΥ
1,19,ΙΩΑΝΝΟΥ
1,19,ΟΤΕ
1,19,ΑΠΕΣΤΕΙΛΑΝ
1,19,ΟΙ
1,19,ΙΟΥΔΑΙΟΙ
1,19,ΕΞ
1,19,ΙΕΡΟΣΟΛΥΜΩΝ
1,19,ΙΕΡΕΙΣ
1,19,ΚΑΙ
1,19,ΛΕΥΕΙΤΑΣ
1,19,ΙΝΑ
1,19,ΕΡΩΤΗΣΩΣΙΝ
1,19,ΑΥΤΟΝ
1,19,ΣΥ
1,19,ΤΙΣ
1,19,ΕΙ
1,20,ΚΑΙ
1,20,ΩΜΟΛΟΓΗΣΕΝ
1,20,ΚΑΙ
1,20,ΟΥΚ
1,20,ΗΡΝΗΣΑΤΟ
1,20,ΚΑΙ
1,20,ΩΜΟΛΟΓΗΣΕΝ
1,20,ΟΤΙ
1,20,ΕΓΩ
1,20,ΟΥΚ
1,20,ΕΙΜΙ
1,20,Ο
1,20,ΧΡΙΣΤΟΣ
1,21,ΚΑΙ
1,21,ΗΡΩΤΗΣΑΝ
1,21,ΑΥΤΟΝ
1,21,ΤΙ
1,21,ΟΥΝ
1,21,ΣΥ
1,21,ΗΛΕΙΑΣ
1,21,ΕΙ
1,21,ΚΑΙ
1,21,ΛΕΓΕΙ
1,21,ΟΥΚ
1,21,ΕΙΜΙ
1,21,Ο
1,21,ΠΡΟΦΗΤΗΣ
1,21,ΕΙ
1,21,ΣΥ
1,21,ΚΑΙ
1,21,ΑΠΕΚΡΙΘΗ
1,21,ΟΥ
1,22,ΕΙΠΑΝ
1,22,ΟΥΝ
1,22,ΑΥΤΩΙ
1,22,ΤΙΣ
1,22,ΕΙ
1,22,ΙΝΑ
1,22,ΑΠΟΚΡΙΣΙΝ
1,22,ΔΩΜΕΝ
1,22,ΤΟΙΣ
1,22,ΠΕΜΨΑΣΙΝ
1,22,ΗΜΑΣ
1,22,ΤΙ
