chapter,verse,word
1,1,ΤΟΝ
1,1,ΜΕΝ
1,1,ΠΡΩΤΟΝ
1,1,ΛΟΓΟΝ
1,1,ΕΠΟΙΗΣΑΜΗΝ
1,1,ΠΕΡΙ
1,1,ΠΑΝΤΩΝ
1,1,Ω
1,1,ΘΕΟΦΙΛΕ
1,1,ΩΝ
1,1,ΗΡΞΑΤΟ
1,1,Ο
1,1,ΙΗΣΟΥΣ
1,1,ΠΟΙΕΙΝ
1,1,ΤΕ
1,1,ΚΑΙ
1,1,ΔΙΔΑΣΚΕΙΝ
1,2,ΑΧΡΙ
1,2,ΗΣ
1,2,ΗΜΕΡΑΣ
1,2,ΕΝΤΕΙΛΑΜΕΝΟΣ
1,2,ΤΟΙΣ
1,2,ΑΠΟΣΤΟΛΟΙΣ
1,2,ΔΙΑ
1,2,ΠΝΕΥΜΑΤΟΣ
1,2,ΑΓΙΟΥ
1,2,ΟΥΣ
1,2,ΕΞΕΛΕΞΑΤΟ
1,2,ΑΝΕΛΗΜΦΘΗ
1,3,ΟΙΣ
1,3,ΚΑΙ
1,3,ΠΑΡΕΣΤΗΣΕΝ
1,3,ΕΑΥΤΟΝ
1,3,ΖΩΝΤΑ
1,3,ΜΕΤΑ
1,3,ΤΟ
1,3,ΠΑΘΕΙΝ
1,3,ΑΥΤΟΝ
1,3,ΕΝ
1,3,ΠΟΛΛΟΙΣ
1,3,ΤΕΚΜΗΡΙΟΙΣ
1,3,ΔΙΑ
1,3,ΗΜΕΡΩΝ
1,3,ΤΕΣΣΕΡΑΚΟΝΤΑ
1,3,ΟΠΤΑΝΟΜΕΝΟΣ
1,3,ΑΥΤΟΙΣ
1,3,ΚΑΙ
1,3,ΛΕΓΩΝ
1,3,ΤΑ
1,3,ΠΕΡΙ
1,3,ΤΗΣ
1,3,ΒΑΣΙΛΕΙΑΣ
1,3,ΤΟΥ
1,3,ΘΕΟΥ
1,4,ΚΑΙ
1,4,ΣΥΝΑΛΙΖΟΜΕΝΟΣ
1,4,ΠΑΡΗΓΓΕΙΛΕΝ
1,4,ΑΥΤΟΙΣ
1,4,ΑΠΟ
1,4,ΙΕΡΟΣΟΛΥΜΩΝ
1,4,ΜΗ
1,4,ΧΩΡΙΖΕΣΘΑΙ
1,4,ΑΛΛΑ
1,4,ΠΕΡΙΜΕΝΕΙΝ
1,4,ΤΗΝ
1,4,ΕΠΑΓΓΕΛΙΑΝ
1,4,ΤΟΥ
1,4,ΠΑΤΡΟΣ
1,4,ΗΝ
1,4,ΗΚΟΥΣΑΤΕ
1,4,ΜΟΥ
1,5,ΟΤΙ
1,5,ΙΩΑΝΝΗΣ
1,5,ΜΕΝ
1,5,ΕΒΑΠΤΙΣΕΝ
1,5,ΥΔΑΤΙ
1,5,ΥΜΕΙΣ
1,5,ΔΕ
1,5,ΕΝ
1,5,ΠΝΕΥΜΑΤΙ
1,5,ΒΑΠΤΙΣΘΗΣΕΣΘΕ
1,5,ΑΓΙΩΙ
1,5,ΟΥ
1,5,ΜΕΤΑ
1,5,ΠΟΛΛΑΣ
1,5,ΤΑΥΤΑΣ
1,5,ΗΜΕΡΑΣ
1,6,ΟΙ
1,6,ΜΕΝ
1,6,ΟΥΝ
1,6,ΣΥΝΕΛΘΟΝΤΕΣ
1,6,ΗΡΩΤΩΝ
1,6,ΑΥΤΟΝ
1,6,ΛΕΓΟΝΤΕΣ
1,6,ΚΥΡΙΕ
1,6,ΕΙ
1,6,ΕΝ
1,6,ΤΩΙ
1,6,ΧΡΟΝΩΙ
1,6,ΤΟΥΤΩΙ
1,6,ΑΠΟΚΑΘΙΣΤΑΝΕΙΣ
1,6,ΤΗΝ
1,6,ΒΑΣΙΛΕΙΑΝ
1,6,ΤΩΙ
1,6,ΙΣΡΑΗΛ
1,7,ΕΙΠΕΝ
1,7,ΔΕ
1,7,ΠΡΟΣ
1,7,ΑΥΤΟΥΣ
1,7,ΟΥΧ
1,7,ΥΜΩΝ
1,7,ΕΣΤΙΝ
1,7,ΓΝΩΝΑΙ
1,7,ΧΡΟΝΟΥΣ
1,7,Η
1,7,ΚΑΙΡΟΥΣ
1,7,ΟΥΣ
1,7,Ο
1,7,ΠΑΤΗΡ
1,7,ΕΘΕΤΟ
1,7,ΕΝ
1,7,ΤΗΙ
1,7,ΙΔΙΑΙ
1,7,ΕΞΟΥΣΙΑΙ
1,8,ΑΛΛΑ
1,8,ΛΗΜΨΕΣΘΕ
1,8,ΔΥΝΑΜΙΝ
1,8,ΕΠΕΛΘΟΝΤΟΣ
1,8,ΤΟΥ
1,8,ΑΓΙΟΥ
1,8,ΠΝΕΥΜΑΤΟΣ
1,8,ΕΠΙ
1,8,ΥΜΑΣ
1,8,ΚΑΙ
1,8,ΕΣΕΣΘΕ
1,8,ΜΟΥ
1,8,ΜΑΡΤΥΡΕΣ
1,8,ΕΝ
1,8,ΤΕ
1,8,ΙΕΡΟΥΣΑΛΗΜ
1,8,ΚΑΙ
1,8,ΕΝ
1,8,ΠΑΣΗΙ
1,8,ΤΗΙ
1,8,ΙΟΥΔΑΙΑΙ
1,8,ΚΑΙ
1,8,ΣΑΜΑΡΕΙΑΙ
1,8,ΚΑΙ
1,8,ΕΩΣ
1,8,ΕΣΧΑΤΟΥ
1,8,ΤΗΣ
1,8,ΓΗΣ
1,9,ΚΑΙ
1,9,ΤΑΥΤΑ
1,9,ΕΙΠΩΝ
1,9,ΒΛΕΠΟΝΤΩΝ
1,9,ΑΥΤΩΝ
1,9,ΕΠΗΡΘΗ
1,9,ΚΑΙ
1,9,ΝΕΦΕΛΗ
1,9,ΥΠΕΛΑΒΕΝ
1,9,ΑΥΤΟΝ
1,9,ΑΠΟ
1,9,ΤΩΝ
1,9,ΟΦΘΑΛΜΩΝ
1,9,ΑΥΤΩΝ
1,10,ΚΑΙ
1,10,ΩΣ
1,10,ΑΤΕΝΙΖΟΝΤΕΣ
1,10,ΗΣΑΝ
1,10,ΕΙΣ
1,10,ΤΟΝ
1,10,ΟΥΡΑΝΟΝ
1,10,ΠΟΡΕΥΟΜΕΝΟΥ
1,10,ΑΥΤΟΥ
1,10,ΚΑΙ
1,10,ΙΔΟΥ
1,10,ΑΝΔΡΕΣ
1,10,ΔΥΟ
