chapter,verse,word
1,1,ΠΑΥΛΟΣ
1,1,ΑΠΟΣΤΟΛΟΣ
1,1,ΟΥΚ
1,1,ΑΠΟ
1,1,ΑΝΘΡΩΠΩΝ
1,1,ΟΥΔΕ
1,1,ΔΙΑ
1,1,ΑΝΘΡΩΠΟΥ
1,1,ΑΛΛΑ
1,1,ΔΙΑ
1,1,ΙΗΣΟΥ
1,1,ΧΡΙΣΤΟΥ
1,1,ΚΑΙ
1,1,ΘΕΟΥ
1,1,ΠΑΤΡΟΣ
1,1,ΤΟΥ
1,1,ΕΓΕΙΡΑΝΤΟΣ
1,1,ΑΥΤΟΝ
1,1,ΕΚ
1,1,ΝΕΚΡΩΝ
1,2,ΚΑΙ
1,2,ΟΙ
1,2,ΣΥΝ
1,2,ΕΜΟΙ
1,2,ΠΑΝΤΕΣ
1,2,ΑΔΕΛΦΟΙ
1,2,ΤΑΙΣ
1,2,ΕΚΚΛΗΣΙΑΙΣ
1,2,ΤΗΣ
1,2,ΓΑΛΑΤΙΑΣ
1,3,ΧΑΡΙΣ
1,3,ΥΜΙΝ
1,3,ΚΑΙ
1,3,ΕΙΡΗΝΗ
1,3,ΑΠΟ
1,3,ΘΕΟΥ
1,3,ΠΑΤΡΟΣ
1,3,ΚΑΙ
1,3,ΚΥΡΙΟΥ
1,3,ΗΜΩΝ
1,3,ΙΗΣΟΥ
1,3,ΧΡΙΣΤΟΥ
1,4,ΤΟΥ
1,4,ΔΟΝΤΟΣ
1,4,ΕΑΥΤΟΝ
1,4,ΠΕΡΙ
1,4,ΤΩΝ
1,4,ΑΜΑΡΤΙΩΝ
1,4,ΗΜΩΝ
1,4,ΟΠΩΣ
1,4,ΕΞΕΛΗΤΑΙ
1,4,ΗΜΑΣ
1,4,ΕΚ
1,4,ΤΟΥ
1,4,ΑΙΩΝΟΣ
1,4,ΤΟΥ
1,4,ΕΝΕΣΤΩΤΟΣ
1,4,ΠΟΝΗΡΟΥ
1,4,ΚΑΤΑ
1,4,ΤΟ
1,4,ΘΕΛΗΜΑ
1,4,ΤΟΥ
1,4,ΘΕΟΥ
1,4,ΚΑΙ
1,4,ΠΑΤΡΟΣ
1,4,ΗΜΩΝ
1,5,ΩΙ
1,5,Η
1,5,ΔΟΞΑ
1,5,ΕΙΣ
1,5,ΤΟΥΣ
1,5,ΑΙΩΝΑΣ
1,5,ΤΩΝ
1,5,ΑΙΩΝΩΝ
1,5,ΑΜΗΝ
1,6,ΘΑΥΜΑΖΩ
1,6,ΟΤΙ
1,6,ΟΥΤΩΣ
1,6,ΤΑΧΕΩΣ
1,6,ΜΕΤΑΤΙΘΕΣΘΕ
1,6,ΑΠΟ
1,6,ΤΟΥ
1,6,ΚΑΛΕΣΑΝΤΟΣ
1,6,ΥΜΑΣ
1,6,ΕΝ
1,6,ΧΑΡΙΤΙ
1,6,ΧΡΙΣΤΟΥ
1,6,ΕΙΣ
1,6,ΕΤΕΡΟΝ
1,6,ΕΥΑΓΓΕΛΙΟΝ
1,7,Ο
1,7,ΟΥΚ
1,7,ΕΣΤΙΝ
1,7,ΑΛΛΟ
1,7,ΕΙ
1,7,ΜΗ
1,7,ΤΙΝΕΣ
1,7,ΕΙΣΙΝ
1,7,ΟΙ
1,7,ΤΑΡΑΣΣΟΝΤΕΣ
1,7,ΥΜΑΣ
1,7,ΚΑΙ
1,7,ΘΕΛΟΝΤΕΣ
1,7,ΜΕΤΑΣΤΡΕΨΑΙ
1,7,ΤΟ
1,7,ΕΥΑΓΓΕΛΙΟΝ
1,7,ΤΟΥ
1,7,ΧΡΙΣΤΟΥ
1,8,ΑΛΛΑ
1,8,ΚΑΙ
1,8,ΕΑΝ
1,8,ΗΜΕΙΣ
1,8,Η
1,8,ΑΓΓΕΛΟΣ
1,8,ΕΞ
1,8,ΟΥΡΑΝΟΥ
1,8,ΕΥΑΓΓΕΛΙΖΗΤΑΙ
1,8,ΥΜΙΝ
1,8,ΠΑΡΑ
1,8,Ο
1,8,ΕΥΗΓΓΕΛΙΣΑΜΕΘΑ
1,8,ΥΜΙΝ
1,8,ΑΝΑΘΕΜΑ
1,8,ΕΣΤΩ
1,9,ΩΣ
1,9,ΠΡΟΕΙΡΗΚΑΜΕΝ
1,9,ΚΑΙ
1,9,ΑΡΤΙ
1,9,ΠΑΛΙΝ
1,9,ΛΕΓΩ
1,9,ΕΙ
1,9,ΤΙΣ
1,9,ΥΜΑΣ
1,9,ΕΥΑΓΓΕΛΙΖΕΤΑΙ
1,9,ΠΑΡΑ
1,9,Ο
1,9,ΠΑΡΕΛΑΒΕΤΕ
1,9,ΑΝΑΘΕΜΑ
1,9,ΕΣΤΩ
1,10,ΑΡΤΙ
1,10,ΓΑΡ
1,10,ΑΝΘΡΩΠΟΥΣ
1,10,ΠΕΙΘΩ
1,10,Η
1,10,ΤΟΝ
1,10,ΘΕΟΝ
1,10,Η
1,10,ΖΗΤΩ
1,10,ΑΝΘΡΩΠΟΙΣ
1,10,ΑΡΕΣΚΕΙΝ
1,10,ΕΙ
1,10,ΕΤΙ
1,10,ΑΝΘΡΩΠΟΙΣ
1,10,ΗΡΕΣΚΟΝ
1,10,ΧΡΙΣΤΟΥ
1,10,ΔΟΥΛΟΣ
1,10,ΟΥΚ
1,10,ΑΝ
1,10,ΗΜΗΝ
1,11,ΓΝΩΡΙΖΩ
1,11,ΓΑΡ
1,11,ΥΜΙΝ
1,11,ΑΔΕΛΦΟΙ
1,11,ΤΟ
1,11,ΕΥΑΓΓΕΛΙΟΝ
1,11,ΤΟ
1,11,ΕΥΑΓΓΕΛΙΣΘΕΝ
1,11,ΥΠΟ
1,11,ΕΜΟΥ
1,11,ΟΤΙ
1,11,ΟΥΚ
1,11,ΕΣΤΙΝ
1,11,ΚΑΤΑ
1,11,ΑΝΘΡΩΠΟΝ
1,12,ΟΥΔΕ
1,12,ΓΑΡ
1,12,ΕΓΩ
1,12,ΠΑΡΑ
1,12,ΑΝΘΡΩΠΟΥ
1,12,ΠΑΡΕΛΑΒΟΝ
1,12,ΑΥΤΟ
1,12,ΟΥΤΕ
1,12,ΕΔΙΔΑΧΘΗΝ
1,12,ΑΛΛΑ
1,12,ΔΙΑ
1,12,ΑΠΟΚΑΛΥΨΕΩΣ
