chapter,verse,word
1,1,ΠΑΥΛΟΣ
1,1,ΑΠΟΣΤΟΛΟΣ
1,1,ΧΡΙΣΤΟΥ
1,1,ΙΗΣΟΥ
1,1,ΔΙΑ
1,1,ΘΕΛΗΜΑΤΟΣ
1,1,ΘΕΟΥ
1,1,ΤΟΙΣ
1,1,ΑΓΙΟΙΣ
1,1,ΤΟΙΣ
1,1,ΟΥΣΙΝ
1,1,ΚΑΙ
1,1,ΠΙΣΤΟΙΣ
1,1,ΕΝ
1,1,ΧΡΙΣΤΩΙ
1,1,ΙΗΣΟΥ
1,2,ΧΑΡΙΣ
1,2,ΥΜΙΝ
1,2,ΚΑΙ
1,2,ΕΙΡΗΝΗ
1,2,ΑΠΟ
1,2,ΘΕΟΥ
1,2,ΠΑΤΡΟΣ
1,2,ΗΜΩΝ
1,2,ΚΑΙ
1,2,ΚΥΡΙΟΥ
1,2,ΙΗΣΟΥ
1,2,ΧΡΙΣΤΟΥ
1,3,ΕΥΛΟΓΗΤΟΣ
1,3,Ο
1,3,ΘΕΟΣ
1,3,ΚΑΙ
1,3,ΠΑΤΗΡ
1,3,ΤΟΥ
1,3,ΚΥΡΙΟΥ
1,3,ΗΜΩΝ
1,3,ΙΗΣΟΥ
1,3,ΧΡΙΣΤΟΥ
1,3,Ο
1,3,ΕΥΛΟΓΗΣΑΣ
1,3,ΗΜΑΣ
1,3,ΕΝ
1,3,ΠΑΣΗΙ
1,3,ΕΥΛΟΓΙΑΙ
1,3,ΠΝΕΥΜΑΤΙΚΗΙ
1,3,ΕΝ
1,3,ΤΟΙΣ
1,3,ΕΠΟΥΡΑΝΙΟΙΣ
1,3,ΕΝ
1,3,ΧΡΙΣΤΩΙ
1,4,ΚΑΘΩΣ
1,4,ΕΞΕΛΕΞΑΤΟ
1,4,ΗΜΑΣ
1,4,ΕΝ
1,4,ΑΥΤΩΙ
1,4,ΠΡΟ
1,4,ΚΑΤΑΒΟΛΗΣ
1,4,ΚΟΣΜΟΥ
1,4,ΕΙΝΑΙ
1,4,ΗΜΑΣ
1,4,ΑΓΙΟΥΣ
1,4,ΚΑΙ
1,4,ΑΜΩΜΟΥΣ
1,4,ΚΑΤΕΝΩΠΙΟΝ
1,4,ΑΥΤΟΥ
1,4,ΕΝ
1,4,ΑΓΑΠΗΙ
1,5,ΠΡΟΟΡΙΣΑΣ
1,5,ΗΜΑΣ
1,5,ΕΙΣ
1,5,ΥΙΟΘΕΣΙΑΝ
1,5,ΔΙΑ
1,5,ΙΗΣΟΥ
1,5,ΧΡΙΣΤΟΥ
1,5,ΕΙΣ
1,5,ΑΥΤΟΝ
1,5,ΚΑΤΑ
1,5,ΤΗΝ
1,5,ΕΥΔΟΚΙΑΝ
1,5,ΤΟΥ
1,5,ΘΕΛΗΜΑΤΟΣ
1,5,ΑΥΤΟΥ
1,6,ΕΙΣ
1,6,ΕΠΑΙΝΟΝ
1,6,ΔΟΞΗΣ
1,6,ΤΗΣ
1,6,ΧΑΡΙΤΟΣ
1,6,ΑΥΤΟΥ
1,6,ΗΣ
1,6,ΕΧΑΡΙΤΩΣΕΝ
1,6,ΗΜΑΣ
1,6,ΕΝ
1,6,ΤΩΙ
1,6,ΗΓΑΠΗΜΕΝΩΙ
1,7,ΕΝ
1,7,ΩΙ
1,7,ΕΧΟΜΕΝ
1,7,ΤΗΝ
1,7,ΑΠΟΛΥΤΡΩΣΙΝ
1,7,ΔΙΑ
1,7,ΤΟΥ
1,7,ΑΙΜΑΤΟΣ
1,7,ΑΥΤΟΥ
1,7,ΤΗΝ
1,7,ΑΦΕΣΙΝ
1,7,ΤΩΝ
1,7,ΠΑΡΑΠΤΩΜΑΤΩΝ
1,7,ΚΑΤΑ
1,7,ΤΟ
1,7,ΠΛΟΥΤΟΣ
1,7,ΤΗΣ
1,7,ΧΑΡΙΤΟΣ
1,7,ΑΥΤΟΥ
1,8,ΗΣ
1,8,ΕΠΕΡΙΣΣΕΥΣΕΝ
1,8,ΕΙΣ
1,8,ΗΜΑΣ
1,8,ΕΝ
1,8,ΠΑΣΗΙ
1,8,ΣΟΦΙΑΙ
1,8,ΚΑΙ
1,8,ΦΡΟΝΗΣΕΙ
1,9,ΓΝΩΡΙΣΑΣ
1,9,ΗΜΙΝ
1,9,ΤΟ
1,9,ΜΥΣΤΗΡΙΟΝ
1,9,ΤΟΥ
1,9,ΘΕΛΗΜΑΤΟΣ
1,9,ΑΥΤΟΥ
1,9,ΚΑΤΑ
1,9,ΤΗΝ
1,9,ΕΥΔΟΚΙΑΝ
1,9,ΑΥΤΟΥ
1,9,ΗΝ
1,9,ΠΡΟΕΘΕΤΟ
1,9,ΕΝ
1,9,ΑΥΤΩΙ
1,10,ΕΙΣ
1,10,ΟΙΚΟΝΟΜΙΑΝ
1,10,ΤΟΥ
1,10,ΠΛΗΡΩΜΑΤΟΣ
1,10,ΤΩΝ
1,10,ΚΑΙΡΩΝ
1,10,ΑΝΑΚΕΦΑΛΑΙΩΣΑΣΘΑΙ
1,10,ΤΑ
1,10,ΠΑΝΤΑ
1,10,ΕΝ
1,10,ΤΩΙ
1,10,ΧΡΙΣΤΩΙ
1,10,ΤΑ
1,10,ΕΠΙ
1,10,ΤΟΙΣ
1,10,ΟΥΡΑΝΟΙΣ
1,10,ΚΑΙ
1,10,ΤΑ
1,10,ΕΠΙ
1,10,ΤΗΣ
1,10,ΓΗΣ
1,10,ΕΝ
1,10,ΑΥΤΩΙ
1,11,ΕΝ
1,11,ΩΙ
1,11,ΚΑΙ
1,11,ΕΚΛΗΡΩΘΗΜΕΝ
1,11,ΠΡΟΟΡΙΣΘΕΝΤΕΣ
1,11,ΚΑΤΑ
1,11,ΠΡΟΘΕΣΙΝ
1,11,ΤΟΥ
1,11,ΤΑ
1,11,ΠΑΝΤΑ
1,11,ΕΝΕΡΓΟΥΝΤΟΣ
1,11,ΚΑΤΑ
1,11,ΤΗΝ
1,11,ΒΟΥΛΗΝ
1,11,ΤΟΥ
1,11,ΘΕΛΗΜΑΤΟΣ
1,11,ΑΥΤΟΥ
1,12,ΕΙΣ
1,12,ΤΟ
1,12,ΕΙΝΑΙ
1,12,ΗΜΑΣ
1,12,ΕΙΣ
1,12,ΕΠΑΙΝΟΝ
1,12,ΔΟΞΗΣ
