chapter,verse,word
1,1,ΠΑΥΛΟΣ
1,1,ΚΑΙ
1,1,ΤΙΜΟΘΕΟΣ
1,1,ΔΟΥΛΟΙ
1,1,ΧΡΙΣΤΟΥ
1,1,ΙΗΣΟΥ
1,1,ΠΑΣΙΝ
1,1,ΤΟΙΣ
1,1,ΑΓΙΟΙΣ
1,1,ΕΝ
1,1,ΧΡΙΣΤΩΙ
1,1,ΙΗΣΟΥ
1,1,ΤΟΙΣ
1,1,ΟΥΣΙΝ
1,1,ΕΝ
1,1,ΦΙΛΙΠΠΟΙΣ
1,1,ΣΥΝ
1,1,ΕΠΙΣΚΟΠΟΙΣ
1,1,ΚΑΙ
1,1,ΔΙΑΚΟΝΟΙΣ
1,2,ΧΑΡΙΣ
1,2,ΥΜΙΝ
1,2,ΚΑΙ
1,2,ΕΙΡΗΝΗ
1,2,ΑΠΟ
1,2,ΘΕΟΥ
1,2,ΠΑΤΡΟΣ
1,2,ΗΜΩΝ
1,2,ΚΑΙ
1,2,ΚΥΡΙΟΥ
1,2,ΙΗΣΟΥ
1,2,ΧΡΙΣΤΟΥ
1,3,ΕΥΧΑΡΙΣΤΩ
1,3,ΤΩΙ
1,3,ΘΕΩΙ
1,3,ΜΟΥ
1,3,ΕΠΙ
1,3,ΠΑΣΗΙ
1,3,ΤΗΙ
1,3,ΜΝΕΙΑΙ
1,3,ΥΜΩΝ
1,4,ΠΑΝΤΟΤΕ
1,4,ΕΝ
1,4,ΠΑΣΗΙ
1,4,ΔΕΗΣΕΙ
1,4,ΜΟΥ
1,4,ΥΠΕΡ
1,4,ΠΑΝΤΩΝ
1,4,ΥΜΩΝ
1,4,ΜΕΤΑ
1,4,ΧΑΡΑΣ
1,4,ΤΗΝ
1,4,ΔΕΗΣΙΝ
1,4,ΠΟΙΟΥΜΕΝΟΣ
1,5,ΕΠΙ
1,5,ΤΗΙ
1,5,ΚΟΙΝΩΝΙΑΙ
1,5,ΥΜΩΝ
1,5,ΕΙΣ
1,5,ΤΟ
1,5,ΕΥΑΓΓΕΛΙΟΝ
1,5,ΑΠΟ
1,5,ΤΗΣ
1,5,ΠΡΩΤΗΣ
1,5,ΗΜΕΡΑΣ
1,5,ΑΧΡΙ
1,5,ΤΟΥ
1,5,ΝΥΝ
1,6,ΠΕΠΟΙΘΩΣ
1,6,ΑΥΤΟ
1,6,ΤΟΥΤΟ
1,6,ΟΤΙ
1,6,Ο
1,6,ΕΝΑΡΞΑΜΕΝΟΣ
1,6,ΕΝ
1,6,ΥΜΙΝ
1,6,ΕΡΓΟΝ
1,6,ΑΓΑΘΟΝ
1,6,ΕΠΙΤΕΛΕΣΕΙ
1,6,ΑΧΡΙ
1,6,ΗΜΕΡΑΣ
1,6,ΧΡΙΣΤΟΥ
1,6,ΙΗΣΟΥ
1,7,ΚΑΘΩΣ
1,7,ΕΣΤΙΝ
1,7,ΔΙΚΑΙΟΝ
1,7,ΕΜΟΙ
1,7,ΤΟΥΤΟ
1,7,ΦΡΟΝΕΙΝ
1,7,ΥΠΕΡ
1,7,ΠΑΝΤΩΝ
1,7,ΥΜΩΝ
1,7,ΔΙΑ
1,7,ΤΟ
1,7,ΕΧΕΙΝ
1,7,ΜΕ
1,7,ΕΝ
1,7,ΤΗΙ
1,7,ΚΑΡΔΙΑΙ
1,7,ΥΜΑΣ
1,7,ΕΝ
1,7,ΤΕ
1,7,ΤΟΙΣ
1,7,ΔΕΣΜΟΙΣ
1,7,ΜΟΥ
1,7,ΚΑΙ
1,7,ΕΝ
1,7,ΤΗΙ
1,7,ΑΠΟΛΟΓΙΑΙ
1,7,ΚΑΙ
1,7,ΒΕΒΑΙΩΣΕΙ
1,7,ΤΟΥ
1,7,ΕΥΑΓΓΕΛΙΟΥ
1,7,ΣΥΝΚΟΙΝΩΝΟΥΣ
1,7,ΜΟΥ
1,7,ΤΗΣ
1,7,ΧΑΡΙΤΟΣ
1,7,ΠΑΝΤΑΣ
1,7,ΥΜΑΣ
1,7,ΟΝΤΑΣ
1,8,ΜΑΡΤΥΣ
1,8,ΓΑΡ
1,8,ΜΟΥ
1,8,Ο
1,8,ΘΕΟΣ
1,8,ΩΣ
1,8,ΕΠΙΠΟΘΩ
1,8,ΠΑΝΤΑΣ
1,8,ΥΜΑΣ
1,8,ΕΝ
1,8,ΣΠΛΑΓΧΝΟΙΣ
1,8,ΧΡΙΣΤΟΥ
1,8,ΙΗΣΟΥ
1,9,ΚΑΙ
1,9,ΤΟΥΤΟ
1,9,ΠΡΟΣΕΥΧΟΜΑΙ
1,9,ΙΝΑ
1,9,Η
1,9,ΑΓΑΠΗ
1,9,ΥΜΩΝ
1,9,ΕΤΙ
1,9,ΜΑΛΛΟΝ
1,9,ΚΑΙ
1,9,ΜΑΛΛΟΝ
1,9,ΠΕΡΙΣΣΕΥΗΙ
1,9,ΕΝ
1,9,ΕΠΙΓΝΩΣΕΙ
1,9,ΚΑΙ
1,9,ΠΑΣΗΙ
1,9,ΑΙΣΘΗΣΕΙ
1,10,ΕΙΣ
1,10,ΤΟ
1,10,ΔΟΚΙΜΑΖΕΙΝ
1,10,ΥΜΑΣ
1,10,ΤΑ
1,10,ΔΙΑΦΕΡΟΝΤΑ
1,10,ΙΝΑ
1,10,ΗΤΕ
1,10,ΕΙΛΙΚΡΙΝΕΙΣ
1,10,ΚΑΙ
1,10,ΑΠΡΟΣΚΟΠΟΙ
1,10,ΕΙΣ
1,10,ΗΜΕΡΑΝ
1,10,ΧΡΙΣΤΟΥ
1,11,ΠΕΠΛΗΡΩΜΕΝΟΙ
1,11,ΚΑΡΠΟΝ
1,11,ΔΙΚΑΙΟΣΥΝΗΣ
1,11,ΤΟΝ
1,11,ΔΙΑ
1,11,ΙΗΣΟΥ
1,11,ΧΡΙΣΤΟΥ
1,11,ΕΙΣ
1,11,ΔΟΞΑΝ
1,11,ΚΑΙ
1,11,ΕΠΑΙΝΟΝ
1,11,ΘΕΟΥ
1,12,ΓΙΝΩΣΚΕΙΝ
1,12,ΔΕ
1,12,ΥΜΑΣ
1,12,ΒΟΥΛΟΜΑΙ
1,12,ΑΔΕΛΦΟΙ
1,12,ΟΤΙ
1,12,ΤΑ
1,12,ΚΑΤΑ
1,12,ΕΜΕ
1,12,ΜΑΛΛΟΝ
1,12,ΕΙΣ
1,12,ΠΡΟΚΟΠΗΝ
1,12,ΤΟΥ
1,12,ΕΥΑΓΓΕΛΙΟΥ
1,12,ΕΛΗΛΥΘΕΝ
1,13,ΩΣΤΕ
1,13,ΤΟΥΣ
1,13,ΔΕΣΜΟΥΣ
1,13,ΜΟΥ
1,13,ΦΑΝΕΡΟΥΣ
1,13,ΕΝ
1,13,ΧΡΙΣΤΩΙ
1,13,ΓΕΝΕΣΘΑΙ
1,13,ΕΝ
1,13,ΟΛΩΙ
1,13,ΤΩΙ
1,13,ΠΡΑΙΤΩΡΙΩΙ
1,13,ΚΑΙ
1,13,ΤΟΙΣ
1,13,ΛΟΙΠΟΙΣ
1,13,ΠΑΣΙΝ
1,14,ΚΑΙ
1,14,ΤΟΥΣ
1,14,ΠΛΕΙΟΝΑΣ
1,14,ΤΩΝ
1,14,ΑΔΕΛΦΩΝ
1,14,ΕΝ
1,14,ΚΥΡΙΩΙ
1,14,ΠΕΠΟΙΘΟΤΑΣ
1,14,ΤΟΙΣ
1,14,ΔΕΣΜΟΙΣ
1,14,ΜΟΥ
1,14,ΠΕΡΙΣΣΟΤΕΡΩΣ
1,14,ΤΟΛΜΑΝ
1,14,ΑΦΟΒΩΣ
1,14,ΤΟΝ
1,14,ΛΟΓΟΝ
1,14,ΛΑΛΕΙΝ
1,15,ΤΙΝΕΣ
1,15,ΜΕΝ
1,15,ΚΑΙ
1,15,ΔΙΑ
1,15,ΦΘΟΝΟΝ
1,15,ΚΑΙ
1,15,ΕΡΙΝ
1,15,ΤΙΝΕΣ
1,15,ΔΕ
1,15,ΚΑΙ
1,15,ΔΙΑ
1,15,ΕΥΔΟΚΙΑΝ
1,15,ΤΟΝ
1,15,ΧΡΙΣΤΟΝ
1,15,ΚΗΡΥΣΣΟΥΣΙΝ
1,16,ΟΙ
1,16,ΜΕΝ
1,16,ΕΞ
1,16,ΑΓΑΠΗΣ
1,16,ΕΙΔΟΤΕΣ
1,16,ΟΤΙ
1,16,ΕΙΣ
1,16,ΑΠΟΛΟΓΙΑΝ
1,16,ΤΟΥ
1,16,ΕΥΑΓΓΕΛΙΟΥ
1,16,ΚΕΙΜΑΙ
1,17,ΟΙ
1,17,ΔΕ
