chapter,verse,word
1,1,ΠΑΥΛΟΣ
1,1,ΑΠΟΣΤΟΛΟΣ
1,1,ΧΡΙΣΤΟΥ
1,1,ΙΗΣΟΥ
1,1,ΔΙΑ
1,1,ΘΕΛΗΜΑΤΟΣ
1,1,ΘΕΟΥ
1,1,ΚΑΙ
1,1,ΤΙΜΟΘΕΟΣ
1,1,Ο
1,1,ΑΔΕΛΦΟΣ
1,2,ΤΟΙΣ
1,2,ΕΝ
1,2,ΚΟΛΟΣΣΑΙΣ
1,2,ΑΓΙΟΙΣ
1,2,ΚΑΙ
1,2,ΠΙΣΤΟΙΣ
1,2,ΑΔΕΛΦΟΙΣ
1,2,ΕΝ
1,2,ΧΡΙΣΤΩΙ
1,2,ΧΑΡΙΣ
1,2,ΥΜΙΝ
1,2,ΚΑΙ
1,2,ΕΙΡΗΝΗ
1,2,ΑΠΟ
1,2,ΘΕΟΥ
1,2,ΠΑΤΡΟΣ
1,2,ΗΜΩΝ
1,2,ΚΑΙ
1,2,ΚΥΡΙΟΥ
1,2,ΙΗΣΟΥ
1,2,ΧΡΙΣΤΟΥ
1,3,ΕΥΧΑΡΙΣΤΟΥΜΕΝ
1,3,ΤΩΙ
1,3,ΘΕΩΙ
1,3,ΠΑΤΡΙ
1,3,ΤΟΥ
1,3,ΚΥΡΙΟΥ
1,3,ΗΜΩΝ
1,3,ΙΗΣΟΥ
1,3,ΧΡΙΣΤΟΥ
1,3,ΠΑΝΤΟΤΕ
1,3,ΠΕΡΙ
1,3,ΥΜΩΝ
1,3,ΠΡΟΣΕΥΧΟΜΕΝΟΙ
1,4,ΑΚΟΥΣΑΝΤΕΣ
1,4,ΤΗΝ
1,4,ΠΙΣΤΙΝ
1,4,ΥΜΩΝ
1,4,ΕΝ
1,4,ΧΡΙΣΤΩΙ
1,4,ΙΗΣΟΥ
1,4,ΚΑΙ
1,4,ΤΗΝ
1,4,ΑΓΑΠΗΝ
1,4,ΗΝ
1,4,ΕΧΕΤΕ
1,4,ΕΙΣ
1,4,ΠΑΝΤΑΣ
1,4,ΤΟΥΣ
1,4,ΑΓΙΟΥΣ
1,5,ΔΙΑ
1,5,ΤΗΝ
1,5,ΕΛΠΙΔΑ
1,5,ΤΗΝ
1,5,ΑΠΟΚΕΙΜΕΝΗΝ
1,5,ΥΜΙΝ
1,5,ΕΝ
1,5,ΤΟΙΣ
1,5,ΟΥΡΑΝΟΙΣ
1,5,ΗΝ
1,5,ΠΡΟΗΚΟΥΣΑΤΕ
1,5,ΕΝ
1,5,ΤΩΙ
1,5,ΛΟΓΩΙ
1,5,ΤΗΣ
1,5,ΑΛΗΘΕΙΑΣ
1,5,ΤΟΥ
1,5,ΕΥΑΓΓΕΛΙΟΥ
1,6,ΤΟΥ
1,6,ΠΑΡΟΝΤΟΣ
1,6,ΕΙΣ
1,6,ΥΜΑΣ
1,6,ΚΑΘΩΣ
1,6,ΚΑΙ
1,6,ΕΝ
1,6,ΠΑΝΤΙ
1,6,ΤΩΙ
1,6,ΚΟΣΜΩΙ
1,6,ΕΣΤΙΝ
1,6,ΚΑΡΠΟΦΟΡΟΥΜΕΝΟΝ
1,6,ΚΑΙ
1,6,ΑΥΞΑΝΟΜΕΝΟΝ
1,6,ΚΑΘΩΣ
1,6,ΚΑΙ
1,6,ΕΝ
1,6,ΥΜΙΝ
1,6,ΑΠΟ
1,6,ΗΣ
1,6,ΗΜΕΡΑΣ
1,6,ΗΚΟΥΣΑΤΕ
1,6,ΚΑΙ
1,6,ΕΠΕΓΝΩΤΕ
1,6,ΤΗΝ
1,6,ΧΑΡΙΝ
1,6,ΤΟΥ
1,6,ΘΕΟΥ
1,6,ΕΝ
1,6,ΑΛΗΘΕΙΑΙ
1,7,ΚΑΘΩΣ
1,7,ΕΜΑΘΕΤΕ
1,7,ΑΠΟ
1,7,ΕΠΑΦΡΑ
1,7,ΤΟΥ
1,7,ΑΓΑΠΗΤΟΥ
1,7,ΣΥΝΔΟΥΛΟΥ
1,7,ΗΜΩΝ
1,7,ΟΣ
1,7,ΕΣΤΙΝ
1,7,ΠΙΣΤΟΣ
1,7,ΥΠΕΡ
1,7,ΗΜΩΝ
1,7,ΔΙΑΚΟΝΟΣ
1,7,ΤΟΥ
1,7,ΧΡΙΣΤΟΥ
1,8,Ο
1,8,ΚΑΙ
1,8,ΔΗΛΩΣΑΣ
1,8,ΗΜΙΝ
1,8,ΤΗΝ
1,8,ΥΜΩΝ
1,8,ΑΓΑΠΗΝ
1,8,ΕΝ
1,8,ΠΝΕΥΜΑΤΙ
1,9,ΔΙΑ
1,9,ΤΟΥΤΟ
1,9,ΚΑΙ
1,9,ΗΜΕΙΣ
1,9,ΑΠΟ
1,9,ΗΣ
1,9,ΗΜΕΡΑΣ
1,9,ΗΚΟΥΣΑΜΕΝ
1,9,ΟΥ
1,9,ΠΑΥΟΜΕΘΑ
1,9,ΥΠΕΡ
1,9,ΥΜΩΝ
1,9,ΠΡΟΣΕΥΧΟΜΕΝΟΙ
1,9,ΚΑΙ
1,9,ΑΙΤΟΥΜΕΝΟΙ
1,9,ΙΝΑ
1,9,ΠΛΗΡΩΘΗΤΕ
1,9,ΤΗΝ
1,9,ΕΠΙΓΝΩΣΙΝ
1,9,ΤΟΥ
1,9,ΘΕΛΗΜΑΤΟΣ
1,9,ΑΥΤΟΥ
1,9,ΕΝ
1,9,ΠΑΣΗΙ
1,9,ΣΟΦΙΑΙ
1,9,ΚΑΙ
1,9,ΣΥΝΕΣΕΙ
1,9,ΠΝΕΥΜΑΤΙΚΗΙ
1,10,ΠΕΡΙΠΑΤΗΣΑΙ
1,10,ΑΞΙΩΣ
1,10,ΤΟΥ
1,10,ΚΥΡΙΟΥ
1,10,ΕΙΣ
1,10,ΠΑΣΑΝ
1,10,ΑΡΕΣΚΕΙΑΝ
1,10,ΕΝ
1,10,ΠΑΝΤΙ
1,10,ΕΡΓΩΙ
1,10,ΑΓΑΘΩΙ
1,10,ΚΑΡΠΟΦΟΡΟΥΝΤΕΣ
1,10,ΚΑΙ
1,10,ΑΥΞΑΝΟΜΕΝΟΙ
1,10,ΤΗΙ
1,10,ΕΠΙΓΝΩΣΕΙ
1,10,ΤΟΥ
1,10,ΘΕΟΥ
1,11,ΕΝ
