chapter,verse,word
1,1,ΠΑΥΛΟΣ
1,1,ΚΑΙ
1,1,ΣΙΛΟΥΑΝΟΣ
1,1,ΚΑΙ
1,1,ΤΙΜΟΘΕΟΣ
1,1,ΤΗΙ
1,1,ΕΚΚΛΗΣΙΑΙ
1,1,ΘΕΣΣΑΛΟΝΙΚΕΩΝ
1,1,ΕΝ
1,1,ΘΕΩΙ
1,1,ΠΑΤΡΙ
1,1,ΗΜΩΝ
1,1,ΚΑΙ
1,1,ΚΥΡΙΩΙ
1,1,ΙΗΣΟΥ
1,1,ΧΡΙΣΤΩΙ
1,2,ΧΑΡΙΣ
1,2,ΥΜΙΝ
1,2,ΚΑΙ
1,2,ΕΙΡΗΝΗ
1,2,ΑΠΟ
1,2,ΘΕΟΥ
1,2,ΠΑΤΡΟΣ
1,2,ΚΑΙ
1,2,ΚΥΡΙΟΥ
1,2,ΙΗΣΟΥ
1,2,ΧΡΙΣΤΟΥ
1,3,ΕΥΧΑΡΙΣΤΕΙΝ
1,3,ΟΦΕΙΛΟΜΕΝ
1,3,ΤΩΙ
1,3,ΘΕΩΙ
1,3,ΠΑΝΤΟΤΕ
1,3,ΠΕΡΙ
1,3,ΥΜΩΝ
1,3,ΑΔΕΛΦΟΙ
1,3,ΚΑΘΩΣ
1,3,ΑΞΙΟΝ
1,3,ΕΣΤΙΝ
1,3,ΟΤΙ
1,3,ΥΠΕΡΑΥΞΑΝΕΙ
1,3,Η
1,3,ΠΙΣΤΙΣ
1,3,ΥΜΩΝ
1,3,ΚΑΙ
1,3,ΠΛΕΟΝΑΖΕΙ
1,3,Η
1,3,ΑΓΑΠΗ
1,3,ΕΝΟΣ
1,3,ΕΚΑΣΤΟΥ
1,3,ΠΑΝΤΩΝ
1,3,ΥΜΩΝ
1,3,ΕΙΣ
1,3,ΑΛΛΗΛΟΥΣ
1,4,ΩΣΤΕ
1,4,ΑΥΤΟΥΣ
1,4,ΗΜΑΣ
1,4,ΕΝ
1,4,ΥΜΙΝ
1,4,ΕΝΚΑΥΧΑΣΘΑΙ
1,4,ΕΝ
1,4,ΤΑΙΣ
1,4,ΕΚΚΛΗΣΙΑΙΣ
1,4,ΤΟΥ
1,4,ΘΕΟΥ
1,4,ΥΠΕΡ
1,4,ΤΗΣ
1,4,ΥΠΟΜΟΝΗΣ
1,4,ΥΜΩΝ
1,4,ΚΑΙ
1,4,ΠΙΣΤΕΩΣ
1,4,ΕΝ
1,4,ΠΑΣΙΝ
1,4,ΤΟΙΣ
1,4,ΔΙΩΓΜΟΙΣ
1,4,ΥΜΩΝ
1,4,ΚΑΙ
1,4,ΤΑΙΣ
1,4,ΘΛΙΨΕΣΙΝ
1,4,ΑΙΣ
1,4,ΑΝΕΧΕΣΘΕ
1,5,ΕΝΔΕΙΓΜΑ
1,5,ΤΗΣ
1,5,ΔΙΚΑΙΑΣ
1,5,ΚΡΙΣΕΩΣ
1,5,ΤΟΥ
1,5,ΘΕΟΥ
1,5,ΕΙΣ
1,5,ΤΟ
1,5,ΚΑΤΑΞΙΩΘΗΝΑΙ
1,5,ΥΜΑΣ
1,5,ΤΗΣ
1,5,ΒΑΣΙΛΕΙΑΣ
1,5,ΤΟΥ
1,5,ΘΕΟΥ
1,5,ΥΠΕΡ
1,5,ΗΣ
1,5,ΚΑΙ
1,5,ΠΑΣΧΕΤΕ
1,6,ΕΙΠΕΡ
1,6,ΔΙΚΑΙΟΝ
1,6,ΠΑΡΑ
1,6,ΘΕΩΙ
1,6,ΑΝΤΑΠΟΔΟΥΝΑΙ
1,6,ΤΟΙΣ
1,6,ΘΛΙΒΟΥΣΙΝ
1,6,ΥΜΑΣ
1,6,ΘΛΙΨΙΝ
1,7,ΚΑΙ
1,7,ΥΜΙΝ
1,7,ΤΟΙΣ
1,7,ΘΛΙΒΟΜΕΝΟΙΣ
1,7,ΑΝΕΣΙΝ
1,7,ΜΕΤΑ
1,7,ΗΜΩΝ
1,7,ΕΝ
1,7,ΤΗΙ
1,7,ΑΠΟΚΑΛΥΨΕΙ
1,7,ΤΟΥ
1,7,ΚΥΡΙΟΥ
1,7,ΙΗΣΟΥ
1,7,ΑΠΟ
1,7,ΟΥΡΑΝΟΥ
1,7,ΜΕΤΑ
1,7,ΑΓΓΕΛΩΝ
1,7,ΔΥΝΑΜΕΩΣ
1,7,ΑΥΤΟΥ
1,8,ΕΝ
1,8,ΠΥΡΙ
1,8,ΦΛΟΓΟΣ
1,8,ΔΙΔΟΝΤΟΣ
1,8,ΕΚΔΙΚΗΣΙΝ
1,8,ΤΟΙΣ
1,8,ΜΗ
1,8,ΕΙΔΟΣΙ
1,8,ΘΕΟΝ
1,8,ΚΑΙ
1,8,ΤΟΙΣ
1,8,ΜΗ
1,8,ΥΠΑΚΟΥΟΥΣΙΝ
1,8,ΤΩΙ
1,8,ΕΥΑΓΓΕΛΙΩΙ
1,8,ΤΟΥ
1,8,ΚΥΡΙΟΥ
1,8,ΗΜΩΝ
1,8,ΙΗΣΟΥ
1,9,ΟΙΤΙΝΕΣ
1,9,ΔΙΚΗΝ
1,9,ΤΙΣΟΥΣΙΝ
1,9,ΟΛΕΘΡΟΝ
1,9,ΑΙΩΝΙΟΝ
1,9,ΑΠΟ
1,9,ΠΡΟΣΩΠΟΥ
1,9,ΤΟΥ
1,9,ΚΥΡΙΟΥ
1,9,ΚΑΙ
1,9,ΑΠΟ
1,9,ΤΗΣ
1,9,ΔΟΞΗΣ
1,9,ΤΗΣ
1,9,ΙΣΧΥΟΣ
1,9,ΑΥΤΟΥ
1,10,ΟΤΑΝ
1,10,ΕΛΘΗΙ
1,10,ΕΝΔΟΞΑΣΘΗΝΑΙ
1,10,ΕΝ
1,10,ΤΟΙΣ
1,10,ΑΓΙΟΙΣ
1,10,ΑΥΤΟΥ
1,10,ΚΑΙ
1,10,ΘΑΥΜΑΣΘΗΝΑΙ
1,10,ΕΝ
1,10,ΠΑΣΙΝ
1,10,ΤΟΙΣ
1,10,ΠΙΣΤΕΥΣΑΣΙΝ
1,10,ΟΤΙ
1,10,ΕΠΙΣΤΕΥΘΗ
1,10,ΤΟ
1,10,ΜΑΡΤΥΡΙΟΝ
1,10,ΗΜΩΝ
1,10,ΕΠΙ
1,10,ΥΜΑΣ
1,10,ΕΝ
1,10,ΤΗΙ
1,10,ΗΜΕΡΑΙ
1,10,ΕΚΕΙΝΗΙ
1,11,ΕΙΣ
1,11,Ο
1,11,ΚΑΙ
1,11,ΠΡΟΣΕΥΧΟΜΕΘΑ
1,11,ΠΑΝΤΟΤΕ
1,11,ΠΕΡΙ
1,11,ΥΜΩΝ
1,11,ΙΝΑ
1,11,ΥΜΑΣ
1,11,ΑΞΙΩΣΗΙ
1,11,ΤΗΣ
1,11,ΚΛΗΣΕΩΣ
1,11,Ο
1,11,ΘΕΟΣ
1,11,ΗΜΩΝ
1,11,ΚΑΙ
1,11,ΠΛΗΡΩΣΗΙ
1,11,ΠΑΣΑΝ
1,11,ΕΥΔΟΚΙΑΝ
1,11,ΑΓΑΘΩΣΥΝΗΣ
1,11,ΚΑΙ
1,11,ΕΡΓΟΝ
1,11,ΠΙΣΤΕΩΣ
1,11,ΕΝ
1,11,ΔΥΝΑΜΕΙ
1,12,ΟΠΩΣ
1,12,ΕΝΔΟΞΑΣΘΗΙ
1,12,ΤΟ
1,12,ΟΝΟΜΑ
1,12,ΤΟΥ
1,12,ΚΥΡΙΟΥ
1,12,ΗΜΩΝ
1,12,ΙΗΣΟΥ
1,12,ΕΝ
1,12,ΥΜΙΝ
1,12,ΚΑΙ
1,12,ΥΜΕΙΣ
1,12,ΕΝ
1,12,ΑΥΤΩΙ
1,12,ΚΑΤΑ
1,12,ΤΗΝ
1,12,ΧΑΡΙΝ
1,12,ΤΟΥ
1,12,ΘΕΟΥ
1,12,ΗΜΩΝ
1,12,ΚΑΙ
1,12,ΚΥΡΙΟΥ
1,12,ΙΗΣΟΥ
1,12,ΧΡΙΣΤΟΥ
2,1,ΕΡΩΤΩΜΕΝ
2,1,ΔΕ
2,1,ΥΜΑΣ
2,1,ΑΔΕΛΦΟΙ
2,1,ΥΠΕΡ
2,1,ΤΗΣ
2,1,ΠΑΡΟΥΣΙΑΣ
2,1,ΤΟΥ
2,1,ΚΥΡΙΟΥ
2,1,ΗΜΩΝ
2,1,ΙΗΣΟΥ
2,1,ΧΡΙΣΤΟΥ
2,1,ΚΑΙ
2,1,ΗΜΩΝ
2,1,ΕΠΙΣΥΝΑΓΩΓΗΣ
2,1,ΕΠΙ
