chapter,verse,word
1,1,ΠΑΥΛΟΣ
1,1,ΑΠΟΣΤΟΛΟΣ
1,1,ΧΡΙΣΤΟΥ
1,1,ΙΗΣΟΥ
1,1,ΔΙΑ
1,1,ΘΕΛΗΜΑΤΟΣ
1,1,ΘΕΟΥ
1,1,ΚΑΤΑ
1,1,ΕΠΑΓΓΕΛΙΑΝ
1,1,ΖΩΗΣ
1,1,ΤΗΣ
1,1,ΕΝ
1,1,ΧΡΙΣΤΩΙ
1,1,ΙΗΣΟΥ
1,2,ΤΙΜΟΘΕΩΙ
1,2,ΑΓΑΠΗΤΩΙ
1,2,ΤΕΚΝΩΙ
1,2,ΧΑΡΙΣ
1,2,ΕΛΕΟΣ
1,2,ΕΙΡΗΝΗ
1,2,ΑΠΟ
1,2,ΘΕΟΥ
1,2,ΠΑΤΡΟΣ
1,2,ΚΑΙ
1,2,ΧΡΙΣΤΟΥ
1,2,ΙΗΣΟΥ
1,2,ΤΟΥ
1,2,ΚΥΡΙΟΥ
1,2,ΗΜΩΝ
1,3,ΧΑΡΙΝ
1,3,ΕΧΩ
1,3,ΤΩΙ
1,3,ΘΕΩΙ
1,3,ΩΙ
1,3,ΛΑΤΡΕΥΩ
1,3,ΑΠΟ
1,3,ΠΡΟΓΟΝΩΝ
1,3,ΕΝ
1,3,ΚΑΘΑΡΑΙ
1,3,ΣΥΝΕΙΔΗΣΕΙ
1,3,ΩΣ
1,3,ΑΔΙΑΛΕΙΠΤΟΝ
1,3,ΕΧΩ
1,3,ΤΗΝ
1,3,ΠΕΡΙ
1,3,ΣΟΥ
1,3,ΜΝΕΙΑΝ
1,3,ΕΝ
1,3,ΤΑΙΣ
1,3,ΔΕΗΣΕΣΙΝ
1,3,ΜΟΥ
1,3,ΝΥΚΤΟΣ
1,3,ΚΑΙ
1,3,ΗΜΕΡΑΣ
1,4,ΕΠΙΠΟΘΩΝ
1,4,ΣΕ
1,4,ΙΔΕΙΝ
1,4,ΜΕΜΝΗΜΕΝΟΣ
1,4,ΣΟΥ
1,4,ΤΩΝ
1,4,ΔΑΚΡΥΩΝ
1,4,ΙΝΑ
1,4,ΧΑΡΑΣ
1,4,ΠΛΗΡΩΘΩ
1,5,ΥΠΟΜΝΗΣΙΝ
1,5,ΛΑΒΩΝ
1,5,ΤΗΣ
1,5,ΕΝ
1,5,ΣΟΙ
1,5,ΑΝΥΠΟΚΡΙΤΟΥ
1,5,ΠΙΣΤΕΩΣ
1,5,ΗΤΙΣ
1,5,ΕΝΩΙΚΗΣΕΝ
1,5,ΠΡΩΤΟΝ
1,5,ΕΝ
1,5,ΤΗΙ
1,5,ΜΑΜΜΗΙ
1,5,ΣΟΥ
1,5,ΛΩΙΔΙ
1,5,ΚΑΙ
1,5,ΤΗΙ
1,5,ΜΗΤΡΙ
1,5,ΣΟΥ
1,5,ΕΥΝΙΚΗΙ
1,5,ΠΕΠΕΙΣΜΑΙ
1,5,ΔΕ
1,5,ΟΤΙ
1,5,ΚΑΙ
1,5,ΕΝ
1,5,ΣΟΙ
1,6,ΔΙΑ
1,6,ΗΝ
1,6,ΑΙΤΙΑΝ
1,6,ΑΝΑΜΙΜΝΗΙΣΚΩ
1,6,ΣΕ
1,6,ΑΝΑΖΩΠΥΡΕΙΝ
1,6,ΤΟ
1,6,ΧΑΡΙΣΜΑ
1,6,ΤΟΥ
1,6,ΘΕΟΥ
1,6,Ο
1,6,ΕΣΤΙΝ
1,6,ΕΝ
1,6,ΣΟΙ
1,6,ΔΙΑ
1,6,ΤΗΣ
1,6,ΕΠΙΘΕΣΕΩΣ
1,6,ΤΩΝ
1,6,ΧΕΙΡΩΝ
1,6,ΜΟΥ
1,7,ΟΥ
1,7,ΓΑΡ
1,7,ΕΔΩΚΕΝ
1,7,ΗΜΙΝ
1,7,Ο
1,7,ΘΕΟΣ
1,7,ΠΝΕΥΜΑ
1,7,ΔΕΙΛΙΑΣ
1,7,ΑΛΛΑ
1,7,ΔΥΝΑΜΕΩΣ
1,7,ΚΑΙ
1,7,ΑΓΑΠΗΣ
1,7,ΚΑΙ
1,7,ΣΩΦΡΟΝΙΣΜΟΥ
1,8,ΜΗ
1,8,ΟΥΝ
1,8,ΕΠΑΙΣΧΥΝΘΗΙΣ
1,8,ΤΟ
1,8,ΜΑΡΤΥΡΙΟΝ
1,8,ΤΟΥ
1,8,ΚΥΡΙΟΥ
1,8,ΗΜΩΝ
1,8,ΜΗΔΕ
1,8,ΕΜΕ
1,8,ΤΟΝ
1,8,ΔΕΣΜΙΟΝ
1,8,ΑΥΤΟΥ
1,8,ΑΛΛΑ
1,8,ΣΥΝΚΑΚΟΠΑΘΗΣΟΝ
1,8,ΤΩΙ
1,8,ΕΥΑΓΓΕΛΙΩΙ
1,8,ΚΑΤΑ
1,8,ΔΥΝΑΜΙΝ
1,8,ΘΕΟΥ
1,9,ΤΟΥ
1,9,ΣΩΣΑΝΤΟΣ
1,9,ΗΜΑΣ
1,9,ΚΑΙ
1,9,ΚΑΛΕΣΑΝΤΟΣ
1,9,ΚΛΗΣΕΙ
1,9,ΑΓΙΑΙ
1,9,ΟΥ
1,9,ΚΑΤΑ
1,9,ΤΑ
1,9,ΕΡΓΑ
1,9,ΗΜΩΝ
1,9,ΑΛΛΑ
1,9,ΚΑΤΑ
1,9,ΙΔΙΑΝ
1,9,ΠΡΟΘΕΣΙΝ
1,9,ΚΑΙ
1,9,ΧΑΡΙΝ
1,9,ΤΗΝ
1,9,ΔΟΘΕΙΣΑΝ
1,9,ΗΜΙΝ
1,9,ΕΝ
1,9,ΧΡΙΣΤΩΙ
1,9,ΙΗΣΟΥ
1,9,ΠΡΟ
1,9,ΧΡΟΝΩΝ
1,9,ΑΙΩΝΙΩΝ
1,10,ΦΑΝΕΡΩΘΕΙΣΑΝ
1,10,ΔΕ
1,10,ΝΥΝ
1,10,ΔΙΑ
1,10,ΤΗΣ
1,10,ΕΠΙΦΑΝΕΙΑΣ
1,10,ΤΟΥ
1,10,ΣΩΤΗΡΟΣ
1,10,ΗΜΩΝ
1,10,ΧΡΙΣΤΟΥ
1,10,ΙΗΣΟΥ
1,10,ΚΑΤΑΡΓΗΣΑΝΤΟΣ
1,10,ΜΕΝ
1,10,ΤΟΝ
