chapter,verse,word
1,1,ΠΑΥΛΟΣ
1,1,ΔΟΥΛΟΣ
1,1,ΘΕΟΥ
1,1,ΑΠΟΣΤΟΛΟΣ
1,1,ΔΕ
1,1,ΙΗΣΟΥ
1,1,ΧΡΙΣΤΟΥ
1,1,ΚΑΤΑ
1,1,ΠΙΣΤΙΝ
1,1,ΕΚΛΕΚΤΩΝ
1,1,ΘΕΟΥ
1,1,ΚΑΙ
1,1,ΕΠΙΓΝΩΣΙΝ
1,1,ΑΛΗΘΕΙΑΣ
1,1,ΤΗΣ
1,1,ΚΑΤΑ
1,1,ΕΥΣΕΒΕΙΑΝ
1,2,ΕΠΙ
1,2,ΕΛΠΙΔΙ
1,2,ΖΩΗΣ
1,2,ΑΙΩΝΙΟΥ
1,2,ΗΝ
1,2,ΕΠΗΓΓΕΙΛΑΤΟ
1,2,Ο
1,2,ΑΨΕΥΔΗΣ
1,2,ΘΕΟΣ
1,2,ΠΡΟ
1,2,ΧΡΟΝΩΝ
1,2,ΑΙΩΝΙΩΝ
1,3,ΕΦΑΝΕΡΩΣΕΝ
1,3,ΔΕ
1,3,ΚΑΙΡΟΙΣ
1,3,ΙΔΙΟΙΣ
1,3,ΤΟΝ
1,3,ΛΟΓΟΝ
1,3,ΑΥΤΟΥ
1,3,ΕΝ
1,3,ΚΗΡΥΓΜΑΤΙ
1,3,Ο
1,3,ΕΠΙΣΤΕΥΘΗΝ
1,3,ΕΓΩ
1,3,ΚΑΤΑ
1,3,ΕΠΙΤΑΓΗΝ
1,3,ΤΟΥ
1,3,ΣΩΤΗΡΟΣ
1,3,ΗΜΩΝ
1,3,ΘΕΟΥ
1,4,ΤΙΤΩΙ
1,4,ΓΝΗΣΙΩΙ
1,4,ΤΕΚΝΩΙ
1,4,ΚΑΤΑ
1,4,ΚΟΙΝΗΝ
1,4,ΠΙΣΤΙΝ
1,4,ΧΑΡΙΣ
1,4,ΚΑΙ
1,4,ΕΙΡΗΝΗ
1,4,ΑΠΟ
1,4,ΘΕΟΥ
1,4,ΠΑΤΡΟΣ
1,4,ΚΑΙ
1,4,ΧΡΙΣΤΟΥ
1,4,ΙΗΣΟΥ
1,4,ΤΟΥ
1,4,ΣΩΤΗΡΟΣ
1,4,ΗΜΩΝ
1,5,ΤΟΥΤΟΥ
1,5,ΧΑΡΙΝ
1,5,ΑΠΕΛΙΠΟΝ
1,5,ΣΕ
1,5,ΕΝ
1,5,ΚΡΗΤΗΙ
1,5,ΙΝΑ
1,5,ΤΑ
1,5,ΛΕΙΠΟΝΤΑ
1,5,ΕΠΙΔΙΟΡΘΩΣΗΙ
1,5,ΚΑΙ
1,5,ΚΑΤΑΣΤΗΣΗΙΣ
1,5,ΚΑΤΑ
1,5,ΠΟΛΙΝ
1,5,ΠΡΕΣΒΥΤΕΡΟΥΣ
1,5,ΩΣ
1,5,ΕΓΩ
1,5,ΣΟΙ
1,5,ΔΙΕΤΑΞΑΜΗΝ
1,6,ΕΙ
1,6,ΤΙΣ
1,6,ΕΣΤΙΝ
1,6,ΑΝΕΓΚΛΗΤΟΣ
1,6,ΜΙΑΣ
1,6,ΓΥΝΑΙΚΟΣ
1,6,ΑΝΗΡ
1,6,ΤΕΚΝΑ
1,6,ΕΧΩΝ
1,6,ΠΙΣΤΑ
1,6,ΜΗ
1,6,ΕΝ
1,6,ΚΑΤΗΓΟΡΙΑI
1,6,ΑΣΩΤΙΑΣ
1,6,Η
1,6,ΑΝΥΠΟΤΑΚΤΑ
1,7,ΔΕΙ
1,7,ΓΑΡ
1,7,ΤΟΝ
1,7,ΕΠΙΣΚΟΠΟΝ
1,7,ΑΝΕΓΚΛΗΤΟΝ
1,7,ΕΙΝΑΙ
1,7,ΩΣ
1,7,ΘΕΟΥ
1,7,ΟΙΚΟΝΟΜΟΝ
1,7,ΜΗ
1,7,ΑΥΘΑΔΗ
1,7,ΜΗ
1,7,ΟΡΓΙΛΟΝ
1,7,ΜΗ
1,7,ΠΑΡΟΙΝΟΝ
1,7,ΜΗ
1,7,ΠΛΗΚΤΗΝ
1,7,ΜΗ
1,7,ΑΙΣΧΡΟΚΕΡΔΗ
1,8,ΑΛΛΑ
1,8,ΦΙΛΟΞΕΝΟΝ
1,8,ΦΙΛΑΓΑΘΟΝ
1,8,ΣΩΦΡΟΝΑ
1,8,ΔΙΚΑΙΟΝ
1,8,ΟΣΙΟΝ
1,8,ΕΓΚΡΑΤΗ
1,9,ΑΝΤΕΧΟΜΕΝΟΝ
1,9,ΤΟΥ
1,9,ΚΑΤΑ
1,9,ΤΗΝ
1,9,ΔΙΔΑΧΗΝ
1,9,ΠΙΣΤΟΥ
1,9,ΛΟΓΟΥ
1,9,ΙΝΑ
1,9,ΔΥΝΑΤΟΣ
1,9,ΗΙ
1,9,ΚΑΙ
1,9,ΠΑΡΑΚΑΛΕΙΝ
1,9,ΕΝ
1,9,ΤΗΙ
1,9,ΔΙΔΑΣΚΑΛΙΑI
1,9,ΤΗΙ
1,9,ΥΓΙΑΙΝΟΥΣΗΙ
1,9,ΚΑΙ
1,9,ΤΟΥΣ
1,9,ΑΝΤΙΛΕΓΟΝΤΑΣ
1,9,ΕΛΕΓΧΕΙΝ
1,10,ΕΙΣΙΝ
1,10,ΓΑΡ
1,10,ΠΟΛΛΟΙ
1,10,ΚΑΙ
1,10,ΑΝΥΠΟΤΑΚΤΟΙ
1,10,ΜΑΤΑΙΟΛΟΓΟΙ
1,10,ΚΑΙ
1,10,ΦΡΕΝΑΠΑΤΑΙ
1,10,ΜΑΛΙΣΤΑ
1,10,ΟΙ
1,10,ΕΚ
1,10,ΤΗΣ
1,10,ΠΕΡΙΤΟΜΗΣ
1,11,ΟΥΣ
1,11,ΔΕΙ
1,11,ΕΠΙΣΤΟΜΙΖΕΙΝ
1,11,ΟΙΤΙΝΕΣ
1,11,ΟΛΟΥΣ
1,11,ΟΙΚΟΥΣ
1,11,ΑΝΑΤΡΕΠΟΥΣΙΝ
1,11,ΔΙΔΑΣΚΟΝΤΕΣ
1,11,Α
1,11,ΜΗ
1,11,ΔΕΙ
1,11,ΑΙΣΧΡΟΥ
1,11,ΚΕΡΔΟΥΣ
1,11,ΧΑΡΙΝ
1,12,ΕΙΠΕΝ
1,12,ΤΙΣ
1,12,ΕΞ
1,12,ΑΥΤΩΝ
1,12,ΙΔΙΟΣ
1,12,ΑΥΤΩΝ
1,12,ΠΡΟΦΗΤΗΣ
1,12,ΚΡΗΤΕΣ
1,12,ΑΕΙ
1,12,ΨΕΥΣΤΑΙ
1,12,ΚΑΚΑ
1,12,ΘΗΡΙΑ
1,12,ΓΑΣΤΕΡΕΣ
1,12,ΑΡΓΑΙ
1,13,Η
1,13,ΜΑΡΤΥΡΙΑ
1,13,ΑΥΤΗ
1,13,ΕΣΤΙΝ
1,13,ΑΛΗΘΗΣ
1,13,ΔΙΑ
1,13,ΗΝ
1,13,ΑΙΤΙΑΝ
1,13,ΕΛΕΓΧΕ
1,13,ΑΥΤΟΥΣ
1,13,ΑΠΟΤΟΜΩΣ
1,13,ΙΝΑ
1,13,ΥΓΙΑΙΝΩΣΙΝ
1,13,ΕΝ
1,13,ΤΗΙ
1,13,ΠΙΣΤΕΙ
1,14,ΜΗ
1,14,ΠΡΟΣΕΧΟΝΤΕΣ
1,14,ΙΟΥΔΑΙΚΟΙΣ
1,14,ΜΥΘΟΙΣ
1,14,ΚΑΙ
1,14,ΕΝΤΟΛΑΙΣ
1,14,ΑΝΘΡΩΠΩΝ
1,14,ΑΠΟΣΤΡΕΦΟΜΕΝΩΝ
1,14,ΤΗΝ
1,14,ΑΛΗΘΕΙΑΝ
1,15,ΠΑΝΤΑ
1,15,ΚΑΘΑΡΑ
1,15,ΤΟΙΣ
1,15,ΚΑΘΑΡΟΙΣ
1,15,ΤΟΙΣ
1,15,ΔΕ
