chapter,verse,word
1,1,ΠΑΥΛΟΣ
1,1,ΔΕΣΜΙΟΣ
1,1,ΧΡΙΣΤΟΥ
1,1,ΙΗΣΟΥ
1,1,ΚΑΙ
1,1,ΤΙΜΟΘΕΟΣ
1,1,Ο
1,1,ΑΔΕΛΦΟΣ
1,1,ΦΙΛΗΜΟΝΙ
1,1,ΤΩΙ
1,1,ΑΓΑΠΗΤΩΙ
1,1,ΚΑΙ
1,1,ΣΥΝΕΡΓΩΙ
1,1,ΗΜΩΝ
1,2,ΚΑΙ
1,2,ΑΠΦΙΑΙ
1,2,ΤΗΙ
1,2,ΑΔΕΛΦΗΙ
1,2,ΚΑΙ
1,2,ΑΡΧΙΠΠΩΙ
1,2,ΤΩΙ
1,2,ΣΥΝΣΤΡΑΤΙΩΤΗΙ
1,2,ΗΜΩΝ
1,2,ΚΑΙ
1,2,ΤΗΙ
1,2,ΚΑΤΑ
1,2,ΟΙΚΟΝ
1,2,ΣΟΥ
1,2,ΕΚΚΛΗΣΙΑΙ
1,3,ΧΑΡΙΣ
1,3,ΥΜΙΝ
1,3,ΚΑΙ
1,3,ΕΙΡΗΝΗ
1,3,ΑΠΟ
1,3,ΘΕΟΥ
1,3,ΠΑΤΡΟΣ
1,3,ΗΜΩΝ
1,3,ΚΑΙ
1,3,ΚΥΡΙΟΥ
1,3,ΙΗΣΟΥ
1,3,ΧΡΙΣΤΟΥ
1,4,ΕΥΧΑΡΙΣΤΩ
1,4,ΤΩΙ
1,4,ΘΕΩΙ
1,4,ΜΟΥ
1,4,ΠΑΝΤΟΤΕ
1,4,ΜΝΕΙΑΝ
1,4,ΣΟΥ
1,4,ΠΟΙΟΥΜΕΝΟΣ
1,4,ΕΠΙ
1,4,ΤΩΝ
1,4,ΠΡΟΣΕΥΧΩΝ
1,4,ΜΟΥ
1,5,ΑΚΟΥΩΝ
1,5,ΣΟΥ
1,5,ΤΗΝ
1,5,ΑΓΑΠΗΝ
1,5,ΚΑΙ
1,5,ΤΗΝ
1,5,ΠΙΣΤΙΝ
1,5,ΗΝ
1,5,ΕΧΕΙΣ
1,5,ΠΡΟΣ
1,5,ΤΟΝ
1,5,ΚΥΡΙΟΝ
1,5,ΙΗΣΟΥΝ
1,5,ΚΑΙ
1,5,ΕΙΣ
1,5,ΠΑΝΤΑΣ
1,5,ΤΟΥΣ
1,5,ΑΓΙΟΥΣ
1,6,ΟΠΩΣ
1,6,Η
1,6,ΚΟΙΝΩΝΙΑ
1,6,ΤΗΣ
1,6,ΠΙΣΤΕΩΣ
1,6,ΣΟΥ
1,6,ΕΝΕΡΓΗΣ
1,6,ΓΕΝΗΤΑΙ
1,6,ΕΝ
1,6,ΕΠΙΓΝΩΣΕΙ
1,6,ΠΑΝΤΟΣ
1,6,ΑΓΑΘΟΥ
1,6,ΤΟΥ
1,6,ΕΝ
1,6,ΗΜΙΝ
1,6,ΕΙΣ
1,6,ΧΡΙΣΤΟΝ
1,7,ΧΑΡΑΝ
1,7,ΓΑΡ
1,7,ΠΟΛΛΗΝ
1,7,ΕΣΧΟΝ
1,7,ΚΑΙ
1,7,ΠΑΡΑΚΛΗΣΙΝ
1,7,ΕΠΙ
1,7,ΤΗΙ
1,7,ΑΓΑΠΗΙ
1,7,ΣΟΥ
1,7,ΟΤΙ
