chapter,verse,word
1,1,ΠΟΛΥΜΕΡΩΣ
1,1,ΚΑΙ
1,1,ΠΟΛΥΤΡΟΠΩΣ
1,1,ΠΑΛΑΙ
1,1,Ο
1,1,ΘΕΟΣ
1,1,ΛΑΛΗΣΑΣ
1,1,ΤΟΙΣ
1,1,ΠΑΤΡΑΣΙΝ
1,1,ΕΝ
1,1,ΤΟΙΣ
1,1,ΠΡΟΦΗΤΑΙΣ
1,2,ΕΠΙ
1,2,ΕΣΧΑΤΟΥ
1,2,ΤΩΝ
1,2,ΗΜΕΡΩΝ
1,2,ΤΟΥΤΩΝ
1,2,ΕΛΑΛΗΣΕΝ
1,2,ΗΜΙΝ
1,2,ΕΝ
1,2,ΥΙΩΙ
1,2,ΟΝ
1,2,ΕΘΗΚΕΝ
1,2,ΚΛΗΡΟΝΟΜΟΝ
1,2,ΠΑΝΤΩΝ
1,2,ΔΙΑ
1,2,ΟΥ
1,2,ΚΑΙ
1,2,ΕΠΟΙΗΣΕΝ
1,2,ΤΟΥΣ
1,2,ΑΙΩΝΑΣ
1,3,ΟΣ
1,3,ΩΝ
1,3,ΑΠΑΥΓΑΣΜΑ
1,3,ΤΗΣ
1,3,ΔΟΞΗΣ
1,3,ΚΑΙ
1,3,ΧΑΡΑΚΤΗΡ
1,3,ΤΗΣ
1,3,ΥΠΟΣΤΑΣΕΩΣ
1,3,ΑΥΤΟΥ
1,3,ΦΕΡΩΝ
1,3,ΤΕ
1,3,ΤΑ
1,3,ΠΑΝΤΑ
1,3,ΤΩΙ
1,3,ΡΗΜΑΤΙ
1,3,ΤΗΣ
1,3,ΔΥΝΑΜΕΩΣ
1,3,ΑΥΤΟΥ
1,3,ΚΑΘΑΡΙΣΜΟΝ
1,3,ΤΩΝ
1,3,ΑΜΑΡΤΙΩΝ
1,3,ΠΟΙΗΣΑΜΕΝΟΣ
1,3,ΕΚΑΘΙΣΕΝ
1,3,ΕΝ
1,3,ΔΕΞΙΑΙ
1,3,ΤΗΣ
1,3,ΜΕΓΑΛΩΣΥΝΗΣ
1,3,ΕΝ
1,3,ΥΨΗΛΟΙΣ
1,4,ΤΟΣΟΥΤΩΙ
1,4,ΚΡΕΙΤΤΩΝ
1,4,ΓΕΝΟΜΕΝΟΣ
1,4,ΤΩΝ
1,4,ΑΓΓΕΛΩΝ
1,4,ΟΣΩΙ
1,4,ΔΙΑΦΟΡΩΤΕΡΟΝ
1,4,ΠΑΡΑ
1,4,ΑΥΤΟΥΣ
1,4,ΚΕΚΛΗΡΟΝΟΜΗΚΕΝ
1,4,ΟΝΟΜΑ
1,5,ΤΙΝΙ
1,5,ΓΑΡ
1,5,ΕΙΠΕΝ
1,5,ΠΟΤΕ
1,5,ΤΩΝ
1,5,ΑΓΓΕΛΩΝ
1,5,ΥΙΟΣ
1,5,ΜΟΥ
1,5,ΕΙ
