chapter,verse,word
1,1,ΑΡΧΗ
1,1,ΤΟΥ
1,1,ΕΥΑΓΓΕΛΙΟΥ
1,1,ΙΗΣΟΥ
1,1,ΧΡΙΣΤΟΥ
1,1,ΥΙΟΥ
1,1,ΘΕΟΥ
1,2,ΚΑΘΩΣ
1,2,ΓΕΓΡΑΠΤΑΙ
1,2,ΕΝ
1,2,ΤΩΙ
1,2,ΗΣΑΙΑΙ
1,2,ΤΩΙ
1,2,ΠΡΟΦΗΤΗΙ
1,2,ΙΔΟΥ
1,2,ΑΠΟΣΤΕΛΛΩ
1,2,ΤΟΝ
1,2,ΑΓΓΕΛΟΝ
1,2,ΜΟΥ
1,2,ΠΡΟ
1,2,ΠΡΟΣΩΠΟΥ
1,2,ΣΟΥ
1,2,ΟΣ
1,2,ΚΑΤΑΣΚΕΥΑΣΕΙ
1,2,ΤΗΝ
1,2,ΟΔΟΝ
1,2,ΣΟΥ
1,3,ΦΩΝΗ
1,3,ΒΟΩΝΤΟΣ
1,3,ΕΝ
1,3,ΤΗΙ
1,3,ΕΡΗΜΩΙ
1,3,ΕΤΟΙΜΑΣΑΤΕ
1,3,ΤΗΝ
1,3,ΟΔΟΝ
1,3,ΚΥΡΙΟΥ
1,3,ΕΥΘΕΙΑΣ
1,3,ΠΟΙΕΙΤΕ
1,3,ΤΑΣ
1,3,ΤΡΙΒΟΥΣ
1,3,ΑΥΤΟΥ
1,4,ΕΓΕΝΕΤΟ
1,4,ΙΩΑΝΝΗΣ
1,4,Ο
1,4,ΒΑΠΤΙΖΩΝ
1,4,ΕΝ
1,4,ΤΗΙ
1,4,ΕΡΗΜΩΙ
1,4,ΚΑΙ
1,4,ΚΗΡΥΣΣΩΝ
1,4,ΒΑΠΤΙΣΜΑ
1,4,ΜΕΤΑΝΟΙΑΣ
1,4,ΕΙΣ
1,4,ΑΦΕΣΙΝ
1,4,ΑΜΑΡΤΙΩΝ
1,5,ΚΑΙ
1,5,ΕΞΕΠΟΡΕΥΕΤΟ
1,5,ΠΡΟΣ
1,5,ΑΥΤΟΝ
1,5,ΠΑΣΑ
1,5,Η
1,5,ΙΟΥΔΑΙΑ
1,5,ΧΩΡΑ
1,5,ΚΑΙ
1,5,ΟΙ
1,5,ΙΕΡΟΣΟΛΥΜΕΙΤΑΙ
1,5,ΠΑΝΤΕΣ
1,5,ΚΑΙ
1,5,ΕΒΑΠΤΙΖΟΝΤΟ
1,5,ΥΠΟ
1,5,ΑΥΤΟΥ
1,5,ΕΝ
1,5,ΤΩΙ
1,5,ΙΟΡΔΑΝΗΙ
1,5,ΠΟΤΑΜΩΙ
1,5,ΕΞΟΜΟΛΟΓΟΥΜΕΝΟΙ
1,5,ΤΑΣ
1,5,ΑΜΑΡΤΙΑΣ
1,5,ΑΥΤΩΝ
1,6,ΚΑΙ
1,6,ΗΝ
1,6,Ο
1,6,ΙΩΑΝΝΗΣ
1,6,ΕΝΔΕΔΥΜΕΝΟΣ
1,6,ΤΡΙΧΑΣ
1,6,ΚΑΜΗΛΟΥ
1,6,ΚΑΙ
1,6,ΖΩΝΗΝ
1,6,ΔΕΡΜΑΤΙΝΗΝ
1,6,ΠΕΡΙ
1,6,ΤΗΝ
1,6,ΟΣΦΥΝ
1,6,ΑΥΤΟΥ
1,6,ΚΑΙ
1,6,ΕΣΘΩΝ
1,6,ΑΚΡΙΔΑΣ
1,6,ΚΑΙ
1,6,ΜΕΛΙ
1,6,ΑΓΡΙΟΝ
1,7,ΚΑΙ
1,7,ΕΚΗΡΥΣΣΕΝ
1,7,ΛΕΓΩΝ
1,7,ΕΡΧΕΤΑΙ
1,7,Ο
1,7,ΙΣΧΥΡΟΤΕΡΟΣ
1,7,ΜΟΥ
1,7,ΟΠΙΣΩ
1,7,ΜΟΥ
1,7,ΟΥ
1,7,ΟΥΚ
1,7,ΕΙΜΙ
1,7,ΙΚΑΝΟΣ
1,7,ΚΥΨΑΣ
1,7,ΛΥΣΑΙ
1,7,ΤΟΝ
1,7,ΙΜΑΝΤΑ
1,7,ΤΩΝ
1,7,ΥΠΟΔΗΜΑΤΩΝ
1,7,ΑΥΤΟΥ
1,8,ΕΓΩ
1,8,ΕΒΑΠΤΙΣΑ
1,8,ΥΜΑΣ
1,8,ΥΔΑΤΙ
1,8,ΑΥΤΟΣ
1,8,ΔΕ
1,8,ΒΑΠΤΙΣΕΙ
1,8,ΥΜΑΣ
1,8,ΕΝ
1,8,ΠΝΕΥΜΑΤΙ
1,8,ΑΓΙΩΙ
1,9,ΚΑΙ
1,9,ΕΓΕΝΕΤΟ
1,9,ΕΝ
1,9,ΕΚΕΙΝΑΙΣ
1,9,ΤΑΙΣ
1,9,ΗΜΕΡΑΙΣ
1,9,ΗΛΘΕΝ
1,9,ΙΗΣΟΥΣ
1,9,ΑΠΟ
1,9,ΝΑΖΑΡΕΤ
1,9,ΤΗΣ
1,9,ΓΑΛΙΛΑΙΑΣ
1,9,ΚΑΙ
1,9,ΕΒΑΠΤΙΣΘΗ
1,9,ΕΙΣ
1,9,ΤΟΝ
1,9,ΙΟΡΔΑΝΗΝ
1,9,ΥΠΟ
1,9,ΙΩΑΝΝΟΥ
1,10,ΚΑΙ
1,10,ΕΥΘΥΣ
1,10,ΑΝΑΒΑΙΝΩΝ
1,10,ΕΚ
1,10,ΤΟΥ
1,10,ΥΔΑΤΟΣ
1,10,ΕΙΔΕΝ
1,10,ΣΧΙΖΟΜΕΝΟΥΣ
1,10,ΤΟΥΣ
1,10,ΟΥΡΑΝΟΥΣ
1,10,ΚΑΙ
1,10,ΤΟ
1,10,ΠΝΕΥΜΑ
1,10,ΩΣ
1,10,ΠΕΡΙΣΤΕΡΑΝ
1,10,ΚΑΤΑΒΑΙΝΟΝ
1,10,ΕΠΙ
1,10,ΑΥΤΟΝ
1,11,ΚΑΙ
1,11,ΦΩΝΗ
1,11,ΕΓΕΝΕΤΟ
1,11,ΕΚ
1,11,ΤΩΝ
1,11,ΟΥΡΑΝΩΝ
1,11,ΣΥ
1,11,ΕΙ
1,11,Ο
1,11,ΥΙΟΣ
1,11,ΜΟΥ
1,11,Ο
1,11,ΑΓΑΠΗΤΟΣ
1,11,ΕΝ
1,11,ΣΟΙ
1,11,ΕΥΔΟΚΗΣΑ
1,12,ΚΑΙ
1,12,ΕΥΘΥΣ
1,12,ΤΟ
1,12,ΠΝΕΥΜΑ
1,12,ΑΥΤΟΝ
1,12,ΕΚΒΑΛΛΕΙ
1,12,ΕΙΣ
1,12,ΤΗΝ
1,12,ΕΡΗΜΟΝ
1,13,ΚΑΙ
1,13,ΗΝ
1,13,ΕΝ
1,13,ΤΗΙ
1,13,ΕΡΗΜΩΙ
1,13,ΤΕΣΣΕΡΑΚΟΝΤΑ
1,13,ΗΜΕΡΑΣ
1,13,ΠΕΙΡΑΖΟΜΕΝΟΣ
1,13,ΥΠΟ
1,13,ΤΟΥ
1,13,ΣΑΤΑΝΑ
1,13,ΚΑΙ
1,13,ΗΝ
1,13,ΜΕΤΑ
1,13,ΤΩΝ
1,13,ΘΗΡΙΩΝ
1,13,ΚΑΙ
1,13,ΟΙ
1,13,ΑΓΓΕΛΟΙ
1,13,ΔΙΗΚΟΝΟΥΝ
1,13,ΑΥΤΩΙ
1,14,ΜΕΤΑ
1,14,ΔΕ
1,14,ΤΟ
1,14,ΠΑΡΑΔΟΘΗΝΑΙ
1,14,ΤΟΝ
1,14,ΙΩΑΝΝΗΝ
1,14,ΗΛΘΕΝ
1,14,Ο
1,14,ΙΗΣΟΥΣ
1,14,ΕΙΣ
1,14,ΤΗΝ
1,14,ΓΑΛΙΛΑΙΑΝ
1,14,ΚΗΡΥΣΣΩΝ
1,14,ΤΟ
1,14,ΕΥΑΓΓΕΛΙΟΝ
1,14,ΤΟΥ
1,14,ΘΕΟΥ
1,15,ΚΑΙ
1,15,ΛΕΓΩΝ
1,15,ΟΤΙ
1,15,ΠΕΠΛΗΡΩΤΑΙ
1,15,Ο
1,15,ΚΑΙΡΟΣ
1,15,ΚΑΙ
1,15,ΗΓΓΙΚΕΝ
1,15,Η
1,15,ΒΑΣΙΛΕΙΑ
1,15,ΤΟΥ
1,15,ΘΕΟΥ
1,15,ΜΕΤΑΝΟΕΙΤΕ
1,15,ΚΑΙ
1,15,ΠΙΣΤΕΥΕΤΕ
1,15,ΕΝ
1,15,ΤΩΙ
1,15,ΕΥΑΓΓΕΛΙΩΙ
1,16,ΚΑΙ
1,16,ΠΑΡΑΓΩΝ
1,16,ΠΑΡΑ
1,16,ΤΗΝ
1,16,ΘΑΛΑΣΣΑΝ
1,16,ΤΗΣ
1,16,ΓΑΛΙΛΑΙΑΣ
1,16,ΕΙΔΕΝ
1,16,ΣΙΜΩΝΑ
1,16,ΚΑΙ
1,16,ΑΝΔΡΕΑΝ
1,16,ΤΟΝ
1,16,ΑΔΕΛΦΟΝ
1,16,ΣΙΜΩΝΟΣ
1,16,ΑΜΦΙΒΑΛΛΟΝΤΑΣ
1,16,ΕΝ
1,16,ΤΗΙ
1,16,ΘΑΛΑΣΣΗΙ
1,16,ΗΣΑΝ
1,16,ΓΑΡ
1,16,ΑΛΙΕΙΣ
1,17,ΚΑΙ
1,17,ΕΙΠΕΝ
1,17,ΑΥΤΟΙΣ
1,17,Ο
1,17,ΙΗΣΟΥΣ
1,17,ΔΕΥΤΕ
1,17,ΟΠΙΣΩ
1,17,ΜΟΥ
1,17,ΚΑΙ
1,17,ΠΟΙΗΣΩ
1,17,ΥΜΑΣ
1,17,ΓΕΝΕΣΘΑΙ
1,17,ΑΛΙΕΙΣ
1,17,ΑΝΘΡΩΠΩΝ
1,18,ΚΑΙ
1,18,ΕΥΘΕΩΣ
1,18,ΑΦΕΝΤΕΣ
1,18,ΤΑ
1,18,ΔΙΚΤΥΑ
1,18,ΗΚΟΛΟΥΘΗΣΑΝ
1,18,ΑΥΤΩΙ
1,19,ΚΑΙ
1,19,ΠΡΟΒΑΣ
1,19,ΟΛΙΓΟΝ
1,19,ΕΙΔΕΝ
1,19,ΙΑΚΩΒΟΝ
1,19,ΤΟΝ
1,19,ΤΟΥ
1,19,ΖΕΒΕΔΑΙΟΥ
1,19,ΚΑΙ
1,19,ΙΩΑΝΝΗΝ
1,19,ΤΟΝ
1,19,ΑΔΕΛΦΟΝ
1,19,ΑΥΤΟΥ
1,19,ΚΑΙ
1,19,ΑΥΤΟΥΣ
1,19,ΕΝ
1,19,ΤΩΙ
1,19,ΠΛΟΙΩΙ
1,19,ΚΑΤΑΡΤΙΖΟΝΤΑΣ
1,19,ΤΑ
1,19,ΔΙΚΤΥΑ
1,20,ΚΑΙ
1,20,ΕΥΘΥΣ
1,20,ΕΚΑΛΕΣΕΝ
1,20,ΑΥΤΟΥΣ
1,20,ΚΑΙ
1,20,ΑΦΕΝΤΕΣ
1,20,ΤΟΝ
1,20,ΠΑΤΕΡΑ
1,20,ΑΥΤΩΝ
1,20,ΖΕΒΕΔΑΙΟΝ
1,20,ΕΝ
1,20,ΤΩΙ
1,20,ΠΛΟΙΩΙ
1,20,ΜΕΤΑ
1,20,ΤΩΝ
1,20,ΜΙΣΘΩΤΩΝ
1,20,ΑΠΗΛΘΟΝ
1,20,ΟΠΙΣΩ
1,20,ΑΥΤΟΥ
1,21,ΚΑΙ
1,21,ΕΙΣΠΟΡΕΥΟΝΤΑΙ
1,21,ΕΙΣ
1,21,ΚΑΦΑΡΝΑΟΥΜ
1,21,ΚΑΙ
1,21,ΕΥΘΕΩΣ
1,21,ΤΟΙΣ
1,21,ΣΑΒΒΑΣΙΝ
1,21,ΕΙΣΕΛΘΩΝ
1,21,ΕΙΣ
1,21,ΤΗΝ
1,21,ΣΥΝΑΓΩΓΗΝ
1,21,ΕΔΙΔΑΣΚΕΝ
1,22,ΚΑΙ
1,22,ΕΞΕΠΛΗΣΣΟΝΤΟ
1,22,ΕΠΙ
1,22,ΤΗΙ
1,22,ΔΙΔΑΧΗΙ
1,22,ΑΥΤΟΥ
1,22,ΗΝ
1,22,ΓΑΡ
1,22,ΔΙΔΑΣΚΩΝ
1,22,ΑΥΤΟΥΣ
1,22,ΩΣ
1,22,ΕΞΟΥΣΙΑΝ
1,22,ΕΧΩΝ
1,22,ΚΑΙ
1,22,ΟΥΧ
1,22,ΩΣ
1,22,ΟΙ
1,22,ΓΡΑΜΜΑΤΕΙΣ
1,23,ΚΑΙ
1,23,ΕΥΘΥΣ
1,23,ΗΝ
1,23,ΕΝ
1,23,ΤΗΙ
1,23,ΣΥΝΑΓΩΓΗΙ
1,23,ΑΥΤΩΝ
1,23,ΑΝΘΡΩΠΟΣ
1,23,ΕΝ
1,23,ΠΝΕΥΜΑΤΙ
1,23,ΑΚΑΘΑΡΤΩΙ
1,23,ΚΑΙ
1,23,ΑΝΕΚΡΑΞΕΝ
1,24,ΛΕΓΩΝ
1,24,ΤΙ
1,24,ΗΜΙΝ
1,24,ΚΑΙ
1,24,ΣΟΙ
1,24,ΙΗΣΟΥ
1,24,ΝΑΖΑΡΗΝΕ
1,24,ΗΛΘΕΣ
1,24,ΑΠΟΛΕΣΑΙ
1,24,ΗΜΑΣ
1,24,ΟΙΔΑ
1,24,ΣΕ
1,24,ΤΙΣ
1,24,ΕΙ
1,24,Ο
1,24,ΑΓΙΟΣ
1,24,ΤΟΥ
1,24,ΘΕΟΥ
1,25,ΚΑΙ
1,25,ΕΠΕΤΙΜΗΣΕΝ
1,25,ΑΥΤΩΙ
1,25,Ο
1,25,ΙΗΣΟΥΣ
1,25,ΛΕΓΩΝ
1,25,ΦΙΜΩΘΗΤΙ
1,25,ΚΑΙ
1,25,ΕΞΕΛΘΕ
1,25,ΕΞ
1,25,ΑΥΤΟΥ
1,26,ΚΑΙ
1,26,ΣΠΑΡΑΞΑΝ
1,26,ΑΥΤΟΝ
1,26,ΤΟ
1,26,ΠΝΕΥΜΑ
1,26,ΤΟ
1,26,ΑΚΑΘΑΡΤΟΝ
1,26,ΚΑΙ
1,26,ΦΩΝΗΣΑΝ
1,26,ΦΩΝΗΙ
1,26,ΜΕΓΑΛΗΙ
1,26,ΕΞΗΛΘΕΝ
1,26,ΕΞ
1,26,ΑΥΤΟΥ
1,27,ΚΑΙ
1,27,ΕΘΑΜΒΗΘΗΣΑΝ
1,27,ΑΠΑΝΤΕΣ
1,27,ΩΣΤΕ
1,27,ΣΥΝΖΗΤΕΙΝ
1,27,ΠΡΟΣ
1,27,ΑΥΤΟΥΣ
1,27,ΛΕΓΟΝΤΑΣ
1,27,ΤΙ
1,27,ΕΣΤΙΝ
1,27,ΤΟΥΤΟ
1,27,ΔΙΔΑΧΗ
1,27,ΚΑΙΝΗ
1,27,ΚΑΤΑ
1,27,ΕΞΟΥΣΙΑΝ
1,27,ΚΑΙ
1,27,ΤΟΙΣ
1,27,ΠΝΕΥΜΑΣΙ
1,27,ΤΟΙΣ
1,27,ΑΚΑΘΑΡΤΟΙΣ
1,27,ΕΠΙΤΑΣΣΕΙ
1,27,ΚΑΙ
1,27,ΥΠΑΚΟΥΟΥΣΙΝ
1,27,ΑΥΤΩΙ
1,28,ΚΑΙ
1,28,ΕΞΗΛΘΕΝ
1,28,Η
1,28,ΑΚΟΗ
1,28,ΑΥΤΟΥ
1,28,ΕΥΘΥΣ
1,28,ΠΑΝΤΑΧΟΥ
1,28,ΕΙΣ
1,28,ΟΛΗΝ
1,28,ΤΗΝ
1,28,ΠΕΡΙΧΩΡΟΝ
1,28,ΤΗΣ
1,28,ΓΑΛΙΛΑΙΑΣ
1,29,ΚΑΙ
1,29,ΕΥΘΥΣ
1,29,ΕΚ
1,29,ΤΗΣ
1,29,ΣΥΝΑΓΩΓΗΣ
1,29,ΕΞΕΛΘΟΝΤΕΣ
1,29,ΗΛΘΟΝ
1,29,ΕΙΣ
1,29,ΤΗΝ
1,29,ΟΙΚΙΑΝ
1,29,ΣΙΜΩΝΟΣ
1,29,ΚΑΙ
1,29,ΑΝΔΡΕΟΥ
1,29,ΜΕΤΑ
1,29,ΙΑΚΩΒΟΥ
1,29,ΚΑΙ
1,29,ΙΩΑΝΝΟΥ
1,30,Η
1,30,ΔΕ
1,30,ΠΕΝΘΕΡΑ
1,30,ΣΙΜΩΝΟΣ
1,30,ΚΑΤΕΚΕΙΤΟ
1,30,ΠΥΡΕΣΣΟΥΣΑ
1,30,ΚΑΙ
1,30,ΕΥΘΥΣ
1,30,ΛΕΓΟΥΣΙΝ
1,30,ΑΥΤΩΙ
1,30,ΠΕΡΙ
1,30,ΑΥΤΗΣ
1,31,ΚΑΙ
1,31,ΠΡΟΣΕΛΘΩΝ
1,31,ΗΓΕΙΡΕΝ
1,31,ΑΥΤΗΝ
1,31,ΚΡΑΤΗΣΑΣ
1,31,ΤΗΣ
1,31,ΧΕΙΡΟΣ
1,31,ΚΑΙ
1,31,ΑΦΗΚΕΝ
