chapter,verse,word
1,1,ΙΑΚΩΒΟΣ
1,1,ΘΕΟΥ
1,1,ΚΑΙ
1,1,ΚΥΡΙΟΥ
1,1,ΙΗΣΟΥ
1,1,ΧΡΙΣΤΟΥ
1,1,ΔΟΥΛΟΣ
1,1,ΤΑΙΣ
1,1,ΔΩΔΕΚΑ
1,1,ΦΥΛΑΙΣ
1,1,ΤΑΙΣ
1,1,ΕΝ
1,1,ΤΗΙ
1,1,ΔΙΑΣΠΟΡΑΙ
1,1,ΧΑΙΡΕΙΝ
1,2,ΠΑΣΑΝ
1,2,ΧΑΡΑΝ
1,2,ΗΓΗΣΑΣΘΕ
1,2,ΑΔΕΛΦΟΙ
1,2,ΜΟΥ
1,2,ΟΤΑΝ
1,2,ΠΕΙΡΑΣΜΟΙΣ
1,2,ΠΕΡΙΠΕΣΗΤΕ
1,2,ΠΟΙΚΙΛΟΙΣ
1,3,ΓΙΝΩΣΚΟΝΤΕΣ
1,3,ΟΤΙ
1,3,ΤΟ
1,3,ΔΟΚΙΜΙΟΝ
1,3,ΥΜΩΝ
1,3,ΤΗΣ
1,3,ΠΙΣΤΕΩΣ
1,3,ΚΑΤΕΡΓΑΖΕΤΑΙ
1,3,ΥΠΟΜΟΝΗΝ
1,4,Η
1,4,ΔΕ
1,4,ΥΠΟΜΟΝΗ
1,4,ΕΡΓΟΝ
1,4,ΤΕΛΕΙΟΝ
1,4,ΕΧΕΤΩ
1,4,ΙΝΑ
1,4,ΗΤΕ
1,4,ΤΕΛΕΙΟΙ
1,4,ΚΑΙ
1,4,ΟΛΟΚΛΗΡΟΙ
1,4,ΕΝ
1,4,ΜΗΔΕΝΙ
1,4,ΛΕΙΠΟΜΕΝΟΙ
1,5,ΕΙ
1,5,ΔΕ
1,5,ΤΙΣ
1,5,ΥΜΩΝ
1,5,ΛΕΙΠΕΤΑΙ
1,5,ΣΟΦΙΑΣ
1,5,ΑΙΤΕΙΤΩ
1,5,ΠΑΡΑ
1,5,ΤΟΥ
1,5,ΔΙΔΟΝΤΟΣ
1,5,ΘΕΟΥ
1,5,ΠΑΣΙΝ
1,5,ΑΠΛΩΣ
1,5,ΚΑΙ
1,5,ΜΗ
1,5,ΟΝΕΙΔΙΖΟΝΤΟΣ
1,5,ΚΑΙ
1,5,ΔΟΘΗΣΕΤΑΙ
1,5,ΑΥΤΩΙ
1,6,ΑΙΤΕΙΤΩ
1,6,ΔΕ
1,6,ΕΝ
1,6,ΠΙΣΤΕΙ
1,6,ΜΗΔΕΝ
