chapter,verse,word
1,1,ΠΕΤΡΟΣ
1,1,ΑΠΟΣΤΟΛΟΣ
1,1,ΙΗΣΟΥ
1,1,ΧΡΙΣΤΟΥ
1,1,ΕΚΛΕΚΤΟΙΣ
1,1,ΠΑΡΕΠΙΔΗΜΟΙΣ
1,1,ΔΙΑΣΠΟΡΑΣ
1,1,ΠΟΝΤΟΥ
1,1,ΓΑΛΑΤΙΑΣ
1,1,ΚΑΠΠΑΔΟΚΙΑΣ
1,1,ΑΣΙΑΣ
1,1,ΚΑΙ
1,1,ΒΙΘΥΝΙΑΣ
1,2,ΚΑΤΑ
1,2,ΠΡΟΓΝΩΣΙΝ
1,2,ΘΕΟΥ
1,2,ΠΑΤΡΟΣ
1,2,ΕΝ
1,2,ΑΓΙΑΣΜΩΙ
1,2,ΠΝΕΥΜΑΤΟΣ
1,2,ΕΙΣ
1,2,ΥΠΑΚΟΗΝ
1,2,ΚΑΙ
1,2,ΡΑΝΤΙΣΜΟΝ
1,2,ΑΙΜΑΤΟΣ
1,2,ΙΗΣΟΥ
1,2,ΧΡΙΣΤΟΥ
1,2,ΧΑΡΙΣ
1,2,ΥΜΙΝ
1,2,ΚΑΙ
1,2,ΕΙΡΗΝΗ
1,2,ΠΛΗΘΥΝΘΕΙΗ
1,3,ΕΥΛΟΓΗΤΟΣ
1,3,Ο
1,3,ΘΕΟΣ
1,3,ΚΑΙ
1,3,ΠΑΤΗΡ
1,3,ΤΟΥ
1,3,ΚΥΡΙΟΥ
1,3,ΗΜΩΝ
1,3,ΙΗΣΟΥ
1,3,ΧΡΙΣΤΟΥ
1,3,Ο
1,3,ΚΑΤΑ
1,3,ΤΟ
1,3,ΠΟΛΥ
1,3,ΑΥΤΟΥ
1,3,ΕΛΕΟΣ
1,3,ΑΝΑΓΕΝΝΗΣΑΣ
1,3,ΗΜΑΣ
1,3,ΕΙΣ
1,3,ΕΛΠΙΔΑ
1,3,ΖΩΣΑΝ
1,3,ΔΙΑ
1,3,ΑΝΑΣΤΑΣΕΩΣ
1,3,ΙΗΣΟΥ
1,3,ΧΡΙΣΤΟΥ
1,3,ΕΚ
1,3,ΝΕΚΡΩΝ
1,4,ΕΙΣ
1,4,ΚΛΗΡΟΝΟΜΙΑΝ
1,4,ΑΦΘΑΡΤΟΝ
1,4,ΚΑΙ
1,4,ΑΜΙΑΝΤΟΝ
1,4,ΚΑΙ
1,4,ΑΜΑΡΑΝΤΟΝ
1,4,ΤΕΤΗΡΗΜΕΝΗΝ
1,4,ΕΝ
1,4,ΟΥΡΑΝΟΙΣ
1,4,ΕΙΣ
1,4,ΥΜΑΣ
1,5,ΤΟΥΣ
1,5,ΕΝ
1,5,ΔΥΝΑΜΕΙ
1,5,ΘΕΟΥ
1,5,ΦΡΟΥΡΟΥΜΕΝΟΥΣ
1,5,ΔΙΑ
1,5,ΠΙΣΤΕΩΣ
1,5,ΕΙΣ
1,5,ΣΩΤΗΡΙΑΝ
1,5,ΕΤΟΙΜΗΝ
1,5,ΑΠΟΚΑΛΥΦΘΗΝΑΙ
1,5,ΕΝ
1,5,ΚΑΙΡΩΙ
1,5,ΕΣΧΑΤΩΙ
1,6,ΕΝ
1,6,ΩΙ
1,6,ΑΓΑΛΛΙΑΣΘΕ
1,6,ΟΛΙΓΟΝ
1,6,ΑΡΤΙ
1,6,ΕΙ
1,6,ΔΕΟΝ
1,6,ΛΥΠΗΘΕΝΤΕΣ
1,6,ΕΝ
1,6,ΠΟΙΚΙΛΟΙΣ
1,6,ΠΕΙΡΑΣΜΟΙΣ
1,7,ΙΝΑ
1,7,ΤΟ
1,7,ΔΟΚΙΜΙΟΝ
1,7,ΥΜΩΝ
1,7,ΤΗΣ
1,7,ΠΙΣΤΕΩΣ
