chapter,verse,word
1,1,Ο
1,1,ΠΡΕΣΒΥΤΕΡΟΣ
1,1,ΕΚΛΕΚΤΗΙ
1,1,ΚΥΡΙΑΙ
1,1,ΚΑΙ
1,1,ΤΟΙΣ
1,1,ΤΕΚΝΟΙΣ
1,1,ΑΥΤΗΣ
1,1,ΟΥΣ
1,1,ΕΓΩ
1,1,ΑΓΑΠΩ
1,1,ΕΝ
1,1,ΑΛΗΘΕΙΑΙ
1,1,ΚΑΙ
1,1,ΟΥΚ
1,1,ΕΓΩ
1,1,ΜΟΝΟΣ
1,1,ΑΛΛΑ
1,1,ΚΑΙ
1,1,ΠΑΝΤΕΣ
1,1,ΟΙ
1,1,ΕΓΝΩΚΟΤΕΣ
1,1,ΤΗΝ
1,1,ΑΛΗΘΕΙΑΝ
1,2,ΔΙΑ
1,2,ΤΗΝ
1,2,ΑΛΗΘΕΙΑΝ
1,2,ΤΗΝ
1,2,ΜΕΝΟΥΣΑΝ
1,2,ΕΝ
1,2,ΗΜΙΝ
1,2,ΚΑΙ
1,2,ΜΕΤΑ
1,2,ΗΜΩΝ
1,2,ΕΣΤΑΙ
1,2,ΕΙΣ
1,2,ΤΟΝ
1,2,ΑΙΩΝΑ
1,3,ΕΣΤΑΙ
1,3,ΜΕΤΑ
1,3,ΗΜΩΝ
1,3,ΧΑΡΙΣ
1,3,ΕΛΕΟΣ
1,3,ΕΙΡΗΝΗ
1,3,ΠΑΡΑ
1,3,ΘΕΟΥ
1,3,ΠΑΤΡΟΣ
1,3,ΚΑΙ
1,3,ΠΑΡΑ
1,3,ΙΗΣΟΥ
1,3,ΧΡΙΣΤΟΥ
1,3,ΤΟΥ
1,3,ΥΙΟΥ
1,3,ΤΟΥ
1,3,ΠΑΤΡΟΣ
1,3,ΕΝ
1,3,ΑΛΗΘΕΙΑΙ
1,3,ΚΑΙ
1,3,ΑΓΑΠΗΙ
1,4,ΕΧΑΡΗΝ
1,4,ΛΕΙΑΝ
1,4,ΟΤΙ
1,4,ΕΥΡΗΚΑ
1,4,ΕΚ
1,4,ΤΩΝ
1,4,ΤΕΚΝΩΝ
1,4,ΣΟΥ
1,4,ΠΕΡΙΠΑΤΟΥΝΤΑΣ
1,4,ΕΝ
1,4,ΑΛΗΘΕΙΑΙ
1,4,ΚΑΘΩΣ
1,4,ΕΝΤΟΛΗΝ
1,4,ΕΛΑΒΟΜΕΝ
1,4,ΠΑΡΑ
1,4,ΤΟΥ
1,4,ΠΑΤΡΟΣ
1,5,ΚΑΙ
1,5,ΝΥΝ
1,5,ΕΡΩΤΩ
1,5,ΣΕ
1,5,ΚΥΡΙΑ
1,5,ΟΥΧ
1,5,ΩΣ
1,5,ΕΝΤΟΛΗΝ
1,5,ΚΑΙΝΗΝ
1,5,ΓΡΑΦΩΝ
1,5,ΣΟΙ
1,5,ΑΛΛΑ
1,5,ΗΝ
1,5,ΕΙΧΑΜΕΝ
1,5,ΑΠΟ
1,5,ΑΡΧΗΣ
1,5,ΙΝΑ
1,5,ΑΓΑΠΩΜΕΝ
1,5,ΑΛΛΗΛΟΥΣ
1,6,ΚΑΙ
1,6,ΑΥΤΗ
1,6,ΕΣΤΙΝ
1,6,Η
1,6,ΑΓΑΠΗ
1,6,ΙΝΑ
1,6,ΠΕΡΙΠΑΤΩΜΕΝ
1,6,ΚΑΤΑ
1,6,ΤΑΣ
1,6,ΕΝΤΟΛΑΣ
1,6,ΑΥΤΟΥ
1,6,ΑΥΤΗ
1,6,Η
1,6,ΕΝΤΟΛΗ
1,6,ΕΣΤΙΝ
1,6,ΚΑΘΩΣ
1,6,ΗΚΟΥΣΑΤΕ
1,6,ΑΠΟ
1,6,ΑΡΧΗΣ
1,6,ΙΝΑ
1,6,ΕΝ
1,6,ΑΥΤΗΙ
1,6,ΠΕΡΙΠΑΤΗΤΕ
1,7,ΟΤΙ
1,7,ΠΟΛΛΟΙ
1,7,ΠΛΑΝΟΙ
1,7,ΕΞΗΛΘΑΝ
1,7,ΕΙΣ
1,7,ΤΟΝ
1,7,ΚΟΣΜΟΝ
1,7,ΟΙ
1,7,ΜΗ
1,7,ΟΜΟΛΟΓΟΥΝΤΕΣ
1,7,ΙΗΣΟΥΝ
1,7,ΧΡΙΣΤΟΝ
1,7,ΕΡΧΟΜΕΝΟΝ
1,7,ΕΝ
1,7,ΣΑΡΚΙ
1,7,ΟΥΤΟΣ
1,7,ΕΣΤΙΝ
1,7,Ο
1,7,ΠΛΑΝΟΣ
1,7,ΚΑΙ
1,7,Ο
1,7,ΑΝΤΙΧΡΙΣΤΟΣ
1,8,ΒΛΕΠΕΤΕ
1,8,ΕΑΥΤΟΥΣ
1,8,ΙΝΑ
1,8,ΜΗ
1,8,ΑΠΟΛΕΣΗΤΕ
1,8,Α
1,8,ΕΙΡΓΑΣΑΜΕΘΑ
1,8,ΑΛΛΑ
1,8,ΜΙΣΘΟΝ
1,8,ΠΛΗΡΗ
1,8,ΑΠΟΛΑΒΗΤΕ
1,9,ΠΑΣ
1,9,Ο
1,9,ΠΡΟΑΓΩΝ
1,9,ΚΑΙ
1,9,ΜΗ
1,9,ΜΕΝΩΝ
1,9,ΕΝ
1,9,ΤΗΙ
1,9,ΔΙΔΑΧΗΙ
1,9,ΤΟΥ
1,9,ΧΡΙΣΤΟΥ
1,9,ΘΕΟΝ
1,9,ΟΥΚ
1,9,ΕΧΕΙ
1,9,Ο
1,9,ΜΕΝΩΝ
1,9,ΕΝ
1,9,ΤΗΙ
1,9,ΔΙΔΑΧΗΙ
1,9,ΟΥΤΟΣ
1,9,ΚΑΙ
1,9,ΤΟΝ
1,9,ΠΑΤΕΡΑ
1,9,ΚΑΙ
1,9,ΤΟΝ
1,9,ΥΙΟΝ
1,9,ΕΧΕΙ
1,10,ΕΙ
1,10,ΤΙΣ
1,10,ΕΡΧΕΤΑΙ
1,10,ΠΡΟΣ
1,10,ΥΜΑΣ
1,10,ΚΑΙ
1,10,ΤΑΥΤΗΝ
1,10,ΤΗΝ
1,10,ΔΙΔΑΧΗΝ
1,10,ΟΥ
1,10,ΦΕΡΕΙ
1,10,ΜΗ
1,10,ΛΑΜΒΑΝΕΤΕ
1,10,ΑΥΤΟΝ
1,10,ΕΙΣ
1,10,ΟΙΚΙΑΝ
1,10,ΚΑΙ
1,10,ΧΑΙΡΕΙΝ
1,10,ΑΥΤΩΙ
1,10,ΜΗ
1,10,ΛΕΓΕΤΕ
1,11,Ο
1,11,ΛΕΓΩΝ
1,11,ΓΑΡ
1,11,ΑΥΤΩΙ
1,11,ΧΑΙΡΕΙΝ
1,11,ΚΟΙΝΩΝΕΙ
1,11,ΤΟΙΣ
1,11,ΕΡΓΟΙΣ
1,11,ΑΥΤΟΥ
1,11,ΤΟΙΣ
1,11,ΠΟΝΗΡΟΙΣ
1,12,ΠΟΛΛΑ
1,12,ΕΧΩΝ
1,12,ΥΜΙΝ
1,12,ΓΡΑΦΕΙΝ
1,12,ΟΥΚ
1,12,ΕΒΟΥΛΗΘΗΝ
1,12,ΔΙΑ
1,12,ΧΑΡΤΟΥ
1,12,ΚΑΙ
1,12,ΜΕΛΑΝΟΣ
1,12,ΑΛΛΑ
1,12,ΕΛΠΙΖΩ
1,12,ΓΕΝΕΣΘΑΙ
1,12,ΠΡΟΣ
1,12,ΥΜΑΣ
1,12,ΚΑΙ
1,12,ΣΤΟΜΑ
1,12,ΠΡΟΣ
