chapter,verse,word
1,1,ΙΟΥΔΑΣ
1,1,ΙΗΣΟΥ
1,1,ΧΡΙΣΤΟΥ
1,1,ΔΟΥΛΟΣ
1,1,ΑΔΕΛΦΟΣ
1,1,ΔΕ
1,1,ΙΑΚΩΒΟΥ
1,1,ΤΟΙΣ
1,1,ΕΝ
1,1,ΘΕΩΙ
1,1,ΠΑΤΡΙ
1,1,ΗΓΑΠΗΜΕΝΟΙΣ
1,1,ΚΑΙ
1,1,ΙΗΣΟΥ
1,1,ΧΡΙΣΤΩΙ
1,1,ΤΕΤΗΡΗΜΕΝΟΙΣ
1,1,ΚΛΗΤΟΙΣ
1,2,ΕΛΕΟΣ
1,2,ΥΜΙΝ
1,2,ΚΑΙ
1,2,ΕΙΡΗΝΗ
1,2,ΚΑΙ
1,2,ΑΓΑΠΗ
1,2,ΠΛΗΘΥΝΘΕΙΗ
1,3,ΑΓΑΠΗΤΟΙ
1,3,ΠΑΣΑΝ
1,3,ΣΠΟΥΔΗΝ
1,3,ΠΟΙΟΥΜΕΝΟΣ
1,3,ΓΡΑΦΕΙΝ
1,3,ΥΜΙΝ
1,3,ΠΕΡΙ
1,3,ΤΗΣ
1,3,ΚΟΙΝΗΣ
1,3,ΗΜΩΝ
1,3,ΣΩΤΗΡΙΑΣ
1,3,ΑΝΑΓΚΗΝ
1,3,ΕΣΧΟΝ
1,3,ΓΡΑΨΑΙ
1,3,ΥΜΙΝ
1,3,ΠΑΡΑΚΑΛΩΝ
1,3,ΕΠΑΓΩΝΙΖΕΣΘΑΙ
1,3,ΤΗΙ
1,3,ΑΠΑΞ
1,3,ΠΑΡΑΔΟΘΕΙΣΗΙ
1,3,ΤΟΙΣ
1,3,ΑΓΙΟΙΣ
1,3,ΠΙΣΤΕΙ
1,4,ΠΑΡΕΙΣΕΔΥΣΑΝ
1,4,ΓΑΡ
1,4,ΤΙΝΕΣ
1,4,ΑΝΘΡΩΠΟΙ
1,4,ΟΙ
1,4,ΠΑΛΑΙ
1,4,ΠΡΟΓΕΓΡΑΜΜΕΝΟΙ
1,4,ΕΙΣ
1,4,ΤΟΥΤΟ
1,4,ΤΟ
1,4,ΚΡΙΜΑ
1,4,ΑΣΕΒΕΙΣ
1,4,ΤΗΝ
1,4,ΤΟΥ
1,4,ΘΕΟΥ
1,4,ΗΜΩΝ
1,4,ΧΑΡΙΤΑ
1,4,ΜΕΤΑΤΙΘΕΝΤΕΣ
1,4,ΕΙΣ
1,4,ΑΣΕΛΓΕΙΑΝ
1,4,ΚΑΙ
1,4,ΤΟΝ
1,4,ΜΟΝΟΝ
1,4,ΔΕΣΠΟΤΗΝ
1,4,ΚΑΙ
1,4,ΚΥΡΙΟΝ
1,4,ΗΜΩΝ
1,4,ΙΗΣΟΥΝ
1,4,ΧΡΙΣΤΟΝ
1,4,ΑΡΝΟΥΜΕΝΟΙ
1,5,ΥΠΟΜΝΗΣΑΙ
1,5,ΔΕ
1,5,ΥΜΑΣ
1,5,ΒΟΥΛΟΜΑΙ
1,5,ΕΙΔΟΤΑΣ
1,5,ΥΜΑΣ
1,5,ΑΠΑΞ
1,5,ΠΑΝΤΑ
1,5,ΟΤΙ
1,5,ΙΗΣΟΥΣ
1,5,ΛΑΟΝ
1,5,ΕΚ
1,5,ΓΗΣ
1,5,ΑΙΓΥΠΤΟΥ
1,5,ΣΩΣΑΣ
1,5,ΤΟ
1,5,ΔΕΥΤΕΡΟΝ
1,5,ΤΟΥΣ
1,5,ΜΗ
1,5,ΠΙΣΤΕΥΣΑΝΤΑΣ
1,5,ΑΠΩΛΕΣΕΝ
1,6,ΑΓΓΕΛΟΥΣ
1,6,ΤΕ
1,6,ΤΟΥΣ
1,6,ΜΗ
1,6,ΤΗΡΗΣΑΝΤΑΣ
1,6,ΤΗΝ
1,6,ΕΑΥΤΩΝ
1,6,ΑΡΧΗΝ
1,6,ΑΛΛΑ
1,6,ΑΠΟΛΙΠΟΝΤΑΣ
1,6,ΤΟ
1,6,ΙΔΙΟΝ
1,6,ΟΙΚΗΤΗΡΙΟΝ
1,6,ΕΙΣ
1,6,ΚΡΙΣΙΝ
1,6,ΜΕΓΑΛΗΣ
1,6,ΗΜΕΡΑΣ
1,6,ΔΕΣΜΟΙΣ
1,6,ΑΙΔΙΟΙΣ
1,6,ΥΠΟ
1,6,ΖΟΦΟΝ
1,6,ΤΕΤΗΡΗΚΕΝ
1,7,ΩΣ
1,7,ΣΟΔΟΜΑ
1,7,ΚΑΙ
1,7,ΓΟΜΟΡΡΑ
1,7,ΚΑΙ
1,7,ΑΙ
1,7,ΠΕΡΙ
1,7,ΑΥΤΑΣ
1,7,ΠΟΛΕΙΣ
1,7,ΤΟΝ
1,7,ΟΜΟΙΟΝ
1,7,ΤΡΟΠΟΝ
1,7,ΤΟΥΤΟΙΣ
1,7,ΕΚΠΟΡΝΕΥΣΑΣΑΙ
1,7,ΚΑΙ
1,7,ΑΠΕΛΘΟΥΣΑΙ
1,7,ΟΠΙΣΩ
1,7,ΣΑΡΚΟΣ
1,7,ΕΤΕΡΑΣ
1,7,ΠΡΟΚΕΙΝΤΑΙ
1,7,ΔΕΙΓΜΑ
1,7,ΠΥΡΟΣ
1,7,ΑΙΩΝΙΟΥ
1,7,ΔΙΚΗΝ
1,7,ΥΠΕΧΟΥΣΑΙ
1,8,ΟΜΟΙΩΣ
1,8,ΜΕΝΤΟΙ
1,8,ΚΑΙ
1,8,ΟΥΤΟΙ
1,8,ΕΝΥΠΝΙΑΖΟΜΕΝΟΙ
1,8,ΣΑΡΚΑ
1,8,ΜΕΝ
1,8,ΜΙΑΙΝΟΥΣΙΝ
1,8,ΚΥΡΙΟΤΗΤΑ
1,8,ΔΕ
1,8,ΑΘΕΤΟΥΣΙΝ
1,8,ΔΟΞΑΣ
1,8,ΔΕ
1,8,ΒΛΑΣΦΗΜΟΥΣΙΝ
1,9,Ο
1,9,ΔΕ
1,9,ΜΙΧΑΗΛ
1,9,Ο
1,9,ΑΡΧΑΓΓΕΛΟΣ
1,9,ΟΤΕ
1,9,ΤΩΙ
1,9,ΔΙΑΒΟΛΩΙ
1,9,ΔΙΑΚΡΙΝΟΜΕΝΟΣ
1,9,ΔΙΕΛΕΓΕΤΟ
1,9,ΠΕΡΙ
1,9,ΤΟΥ
1,9,ΜΩΥΣΕΩΣ
1,9,ΣΩΜΑΤΟΣ
1,9,ΟΥΚ
1,9,ΕΤΟΛΜΗΣΕΝ
1,9,ΚΡΙΣΙΝ
1,9,ΕΠΕΝΕΓΚΕΙΝ
1,9,ΒΛΑΣΦΗΜΙΑΣ
1,9,ΑΛΛΑ
1,9,ΕΙΠΕΝ
1,9,ΕΠΙΤΙΜΗΣΑΙ
1,9,ΣΟΙ
1,9,ΚΥΡΙΟΣ
1,10,ΟΥΤΟΙ
1,10,ΔΕ
1,10,ΟΣΑ
1,10,ΜΕΝ
1,10,ΟΥΚ
1,10,ΟΙΔΑΣΙΝ
1,10,ΒΛΑΣΦΗΜΟΥΣΙΝ
1,10,ΟΣΑ
1,10,ΔΕ
1,10,ΦΥΣΙΚΩΣ
1,10,ΩΣ
1,10,ΤΑ
1,10,ΑΛΟΓΑ
1,10,ΖΩΙΑ
1,10,ΕΠΙΣΤΑΝΤΑΙ
1,10,ΕΝ
1,10,ΤΟΥΤΟΙΣ
1,10,ΦΘΕΙΡΟΝΤΑΙ
1,11,ΟΥΑΙ
1,11,ΑΥΤΟΙΣ
1,11,ΟΤΙ
1,11,ΤΗΙ
1,11,ΟΔΩΙ
1,11,ΤΟΥ
1,11,ΚΑΙΝ
1,11,ΕΠΟΡΕΥΘΗΣΑΝ
1,11,ΚΑΙ
1,11,ΤΗΙ
1,11,ΠΛΑΝΗΙ
1,11,ΤΟΥ
1,11,ΒΑΛΑΑΜ
1,11,ΜΙΣΘΟΥ
1,11,ΕΞΕΧΥΘΗΣΑΝ
1,11,ΚΑΙ
1,11,ΤΗΙ
1,11,ΑΝΤΙΛΟΓΙΑΙ
1,11,ΤΟΥ
1,11,ΚΟΡΕ
1,11,ΑΠΩΛΟΝΤΟ
1,12,ΟΥΤΟΙ
1,12,ΕΙΣΙΝ
1,12,ΟΙ
1,12,ΕΝ
1,12,ΤΑΙΣ
1,12,ΑΓΑΠΑΙΣ
1,12,ΥΜΩΝ
1,12,ΣΠΙΛΑΔΕΣ
1,12,ΣΥΝΕΥΩΧΟΥΜΕΝΟΙ
1,12,ΑΦΟΒΩΣ
1,12,ΕΑΥΤΟΥΣ
1,12,ΠΟΙΜΑΙΝΟΝΤΕΣ
1,12,ΝΕΦΕΛΑΙ
1,12,ΑΝΥΔΡΟΙ
1,12,ΥΠΟ
1,12,ΑΝΕΜΩΝ
1,12,ΠΑΡΑΦΕΡΟΜΕΝΑΙ
1,12,ΔΕΝΔΡΑ
1,12,ΦΘΙΝΟΠΩΡΙΝΑ
1,12,ΑΚΑΡΠΑ
1,12,ΔΙΣ
1,12,ΑΠΟΘΑΝΟΝΤΑ
1,12,ΕΚΡΙΖΩΘΕΝΤΑ
1,13,ΚΥΜΑΤΑ
1,13,ΑΓΡΙΑ
1,13,ΘΑΛΑΣΣΗΣ
1,13,ΕΠΑΦΡΙΖΟΝΤΑ
1,13,ΤΑΣ
1,13,ΕΑΥΤΩΝ
1,13,ΑΙΣΧΥΝΑΣ
1,13,ΑΣΤΕΡΕΣ
1,13,ΠΛΑΝΗΤΑΙ
1,13,ΟΙΣ
1,13,Ο
1,13,ΖΟΦΟΣ
1,13,ΤΟΥ
1,13,ΣΚΟΤΟΥΣ
1,13,ΕΙΣ
1,13,ΑΙΩΝΑ
1,13,ΤΕΤΗΡΗΤΑΙ
1,14,ΕΠΡΟΦΗΤΕΥΣΕΝ
1,14,ΔΕ
1,14,ΚΑΙ
1,14,ΤΟΥΤΟΙΣ
1,14,ΕΒΔΟΜΟΣ
1,14,ΑΠΟ
1,14,ΑΔΑΜ
1,14,ΕΝΩΧ
1,14,ΛΕΓΩΝ
1,14,ΙΔΟΥ
1,14,ΗΛΘΕΝ
