chapter,verse,word
1,1,ΑΠΟΚΑΛΥΨΙΣ
1,1,ΙΗΣΟΥ
1,1,ΧΡΙΣΤΟΥ
1,1,ΗΝ
1,1,ΕΔΩΚΕΝ
1,1,ΑΥΤΩΙ
1,1,Ο
1,1,ΘΕΟΣ
1,1,ΔΕΙΞΑΙ
1,1,ΤΟΙΣ
1,1,ΔΟΥΛΟΙΣ
1,1,ΑΥΤΟΥ
1,1,Α
1,1,ΔΕΙ
1,1,ΓΕΝΕΣΘΑΙ
1,1,ΕΝ
1,1,ΤΑΧΕΙ
1,1,ΚΑΙ
1,1,ΕΣΗΜΑΝΕΝ
1,1,ΑΠΟΣΤΕΙΛΑΣ
1,1,ΔΙΑ
1,1,ΤΟΥ
1,1,ΑΓΓΕΛΟΥ
1,1,ΑΥΤΟΥ
1,1,ΤΩΙ
1,1,ΔΟΥΛΩΙ
1,1,ΑΥΤΟΥ
1,1,ΙΩΑΝΝΗΙ
1,2,ΟΣ
1,2,ΕΜΑΡΤΥΡΗΣΕΝ
1,2,ΤΟΝ
1,2,ΛΟΓΟΝ
1,2,ΤΟΥ
1,2,ΘΕΟΥ
1,2,ΚΑΙ
1,2,ΤΗΝ
1,2,ΜΑΡΤΥΡΙΑΝ
1,2,ΙΗΣΟΥ
1,2,ΧΡΙΣΤΟΥ
1,2,ΟΣΑ
1,2,ΕΙΔΕΝ
1,3,ΜΑΚΑΡΙΟΣ
1,3,Ο
1,3,ΑΝΑΓΙΝΩΣΚΩΝ
1,3,ΚΑΙ
1,3,ΟΙ
1,3,ΑΚΟΥΟΝΤΕΣ
1,3,ΤΟΥΣ
1,3,ΛΟΓΟΥΣ
1,3,ΤΗΣ
1,3,ΠΡΟΦΗΤΕΙΑΣ
1,3,ΚΑΙ
1,3,ΤΗΡΟΥΝΤΕΣ
1,3,ΤΑ
1,3,ΕΝ
1,3,ΑΥΤΗΙ
1,3,ΓΕΓΡΑΜΜΕΝΑ
1,3,Ο
1,3,ΓΑΡ
1,3,ΚΑΙΡΟΣ
1,3,ΕΓΓΥΣ
1,4,ΙΩΑΝΝΗΣ
1,4,ΤΑΙΣ
1,4,ΕΠΤΑ
1,4,ΕΚΚΛΗΣΙΑΙΣ
1,4,ΤΑΙΣ
1,4,ΕΝ
1,4,ΤΗΙ
1,4,ΑΣΙΑΙ
1,4,ΧΑΡΙΣ
1,4,ΥΜΙΝ
1,4,ΚΑΙ
1,4,ΕΙΡΗΝΗ
1,4,ΑΠΟ
1,4,Ο
1,4,ΩΝ
1,4,ΚΑΙ
1,4,Ο
1,4,ΗΝ
1,4,ΚΑΙ
1,4,Ο
1,4,ΕΡΧΟΜΕΝΟΣ
1,4,ΚΑΙ
1,4,ΑΠΟ
1,4,ΤΩΝ
1,4,ΕΠΤΑ
1,4,ΠΝΕΥΜΑΤΩΝ
1,4,Α
1,4,ΕΝΩΠΙΟΝ
1,4,ΤΟΥ
1,4,ΘΡΟΝΟΥ
1,4,ΑΥΤΟΥ
1,5,ΚΑΙ
1,5,ΑΠΟ
1,5,ΙΗΣΟΥ
1,5,ΧΡΙΣΤΟΥ
1,5,Ο
1,5,ΜΑΡΤΥΣ
1,5,Ο
1,5,ΠΙΣΤΟΣ
1,5,Ο
1,5,ΠΡΩΤΟΤΟΚΟΣ
1,5,ΤΩΝ
1,5,ΝΕΚΡΩΝ
1,5,ΚΑΙ
1,5,Ο
1,5,ΑΡΧΩΝ
1,5,ΤΩΝ
1,5,ΒΑΣΙΛΕΩΝ
1,5,ΤΗΣ
1,5,ΓΗΣ
1,5,ΤΩΙ
