chapter,verse,word
1,1,ΠΑΥΛΟΣ
1,1,ΔΟΥΛΟΣ
1,1,ΧΡΙΣΤΟΥ
1,1,ΙΗΣΟΥ
1,1,ΚΛΗΤΟΣ
1,1,ΑΠΟΣΤΟΛΟΣ
1,1,ΑΦΩΡΙΣΜΕΝΟΣ
1,1,ΕΙΣ
1,1,ΕΥΑΓΓΕΛΙΟΝ
1,1,ΘΕΟΥ
1,2,Ο
1,2,ΠΡΟΕΠΗΓΓΕΙΛΑΤΟ
1,2,ΔΙΑ
1,2,ΤΩΝ
1,2,ΠΡΟΦΗΤΩΝ
1,2,ΑΥΤΟΥ
1,2,ΕΝ
1,2,ΓΡΑΦΑΙΣ
1,2,ΑΓΙΑΙΣ
1,3,ΠΕΡΙ
1,3,ΤΟΥ
1,3,ΥΙΟΥ
1,3,ΑΥΤΟΥ
1,3,ΤΟΥ
1,3,ΓΕΝΟΜΕΝΟΥ
1,3,ΕΚ
1,3,ΣΠΕΡΜΑΤΟΣ
1,3,ΔΑΥΕΙΔ
1,3,ΚΑΤΑ
1,3,ΣΑΡΚΑ
1,4,ΤΟΥ
1,4,ΟΡΙΣΘΕΝΤΟΣ
1,4,ΥΙΟΥ
1,4,ΘΕΟΥ
1,4,ΕΝ
1,4,ΔΥΝΑΜΕΙ
1,4,ΚΑΤΑ
1,4,ΠΝΕΥΜΑ
1,4,ΑΓΙΩΣΥΝΗΣ
1,4,ΕΞ
1,4,ΑΝΑΣΤΑΣΕΩΣ
1,4,ΝΕΚΡΩΝ
1,4,ΙΗΣΟΥ
1,4,ΧΡΙΣΤΟΥ
1,4,ΤΟΥ
1,4,ΚΥΡΙΟΥ
1,4,ΗΜΩΝ
1,5,ΔΙΑ
1,5,ΟΥ
1,5,ΕΛΑΒΟΜΕΝ
1,5,ΧΑΡΙΝ
1,5,ΚΑΙ
1,5,ΑΠΟΣΤΟΛΗΝ
1,5,ΕΙΣ
1,5,ΥΠΑΚΟΗΝ
1,5,ΠΙΣΤΕΩΣ
1,5,ΕΝ
1,5,ΠΑΣΙΝ
1,5,ΤΟΙΣ
1,5,ΕΘΝΕΣΙΝ
1,5,ΥΠΕΡ
1,5,ΤΟΥ
1,5,ΟΝΟΜΑΤΟΣ
1,5,ΑΥΤΟΥ
1,6,ΕΝ
1,6,ΟΙΣ
1,6,ΕΣΤΕ
1,6,ΚΑΙ
1,6,ΥΜΕΙΣ
1,6,ΚΛΗΤΟΙ
1,6,ΙΗΣΟΥ
1,6,ΧΡΙΣΤΟΥ
1,7,ΠΑΣΙΝ
1,7,ΤΟΙΣ
1,7,ΟΥΣΙΝ
1,7,ΕΝ
1,7,ΡΩΜΗΙ
1,7,ΑΓΑΠΗΤΟΙΣ
1,7,ΘΕΟΥ
1,7,ΚΛΗΤΟΙΣ
1,7,ΑΓΙΟΙΣ
1,7,ΧΑΡΙΣ
1,7,ΥΜΙΝ
1,7,ΚΑΙ
1,7,ΕΙΡΗΝΗ
1,7,ΑΠΟ
1,7,ΘΕΟΥ
1,7,ΠΑΤΡΟΣ
1,7,ΗΜΩΝ
1,7,ΚΑΙ
1,7,ΚΥΡΙΟΥ
1,7,ΙΗΣΟΥ
1,7,ΧΡΙΣΤΟΥ
1,8,ΠΡΩΤΟΝ
1,8,ΜΕΝ
1,8,ΕΥΧΑΡΙΣΤΩ
1,8,ΤΩΙ
1,8,ΘΕΩΙ
1,8,ΜΟΥ
1,8,ΔΙΑ
1,8,ΙΗΣΟΥ
1,8,ΧΡΙΣΤΟΥ
1,8,ΠΕΡΙ
1,8,ΠΑΝΤΩΝ
1,8,ΥΜΩΝ
1,8,ΟΤΙ
1,8,Η
1,8,ΠΙΣΤΙΣ
1,8,ΥΜΩΝ
1,8,ΚΑΤΑΓΓΕΛΛΕΤΑΙ
1,8,ΕΝ
1,8,ΟΛΩΙ
1,8,ΤΩΙ
1,8,ΚΟΣΜΩΙ
1,9,ΜΑΡΤΥΣ
1,9,ΓΑΡ
1,9,ΜΟΥ
1,9,ΕΣΤΙΝ
1,9,Ο
1,9,ΘΕΟΣ
1,9,ΩΙ
1,9,ΛΑΤΡΕΥΩ
1,9,ΕΝ
1,9,ΤΩΙ
1,9,ΠΝΕΥΜΑΤΙ
1,9,ΜΟΥ
1,9,ΕΝ
1,9,ΤΩΙ
1,9,ΕΥΑΓΓΕΛΙΩΙ
1,9,ΤΟΥ
1,9,ΥΙΟΥ
1,9,ΑΥΤΟΥ
1,9,ΩΣ
1,9,ΑΔΙΑΛΕΙΠΤΩΣ
1,9,ΜΝΕΙΑΝ
1,9,ΥΜΩΝ
1,9,ΠΟΙΟΥΜΑΙ
1,10,ΠΑΝΤΟΤΕ
1,10,ΕΠΙ
1,10,ΤΩΝ
1,10,ΠΡΟΣΕΥΧΩΝ
1,10,ΜΟΥ
1,10,ΔΕΟΜΕΝΟΣ
1,10,ΕΙ
1,10,ΠΩΣ
1,10,ΗΔΗ
1,10,ΠΟΤΕ
1,10,ΕΥΟΔΩΘΗΣΟΜΑΙ
1,10,ΕΝ
1,10,ΤΩΙ
1,10,ΘΕΛΗΜΑΤΙ
1,10,ΤΟΥ
1,10,ΘΕΟΥ
1,10,ΕΛΘΕΙΝ
1,10,ΠΡΟΣ
1,10,ΥΜΑΣ
1,11,ΕΠΙΠΟΘΩ
1,11,ΓΑΡ
1,11,ΙΔΕΙΝ
1,11,ΥΜΑΣ
1,11,ΙΝΑ
1,11,ΤΙ
1,11,ΜΕΤΑΔΩ
1,11,ΧΑΡΙΣΜΑ
1,11,ΥΜΙΝ
1,11,ΠΝΕΥΜΑΤΙΚΟΝ
1,11,ΕΙΣ
1,11,ΤΟ
1,11,ΣΤΗΡΙΧΘΗΝΑΙ
1,11,ΥΜΑΣ
1,12,ΤΟΥΤΟ
1,12,ΔΕ
1,12,ΕΣΤΙΝ
1,12,ΣΥΝΠΑΡΑΚΛΗΘΗΝΑΙ
1,12,ΕΝ
1,12,ΥΜΙΝ
1,12,ΔΙΑ
1,12,ΤΗΣ
1,12,ΕΝ
1,12,ΑΛΛΗΛΟΙΣ
1,12,ΠΙΣΤΕΩΣ
1,12,ΥΜΩΝ
1,12,ΤΕ
1,12,ΚΑΙ
1,12,ΕΜΟΥ
1,13,ΟΥ
1,13,ΘΕΛΩ
1,13,ΔΕ
1,13,ΥΜΑΣ
1,13,ΑΓΝΟΕΙΝ
1,13,ΑΔΕΛΦΟΙ
1,13,ΟΤΙ
1,13,ΠΟΛΛΑΚΙΣ
1,13,ΠΡΟΕΘΕΜΗΝ
1,13,ΕΛΘΕΙΝ
1,13,ΠΡΟΣ
1,13,ΥΜΑΣ
1,13,ΚΑΙ
1,13,ΕΚΩΛΥΘΗΝ
1,13,ΑΧΡΙ
1,13,ΤΟΥ
1,13,ΔΕΥΡΟ
1,13,ΙΝΑ
1,13,ΤΙΝΑ
1,13,ΚΑΡΠΟΝ
1,13,ΣΧΩ
1,13,ΚΑΙ
1,13,ΕΝ
1,13,ΥΜΙΝ
1,13,ΚΑΘΩΣ
1,13,ΚΑΙ
1,13,ΕΝ
1,13,ΤΟΙΣ
1,13,ΛΟΙΠΟΙΣ
1,13,ΕΘΝΕΣΙΝ
1,14,ΕΛΛΗΣΙΝ
1,14,ΤΕ
1,14,ΚΑΙ
1,14,ΒΑΡΒΑΡΟΙΣ
1,14,ΣΟΦΟΙΣ
1,14,ΤΕ
1,14,ΚΑΙ
1,14,ΑΝΟΗΤΟΙΣ
1,14,ΟΦΕΙΛΕΤΗΣ
1,14,ΕΙΜΙ
1,15,ΟΥΤΩΣ
1,15,ΤΟ
1,15,ΚΑΤΑ
1,15,ΕΜΕ
1,15,ΠΡΟΘΥΜΟΝ
1,15,ΚΑΙ
1,15,ΥΜΙΝ
1,15,ΤΟΙΣ
1,15,ΕΝ
1,15,ΡΩΜΗΙ
