chapter,verse,word
1,1,ΠΑΥΛΟΣ
1,1,ΑΠΟΣΤΟΛΟΣ
1,1,ΧΡΙΣΤΟΥ
1,1,ΙΗΣΟΥ
1,1,ΔΙΑ
1,1,ΘΕΛΗΜΑΤΟΣ
1,1,ΘΕΟΥ
1,1,ΚΑΙ
1,1,ΤΙΜΟΘΕΟΣ
1,1,Ο
1,1,ΑΔΕΛΦΟΣ
1,1,ΤΗΙ
1,1,ΕΚΚΛΗΣΙΑΙ
1,1,ΤΟΥ
1,1,ΘΕΟΥ
1,1,ΤΗΙ
1,1,ΟΥΣΗΙ
1,1,ΕΝ
1,1,ΚΟΡΙΝΘΩΙ
1,1,ΣΥΝ
1,1,ΤΟΙΣ
1,1,ΑΓΙΟΙΣ
1,1,ΠΑΣΙΝ
1,1,ΤΟΙΣ
1,1,ΟΥΣΙΝ
1,1,ΕΝ
1,1,ΟΛΗΙ
1,1,ΤΗΙ
1,1,ΑΧΑΙΑΙ
1,2,ΧΑΡΙΣ
1,2,ΥΜΙΝ
1,2,ΚΑΙ
1,2,ΕΙΡΗΝΗ
1,2,ΑΠΟ
1,2,ΘΕΟΥ
1,2,ΠΑΤΡΟΣ
1,2,ΗΜΩΝ
1,2,ΚΑΙ
1,2,ΚΥΡΙΟΥ
1,2,ΙΗΣΟΥ
1,2,ΧΡΙΣΤΟΥ
1,3,ΕΥΛΟΓΗΤΟΣ
1,3,Ο
1,3,ΘΕΟΣ
1,3,ΚΑΙ
1,3,ΠΑΤΗΡ
1,3,ΤΟΥ
1,3,ΚΥΡΙΟΥ
1,3,ΗΜΩΝ
1,3,ΙΗΣΟΥ
1,3,ΧΡΙΣΤΟΥ
1,3,Ο
1,3,ΠΑΤΗΡ
1,3,ΤΩΝ
1,3,ΟΙΚΤΙΡΜΩΝ
1,3,ΚΑΙ
1,3,ΘΕΟΣ
1,3,ΠΑΣΗΣ
1,3,ΠΑΡΑΚΛΗΣΕΩΣ
1,4,Ο
1,4,ΠΑΡΑΚΑΛΩΝ
1,4,ΗΜΑΣ
1,4,ΕΠΙ
1,4,ΠΑΣΗΙ
1,4,ΤΗΙ
1,4,ΘΛΙΨΕΙ
1,4,ΗΜΩΝ
1,4,ΕΙΣ
1,4,ΤΟ
1,4,ΔΥΝΑΣΘΑΙ
1,4,ΗΜΑΣ
1,4,ΠΑΡΑΚΑΛΕΙΝ
1,4,ΤΟΥΣ
1,4,ΕΝ
1,4,ΠΑΣΗΙ
1,4,ΘΛΙΨΕΙ
1,4,ΔΙΑ
1,4,ΤΗΣ
1,4,ΠΑΡΑΚΛΗΣΕΩΣ
1,4,ΗΣ
1,4,ΠΑΡΑΚΑΛΟΥΜΕΘΑ
1,4,ΑΥΤΟΙ
1,4,ΥΠΟ
1,4,ΤΟΥ
1,4,ΘΕΟΥ
1,5,ΟΤΙ
1,5,ΚΑΘΩΣ
1,5,ΠΕΡΙΣΣΕΥΕΙ
1,5,ΤΑ
1,5,ΠΑΘΗΜΑΤΑ
1,5,ΤΟΥ
1,5,ΧΡΙΣΤΟΥ
1,5,ΕΙΣ
1,5,ΗΜΑΣ
1,5,ΟΥΤΩΣ
1,5,ΔΙΑ
1,5,ΤΟΥ
1,5,ΧΡΙΣΤΟΥ
1,5,ΠΕΡΙΣΣΕΥΕΙ
1,5,ΚΑΙ
1,5,Η
1,5,ΠΑΡΑΚΛΗΣΙΣ
1,5,ΗΜΩΝ
1,6,ΕΙΤΕ
1,6,ΔΕ
1,6,ΘΛΙΒΟΜΕΘΑ
1,6,ΥΠΕΡ
1,6,ΤΗΣ
1,6,ΥΜΩΝ
1,6,ΠΑΡΑΚΛΗΣΕΩΣ
1,6,ΚΑΙ
1,6,ΣΩΤΗΡΙΑΣ
1,6,ΕΙΤΕ
1,6,ΠΑΡΑΚΑΛΟΥΜΕΘΑ
1,6,ΥΠΕΡ
1,6,ΤΗΣ
1,6,ΥΜΩΝ
1,6,ΠΑΡΑΚΛΗΣΕΩΣ
1,6,ΤΗΣ
1,6,ΕΝΕΡΓΟΥΜΕΝΗΣ
1,6,ΕΝ
1,6,ΥΠΟΜΟΝΗΙ
1,6,ΤΩΝ
1,6,ΑΥΤΩΝ
1,6,ΠΑΘΗΜΑΤΩΝ
1,6,ΩΝ
1,6,ΚΑΙ
1,6,ΗΜΕΙΣ
1,6,ΠΑΣΧΟΜΕΝ
1,7,ΚΑΙ
1,7,Η
1,7,ΕΛΠΙΣ
1,7,ΗΜΩΝ
1,7,ΒΕΒΑΙΑ
1,7,ΥΠΕΡ
1,7,ΥΜΩΝ
1,7,ΕΙΔΟΤΕΣ
1,7,ΟΤΙ
1,7,ΩΣ
1,7,ΚΟΙΝΩΝΟΙ
1,7,ΕΣΤΕ
1,7,ΤΩΝ
1,7,ΠΑΘΗΜΑΤΩΝ
1,7,ΟΥΤΩΣ
1,7,ΚΑΙ
1,7,ΤΗΣ
1,7,ΠΑΡΑΚΛΗΣΕΩΣ
1,8,ΟΥ
1,8,ΓΑΡ
1,8,ΘΕΛΟΜΕΝ
1,8,ΥΜΑΣ
1,8,ΑΓΝΟΕΙΝ
1,8,ΑΔΕΛΦΟΙ
1,8,ΥΠΕΡ
1,8,ΤΗΣ
1,8,ΘΛΙΨΕΩΣ
1,8,ΗΜΩΝ
1,8,ΤΗΣ
1,8,ΓΕΝΟΜΕΝΗΣ
1,8,ΕΝ
1,8,ΤΗΙ
1,8,ΑΣΙΑΙ
1,8,ΟΤΙ
1,8,ΚΑΤΑ
1,8,ΥΠΕΡΒΟΛΗΝ
1,8,ΥΠΕΡ
1,8,ΔΥΝΑΜΙΝ
1,8,ΕΒΑΡΗΘΗΜΕΝ
1,8,ΩΣΤΕ
1,8,ΕΞΑΠΟΡΗΘΗΝΑΙ
1,8,ΗΜΑΣ
1,8,ΚΑΙ
1,8,ΤΟΥ
1,8,ΖΗΝ
1,9,ΑΛΛΑ
1,9,ΑΥΤΟΙ
1,9,ΕΝ
1,9,ΕΑΥΤΟΙΣ
1,9,ΤΟ
1,9,ΑΠΟΚΡΙΜΑ
1,9,ΤΟΥ
1,9,ΘΑΝΑΤΟΥ
1,9,ΕΣΧΗΚΑΜΕΝ
1,9,ΙΝΑ
1,9,ΜΗ
