chapter,verse,word
1,1,אלה
1,1,הדברים
1,1,אשר
1,1,דבר
1,1,משה
1,1,אל
1,1,כל
1,1,ישראל
1,1,בעבר
1,1,הירדן
1,1,במדבר
1,1,בערבה
1,1,מול
1,1,סוף
1,1,בין
1,1,פארן
1,1,ובין
1,1,תפל
1,1,ולבן
1,1,וחצרת
1,1,ודי
1,1,זהב
1,2,אחד
1,2,עשר
1,2,יום
1,2,מחרב
1,2,דרך
1,2,הר
1,2,שעיר
1,2,עד
1,2,קדש
1,2,ברנע
1,3,ויהי
1,3,בארבעים
1,3,שנה
1,3,בעשתי
1,3,עשר
1,3,חדש
1,3,באחד
1,3,לחדש
1,3,דבר
1,3,משה
1,3,אל
1,3,בני
1,3,ישראל
1,3,ככל
1,3,אשר
1,3,צוה
1,3,יהוה
1,3,אתו
1,3,אלהם
1,4,אחרי
1,4,הכתו
1,4,את
1,4,סיחן
1,4,מלך
1,4,האמרי
1,4,אשר
1,4,יושב
1,4,בחשבון
1,4,ואת
1,4,עוג
1,4,מלך
1,4,הבשן
1,4,אשר
1,4,יושב
1,4,בעשתרת
1,4,באדרעי
1,5,בעבר
1,5,הירדן
1,5,בארץ
1,5,מואב
1,5,הואיל
1,5,משה
1,5,באר
1,5,את
1,5,התורה
1,5,הזאת
1,5,לאמר
1,6,יהוה
1,6,אלהינו
1,6,דבר
1,6,אלינו
1,6,בחרב
1,6,לאמר
1,6,רב
1,6,לכם
1,6,שבת
1,6,בהר
1,6,הזה
1,7,פנו
1,7,וסעו
1,7,לכם
1,7,ובאו
1,7,הר
1,7,האמרי
1,7,ואל
1,7,כל
1,7,שכניו
1,7,בערבה
1,7,בהר
1,7,ובשפלה
1,7,ובנגב
1,7,ובחוף
1,7,הים
1,7,ארץ
1,7,הכנעני
1,7,והלבנון
1,7,עד
1,7,הנהר
1,7,הגדל
1,7,נהר
1,7,פרת
1,8,ראה
1,8,נתתי
1,8,לפניכם
1,8,את
1,8,הארץ
1,8,באו
1,8,ורשו
1,8,את
1,8,הארץ
1,8,אשר
1,8,נשבע
1,8,יהוה
1,8,לאבתיכם
1,8,לאברהם
1,8,ליצחק
1,8,וליעקב
1,8,לתת
1,8,להם
1,8,ולזרעם
1,8,אחריהם
1,9,ואמר
1,9,אלכם
1,9,בעת
1,9,ההוא
1,9,לאמר
1,9,לא
1,9,אוכל
1,9,לבדי
1,9,שאת
1,9,אתכם
1,10,יהוה
1,10,אלהיכם
1,10,הרבה
1,10,אתכם
1,10,והנכם
1,10,היום
1,10,ככוכבי
1,10,השמים
1,10,לרב
1,11,יהוה
1,11,אלהי
1,11,אבותכם
1,11,יסף
1,11,עליכם
1,11,ככם
1,11,אלף
1,11,פעמים
1,11,ויברך
1,11,אתכם
1,11,כאשר
1,11,דבר
1,11,לכם
1,12,איכה
1,12,אשא
1,12,לבדי
