chapter,verse,word
1,1,בראשית
1,1,ברא
1,1,אלהים
1,1,את
1,1,השמים
1,1,ואת
1,1,הארץ
1,2,והארץ
1,2,היתה
1,2,תהו
1,2,ובהו
1,2,וחשך
1,2,על
1,2,פני
1,2,תהום
1,2,ורוח
1,2,אלהים
1,2,מרחפת
1,2,על
1,2,פני
1,2,המים
1,3,ויאמר
1,3,אלהים
1,3,יהי
1,3,אור
1,3,ויהי
1,3,אור
1,4,וירא
1,4,אלהים
1,4,את
1,4,האור
1,4,כי
1,4,טוב
1,4,ויבדל
1,4,אלהים
1,4,בין
1,4,האור
1,4,ובין
1,4,החשך
1,5,ויקרא
1,5,אלהים
1,5,לאור
1,5,יום
1,5,ולחשך
1,5,קרא
1,5,לילה
1,5,ויהי
1,5,ערב
1,5,ויהי
1,5,בקר
1,5,יום
1,5,אחד
1,6,ויאמר
1,6,אלהים
1,6,יהי
1,6,רקיע
1,6,בתוך
1,6,המים
1,6,ויהי
1,6,מבדיל
1,6,בין
1,6,מים
1,6,למים
1,7,ויעש
1,7,אלהים
1,7,את
1,7,הרקיע
1,7,ויבדל
1,7,בין
1,7,המים
1,7,אשר
1,7,מתחת
1,7,לרקיע
1,7,ובין
1,7,המים
1,7,אשר
1,7,מעל
1,7,לרקיע
1,7,ויהי
1,7,כן
1,8,ויקרא
1,8,אלהים
1,8,לרקיע
1,8,שמים
1,8,ויהי
1,8,ערב
1,8,ויהי
1,8,בקר
1,8,יום
1,8,שני
1,9,ויאמר
1,9,אלהים
1,9,יקוו
1,9,המים
1,9,מתחת
1,9,השמים
1,9,אל
1,9,מקום
1,9,אחד
1,9,ותראה
1,9,היבשה
1,9,ויהי
1,9,כן
1,10,ויקרא
1,10,אלהים
1,10,ליבשה
1,10,ארץ
1,10,ולמקוה
1,10,המים
1,10,קרא
1,10,ימים
1,10,וירא
1,10,אלהים
1,10,כי
1,10,טוב
1,11,ויאמר
1,11,אלהים
1,11,תדשא
1,11,הארץ
1,11,דשא
1,11,עשב
1,11,מזריע
1,11,זרע
1,11,עץ
1,11,פרי
1,11,עשה
1,11,פרי
1,11,למינו
1,11,אשר
1,11,זרעו
1,11,בו
1,11,על
1,11,הארץ
