chapter,verse,word
1,1,ויפשע
1,1,מואב
1,1,בישראל
1,1,אחרי
1,1,מות
1,1,אחאב
1,2,ויפל
1,2,אחזיה
1,2,בעד
1,2,השבכה
1,2,בעליתו
1,2,אשר
1,2,בשמרון
1,2,ויחל
1,2,וישלח
1,2,מלאכים
1,2,ויאמר
1,2,אלהם
1,2,לכו
1,2,דרשו
1,2,בבעל
1,2,זבוב
1,2,אלהי
1,2,עקרון
1,2,אם
1,2,אחיה
1,2,מחלי
1,2,זה
1,3,ומלאך
1,3,יהוה
1,3,דבר
1,3,אל
1,3,אליה
1,3,התשבי
1,3,קום
1,3,עלה
1,3,לקראת
1,3,מלאכי
1,3,מלך
1,3,שמרון
1,3,ודבר
1,3,אלהם
1,3,המבלי
1,3,אין
1,3,אלהים
1,3,בישראל
1,3,אתם
1,3,הלכים
1,3,לדרש
1,3,בבעל
1,3,זבוב
1,3,אלהי
1,3,עקרון
1,4,ולכן
1,4,כה
1,4,אמר
1,4,יהוה
1,4,המטה
1,4,אשר
1,4,עלית
1,4,שם
1,4,לא
1,4,תרד
1,4,ממנה
1,4,כי
1,4,מות
1,4,תמות
1,4,וילך
1,4,אליה
1,5,וישובו
1,5,המלאכים
1,5,אליו
1,5,ויאמר
1,5,אליהם
1,5,מה
1,5,זה
1,5,שבתם
1,6,ויאמרו
1,6,אליו
1,6,איש
1,6,עלה
1,6,לקראתנו
1,6,ויאמר
1,6,אלינו
1,6,לכו
1,6,שובו
1,6,אל
1,6,המלך
1,6,אשר
1,6,שלח
1,6,אתכם
1,6,ודברתם
1,6,אליו
1,6,כה
1,6,אמר
1,6,יהוה
1,6,המבלי
1,6,אין
1,6,אלהים
1,6,בישראל
1,6,אתה
1,6,שלח
1,6,לדרש
1,6,בבעל
1,6,זבוב
1,6,אלהי
1,6,עקרון
1,6,לכן
1,6,המטה
1,6,אשר
1,6,עלית
1,6,שם
1,6,לא
1,6,תרד
1,6,ממנה
1,6,כי
1,6,מות
1,6,תמות
1,7,וידבר
1,7,אלהם
1,7,מה
1,7,משפט
1,7,האיש
1,7,אשר
1,7,עלה
1,7,לקראתכם
1,7,וידבר
1,7,אליכם
1,7,את
1,7,הדברים
1,7,האלה
1,8,ויאמרו
1,8,אליו
1,8,איש
1,8,בעל
1,8,שער
1,8,ואזור
1,8,עור
1,8,אזור
1,8,במתניו
1,8,ויאמר
1,8,אליה
1,8,התשבי
1,8,הוא
1,9,וישלח
1,9,אליו
1,9,שר
1,9,חמשים
1,9,וחמשיו
1,9,ויעל
1,9,אליו
1,9,והנה
1,9,ישב
1,9,על
1,9,ראש
1,9,ההר
1,9,וידבר
1,9,אליו
1,9,איש
1,9,האלהים
1,9,המלך
1,9,דבר
1,9,רדה
1,10,ויענה
1,10,אליהו
1,10,וידבר
1,10,אל
1,10,שר
1,10,החמשים
1,10,ואם
1,10,איש
1,10,אלהים
1,10,אני
1,10,תרד
1,10,אש
1,10,מן
1,10,השמים
1,10,ותאכל
1,10,אתך
1,10,ואת
1,10,חמשיך
1,10,ותרד
1,10,אש
1,10,מן
1,10,השמים
1,10,ותאכל
1,10,אתו
1,10,ואת
1,10,חמשיו
1,11,וישב
1,11,וישלח
1,11,אליו
1,11,שר
1,11,חמשים
1,11,אחר
1,11,וחמשיו
1,11,ויען
1,11,וידבר
1,11,אליו
1,11,איש
1,11,האלהים
1,11,כה
1,11,אמר
1,11,המלך
1,11,מהרה
1,11,רדה
1,12,ויען
1,12,אליה
1,12,וידבר
1,12,אליהם
1,12,אם
1,12,איש
1,12,האלהים
1,12,אני
1,12,תרד
1,12,אש
1,12,מן
1,12,השמים
1,12,ותאכל
1,12,אתך
1,12,ואת
1,12,חמשיך
1,12,ותרד
1,12,אש
1,12,אלהים
1,12,מן
1,12,השמים
1,12,ותאכל
1,12,אתו
1,12,ואת
1,12,חמשיו
1,13,וישב
1,13,וישלח
1,13,שר
1,13,חמשים
1,13,שלשים
1,13,וחמשיו
1,13,ויעל
1,13,ויבא
1,13,שר
1,13,החמשים
1,13,השלישי
1,13,ויכרע
1,13,על
1,13,ברכיו
1,13,לנגד
1,13,אליהו
1,13,ויתחנן
1,13,אליו
1,13,וידבר
1,13,אליו
1,13,איש
1,13,האלהים
1,13,תיקר
1,13,נא
1,13,נפשי
1,13,ונפש
1,13,עבדיך
1,13,אלה
1,13,חמשים
1,13,בעיניך
1,14,הנה
1,14,ירדה
1,14,אש
1,14,מן
1,14,השמים
1,14,ותאכל
1,14,את
1,14,שני
1,14,שרי
1,14,החמשים
1,14,הראשנים
1,14,ואת
1,14,חמשיהם
1,14,ועתה
1,14,תיקר
1,14,נפשי
1,14,בעיניך
1,15,וידבר
1,15,מלאך
1,15,יהוה
1,15,אל
1,15,אליהו
1,15,רד
1,15,אותו
1,15,אל
1,15,תירא
1,15,מפניו
1,15,ויקם
1,15,וירד
1,15,אותו
1,15,אל
1,15,המלך
1,16,וידבר
1,16,אליו
1,16,כה
1,16,אמר
1,16,יהוה
1,16,יען
1,16,אשר
1,16,שלחת
1,16,מלאכים
1,16,לדרש
1,16,בבעל
1,16,זבוב
1,16,אלהי
1,16,עקרון
1,16,המבלי
1,16,אין
1,16,אלהים
1,16,בישראל
1,16,לדרש
1,16,בדברו
1,16,לכן
1,16,המטה
1,16,אשר
1,16,עלית
1,16,שם
1,16,לא
1,16,תרד
1,16,ממנה
1,16,כי
1,16,מות
1,16,תמות
1,17,וימת
1,17,כדבר
1,17,יהוה
1,17,אשר
1,17,דבר
1,17,אליהו
1,17,וימלך
1,17,יהורם
1,17,תחתיו
1,17,בשנת
1,17,שתים
1,17,ליהורם
1,17,בן
1,17,יהושפט
1,17,מלך
1,17,יהודה
1,17,כי
1,17,לא
1,17,היה
1,17,לו
1,17,בן
1,18,ויתר
1,18,דברי
1,18,אחזיהו
1,18,אשר
1,18,עשה
1,18,הלוא
1,18,המה
1,18,כתובים
1,18,על
1,18,ספר
1,18,דברי
1,18,הימים
1,18,למלכי
1,18,ישראל
2,1,ויהי
2,1,בהעלות
2,1,יהוה
2,1,את
2,1,אליהו
2,1,בסערה
2,1,השמים
2,1,וילך
2,1,אליהו
2,1,ואלישע
2,1,מן
2,1,הגלגל
2,2,ויאמר
2,2,אליהו
2,2,אל
2,2,אלישע
2,2,שב
2,2,נא
2,2,פה
2,2,כי
2,2,יהוה
2,2,שלחני
2,2,עד
2,2,בית
2,2,אל
2,2,ויאמר
2,2,אלישע
2,2,חי
2,2,יהוה
2,2,וחי
2,2,נפשך
2,2,אם
2,2,אעזבך
2,2,וירדו
2,2,בית
2,2,אל
2,3,ויצאו
2,3,בני
2,3,הנביאים
2,3,אשר
2,3,בית
2,3,אל
2,3,אל
2,3,אלישע
2,3,ויאמרו
2,3,אליו
2,3,הידעת
2,3,כי
2,3,היום
2,3,יהוה
2,3,לקח
2,3,את
2,3,אדניך
2,3,מעל
2,3,ראשך
2,3,ויאמר
2,3,גם
2,3,אני
2,3,ידעתי
2,3,החשו
2,4,ויאמר
2,4,לו
2,4,אליהו
2,4,אלישע
2,4,שב
2,4,נא
2,4,פה
2,4,כי
2,4,יהוה
2,4,שלחני
2,4,יריחו
2,4,ויאמר
2,4,חי
2,4,יהוה
2,4,וחי
2,4,נפשך
2,4,אם
2,4,אעזבך
2,4,ויבאו
2,4,יריחו
2,5,ויגשו
2,5,בני
2,5,הנביאים
2,5,אשר
2,5,ביריחו
2,5,אל
2,5,אלישע
2,5,ויאמרו
2,5,אליו
2,5,הידעת
2,5,כי
2,5,היום
2,5,יהוה
2,5,לקח
2,5,את
2,5,אדניך
2,5,מעל
2,5,ראשך
2,5,ויאמר
2,5,גם
2,5,אני
2,5,ידעתי
2,5,החשו
2,6,ויאמר
2,6,לו
2,6,אליהו
2,6,שב
2,6,נא
2,6,פה
2,6,כי
2,6,יהוה
2,6,שלחני
2,6,הירדנה
2,6,ויאמר
2,6,חי
2,6,יהוה
2,6,וחי
2,6,נפשך
2,6,אם
2,6,אעזבך
2,6,וילכו
2,6,שניהם
2,7,וחמשים
2,7,איש
2,7,מבני
2,7,הנביאים
2,7,הלכו
2,7,ויעמדו
2,7,מנגד
2,7,מרחוק
2,7,ושניהם
2,7,עמדו
2,7,על
2,7,הירדן
2,8,ויקח
2,8,אליהו
2,8,את
2,8,אדרתו
2,8,ויגלם
2,8,ויכה
2,8,את
2,8,המים
2,8,ויחצו
2,8,הנה
2,8,והנה
2,8,ויעברו
2,8,שניהם
2,8,בחרבה
2,9,ויהי
2,9,כעברם
2,9,ואליהו
2,9,אמר
2,9,אל
2,9,אלישע
2,9,שאל
2,9,מה
2,9,אעשה
2,9,לך
2,9,בטרם
2,9,אלקח
2,9,מעמך
2,9,ויאמר
2,9,אלישע
2,9,ויהי
2,9,נא
2,9,פי
2,9,שנים
2,9,ברוחך
2,9,אלי
2,10,ויאמר
2,10,הקשית
2,10,לשאול
2,10,אם
2,10,תראה
2,10,אתי
2,10,לקח
2,10,מאתך
2,10,יהי
2,10,לך
2,10,כן
2,10,ואם
2,10,אין
2,10,לא
2,10,יהיה
2,11,ויהי
2,11,המה
2,11,הלכים
2,11,הלוך
2,11,ודבר
2,11,והנה
2,11,רכב
2,11,אש
2,11,וסוסי
2,11,אש
2,11,ויפרדו
2,11,בין
2,11,שניהם
2,11,ויעל
2,11,אליהו
2,11,בסערה
2,11,השמים
2,12,ואלישע
2,12,ראה
2,12,והוא
2,12,מצעק
2,12,אבי
2,12,אבי
2,12,רכב
2,12,ישראל
2,12,ופרשיו
2,12,ולא
2,12,ראהו
2,12,עוד
2,12,ויחזק
2,12,בבגדיו
2,12,ויקרעם
2,12,לשנים
2,12,קרעים
2,13,וירם
2,13,את
2,13,אדרת
2,13,אליהו
2,13,אשר
2,13,נפלה
2,13,מעליו
2,13,וישב
2,13,ויעמד
2,13,על
2,13,שפת
2,13,הירדן
2,14,ויקח
2,14,את
2,14,אדרת
2,14,אליהו
2,14,אשר
2,14,נפלה
2,14,מעליו
2,14,ויכה
2,14,את
2,14,המים
2,14,ויאמר
2,14,איה
2,14,יהוה
2,14,אלהי
2,14,אליהו
2,14,אף
2,14,הוא
2,14,ויכה
2,14,את
2,14,המים
2,14,ויחצו
2,14,הנה
2,14,והנה
2,14,ויעבר
2,14,אלישע
2,15,ויראהו
2,15,בני
2,15,הנביאים
2,15,אשר
2,15,ביריחו
2,15,מנגד
2,15,ויאמרו
2,15,נחה
2,15,רוח
2,15,אליהו
2,15,על
2,15,אלישע
2,15,ויבאו
2,15,לקראתו
2,15,וישתחוו
2,15,לו
2,15,ארצה
2,16,ויאמרו
2,16,אליו
2,16,הנה
2,16,נא
2,16,יש
2,16,את
2,16,עבדיך
2,16,חמשים
2,16,אנשים
2,16,בני
2,16,חיל
2,16,ילכו
2,16,נא
2,16,ויבקשו
2,16,את
2,16,אדניך
2,16,פן
2,16,נשאו
2,16,רוח
2,16,יהוה
2,16,וישלכהו
2,16,באחד
2,16,ההרים
2,16,או
2,16,באחת
2,16,הגיאות
2,16,ויאמר
2,16,לא
2,16,תשלחו
2,17,ויפצרו
2,17,בו
2,17,עד
2,17,בש
2,17,ויאמר
2,17,שלחו
2,17,וישלחו
2,17,חמשים
2,17,איש
2,17,ויבקשו
2,17,שלשה
2,17,ימים
2,17,ולא
2,17,מצאהו
2,18,וישבו
2,18,אליו
2,18,והוא
2,18,ישב
2,18,ביריחו
2,18,ויאמר
2,18,אלהם
2,18,הלוא
2,18,אמרתי
2,18,אליכם
2,18,אל
2,18,תלכו
2,19,ויאמרו
2,19,אנשי
2,19,העיר
2,19,אל
2,19,אלישע
2,19,הנה
2,19,נא
2,19,מושב
2,19,העיר
2,19,טוב
2,19,כאשר
2,19,אדני
2,19,ראה
2,19,והמים
2,19,רעים
2,19,והארץ
2,19,משכלת
2,20,ויאמר
