chapter,verse,word
1,1,ובשנת
1,1,אחת
1,1,לכורש
1,1,מלך
1,1,פרס
1,1,לכלות
1,1,דבר
1,1,יהוה
1,1,מפי
1,1,ירמיה
1,1,העיר
1,1,יהוה
1,1,את
1,1,רוח
1,1,כרש
1,1,מלך
1,1,פרס
1,1,ויעבר
1,1,קול
1,1,בכל
1,1,מלכותו
1,1,וגם
1,1,במכתב
1,1,לאמר
1,2,כה
1,2,אמר
1,2,כרש
1,2,מלך
1,2,פרס
1,2,כל
1,2,ממלכות
1,2,הארץ
1,2,נתן
1,2,לי
1,2,יהוה
1,2,אלהי
1,2,השמים
1,2,והוא
1,2,פקד
1,2,עלי
1,2,לבנות
1,2,לו
1,2,בית
1,2,בירושלם
1,2,אשר
1,2,ביהודה
1,3,מי
1,3,בכם
1,3,מכל
1,3,עמו
1,3,יהי
1,3,אלהיו
1,3,עמו
1,3,ויעל
1,3,לירושלם
1,3,אשר
1,3,ביהודה
1,3,ויבן
1,3,את
1,3,בית
1,3,יהוה
1,3,אלהי
1,3,ישראל
1,3,הוא
1,3,האלהים
1,3,אשר
1,3,בירושלם
1,4,וכל
1,4,הנשאר
1,4,מכל
1,4,המקמות
1,4,אשר
1,4,הוא
1,4,גר
1,4,שם
1,4,ינשאוהו
1,4,אנשי
1,4,מקמו
1,4,בכסף
1,4,ובזהב
1,4,וברכוש
1,4,ובבהמה
1,4,עם
1,4,הנדבה
1,4,לבית
1,4,האלהים
1,4,אשר
1,4,בירושלם
1,5,ויקומו
1,5,ראשי
1,5,האבות
1,5,ליהודה
1,5,ובנימן
1,5,והכהנים
1,5,והלוים
1,5,לכל
1,5,העיר
1,5,האלהים
1,5,את
1,5,רוחו
1,5,לעלות
1,5,לבנות
1,5,את
1,5,בית
1,5,יהוה
1,5,אשר
1,5,בירושלם
1,6,וכל
1,6,סביבתיהם
1,6,חזקו
1,6,בידיהם
1,6,בכלי
1,6,כסף
1,6,בזהב
1,6,ברכוש
1,6,ובבהמה
1,6,ובמגדנות
1,6,לבד
1,6,על
1,6,כל
1,6,התנדב
1,7,והמלך
1,7,כורש
1,7,הוציא
1,7,את
1,7,כלי
1,7,בית
1,7,יהוה
1,7,אשר
1,7,הוציא
1,7,נבוכדנצר
1,7,מירושלם
1,7,ויתנם
1,7,בבית
1,7,אלהיו
1,8,ויוציאם
1,8,כורש
1,8,מלך
