chapter,verse,word
1,1,ויהי
1,1,בימי
1,1,אחשורוש
1,1,הוא
1,1,אחשורוש
1,1,המלך
1,1,מהדו
1,1,ועד
1,1,כוש
1,1,שבע
1,1,ועשרים
1,1,ומאה
1,1,מדינה
1,2,בימים
1,2,ההם
1,2,כשבת
1,2,המלך
1,2,אחשורוש
1,2,על
1,2,כסא
1,2,מלכותו
1,2,אשר
1,2,בשושן
1,2,הבירה
1,3,בשנת
1,3,שלוש
1,3,למלכו
1,3,עשה
1,3,משתה
1,3,לכל
1,3,שריו
1,3,ועבדיו
1,3,חיל
1,3,פרס
1,3,ומדי
1,3,הפרתמים
1,3,ושרי
1,3,המדינות
1,3,לפניו
1,4,בהראתו
1,4,את
1,4,עשר
1,4,כבוד
1,4,מלכותו
1,4,ואת
1,4,יקר
1,4,תפארת
1,4,גדולתו
1,4,ימים
1,4,רבים
1,4,שמונים
1,4,ומאת
1,4,יום
1,5,ובמלואת
1,5,הימים
1,5,האלה
1,5,עשה
1,5,המלך
1,5,לכל
1,5,העם
1,5,הנמצאים
1,5,בשושן
1,5,הבירה
1,5,למגדול
1,5,ועד
1,5,קטן
1,5,משתה
1,5,שבעת
1,5,ימים
1,5,בחצר
1,5,גנת
1,5,ביתן
1,5,המלך
1,6,חור
1,6,כרפס
1,6,ותכלת
1,6,אחוז
1,6,בחבלי
1,6,בוץ
1,6,וארגמן
1,6,על
1,6,גלילי
1,6,כסף
1,6,ועמודי
1,6,שש
1,6,מטות
1,6,זהב
1,6,וכסף
1,6,על
1,6,רצפת
1,6,בהט
1,6,ושש
1,6,ודר
1,6,וסחרת
1,7,והשקות
1,7,בכלי
1,7,זהב
1,7,וכלים
1,7,מכלים
1,7,שונים
1,7,ויין
1,7,מלכות
1,7,רב
1,7,כיד
1,7,המלך
1,8,והשתיה
1,8,כדת
1,8,אין
1,8,אנס
1,8,כי
1,8,כן
1,8,יסד
1,8,המלך
1,8,על
1,8,כל
1,8,רב
1,8,ביתו
1,8,לעשות
1,8,כרצון
1,8,איש
1,8,ואיש
1,9,גם
1,9,ושתי
1,9,המלכה
1,9,עשתה
1,9,משתה
1,9,נשים
1,9,בית
1,9,המלכות
1,9,אשר
1,9,למלך
1,9,אחשורוש
1,10,ביום
1,10,השביעי
1,10,כטוב
1,10,לב
1,10,המלך
1,10,ביין
1,10,אמר
1,10,למהומן
1,10,בזתא
1,10,חרבונא
1,10,בגתא
1,10,ואבגתא
1,10,זתר
1,10,וכרכס
1,10,שבעת
1,10,הסריסים
1,10,המשרתים
1,10,את
1,10,פני
1,10,המלך
1,10,אחשורוש
1,11,להביא
1,11,את
1,11,ושתי
1,11,המלכה
1,11,לפני
1,11,המלך
1,11,בכתר
1,11,מלכות
1,11,להראות
1,11,העמים
1,11,והשרים
1,11,את
1,11,יפיה
1,11,כי
1,11,טובת
1,11,מראה
1,11,היא
1,12,ותמאן
1,12,המלכה
1,12,ושתי
1,12,לבוא
1,12,בדבר
1,12,המלך
1,12,אשר
1,12,ביד
1,12,הסריסים
1,12,ויקצף
1,12,המלך
1,12,מאד
1,12,וחמתו
1,12,בערה
1,12,בו
1,13,ויאמר
1,13,המלך
1,13,לחכמים
1,13,ידעי
1,13,העתים
1,13,כי
1,13,כן
1,13,דבר
1,13,המלך
1,13,לפני
1,13,כל
1,13,ידעי
1,13,דת
1,13,ודין
1,14,והקרב
1,14,אליו
1,14,כרשנא
1,14,שתר
1,14,אדמתא
1,14,תרשיש
1,14,מרס
1,14,מרסנא
1,14,ממוכן
1,14,שבעת
1,14,שרי
1,14,פרס
1,14,ומדי
1,14,ראי
1,14,פני
1,14,המלך
1,14,הישבים
1,14,ראשנה
1,14,במלכות
1,15,כדת
1,15,מה
1,15,לעשות
1,15,במלכה
1,15,ושתי
1,15,על
1,15,אשר
1,15,לא
1,15,עשתה
1,15,את
1,15,מאמר
1,15,המלך
1,15,אחשורוש
1,15,ביד
1,15,הסריסים
1,16,ויאמר
1,16,מומכן
1,16,לפני
1,16,המלך
1,16,והשרים
1,16,לא
1,16,על
1,16,המלך
1,16,לבדו
1,16,עותה
1,16,ושתי
1,16,המלכה
1,16,כי
1,16,על
1,16,כל
1,16,השרים
1,16,ועל
1,16,כל
1,16,העמים
1,16,אשר
1,16,בכל
1,16,מדינות
1,16,המלך
1,16,אחשורוש
1,17,כי
1,17,יצא
1,17,דבר
1,17,המלכה
1,17,על
1,17,כל
1,17,הנשים
1,17,להבזות
1,17,בעליהן
1,17,בעיניהן
1,17,באמרם
1,17,המלך
1,17,אחשורוש
1,17,אמר
1,17,להביא
1,17,את
1,17,ושתי
1,17,המלכה
1,17,לפניו
1,17,ולא
1,17,באה
1,18,והיום
1,18,הזה
1,18,תאמרנה
1,18,שרות
1,18,פרס
1,18,ומדי
1,18,אשר
1,18,שמעו
1,18,את
1,18,דבר
1,18,המלכה
1,18,לכל
1,18,שרי
1,18,המלך
1,18,וכדי
1,18,בזיון
1,18,וקצף
1,19,אם
1,19,על
1,19,המלך
1,19,טוב
1,19,יצא
1,19,דבר
1,19,מלכות
1,19,מלפניו
1,19,ויכתב
1,19,בדתי
1,19,פרס
1,19,ומדי
1,19,ולא
1,19,יעבור
1,19,אשר
1,19,לא
1,19,תבוא
1,19,ושתי
1,19,לפני
1,19,המלך
1,19,אחשורוש
1,19,ומלכותה
1,19,יתן
1,19,המלך
1,19,לרעותה
1,19,הטובה
1,19,ממנה
1,20,ונשמע
1,20,פתגם
1,20,המלך
1,20,אשר
1,20,יעשה
1,20,בכל
1,20,מלכותו
1,20,כי
1,20,רבה
1,20,היא
1,20,וכל
1,20,הנשים
1,20,יתנו
1,20,יקר
1,20,לבעליהן
1,20,למגדול
1,20,ועד
1,20,קטן
1,21,וייטב
1,21,הדבר
1,21,בעיני
1,21,המלך
1,21,והשרים
1,21,ויעש
1,21,המלך
1,21,כדבר
1,21,ממוכן
1,22,וישלח
1,22,ספרים
1,22,אל
1,22,כל
1,22,מדינות
1,22,המלך
1,22,אל
1,22,מדינה
1,22,ומדינה
1,22,ככתבה
1,22,ואל
1,22,עם
1,22,ועם
1,22,כלשונו
1,22,להיות
1,22,כל
1,22,איש
1,22,שרר
1,22,בביתו
1,22,ומדבר
1,22,כלשון
1,22,עמו
2,1,אחר
2,1,הדברים
2,1,האלה
2,1,כשך
2,1,חמת
2,1,המלך
2,1,אחשורוש
2,1,זכר
2,1,את
2,1,ושתי
2,1,ואת
2,1,אשר
2,1,עשתה
2,1,ואת
2,1,אשר
2,1,נגזר
2,1,עליה
2,2,ויאמרו
2,2,נערי
2,2,המלך
2,2,משרתיו
2,2,יבקשו
2,2,למלך
2,2,נערות
2,2,בתולות
2,2,טובות
2,2,מראה
2,3,ויפקד
2,3,המלך
2,3,פקידים
2,3,בכל
2,3,מדינות
2,3,מלכותו
2,3,ויקבצו
2,3,את
2,3,כל
2,3,נערה
2,3,בתולה
2,3,טובת
2,3,מראה
2,3,אל
2,3,שושן
2,3,הבירה
2,3,אל
2,3,בית
2,3,הנשים
2,3,אל
2,3,יד
2,3,הגא
2,3,סריס
2,3,המלך
2,3,שמר
2,3,הנשים
2,3,ונתון
2,3,תמרוקיהן
2,4,והנערה
2,4,אשר
2,4,תיטב
2,4,בעיני
2,4,המלך
2,4,תמלך
2,4,תחת
2,4,ושתי
2,4,וייטב
2,4,הדבר
2,4,בעיני
2,4,המלך
2,4,ויעש
2,4,כן
2,5,איש
2,5,יהודי
2,5,היה
2,5,בשושן
2,5,הבירה
2,5,ושמו
2,5,מרדכי
2,5,בן
2,5,יאיר
2,5,בן
2,5,שמעי
2,5,בן
2,5,קיש
2,5,איש
2,5,ימיני
2,6,אשר
2,6,הגלה
2,6,מירושלים
2,6,עם
2,6,הגלה
2,6,אשר
2,6,הגלתה
2,6,עם
2,6,יכניה
2,6,מלך
2,6,יהודה
2,6,אשר
2,6,הגלה
2,6,נבוכדנאצר
2,6,מלך
2,6,בבל
2,7,ויהי
2,7,אמן
2,7,את
2,7,הדסה
2,7,היא
2,7,אסתר
2,7,בת
2,7,דדו
2,7,כי
2,7,אין
2,7,לה
2,7,אב
2,7,ואם
