chapter,verse,word
1,1,איש
1,1,היה
1,1,בארץ
1,1,עוץ
1,1,איוב
1,1,שמו
1,1,והיה
1,1,האיש
1,1,ההוא
1,1,תם
1,1,וישר
1,1,וירא
1,1,אלהים
1,1,וסר
1,1,מרע
1,2,ויולדו
1,2,לו
1,2,שבעה
1,2,בנים
1,2,ושלוש
1,2,בנות
1,3,ויהי
1,3,מקנהו
1,3,שבעת
1,3,אלפי
1,3,צאן
1,3,ושלשת
1,3,אלפי
1,3,גמלים
1,3,וחמש
1,3,מאות
1,3,צמד
1,3,בקר
1,3,וחמש
1,3,מאות
1,3,אתונות
1,3,ועבדה
1,3,רבה
1,3,מאד
1,3,ויהי
1,3,האיש
1,3,ההוא
1,3,גדול
1,3,מכל
1,3,בני
1,3,קדם
1,4,והלכו
1,4,בניו
1,4,ועשו
1,4,משתה
1,4,בית
1,4,איש
1,4,יומו
1,4,ושלחו
1,4,וקראו
1,4,לשלשת
1,4,אחיתיהם
1,4,לאכל
1,4,ולשתות
1,4,עמהם
1,5,ויהי
1,5,כי
1,5,הקיפו
1,5,ימי
1,5,המשתה
1,5,וישלח
1,5,איוב
1,5,ויקדשם
1,5,והשכים
1,5,בבקר
1,5,והעלה
1,5,עלות
1,5,מספר
1,5,כלם
1,5,כי
1,5,אמר
1,5,איוב
1,5,אולי
1,5,חטאו
1,5,בני
1,5,וברכו
1,5,אלהים
1,5,בלבבם
1,5,ככה
1,5,יעשה
1,5,איוב
1,5,כל
1,5,הימים
1,6,ויהי
1,6,היום
1,6,ויבאו
1,6,בני
1,6,האלהים
1,6,להתיצב
1,6,על
1,6,יהוה
1,6,ויבוא
1,6,גם
1,6,השטן
1,6,בתוכם
1,7,ויאמר
1,7,יהוה
1,7,אל
1,7,השטן
1,7,מאין
1,7,תבא
1,7,ויען
1,7,השטן
1,7,את
1,7,יהוה
1,7,ויאמר
1,7,משוט
1,7,בארץ
1,7,ומהתהלך
1,7,בה
1,8,ויאמר
1,8,יהוה
1,8,אל
1,8,השטן
1,8,השמת
1,8,לבך
1,8,על
1,8,עבדי
1,8,איוב
1,8,כי
1,8,אין
1,8,כמהו
1,8,בארץ
1,8,איש
1,8,תם
1,8,וישר
1,8,ירא
1,8,אלהים
1,8,וסר
1,8,מרע
1,9,ויען
1,9,השטן
1,9,את
1,9,יהוה
1,9,ויאמר
1,9,החנם
1,9,ירא
1,9,איוב
1,9,אלהים
1,10,הלא
1,10,את
1,10,שכת
1,10,בעדו
1,10,ובעד
1,10,ביתו
1,10,ובעד
1,10,כל
1,10,אשר
1,10,לו
1,10,מסביב
1,10,מעשה
1,10,ידיו
1,10,ברכת
1,10,ומקנהו
1,10,פרץ
1,10,בארץ
1,11,ואולם
1,11,שלח
1,11,נא
1,11,ידך
1,11,וגע
1,11,בכל
1,11,אשר
1,11,לו
1,11,אם
1,11,לא
1,11,על
1,11,פניך
1,11,יברכך
1,12,ויאמר
1,12,יהוה
1,12,אל
1,12,השטן
1,12,הנה
1,12,כל
1,12,אשר
1,12,לו
1,12,בידך
1,12,רק
1,12,אליו
1,12,אל
1,12,תשלח
1,12,ידך
1,12,ויצא
1,12,השטן
1,12,מעם
1,12,פני
1,12,יהוה
1,13,ויהי
1,13,היום
1,13,ובניו
1,13,ובנתיו
1,13,אכלים
1,13,ושתים
1,13,יין
1,13,בבית
1,13,אחיהם
1,13,הבכור
1,14,ומלאך
1,14,בא
1,14,אל
1,14,איוב
1,14,ויאמר
1,14,הבקר
1,14,היו
1,14,חרשות
1,14,והאתנות
1,14,רעות
1,14,על
1,14,ידיהם
1,15,ותפל
1,15,שבא
1,15,ותקחם
1,15,ואת
1,15,הנערים
1,15,הכו
1,15,לפי
1,15,חרב
1,15,ואמלטה
1,15,רק
1,15,אני
1,15,לבדי
1,15,להגיד
1,15,לך
1,16,עוד
1,16,זה
1,16,מדבר
1,16,וזה
1,16,בא
1,16,ויאמר
1,16,אש
1,16,אלהים
1,16,נפלה
1,16,מן
1,16,השמים
1,16,ותבער
1,16,בצאן
1,16,ובנערים
1,16,ותאכלם
1,16,ואמלטה
1,16,רק
1,16,אני
1,16,לבדי
1,16,להגיד
1,16,לך
1,17,עוד
1,17,זה
1,17,מדבר
1,17,וזה
1,17,בא
1,17,ויאמר
1,17,כשדים
1,17,שמו
1,17,שלשה
1,17,ראשים
1,17,ויפשטו
1,17,על
1,17,הגמלים
1,17,ויקחום
1,17,ואת
1,17,הנערים
1,17,הכו
1,17,לפי
1,17,חרב
1,17,ואמלטה
1,17,רק
1,17,אני
1,17,לבדי
1,17,להגיד
1,17,לך
1,18,עד
1,18,זה
1,18,מדבר
1,18,וזה
1,18,בא
1,18,ויאמר
1,18,בניך
1,18,ובנותיך
1,18,אכלים
1,18,ושתים
1,18,יין
1,18,בבית
1,18,אחיהם
1,18,הבכור
1,19,והנה
1,19,רוח
1,19,גדולה
1,19,באה
1,19,מעבר
1,19,המדבר
