chapter,verse,word
1,1,אשרי
1,1,האיש
1,1,אשר
1,1,לא
1,1,הלך
1,1,בעצת
1,1,רשעים
1,1,ובדרך
1,1,חטאים
1,1,לא
1,1,עמד
1,1,ובמושב
1,1,לצים
1,1,לא
1,1,ישב
1,2,כי
1,2,אם
1,2,בתורת
1,2,יהוה
1,2,חפצו
1,2,ובתורתו
1,2,יהגה
1,2,יומם
1,2,ולילה
1,3,והיה
1,3,כעץ
1,3,שתול
1,3,על
1,3,פלגי
1,3,מים
1,3,אשר
1,3,פריו
1,3,יתן
1,3,בעתו
1,3,ועלהו
1,3,לא
1,3,יבול
1,3,וכל
1,3,אשר
1,3,יעשה
1,3,יצליח
1,4,לא
1,4,כן
1,4,הרשעים
1,4,כי
1,4,אם
1,4,כמץ
1,4,אשר
1,4,תדפנו
1,4,רוח
1,5,על
1,5,כן
1,5,לא
1,5,יקמו
1,5,רשעים
1,5,במשפט
1,5,וחטאים
1,5,בעדת
1,5,צדיקים
1,6,כי
1,6,יודע
1,6,יהוה
1,6,דרך
1,6,צדיקים
1,6,ודרך
1,6,רשעים
1,6,תאבד
2,1,למה
2,1,רגשו
2,1,גוים
2,1,ולאמים
2,1,יהגו
2,1,ריק
2,2,יתיצבו
2,2,מלכי
2,2,ארץ
2,2,ורוזנים
2,2,נוסדו
2,2,יחד
2,2,על
2,2,יהוה
2,2,ועל
2,2,משיחו
2,3,ננתקה
2,3,את
2,3,מוסרותימו
2,3,ונשליכה
2,3,ממנו
2,3,עבתימו
2,4,יושב
2,4,בשמים
2,4,ישחק
2,4,אדני
2,4,ילעג
2,4,למו
2,5,אז
2,5,ידבר
2,5,אלימו
2,5,באפו
2,5,ובחרונו
2,5,יבהלמו
2,6,ואני
2,6,נסכתי
2,6,מלכי
2,6,על
2,6,ציון
2,6,הר
2,6,קדשי
2,7,אספרה
2,7,אל
2,7,חק
2,7,יהוה
2,7,אמר
2,7,אלי
2,7,בני
2,7,אתה
2,7,אני
2,7,היום
2,7,ילדתיך
2,8,שאל
2,8,ממני
2,8,ואתנה
2,8,גוים
2,8,נחלתך
2,8,ואחזתך
2,8,אפסי
2,8,ארץ
2,9,תרעם
2,9,בשבט
2,9,ברזל
2,9,ככלי
2,9,יוצר
2,9,תנפצם
2,10,ועתה
2,10,מלכים
2,10,השכילו
2,10,הוסרו
2,10,שפטי
2,10,ארץ
2,11,עבדו
2,11,את
2,11,יהוה
2,11,ביראה
2,11,וגילו
2,11,ברעדה
2,12,נשקו
2,12,בר
2,12,פן
2,12,יאנף
2,12,ותאבדו
2,12,דרך
2,12,כי
2,12,יבער
2,12,כמעט
2,12,אפו
2,12,אשרי
2,12,כל
2,12,חוסי
2,12,בו
3,1,מזמור
3,1,לדוד
3,1,בברחו
3,1,מפני
3,1,אבשלום
3,1,בנו
3,1,יהוה
3,1,מה
3,1,רבו
3,1,צרי
3,1,רבים
3,1,קמים
3,1,עלי
3,2,רבים
3,2,אמרים
3,2,לנפשי
3,2,אין
3,2,ישועתה
3,2,לו
3,2,באלהים
3,2,סלה
3,3,ואתה
3,3,יהוה
3,3,מגן
3,3,בעדי
3,3,כבודי
3,3,ומרים
3,3,ראשי
3,4,קולי
3,4,אל
3,4,יהוה
3,4,אקרא
3,4,ויענני
3,4,מהר
3,4,קדשו
3,4,סלה
3,5,אני
3,5,שכבתי
3,5,ואישנה
3,5,הקיצותי
3,5,כי
3,5,יהוה
3,5,יסמכני
3,6,לא
3,6,אירא
3,6,מרבבות
3,6,עם
3,6,אשר
3,6,סביב
3,6,שתו
3,6,עלי
3,7,קומה
3,7,יהוה
3,7,הושיעני
3,7,אלהי
3,7,כי
3,7,הכית
3,7,את
3,7,כל
3,7,איבי
3,7,לחי
3,7,שני
3,7,רשעים
3,7,שברת
3,8,ליהוה
3,8,הישועה
3,8,על
3,8,עמך
3,8,ברכתך
3,8,סלה
4,1,למנצח
4,1,בנגינות
4,1,מזמור
4,1,לדוד
4,1,בקראי
4,1,ענני
4,1,אלהי
4,1,צדקי
4,1,בצר
4,1,הרחבת
4,1,לי
4,1,חנני
4,1,ושמע
4,1,תפלתי
4,2,בני
4,2,איש
4,2,עד
4,2,מה
4,2,כבודי
4,2,לכלמה
4,2,תאהבון
4,2,ריק
4,2,תבקשו
4,2,כזב
4,2,סלה
4,3,ודעו
4,3,כי
4,3,הפלה
4,3,יהוה
4,3,חסיד
4,3,לו
4,3,יהוה
4,3,ישמע
4,3,בקראי
4,3,אליו
4,4,רגזו
4,4,ואל
4,4,תחטאו
4,4,אמרו
4,4,בלבבכם
4,4,על
4,4,משכבכם
4,4,ודמו
4,4,סלה
4,5,זבחו
4,5,זבחי
4,5,צדק
4,5,ובטחו
