chapter,verse,word
1,1,ואלה
1,1,שמות
1,1,בני
1,1,ישראל
1,1,הבאים
1,1,מצרימה
1,1,את
1,1,יעקב
1,1,איש
1,1,וביתו
1,1,באו
1,2,ראובן
1,2,שמעון
1,2,לוי
1,2,ויהודה
1,3,יששכר
1,3,זבולן
1,3,ובנימן
1,4,דן
1,4,ונפתלי
1,4,גד
1,4,ואשר
1,5,ויהי
1,5,כל
1,5,נפש
1,5,יצאי
1,5,ירך
1,5,יעקב
1,5,שבעים
1,5,נפש
1,5,ויוסף
1,5,היה
1,5,במצרים
1,6,וימת
1,6,יוסף
1,6,וכל
1,6,אחיו
1,6,וכל
1,6,הדור
1,6,ההוא
1,7,ובני
1,7,ישראל
1,7,פרו
1,7,וישרצו
1,7,וירבו
1,7,ויעצמו
1,7,במאד
1,7,מאד
1,7,ותמלא
1,7,הארץ
1,7,אתם
1,8,ויקם
1,8,מלך
1,8,חדש
1,8,על
1,8,מצרים
1,8,אשר
1,8,לא
1,8,ידע
1,8,את
1,8,יוסף
1,9,ויאמר
1,9,אל
1,9,עמו
1,9,הנה
1,9,עם
1,9,בני
1,9,ישראל
1,9,רב
1,9,ועצום
1,9,ממנו
1,10,הבה
1,10,נתחכמה
1,10,לו
1,10,פן
1,10,ירבה
1,10,והיה
1,10,כי
1,10,תקראנה
1,10,מלחמה
1,10,ונוסף
1,10,גם
1,10,הוא
1,10,על
1,10,שנאינו
1,10,ונלחם
1,10,בנו
1,10,ועלה
1,10,מן
1,10,הארץ
1,11,וישימו
1,11,עליו
1,11,שרי
1,11,מסים
1,11,למען
1,11,ענתו
1,11,בסבלתם
1,11,ויבן
1,11,ערי
1,11,מסכנות
1,11,לפרעה
1,11,את
1,11,פתם
1,11,ואת
1,11,רעמסס
1,12,וכאשר
1,12,יענו
1,12,אתו
1,12,כן
1,12,ירבה
1,12,וכן
1,12,יפרץ
1,12,ויקצו
1,12,מפני
1,12,בני
1,12,ישראל
1,13,ויעבדו
1,13,מצרים
1,13,את
1,13,בני
1,13,ישראל
1,13,בפרך
1,14,וימררו
1,14,את
1,14,חייהם
1,14,בעבדה
1,14,קשה
1,14,בחמר
1,14,ובלבנים
1,14,ובכל
1,14,עבדה
1,14,בשדה
1,14,את
1,14,כל
1,14,עבדתם
1,14,אשר
1,14,עבדו
1,14,בהם
1,14,בפרך
1,15,ויאמר
1,15,מלך
1,15,מצרים
1,15,למילדת
1,15,העברית
1,15,אשר
1,15,שם
1,15,האחת
1,15,שפרה
1,15,ושם
1,15,השנית
1,15,פועה
1,16,ויאמר
1,16,בילדכן
1,16,את
1,16,העבריות
1,16,וראיתן
1,16,על
1,16,האבנים
1,16,אם
1,16,בן
1,16,הוא
1,16,והמתן
1,16,אתו
1,16,ואם
1,16,בת
1,16,היא
1,16,וחיה
1,17,ותיראן
1,17,המילדת
1,17,את
1,17,האלהים
1,17,ולא
1,17,עשו
1,17,כאשר
1,17,דבר
1,17,אליהן
1,17,מלך
1,17,מצרים
1,17,ותחיין
1,17,את
1,17,הילדים
1,18,ויקרא
1,18,מלך
1,18,מצרים
1,18,למילדת
1,18,ויאמר
1,18,להן
1,18,מדוע
1,18,עשיתן
1,18,הדבר
1,18,הזה
1,18,ותחיין
1,18,את
1,18,הילדים
1,19,ותאמרן
1,19,המילדת
1,19,אל
1,19,פרעה
1,19,כי
1,19,לא
1,19,כנשים
1,19,המצרית
