chapter,verse,word
1,1,משלי
1,1,שלמה
1,1,בן
1,1,דוד
1,1,מלך
1,1,ישראל
1,2,לדעת
1,2,חכמה
1,2,ומוסר
1,2,להבין
1,2,אמרי
1,2,בינה
1,3,לקחת
1,3,מוסר
1,3,השכל
1,3,צדק
1,3,ומשפט
1,3,ומישרים
1,4,לתת
1,4,לפתאים
1,4,ערמה
1,4,לנער
1,4,דעת
1,4,ומזמה
1,5,ישמע
1,5,חכם
1,5,ויוסף
1,5,לקח
1,5,ונבון
1,5,תחבלות
1,5,יקנה
1,6,להבין
1,6,משל
1,6,ומליצה
1,6,דברי
1,6,חכמים
1,6,וחידתם
1,7,יראת
1,7,יהוה
1,7,ראשית
1,7,דעת
1,7,חכמה
1,7,ומוסר
1,7,אוילים
1,7,בזו
1,8,שמע
1,8,בני
1,8,מוסר
1,8,אביך
1,8,ואל
1,8,תטש
1,8,תורת
1,8,אמך
1,9,כי
1,9,לוית
1,9,חן
1,9,הם
1,9,לראשך
1,9,וענקים
1,9,לגרגרתיך
1,10,בני
1,10,אם
1,10,יפתוך
1,10,חטאים
1,10,אל
1,10,תבא
1,11,אם
1,11,יאמרו
1,11,לכה
1,11,אתנו
1,11,נארבה
1,11,לדם
1,11,נצפנה
1,11,לנקי
1,11,חנם
1,12,נבלעם
1,12,כשאול
1,12,חיים
1,12,ותמימים
1,12,כיורדי
1,12,בור
1,13,כל
1,13,הון
1,13,יקר
1,13,נמצא
1,13,נמלא
1,13,בתינו
1,13,שלל
1,14,גורלך
1,14,תפיל
1,14,בתוכנו
1,14,כיס
1,14,אחד
1,14,יהיה
1,14,לכלנו
1,15,בני
1,15,אל
1,15,תלך
1,15,בדרך
1,15,אתם
1,15,מנע
1,15,רגלך
1,15,מנתיבתם
1,16,כי
1,16,רגליהם
1,16,לרע
1,16,ירוצו
1,16,וימהרו
1,16,לשפך
1,16,דם
1,17,כי
1,17,חנם
1,17,מזרה
1,17,הרשת
1,17,בעיני
1,17,כל
1,17,בעל
1,17,כנף
1,18,והם
1,18,לדמם
1,18,יארבו
1,18,יצפנו
1,18,לנפשתם
1,19,כן
1,19,ארחות
1,19,כל
1,19,בצע
1,19,בצע
1,19,את
1,19,נפש
1,19,בעליו
1,19,יקח
1,20,חכמות
1,20,בחוץ
1,20,תרנה
1,20,ברחבות
1,20,תתן
1,20,קולה
1,21,בראש
1,21,המיות
1,21,תקרא
1,21,בפתחי
1,21,שערים
1,21,בעיר
1,21,אמריה
1,21,תאמר
1,22,עד
1,22,מתי
1,22,פתים
1,22,תאהבו
1,22,פתי
1,22,ולצים
1,22,לצון
1,22,חמדו
1,22,להם
1,22,וכסילים
1,22,ישנאו
1,22,דעת
1,23,תשובו
1,23,לתוכחתי
1,23,הנה
1,23,אביעה
1,23,לכם
1,23,רוחי
1,23,אודיעה
1,23,דברי
1,23,אתכם
1,24,יען
1,24,קראתי
1,24,ותמאנו
1,24,נטיתי
1,24,ידי
1,24,ואין
1,24,מקשיב
1,25,ותפרעו
1,25,כל
1,25,עצתי
1,25,ותוכחתי
1,25,לא
1,25,אביתם
1,26,גם
1,26,אני
1,26,באידכם
1,26,אשחק
1,26,אלעג
1,26,בבא
1,26,פחדכם
1,27,בבא
1,27,כשאוה
1,27,פחדכם
1,27,ואידכם
1,27,כסופה
1,27,יאתה
1,27,בבא
1,27,עליכם
1,27,צרה
1,27,וצוקה
1,28,אז
1,28,יקראנני
1,28,ולא
1,28,אענה
1,28,ישחרנני
1,28,ולא
1,28,ימצאנני
1,29,תחת
1,29,כי
1,29,שנאו
1,29,דעת
1,29,ויראת
1,29,יהוה
1,29,לא
1,29,בחרו
1,30,לא
1,30,אבו
1,30,לעצתי
1,30,נאצו
1,30,כל
1,30,תוכחתי
1,31,ויאכלו
1,31,מפרי
1,31,דרכם
1,31,וממעצתיהם
1,31,ישבעו
1,32,כי
1,32,משובת
1,32,פתים
1,32,תהרגם
1,32,ושלות
1,32,כסילים
1,32,תאבדם
1,33,ושמע
1,33,לי
1,33,ישכן
1,33,בטח
1,33,ושאנן
1,33,מפחד
1,33,רעה
2,1,בני
2,1,אם
2,1,תקח
2,1,אמרי
2,1,ומצותי
2,1,תצפן
2,1,אתך
2,2,להקשיב
2,2,לחכמה
2,2,אזנך
2,2,תטה
2,2,לבך
2,2,לתבונה
2,3,כי
2,3,אם
2,3,לבינה
2,3,תקרא
2,3,לתבונה
2,3,תתן
2,3,קולך
2,4,אם
2,4,תבקשנה
2,4,ככסף
2,4,וכמטמונים
2,4,תחפשנה
2,5,אז
2,5,תבין
2,5,יראת
2,5,יהוה
2,5,ודעת
2,5,אלהים
2,5,תמצא
2,6,כי
2,6,יהוה
2,6,יתן
2,6,חכמה
2,6,מפיו
2,6,דעת
2,6,ותבונה
2,7,וצפן
2,7,לישרים
2,7,תושיה
2,7,מגן
2,7,להלכי
2,7,תם
2,8,לנצר
2,8,ארחות
2,8,משפט
2,8,ודרך
2,8,חסידו
2,8,ישמר
2,9,אז
2,9,תבין
2,9,צדק
2,9,ומשפט
2,9,ומישרים
2,9,כל
2,9,מעגל
2,9,טוב
2,10,כי
2,10,תבוא
2,10,חכמה
2,10,בלבך
2,10,ודעת
2,10,לנפשך
2,10,ינעם
2,11,מזמה
2,11,תשמר
2,11,עליך
2,11,תבונה
2,11,תנצרכה
2,12,להצילך
2,12,מדרך
2,12,רע
2,12,מאיש
2,12,מדבר
2,12,תהפכות
2,13,העזבים
2,13,ארחות
2,13,ישר
2,13,ללכת
2,13,בדרכי
2,13,חשך
2,14,השמחים
2,14,לעשות
2,14,רע
2,14,יגילו
2,14,בתהפכות
2,14,רע
2,15,אשר
2,15,ארחתיהם
2,15,עקשים
2,15,ונלוזים
2,15,במעגלותם
2,16,להצילך
2,16,מאשה
2,16,זרה
2,16,מנכריה
2,16,אמריה
2,16,החליקה
2,17,העזבת
2,17,אלוף
2,17,נעוריה
2,17,ואת
2,17,ברית
2,17,אלהיה
2,17,שכחה
2,18,כי
2,18,שחה
2,18,אל
2,18,מות
2,18,ביתה
2,18,ואל
2,18,רפאים
2,18,מעגלתיה
2,19,כל
2,19,באיה
2,19,לא
2,19,ישובון
2,19,ולא
2,19,ישיגו
2,19,ארחות
2,19,חיים
2,20,למען
2,20,תלך
2,20,בדרך
2,20,טובים
2,20,וארחות
2,20,צדיקים
