chapter,verse,word
1,1,דברי
1,1,קהלת
1,1,בן
1,1,דוד
1,1,מלך
1,1,בירושלם
1,2,הבל
1,2,הבלים
1,2,אמר
1,2,קהלת
1,2,הבל
1,2,הבלים
1,2,הכל
1,2,הבל
1,3,מה
1,3,יתרון
1,3,לאדם
1,3,בכל
1,3,עמלו
1,3,שיעמל
1,3,תחת
1,3,השמש
1,4,דור
1,4,הלך
1,4,ודור
1,4,בא
1,4,והארץ
1,4,לעולם
1,4,עמדת
1,5,וזרח
1,5,השמש
1,5,ובא
1,5,השמש
1,5,ואל
1,5,מקומו
1,5,שואף
1,5,זורח
1,5,הוא
1,5,שם
1,6,הולך
1,6,אל
1,6,דרום
1,6,וסובב
1,6,אל
1,6,צפון
1,6,סובב
1,6,סבב
1,6,הולך
1,6,הרוח
1,6,ועל
1,6,סביבתיו
1,6,שב
1,6,הרוח
1,7,כל
1,7,הנחלים
1,7,הלכים
1,7,אל
1,7,הים
1,7,והים
1,7,איננו
1,7,מלא
1,7,אל
1,7,מקום
1,7,שהנחלים
1,7,הלכים
1,7,שם
1,7,הם
1,7,שבים
1,7,ללכת
1,8,כל
1,8,הדברים
1,8,יגעים
1,8,לא
1,8,יוכל
1,8,איש
1,8,לדבר
1,8,לא
1,8,תשבע
1,8,עין
1,8,לראות
1,8,ולא
1,8,תמלא
1,8,אזן
1,8,משמע
1,9,מה
1,9,שהיה
1,9,הוא
1,9,שיהיה
1,9,ומה
1,9,שנעשה
1,9,הוא
1,9,שיעשה
1,9,ואין
1,9,כל
1,9,חדש
1,9,תחת
1,9,השמש
1,10,יש
1,10,דבר
1,10,שיאמר
1,10,ראה
1,10,זה
1,10,חדש
1,10,הוא
1,10,כבר
1,10,היה
1,10,לעלמים
1,10,אשר
1,10,היה
1,10,מלפננו
1,11,אין
1,11,זכרון
1,11,לראשנים
1,11,וגם
1,11,לאחרנים
1,11,שיהיו
1,11,לא
1,11,יהיה
1,11,להם
1,11,זכרון
1,11,עם
1,11,שיהיו
1,11,לאחרנה
1,12,אני
1,12,קהלת
1,12,הייתי
1,12,מלך
1,12,על
1,12,ישראל
1,12,בירושלם
1,13,ונתתי
1,13,את
1,13,לבי
1,13,לדרוש
1,13,ולתור
1,13,בחכמה
1,13,על
1,13,כל
1,13,אשר
1,13,נעשה
1,13,תחת
1,13,השמים
1,13,הוא
1,13,ענין
1,13,רע
1,13,נתן
1,13,אלהים
1,13,לבני
1,13,האדם
1,13,לענות
1,13,בו
1,14,ראיתי
1,14,את
1,14,כל
1,14,המעשים
1,14,שנעשו
1,14,תחת
1,14,השמש
1,14,והנה
1,14,הכל
1,14,הבל
1,14,ורעות
1,14,רוח
1,15,מעות
1,15,לא
1,15,יוכל
1,15,לתקן
1,15,וחסרון
1,15,לא
1,15,יוכל
1,15,להמנות
1,16,דברתי
1,16,אני
1,16,עם
1,16,לבי
1,16,לאמר
1,16,אני
1,16,הנה
1,16,הגדלתי
1,16,והוספתי
1,16,חכמה
1,16,על
1,16,כל
1,16,אשר
1,16,היה
1,16,לפני
1,16,על
1,16,ירושלם
1,16,ולבי
1,16,ראה
1,16,הרבה
1,16,חכמה
1,16,ודעת
1,17,ואתנה
1,17,לבי
1,17,לדעת
1,17,חכמה
1,17,ודעת
1,17,הוללות
1,17,ושכלות
1,17,ידעתי
1,17,שגם
1,17,זה
1,17,הוא
1,17,רעיון
1,17,רוח
1,18,כי
1,18,ברב
1,18,חכמה
1,18,רב
1,18,כעס
1,18,ויוסיף
1,18,דעת
1,18,יוסיף
1,18,מכאוב
2,1,אמרתי
2,1,אני
2,1,בלבי
2,1,לכה
2,1,נא
2,1,אנסכה
2,1,בשמחה
2,1,וראה
2,1,בטוב
2,1,והנה
2,1,גם
2,1,הוא
2,1,הבל
2,2,לשחוק
2,2,אמרתי
2,2,מהולל
2,2,ולשמחה
2,2,מה
2,2,זה
2,2,עשה
2,3,תרתי
2,3,בלבי
2,3,למשוך
2,3,ביין
2,3,את
2,3,בשרי
2,3,ולבי
2,3,נהג
2,3,בחכמה
2,3,ולאחז
2,3,בסכלות
2,3,עד
2,3,אשר
2,3,אראה
2,3,אי
2,3,זה
2,3,טוב
2,3,לבני
2,3,האדם
2,3,אשר
2,3,יעשו
2,3,תחת
2,3,השמים
2,3,מספר
2,3,ימי
2,3,חייהם
2,4,הגדלתי
2,4,מעשי
2,4,בניתי
2,4,לי
2,4,בתים
2,4,נטעתי
2,4,לי
2,4,כרמים
2,5,עשיתי
2,5,לי
2,5,גנות
2,5,ופרדסים
2,5,ונטעתי
2,5,בהם
2,5,עץ
2,5,כל
2,5,פרי
2,6,עשיתי
2,6,לי
2,6,ברכות
2,6,מים
2,6,להשקות
2,6,מהם
2,6,יער
2,6,צומח
2,6,עצים
2,7,קניתי
2,7,עבדים
2,7,ושפחות
2,7,ובני
