chapter,verse,word
1,1,שיר
1,1,השירים
1,1,אשר
1,1,לשלמה
1,2,ישקני
1,2,מנשיקות
1,2,פיהו
1,2,כי
1,2,טובים
1,2,דדיך
1,2,מיין
1,3,לריח
1,3,שמניך
1,3,טובים
1,3,שמן
1,3,תורק
1,3,שמך
1,3,על
1,3,כן
1,3,עלמות
1,3,אהבוך
1,4,משכני
1,4,אחריך
1,4,נרוצה
1,4,הביאני
1,4,המלך
1,4,חדריו
1,4,נגילה
1,4,ונשמחה
1,4,בך
1,4,נזכירה
1,4,דדיך
1,4,מיין
1,4,מישרים
1,4,אהבוך
1,5,שחורה
1,5,אני
1,5,ונאוה
1,5,בנות
1,5,ירושלם
1,5,כאהלי
1,5,קדר
1,5,כיריעות
1,5,שלמה
1,6,אל
1,6,תראוני
1,6,שאני
1,6,שחרחרת
1,6,ששזפתני
1,6,השמש
1,6,בני
1,6,אמי
1,6,נחרו
1,6,בי
1,6,שמני
1,6,נטרה
1,6,את
1,6,הכרמים
1,6,כרמי
1,6,שלי
1,6,לא
1,6,נטרתי
1,7,הגידה
1,7,לי
1,7,שאהבה
1,7,נפשי
1,7,איכה
1,7,תרעה
1,7,איכה
1,7,תרביץ
1,7,בצהרים
1,7,שלמה
1,7,אהיה
1,7,כעטיה
1,7,על
1,7,עדרי
1,7,חבריך
1,8,אם
1,8,לא
1,8,תדעי
1,8,לך
1,8,היפה
1,8,בנשים
1,8,צאי
1,8,לך
1,8,בעקבי
1,8,הצאן
1,8,ורעי
1,8,את
1,8,גדיתיך
1,8,על
1,8,משכנות
1,8,הרעים
1,9,לססתי
1,9,ברכבי
1,9,פרעה
1,9,דמיתיך
1,9,רעיתי
1,10,נאוו
1,10,לחייך
1,10,בתרים
1,10,צוארך
1,10,בחרוזים
1,11,תורי
1,11,זהב
1,11,נעשה
1,11,לך
1,11,עם
1,11,נקדות
1,11,הכסף
1,12,עד
1,12,שהמלך
1,12,במסבו
1,12,נרדי
1,12,נתן
1,12,ריחו
1,13,צרור
1,13,המר
1,13,דודי
1,13,לי
1,13,בין
1,13,שדי
1,13,ילין
1,14,אשכל
1,14,הכפר
1,14,דודי
1,14,לי
1,14,בכרמי
1,14,עין
1,14,גדי
1,15,הנך
1,15,יפה
1,15,רעיתי
1,15,הנך
1,15,יפה
1,15,עיניך
1,15,יונים
1,16,הנך
1,16,יפה
1,16,דודי
1,16,אף
1,16,נעים
1,16,אף
1,16,ערשנו
1,16,רעננה
1,17,קרות
1,17,בתינו
1,17,ארזים
1,17,רחיטנו
1,17,ברותים
2,1,אני
2,1,חבצלת
2,1,השרון
2,1,שושנת
2,1,העמקים
2,2,כשושנה
2,2,בין
2,2,החוחים
2,2,כן
2,2,רעיתי
2,2,בין
2,2,הבנות
2,3,כתפוח
2,3,בעצי
2,3,היער
2,3,כן
2,3,דודי
2,3,בין
2,3,הבנים
2,3,בצלו
2,3,חמדתי
2,3,וישבתי
2,3,ופריו
2,3,מתוק
2,3,לחכי
2,4,הביאני
2,4,אל
2,4,בית
2,4,היין
2,4,ודגלו
2,4,עלי
2,4,אהבה
2,5,סמכוני
2,5,באשישות
2,5,רפדוני
2,5,בתפוחים
2,5,כי
2,5,חולת
2,5,אהבה
2,5,אני
2,6,שמאלו
2,6,תחת
2,6,לראשי
2,6,וימינו
2,6,תחבקני
2,7,השבעתי
2,7,אתכם
2,7,בנות
2,7,ירושלם
2,7,בצבאות
2,7,או
2,7,באילות
2,7,השדה
2,7,אם
2,7,תעירו
2,7,ואם
2,7,תעוררו
2,7,את
2,7,האהבה
2,7,עד
2,7,שתחפץ
2,8,קול
2,8,דודי
2,8,הנה
2,8,זה
2,8,בא
2,8,מדלג
2,8,על
2,8,ההרים
2,8,מקפץ
2,8,על
2,8,הגבעות
2,9,דומה
2,9,דודי
2,9,לצבי
2,9,או
2,9,לעפר
2,9,האילים
2,9,הנה
2,9,זה
2,9,עומד
2,9,אחר
2,9,כתלנו
2,9,משגיח
2,9,מן
2,9,החלנות
2,9,מציץ
2,9,מן
2,9,החרכים
2,10,ענה
2,10,דודי
2,10,ואמר
2,10,לי
2,10,קומי
2,10,לך
2,10,רעיתי
2,10,יפתי
2,10,ולכי
2,10,לך
2,11,כי
2,11,הנה
2,11,הסתו
2,11,עבר
2,11,הגשם
2,11,חלף
2,11,הלך
2,11,לו
2,12,הנצנים
2,12,נראו
2,12,בארץ
2,12,עת
2,12,הזמיר
2,12,הגיע
2,12,וקול
2,12,התור
2,12,נשמע
2,12,בארצנו
2,13,התאנה
2,13,חנטה
2,13,פגיה
2,13,והגפנים
2,13,סמדר
2,13,נתנו
2,13,ריח
2,13,קומי
2,13,לכי
2,13,רעיתי
2,13,יפתי
2,13,ולכי
2,13,לך
2,14,יונתי
2,14,בחגוי
2,14,הסלע
2,14,בסתר
2,14,המדרגה
2,14,הראיני
2,14,את
2,14,מראיך
2,14,השמיעיני
2,14,את
2,14,קולך
2,14,כי
2,14,קולך
2,14,ערב
2,14,ומראיך
2,14,נאוה
2,15,אחזו
2,15,לנו
2,15,שועלים
2,15,שועלים
2,15,קטנים
2,15,מחבלים
2,15,כרמים
2,15,וכרמינו
2,15,סמדר
2,16,דודי
2,16,לי
2,16,ואני
2,16,לו
2,16,הרעה
2,16,בשושנים
2,17,עד
2,17,שיפוח
2,17,היום
2,17,ונסו
2,17,הצללים
2,17,סב
2,17,דמה
2,17,לך
2,17,דודי
2,17,לצבי
2,17,או
2,17,לעפר
2,17,האילים
2,17,על
2,17,הרי
2,17,בתר
3,1,על
3,1,משכבי
3,1,בלילות
3,1,בקשתי
3,1,את
3,1,שאהבה
3,1,נפשי
3,1,בקשתיו
3,1,ולא
3,1,מצאתיו
3,2,אקומה
3,2,נא
3,2,ואסובבה
3,2,בעיר
3,2,בשוקים
3,2,וברחבות
3,2,אבקשה
3,2,את
3,2,שאהבה
3,2,נפשי
3,2,בקשתיו
3,2,ולא
3,2,מצאתיו
3,3,מצאוני
3,3,השמרים
3,3,הסבבים
3,3,בעיר
3,3,את
3,3,שאהבה
3,3,נפשי
3,3,ראיתם
3,4,כמעט
3,4,שעברתי
3,4,מהם
3,4,עד
3,4,שמצאתי
3,4,את
3,4,שאהבה
3,4,נפשי
3,4,אחזתיו
3,4,ולא
3,4,ארפנו
3,4,עד
3,4,שהביאתיו
3,4,אל
3,4,בית
3,4,אמי
3,4,ואל
3,4,חדר
3,4,הורתי
3,5,השבעתי
3,5,אתכם
3,5,בנות
3,5,ירושלם
3,5,בצבאות
3,5,או
3,5,באילות
3,5,השדה
3,5,אם
3,5,תעירו
3,5,ואם
3,5,תעוררו
3,5,את
3,5,האהבה
3,5,עד
3,5,שתחפץ
3,6,מי
3,6,זאת
3,6,עלה
3,6,מן
3,6,המדבר
3,6,כתימרות
3,6,עשן
3,6,מקטרת
3,6,מור
3,6,ולבונה
3,6,מכל
3,6,אבקת
3,6,רוכל
3,7,הנה
3,7,מטתו
3,7,שלשלמה
3,7,ששים
3,7,גברים
3,7,סביב
3,7,לה
3,7,מגברי
3,7,ישראל
3,8,כלם
3,8,אחזי
3,8,חרב
3,8,מלמדי
3,8,מלחמה
3,8,איש
3,8,חרבו
3,8,על
3,8,ירכו
3,8,מפחד
3,8,בלילות
3,9,אפריון
3,9,עשה
3,9,לו
3,9,המלך
3,9,שלמה
3,9,מעצי
3,9,הלבנון
3,10,עמודיו
3,10,עשה
3,10,כסף
3,10,רפידתו
3,10,זהב
3,10,מרכבו
3,10,ארגמן
3,10,תוכו
3,10,רצוף
3,10,אהבה
3,10,מבנות
3,10,ירושלם
3,11,צאינה
3,11,וראינה
3,11,בנות
3,11,ציון
3,11,במלך
3,11,שלמה
3,11,בעטרה
3,11,שעטרה
3,11,לו
3,11,אמו
3,11,ביום
3,11,חתנתו
3,11,וביום
3,11,שמחת
3,11,לבו
4,1,הנך
4,1,יפה
4,1,רעיתי
4,1,הנך
