chapter,verse,word
1,1,חזון
1,1,ישעיהו
1,1,בן
1,1,אמוץ
1,1,אשר
1,1,חזה
1,1,על
1,1,יהודה
1,1,וירושלם
1,1,בימי
1,1,עזיהו
1,1,יותם
1,1,אחז
1,1,יחזקיהו
1,1,מלכי
1,1,יהודה
1,2,שמעו
1,2,שמים
1,2,והאזיני
1,2,ארץ
1,2,כי
1,2,יהוה
1,2,דבר
1,2,בנים
1,2,גדלתי
1,2,ורוממתי
1,2,והם
1,2,פשעו
1,2,בי
1,3,ידע
1,3,שור
1,3,קנהו
1,3,וחמור
1,3,אבוס
1,3,בעליו
1,3,ישראל
1,3,לא
1,3,ידע
1,3,עמי
1,3,לא
1,3,התבונן
1,4,הוי
1,4,גוי
1,4,חטא
1,4,עם
1,4,כבד
1,4,עון
1,4,זרע
1,4,מרעים
1,4,בנים
1,4,משחיתים
1,4,עזבו
1,4,את
1,4,יהוה
1,4,נאצו
1,4,את
1,4,קדוש
1,4,ישראל
1,4,נזרו
1,4,אחור
1,5,על
1,5,מה
1,5,תכו
1,5,עוד
1,5,תוסיפו
1,5,סרה
1,5,כל
1,5,ראש
1,5,לחלי
1,5,וכל
1,5,לבב
1,5,דוי
1,6,מכף
1,6,רגל
1,6,ועד
1,6,ראש
1,6,אין
1,6,בו
1,6,מתם
1,6,פצע
1,6,וחבורה
1,6,ומכה
1,6,טריה
1,6,לא
1,6,זרו
1,6,ולא
1,6,חבשו
1,6,ולא
1,6,רככה
1,6,בשמן
1,7,ארצכם
1,7,שממה
1,7,עריכם
1,7,שרפות
1,7,אש
1,7,אדמתכם
1,7,לנגדכם
1,7,זרים
1,7,אכלים
1,7,אתה
1,7,ושממה
1,7,כמהפכת
1,7,זרים
1,8,ונותרה
1,8,בת
1,8,ציון
1,8,כסכה
1,8,בכרם
1,8,כמלונה
1,8,במקשה
1,8,כעיר
1,8,נצורה
1,9,לולי
1,9,יהוה
1,9,צבאות
1,9,הותיר
1,9,לנו
1,9,שריד
1,9,כמעט
1,9,כסדם
1,9,היינו
1,9,לעמרה
1,9,דמינו
1,10,שמעו
1,10,דבר
1,10,יהוה
1,10,קציני
1,10,סדם
1,10,האזינו
1,10,תורת
1,10,אלהינו
1,10,עם
1,10,עמרה
1,11,למה
1,11,לי
1,11,רב
1,11,זבחיכם
1,11,יאמר
1,11,יהוה
1,11,שבעתי
1,11,עלות
1,11,אילים
1,11,וחלב
1,11,מריאים
1,11,ודם
1,11,פרים
1,11,וכבשים
1,11,ועתודים
1,11,לא
1,11,חפצתי
1,12,כי
1,12,תבאו
1,12,לראות
1,12,פני
1,12,מי
1,12,בקש
1,12,זאת
1,12,מידכם
1,12,רמס
1,12,חצרי
1,13,לא
1,13,תוסיפו
1,13,הביא
1,13,מנחת
1,13,שוא
1,13,קטרת
1,13,תועבה
1,13,היא
1,13,לי
1,13,חדש
1,13,ושבת
1,13,קרא
1,13,מקרא
1,13,לא
1,13,אוכל
1,13,און
1,13,ועצרה
1,14,חדשיכם
1,14,ומועדיכם
1,14,שנאה
1,14,נפשי
1,14,היו
1,14,עלי
1,14,לטרח
1,14,נלאיתי
1,14,נשא
1,15,ובפרשכם
1,15,כפיכם
1,15,אעלים
1,15,עיני
1,15,מכם
1,15,גם
1,15,כי
1,15,תרבו
1,15,תפלה
1,15,אינני
1,15,שמע
1,15,ידיכם
1,15,דמים
1,15,מלאו
1,16,רחצו
1,16,הזכו
1,16,הסירו
1,16,רע
1,16,מעלליכם
1,16,מנגד
1,16,עיני
1,16,חדלו
1,16,הרע
1,17,למדו
1,17,היטב
1,17,דרשו
1,17,משפט
1,17,אשרו
1,17,חמוץ
1,17,שפטו
1,17,יתום
1,17,ריבו
1,17,אלמנה
1,18,לכו
1,18,נא
1,18,ונוכחה
1,18,יאמר
1,18,יהוה
1,18,אם
1,18,יהיו
1,18,חטאיכם
1,18,כשנים
1,18,כשלג
1,18,ילבינו
1,18,אם
1,18,יאדימו
1,18,כתולע
1,18,כצמר
1,18,יהיו
1,19,אם
1,19,תאבו
1,19,ושמעתם
1,19,טוב
1,19,הארץ
1,19,תאכלו
1,20,ואם
1,20,תמאנו
1,20,ומריתם
1,20,חרב
1,20,תאכלו
1,20,כי
1,20,פי
1,20,יהוה
1,20,דבר
1,21,איכה
1,21,היתה
1,21,לזונה
1,21,קריה
1,21,נאמנה
1,21,מלאתי
1,21,משפט
1,21,צדק
1,21,ילין
1,21,בה
1,21,ועתה
1,21,מרצחים
1,22,כספך
1,22,היה
1,22,לסיגים
1,22,סבאך
1,22,מהול
1,22,במים
1,23,שריך
1,23,סוררים
1,23,וחברי
1,23,גנבים
1,23,כלו
1,23,אהב
1,23,שחד
1,23,ורדף
1,23,שלמנים
1,23,יתום
1,23,לא
1,23,ישפטו
1,23,וריב
1,23,אלמנה
1,23,לא
1,23,יבוא
1,23,אליהם
1,24,לכן
1,24,נאם
1,24,האדון
1,24,יהוה
1,24,צבאות
1,24,אביר
1,24,ישראל
1,24,הוי
1,24,אנחם
1,24,מצרי
1,24,ואנקמה
1,24,מאויבי
1,25,ואשיבה
1,25,ידי
1,25,עליך
1,25,ואצרף
1,25,כבר
1,25,סיגיך
1,25,ואסירה
1,25,כל
1,25,בדיליך
1,26,ואשיבה
1,26,שפטיך
1,26,כבראשנה
1,26,ויעציך
1,26,כבתחלה
1,26,אחרי
1,26,כן
1,26,יקרא
1,26,לך
1,26,עיר
1,26,הצדק
1,26,קריה
1,26,נאמנה
1,27,ציון
1,27,במשפט
1,27,תפדה
1,27,ושביה
1,27,בצדקה
1,28,ושבר
1,28,פשעים
1,28,וחטאים
1,28,יחדו
1,28,ועזבי
1,28,יהוה
1,28,יכלו
1,29,כי
1,29,יבשו
1,29,מאילים
1,29,אשר
1,29,חמדתם
1,29,ותחפרו
1,29,מהגנות
1,29,אשר
1,29,בחרתם
1,30,כי
1,30,תהיו
1,30,כאלה
1,30,נבלת
1,30,עלה
1,30,וכגנה
1,30,אשר
1,30,מים
1,30,אין
1,30,לה
1,31,והיה
1,31,החסן
1,31,לנערת
1,31,ופעלו
1,31,לניצוץ
1,31,ובערו
1,31,שניהם
1,31,יחדו
1,31,ואין
1,31,מכבה
2,1,הדבר
2,1,אשר
2,1,חזה
2,1,ישעיהו
2,1,בן
2,1,אמוץ
2,1,על
2,1,יהודה
2,1,וירושלם
2,2,והיה
2,2,באחרית
2,2,הימים
2,2,נכון
2,2,יהיה
2,2,הר
2,2,בית
2,2,יהוה
2,2,בראש
2,2,ההרים
2,2,ונשא
2,2,מגבעות
2,2,ונהרו
2,2,אליו
2,2,כל
2,2,הגוים
2,3,והלכו
2,3,עמים
2,3,רבים
2,3,ואמרו
2,3,לכו
2,3,ונעלה
2,3,אל
2,3,הר
2,3,יהוה
2,3,אל
2,3,בית
2,3,אלהי
2,3,יעקב
2,3,וירנו
2,3,מדרכיו
2,3,ונלכה
2,3,בארחתיו
2,3,כי
2,3,מציון
2,3,תצא
2,3,תורה
2,3,ודבר
2,3,יהוה
2,3,מירושלם
2,4,ושפט
2,4,בין
2,4,הגוים
2,4,והוכיח
2,4,לעמים
2,4,רבים
2,4,וכתתו
2,4,חרבותם
2,4,לאתים
2,4,וחניתותיהם
2,4,למזמרות
2,4,לא
2,4,ישא
2,4,גוי
2,4,אל
2,4,גוי
2,4,חרב
2,4,ולא
2,4,ילמדו
2,4,עוד
2,4,מלחמה
2,5,בית
2,5,יעקב
2,5,לכו
2,5,ונלכה
2,5,באור
2,5,יהוה
2,6,כי
2,6,נטשתה
2,6,עמך
2,6,בית
2,6,יעקב
2,6,כי
2,6,מלאו
2,6,מקדם
2,6,ועננים
2,6,כפלשתים
2,6,ובילדי
2,6,נכרים
2,6,ישפיקו
2,7,ותמלא
2,7,ארצו
2,7,כסף
2,7,וזהב
2,7,ואין
2,7,קצה
2,7,לאצרתיו
2,7,ותמלא
2,7,ארצו
2,7,סוסים
2,7,ואין
2,7,קצה
2,7,למרכבתיו
2,8,ותמלא
2,8,ארצו
2,8,אלילים
2,8,למעשה
2,8,ידיו
2,8,ישתחוו
2,8,לאשר
2,8,עשו
2,8,אצבעתיו
2,9,וישח
2,9,אדם
2,9,וישפל
2,9,איש
2,9,ואל
2,9,תשא
2,9,להם
2,10,בוא
2,10,בצור
2,10,והטמן
2,10,בעפר
2,10,מפני
2,10,פחד
2,10,יהוה
2,10,ומהדר
2,10,גאנו
2,11,עיני
2,11,גבהות
2,11,אדם
2,11,שפל
2,11,ושח
2,11,רום
2,11,אנשים
2,11,ונשגב
2,11,יהוה
2,11,לבדו
2,11,ביום
2,11,ההוא
2,12,כי
2,12,יום
2,12,ליהוה
2,12,צבאות
2,12,על
2,12,כל
2,12,גאה
2,12,ורם
2,12,ועל
2,12,כל
2,12,נשא
2,12,ושפל
2,13,ועל
2,13,כל
2,13,ארזי
2,13,הלבנון
2,13,הרמים
2,13,והנשאים
2,13,ועל
2,13,כל
2,13,אלוני
2,13,הבשן
2,14,ועל
2,14,כל
2,14,ההרים
2,14,הרמים
2,14,ועל
2,14,כל
2,14,הגבעות
2,14,הנשאות
2,15,ועל
2,15,כל
2,15,מגדל
2,15,גבה
2,15,ועל
2,15,כל
2,15,חומה
2,15,בצורה
2,16,ועל
2,16,כל
2,16,אניות
2,16,תרשיש
2,16,ועל
2,16,כל
2,16,שכיות
2,16,החמדה
2,17,ושח
2,17,גבהות
2,17,האדם
2,17,ושפל
2,17,רום
2,17,אנשים
2,17,ונשגב
2,17,יהוה
2,17,לבדו
2,17,ביום
2,17,ההוא
2,18,והאלילים
2,18,כליל
2,18,יחלף
2,19,ובאו
2,19,במערות
2,19,צרים
2,19,ובמחלות
2,19,עפר
2,19,מפני
2,19,פחד
2,19,יהוה
2,19,ומהדר
2,19,גאונו
2,19,בקומו
2,19,לערץ
2,19,הארץ
2,20,ביום
2,20,ההוא
2,20,ישליך
2,20,האדם
2,20,את
2,20,אלילי
2,20,כספו
2,20,ואת
2,20,אלילי
2,20,זהבו
2,20,אשר
2,20,עשו
2,20,לו
2,20,להשתחות
2,20,לחפר
2,20,פרות
2,20,ולעטלפים
2,21,לבוא
2,21,בנקרות
2,21,הצרים
2,21,ובסעפי
2,21,הסלעים
2,21,מפני
2,21,פחד
2,21,יהוה
2,21,ומהדר
2,21,גאונו
2,21,בקומו
2,21,לערץ
2,21,הארץ
2,22,חדלו
2,22,לכם
2,22,מן
2,22,האדם
2,22,אשר
2,22,נשמה
2,22,באפו
2,22,כי
2,22,במה
2,22,נחשב
2,22,הוא
3,1,כי
3,1,הנה
3,1,האדון
3,1,יהוה
3,1,צבאות
3,1,מסיר
3,1,מירושלם
3,1,ומיהודה
3,1,משען
3,1,ומשענה
3,1,כל
3,1,משען
3,1,לחם
3,1,וכל
3,1,משען
3,1,מים
3,2,גבור
3,2,ואיש
3,2,מלחמה
3,2,שופט
3,2,ונביא
3,2,וקסם
3,2,וזקן
3,3,שר
3,3,חמשים
3,3,ונשוא
3,3,פנים
3,3,ויועץ
3,3,וחכם
3,3,חרשים
3,3,ונבון
3,3,לחש
3,4,ונתתי
3,4,נערים
3,4,שריהם
3,4,ותעלולים
3,4,ימשלו
3,4,בם
3,5,ונגש
3,5,העם
3,5,איש
3,5,באיש
3,5,ואיש
3,5,ברעהו
3,5,ירהבו
3,5,הנער
3,5,בזקן
3,5,והנקלה
3,5,בנכבד
3,6,כי
3,6,יתפש
3,6,איש
3,6,באחיו
3,6,בית
3,6,אביו
3,6,שמלה
3,6,לכה
3,6,קצין
3,6,תהיה
3,6,לנו
3,6,והמכשלה
3,6,הזאת
3,6,תחת
3,6,ידך
3,7,ישא
