chapter,verse,word
1,1,דברי
1,1,ירמיהו
1,1,בן
1,1,חלקיהו
1,1,מן
1,1,הכהנים
1,1,אשר
1,1,בענתות
1,1,בארץ
1,1,בנימן
1,2,אשר
1,2,היה
1,2,דבר
1,2,יהוה
1,2,אליו
1,2,בימי
1,2,יאשיהו
1,2,בן
1,2,אמון
1,2,מלך
1,2,יהודה
1,2,בשלש
1,2,עשרה
1,2,שנה
1,2,למלכו
1,3,ויהי
1,3,בימי
1,3,יהויקים
1,3,בן
1,3,יאשיהו
1,3,מלך
1,3,יהודה
1,3,עד
1,3,תם
1,3,עשתי
1,3,עשרה
1,3,שנה
1,3,לצדקיהו
1,3,בן
1,3,יאשיהו
1,3,מלך
1,3,יהודה
1,3,עד
1,3,גלות
1,3,ירושלם
1,3,בחדש
1,3,החמישי
1,4,ויהי
1,4,דבר
1,4,יהוה
1,4,אלי
1,4,לאמר
1,5,בטרם
1,5,אצורך
1,5,בבטן
1,5,ידעתיך
1,5,ובטרם
1,5,תצא
1,5,מרחם
1,5,הקדשתיך
1,5,נביא
1,5,לגוים
1,5,נתתיך
1,6,ואמר
1,6,אהה
1,6,אדני
1,6,יהוה
1,6,הנה
1,6,לא
1,6,ידעתי
1,6,דבר
1,6,כי
1,6,נער
1,6,אנכי
1,7,ויאמר
1,7,יהוה
1,7,אלי
1,7,אל
1,7,תאמר
1,7,נער
1,7,אנכי
1,7,כי
1,7,על
1,7,כל
1,7,אשר
1,7,אשלחך
1,7,תלך
1,7,ואת
1,7,כל
1,7,אשר
1,7,אצוך
1,7,תדבר
1,8,אל
1,8,תירא
1,8,מפניהם
1,8,כי
1,8,אתך
1,8,אני
1,8,להצלך
1,8,נאם
1,8,יהוה
1,9,וישלח
1,9,יהוה
1,9,את
1,9,ידו
1,9,ויגע
1,9,על
1,9,פי
1,9,ויאמר
1,9,יהוה
1,9,אלי
1,9,הנה
1,9,נתתי
1,9,דברי
1,9,בפיך
1,10,ראה
1,10,הפקדתיך
1,10,היום
1,10,הזה
1,10,על
1,10,הגוים
1,10,ועל
1,10,הממלכות
1,10,לנתוש
1,10,ולנתוץ
1,10,ולהאביד
1,10,ולהרוס
1,10,לבנות
1,10,ולנטוע
1,11,ויהי
1,11,דבר
1,11,יהוה
1,11,אלי
1,11,לאמר
1,11,מה
1,11,אתה
1,11,ראה
1,11,ירמיהו
1,11,ואמר
1,11,מקל
1,11,שקד
1,11,אני
1,11,ראה
1,12,ויאמר
1,12,יהוה
1,12,אלי
1,12,היטבת
1,12,לראות
1,12,כי
1,12,שקד
1,12,אני
1,12,על
1,12,דברי
1,12,לעשתו
1,13,ויהי
1,13,דבר
1,13,יהוה
1,13,אלי
1,13,שנית
1,13,לאמר
1,13,מה
1,13,אתה
1,13,ראה
1,13,ואמר
1,13,סיר
1,13,נפוח
1,13,אני
1,13,ראה
1,13,ופניו
1,13,מפני
1,13,צפונה
1,14,ויאמר
1,14,יהוה
1,14,אלי
1,14,מצפון
1,14,תפתח
1,14,הרעה
1,14,על
1,14,כל
1,14,ישבי
1,14,הארץ
1,15,כי
1,15,הנני
1,15,קרא
1,15,לכל
1,15,משפחות
1,15,ממלכות
1,15,צפונה
1,15,נאם
1,15,יהוה
1,15,ובאו
1,15,ונתנו
1,15,איש
1,15,כסאו
1,15,פתח
1,15,שערי
1,15,ירושלם
1,15,ועל
1,15,כל
1,15,חומתיה
1,15,סביב
1,15,ועל
1,15,כל
1,15,ערי
1,15,יהודה
1,16,ודברתי
1,16,משפטי
1,16,אותם
1,16,על
1,16,כל
1,16,רעתם
1,16,אשר
1,16,עזבוני
1,16,ויקטרו
1,16,לאלהים
1,16,אחרים
1,16,וישתחוו
1,16,למעשי
1,16,ידיהם
1,17,ואתה
1,17,תאזר
1,17,מתניך
1,17,וקמת
1,17,ודברת
1,17,אליהם
1,17,את
1,17,כל
1,17,אשר
1,17,אנכי
1,17,אצוך
1,17,אל
1,17,תחת
1,17,מפניהם
1,17,פן
1,17,אחתך
1,17,לפניהם
1,18,ואני
1,18,הנה
1,18,נתתיך
1,18,היום
1,18,לעיר
1,18,מבצר
1,18,ולעמוד
1,18,ברזל
1,18,ולחמות
1,18,נחשת
1,18,על
1,18,כל
1,18,הארץ
1,18,למלכי
1,18,יהודה
1,18,לשריה
1,18,לכהניה
1,18,ולעם
1,18,הארץ
1,19,ונלחמו
1,19,אליך
1,19,ולא
1,19,יוכלו
1,19,לך
1,19,כי
1,19,אתך
1,19,אני
1,19,נאם
1,19,יהוה
1,19,להצילך
2,1,ויהי
2,1,דבר
2,1,יהוה
2,1,אלי
2,1,לאמר
2,2,הלך
2,2,וקראת
2,2,באזני
2,2,ירושלם
2,2,לאמר
2,2,כה
2,2,אמר
2,2,יהוה
2,2,זכרתי
2,2,לך
2,2,חסד
2,2,נעוריך
2,2,אהבת
2,2,כלולתיך
2,2,לכתך
2,2,אחרי
2,2,במדבר
2,2,בארץ
2,2,לא
2,2,זרועה
2,3,קדש
2,3,ישראל
2,3,ליהוה
2,3,ראשית
2,3,תבואתה
2,3,כל
2,3,אכליו
2,3,יאשמו
2,3,רעה
2,3,תבא
2,3,אליהם
2,3,נאם
2,3,יהוה
2,4,שמעו
2,4,דבר
2,4,יהוה
2,4,בית
2,4,יעקב
2,4,וכל
2,4,משפחות
2,4,בית
2,4,ישראל
2,5,כה
2,5,אמר
2,5,יהוה
2,5,מה
2,5,מצאו
2,5,אבותיכם
2,5,בי
2,5,עול
2,5,כי
2,5,רחקו
2,5,מעלי
2,5,וילכו
2,5,אחרי
2,5,ההבל
2,5,ויהבלו
2,6,ולא
2,6,אמרו
2,6,איה
2,6,יהוה
2,6,המעלה
2,6,אתנו
2,6,מארץ
2,6,מצרים
2,6,המוליך
2,6,אתנו
2,6,במדבר
2,6,בארץ
2,6,ערבה
2,6,ושוחה
2,6,בארץ
2,6,ציה
2,6,וצלמות
2,6,בארץ
2,6,לא
2,6,עבר
2,6,בה
2,6,איש
2,6,ולא
2,6,ישב
2,6,אדם
2,6,שם
2,7,ואביא
2,7,אתכם
2,7,אל
2,7,ארץ
2,7,הכרמל
2,7,לאכל
2,7,פריה
2,7,וטובה
2,7,ותבאו
2,7,ותטמאו
2,7,את
2,7,ארצי
2,7,ונחלתי
2,7,שמתם
2,7,לתועבה
2,8,הכהנים
2,8,לא
2,8,אמרו
2,8,איה
2,8,יהוה
2,8,ותפשי
2,8,התורה
2,8,לא
2,8,ידעוני
2,8,והרעים
2,8,פשעו
2,8,בי
2,8,והנביאים
2,8,נבאו
2,8,בבעל
2,8,ואחרי
2,8,לא
2,8,יועלו
2,8,הלכו
2,9,לכן
2,9,עד
2,9,אריב
2,9,אתכם
2,9,נאם
2,9,יהוה
2,9,ואת
2,9,בני
2,9,בניכם
2,9,אריב
2,10,כי
2,10,עברו
2,10,איי
2,10,כתיים
2,10,וראו
2,10,וקדר
2,10,שלחו
2,10,והתבוננו
2,10,מאד
2,10,וראו
2,10,הן
2,10,היתה
2,10,כזאת
2,11,ההימיר
2,11,גוי
2,11,אלהים
2,11,והמה
2,11,לא
2,11,אלהים
2,11,ועמי
2,11,המיר
2,11,כבודו
2,11,בלוא
2,11,יועיל
2,12,שמו
2,12,שמים
2,12,על
2,12,זאת
2,12,ושערו
2,12,חרבו
2,12,מאד
2,12,נאם
2,12,יהוה
2,13,כי
2,13,שתים
2,13,רעות
2,13,עשה
2,13,עמי
2,13,אתי
2,13,עזבו
2,13,מקור
2,13,מים
2,13,חיים
2,13,לחצב
2,13,להם
2,13,בארות
2,13,בארת
2,13,נשברים
2,13,אשר
2,13,לא
2,13,יכלו
2,13,המים
2,14,העבד
2,14,ישראל
2,14,אם
2,14,יליד
2,14,בית
2,14,הוא
2,14,מדוע
2,14,היה
2,14,לבז
2,15,עליו
2,15,ישאגו
2,15,כפרים
2,15,נתנו
2,15,קולם
2,15,וישיתו
2,15,ארצו
2,15,לשמה
2,15,עריו
2,15,נצתה
2,15,מבלי
2,15,ישב
2,16,גם
2,16,בני
2,16,נף
2,16,ותחפנס
2,16,ירעוך
2,16,קדקד
2,17,הלוא
2,17,זאת
2,17,תעשה
2,17,לך
2,17,עזבך
2,17,את
2,17,יהוה
2,17,אלהיך
2,17,בעת
2,17,מוליכך
2,17,בדרך
2,18,ועתה
2,18,מה
2,18,לך
2,18,לדרך
2,18,מצרים
2,18,לשתות
2,18,מי
2,18,שחור
2,18,ומה
2,18,לך
2,18,לדרך
2,18,אשור
2,18,לשתות
2,18,מי
2,18,נהר
2,19,תיסרך
2,19,רעתך
2,19,ומשבותיך
2,19,תוכחך
2,19,ודעי
2,19,וראי
2,19,כי
2,19,רע
2,19,ומר
2,19,עזבך
2,19,את
2,19,יהוה
2,19,אלהיך
2,19,ולא
2,19,פחדתי
2,19,אליך
2,19,נאם
2,19,אדני
2,19,יהוה
2,19,צבאות
2,20,כי
2,20,מעולם
2,20,שברתי
2,20,עלך
2,20,נתקתי
2,20,מוסרתיך
2,20,ותאמרי
2,20,לא
2,20,אעבד
2,20,כי
2,20,על
2,20,כל
2,20,גבעה
2,20,גבהה
2,20,ותחת
2,20,כל
2,20,עץ
2,20,רענן
2,20,את
2,20,צעה
2,20,זנה
2,21,ואנכי
2,21,נטעתיך
2,21,שרק
2,21,כלה
2,21,זרע
2,21,אמת
2,21,ואיך
2,21,נהפכת
2,21,לי
2,21,סורי
2,21,הגפן
2,21,נכריה
2,22,כי
2,22,אם
2,22,תכבסי
2,22,בנתר
2,22,ותרבי
2,22,לך
2,22,ברית
2,22,נכתם
2,22,עונך
2,22,לפני
2,22,נאם
2,22,אדני
2,22,יהוה
2,23,איך
2,23,תאמרי
2,23,לא
2,23,נטמאתי
2,23,אחרי
2,23,הבעלים
2,23,לא
2,23,הלכתי
2,23,ראי
2,23,דרכך
2,23,בגיא
2,23,דעי
2,23,מה
2,23,עשית
2,23,בכרה
2,23,קלה
2,23,משרכת
2,23,דרכיה
2,24,פרה
2,24,למד
2,24,מדבר
2,24,באות
2,24,נפשו
2,24,שאפה
2,24,רוח
2,24,תאנתה
2,24,מי
2,24,ישיבנה
2,24,כל
2,24,מבקשיה
2,24,לא
2,24,ייעפו
2,24,בחדשה
2,24,ימצאונה
2,25,מנעי
2,25,רגלך
2,25,מיחף
2,25,וגורנך
2,25,מצמאה
2,25,ותאמרי
2,25,נואש
2,25,לוא
2,25,כי
2,25,אהבתי
2,25,זרים
2,25,ואחריהם
2,25,אלך
2,26,כבשת
2,26,גנב
2,26,כי
2,26,ימצא
2,26,כן
2,26,הבישו
2,26,בית
2,26,ישראל
2,26,המה
2,26,מלכיהם
2,26,שריהם
2,26,וכהניהם
