chapter,verse,word
1,1,איכה
1,1,ישבה
1,1,בדד
1,1,העיר
1,1,רבתי
1,1,עם
1,1,היתה
1,1,כאלמנה
1,1,רבתי
1,1,בגוים
1,1,שרתי
1,1,במדינות
1,1,היתה
1,1,למס
1,2,בכו
1,2,תבכה
1,2,בלילה
1,2,ודמעתה
1,2,על
1,2,לחיה
1,2,אין
1,2,לה
1,2,מנחם
1,2,מכל
1,2,אהביה
1,2,כל
1,2,רעיה
1,2,בגדו
1,2,בה
1,2,היו
1,2,לה
1,2,לאיבים
1,3,גלתה
1,3,יהודה
1,3,מעני
1,3,ומרב
1,3,עבדה
1,3,היא
1,3,ישבה
1,3,בגוים
1,3,לא
1,3,מצאה
1,3,מנוח
1,3,כל
1,3,רדפיה
1,3,השיגוה
1,3,בין
1,3,המצרים
1,4,דרכי
1,4,ציון
1,4,אבלות
1,4,מבלי
1,4,באי
1,4,מועד
1,4,כל
1,4,שעריה
1,4,שוממין
1,4,כהניה
1,4,נאנחים
1,4,בתולתיה
1,4,נוגות
1,4,והיא
1,4,מר
1,4,לה
1,5,היו
1,5,צריה
1,5,לראש
1,5,איביה
1,5,שלו
1,5,כי
1,5,יהוה
1,5,הוגה
1,5,על
1,5,רב
1,5,פשעיה
1,5,עולליה
1,5,הלכו
1,5,שבי
1,5,לפני
1,5,צר
1,6,ויצא
1,6,מן
1,6,בת
1,6,ציון
1,6,כל
1,6,הדרה
1,6,היו
1,6,שריה
1,6,כאילים
1,6,לא
1,6,מצאו
1,6,מרעה
1,6,וילכו
1,6,בלא
1,6,כח
1,6,לפני
1,6,רודף
1,7,זכרה
1,7,ירושלם
1,7,ימי
1,7,עניה
1,7,ומרודיה
1,7,כל
1,7,מחמדיה
1,7,אשר
1,7,היו
1,7,מימי
1,7,קדם
1,7,בנפל
1,7,עמה
1,7,ביד
1,7,צר
1,7,ואין
1,7,עוזר
1,7,לה
1,7,ראוה
1,7,צרים
1,7,שחקו
1,7,על
1,7,משבתה
1,8,חטא
1,8,חטאה
1,8,ירושלם
1,8,על
1,8,כן
1,8,לנידה
1,8,היתה
1,8,כל
1,8,מכבדיה
1,8,הזילוה
1,8,כי
1,8,ראו
1,8,ערותה
1,8,גם
1,8,היא
1,8,נאנחה
1,8,ותשב
1,8,אחור
1,9,טמאתה
1,9,בשוליה
1,9,לא
1,9,זכרה
1,9,אחריתה
1,9,ותרד
1,9,פלאים
1,9,אין
1,9,מנחם
1,9,לה
1,9,ראה
1,9,יהוה
1,9,את
1,9,עניי
1,9,כי
1,9,הגדיל
1,9,אויב
1,10,ידו
1,10,פרש
1,10,צר
1,10,על
1,10,כל
1,10,מחמדיה
1,10,כי
1,10,ראתה
1,10,גוים
1,10,באו
1,10,מקדשה
1,10,אשר
1,10,צויתה
1,10,לא
1,10,יבאו
1,10,בקהל
1,10,לך
1,11,כל
1,11,עמה
1,11,נאנחים
1,11,מבקשים
1,11,לחם
1,11,נתנו
1,11,מחמודיהם
1,11,באכל
1,11,להשיב
1,11,נפש
1,11,ראה
1,11,יהוה
1,11,והביטה
1,11,כי
1,11,הייתי
1,11,זוללה
1,12,לוא
1,12,אליכם
1,12,כל
1,12,עברי
1,12,דרך
1,12,הביטו
1,12,וראו
1,12,אם
1,12,יש
1,12,מכאוב
1,12,כמכאבי
1,12,אשר
1,12,עולל
1,12,לי
1,12,אשר
1,12,הוגה
1,12,יהוה
1,12,ביום
1,12,חרון
1,12,אפו
1,13,ממרום
1,13,שלח
1,13,אש
1,13,בעצמתי
1,13,וירדנה
1,13,פרש
1,13,רשת
1,13,לרגלי
1,13,השיבני
1,13,אחור
1,13,נתנני
1,13,שממה
1,13,כל
1,13,היום
1,13,דוה
1,14,נשקד
1,14,על
1,14,פשעי
1,14,בידו
1,14,ישתרגו
1,14,עלו
1,14,על
1,14,צוארי
1,14,הכשיל
1,14,כחי
1,14,נתנני
1,14,אדני
1,14,בידי
1,14,לא
1,14,אוכל
1,14,קום
1,15,סלה
1,15,כל
1,15,אבירי
1,15,אדני
1,15,בקרבי
1,15,קרא
1,15,עלי
1,15,מועד
1,15,לשבר
1,15,בחורי
1,15,גת
1,15,דרך
1,15,אדני
1,15,לבתולת
1,15,בת
1,15,יהודה
1,16,על
1,16,אלה
1,16,אני
1,16,בוכיה
1,16,עיני
1,16,עיני
1,16,ירדה
1,16,מים
1,16,כי
1,16,רחק
1,16,ממני
1,16,מנחם
1,16,משיב
1,16,נפשי
1,16,היו
1,16,בני
1,16,שוממים
1,16,כי
1,16,גבר
1,16,אויב
1,17,פרשה
1,17,ציון
1,17,בידיה
1,17,אין
1,17,מנחם
1,17,לה
1,17,צוה
1,17,יהוה
1,17,ליעקב
1,17,סביביו
1,17,צריו
1,17,היתה
1,17,ירושלם
1,17,לנדה
1,17,ביניהם
1,18,צדיק
1,18,הוא
1,18,יהוה
1,18,כי
1,18,פיהו
1,18,מריתי
1,18,שמעו
1,18,נא
1,18,כל
1,18,עמים
1,18,וראו
1,18,מכאבי
1,18,בתולתי
1,18,ובחורי
1,18,הלכו
1,18,בשבי
1,19,קראתי
1,19,למאהבי
1,19,המה
1,19,רמוני
1,19,כהני
1,19,וזקני
1,19,בעיר
1,19,גועו
1,19,כי
1,19,בקשו
1,19,אכל
1,19,למו
1,19,וישיבו
1,19,את
1,19,נפשם
1,20,ראה
1,20,יהוה
1,20,כי
1,20,צר
1,20,לי
1,20,מעי
1,20,חמרמרו
1,20,נהפך
1,20,לבי
1,20,בקרבי
1,20,כי
1,20,מרו
1,20,מריתי
1,20,מחוץ
1,20,שכלה
1,20,חרב
1,20,בבית
1,20,כמות
1,21,שמעו
1,21,כי
1,21,נאנחה
1,21,אני
1,21,אין
1,21,מנחם
1,21,לי
1,21,כל
1,21,איבי
1,21,שמעו
1,21,רעתי
1,21,ששו
1,21,כי
1,21,אתה
1,21,עשית
1,21,הבאת
1,21,יום
1,21,קראת
1,21,ויהיו
1,21,כמוני
1,22,תבא
1,22,כל
1,22,רעתם
1,22,לפניך
1,22,ועולל
1,22,למו
1,22,כאשר
1,22,עוללת
1,22,לי
1,22,על
1,22,כל
1,22,פשעי
1,22,כי
1,22,רבות
1,22,אנחתי
1,22,ולבי
1,22,דוי
2,1,איכה
2,1,יעיב
2,1,באפו
2,1,אדני
2,1,את
2,1,בת
2,1,ציון
2,1,השליך
2,1,משמים
2,1,ארץ
2,1,תפארת
2,1,ישראל
2,1,ולא
2,1,זכר
2,1,הדם
2,1,רגליו
2,1,ביום
2,1,אפו
2,2,בלע
2,2,אדני
2,2,לא
2,2,חמל
2,2,את
2,2,כל
2,2,נאות
2,2,יעקב
2,2,הרס
2,2,בעברתו
2,2,מבצרי
2,2,בת
2,2,יהודה
2,2,הגיע
2,2,לארץ
2,2,חלל
2,2,ממלכה
2,2,ושריה
2,3,גדע
2,3,בחרי
2,3,אף
2,3,כל
