chapter,verse,word
1,1,ויהי
1,1,בשלשים
1,1,שנה
1,1,ברביעי
1,1,בחמשה
1,1,לחדש
1,1,ואני
1,1,בתוך
1,1,הגולה
1,1,על
1,1,נהר
1,1,כבר
1,1,נפתחו
1,1,השמים
1,1,ואראה
1,1,מראות
1,1,אלהים
1,2,בחמשה
1,2,לחדש
1,2,היא
1,2,השנה
1,2,החמישית
1,2,לגלות
1,2,המלך
1,2,יויכין
1,3,היה
1,3,היה
1,3,דבר
1,3,יהוה
1,3,אל
1,3,יחזקאל
1,3,בן
1,3,בוזי
1,3,הכהן
1,3,בארץ
1,3,כשדים
1,3,על
1,3,נהר
1,3,כבר
1,3,ותהי
1,3,עליו
1,3,שם
1,3,יד
1,3,יהוה
1,4,וארא
1,4,והנה
1,4,רוח
1,4,סערה
1,4,באה
1,4,מן
1,4,הצפון
1,4,ענן
1,4,גדול
1,4,ואש
1,4,מתלקחת
1,4,ונגה
1,4,לו
1,4,סביב
1,4,ומתוכה
1,4,כעין
1,4,החשמל
1,4,מתוך
1,4,האש
1,5,ומתוכה
1,5,דמות
1,5,ארבע
1,5,חיות
1,5,וזה
1,5,מראיהן
1,5,דמות
1,5,אדם
1,5,להנה
1,6,וארבעה
1,6,פנים
1,6,לאחת
1,6,וארבע
1,6,כנפים
1,6,לאחת
1,6,להם
1,7,ורגליהם
1,7,רגל
1,7,ישרה
1,7,וכף
1,7,רגליהם
1,7,ככף
1,7,רגל
1,7,עגל
1,7,ונצצים
1,7,כעין
1,7,נחשת
1,7,קלל
1,8,וידו
1,8,אדם
1,8,מתחת
1,8,כנפיהם
1,8,על
1,8,ארבעת
1,8,רבעיהם
1,8,ופניהם
1,8,וכנפיהם
1,8,לארבעתם
1,9,חברת
1,9,אשה
1,9,אל
1,9,אחותה
1,9,כנפיהם
1,9,לא
1,9,יסבו
1,9,בלכתן
1,9,איש
1,9,אל
1,9,עבר
1,9,פניו
1,9,ילכו
1,10,ודמות
1,10,פניהם
1,10,פני
1,10,אדם
1,10,ופני
1,10,אריה
1,10,אל
1,10,הימין
1,10,לארבעתם
1,10,ופני
1,10,שור
1,10,מהשמאול
1,10,לארבעתן
1,10,ופני
1,10,נשר
1,10,לארבעתן
1,11,ופניהם
1,11,וכנפיהם
1,11,פרדות
1,11,מלמעלה
1,11,לאיש
1,11,שתים
1,11,חברות
1,11,איש
1,11,ושתים
1,11,מכסות
1,11,את
1,11,גויתיהנה
1,12,ואיש
1,12,אל
1,12,עבר
1,12,פניו
1,12,ילכו
1,12,אל
1,12,אשר
1,12,יהיה
1,12,שמה
1,12,הרוח
1,12,ללכת
1,12,ילכו
1,12,לא
1,12,יסבו
1,12,בלכתן
1,13,ודמות
1,13,החיות
1,13,מראיהם
1,13,כגחלי
1,13,אש
1,13,בערות
1,13,כמראה
1,13,הלפדים
1,13,היא
1,13,מתהלכת
1,13,בין
1,13,החיות
1,13,ונגה
1,13,לאש
1,13,ומן
1,13,האש
1,13,יוצא
1,13,ברק
1,14,והחיות
1,14,רצוא
1,14,ושוב
1,14,כמראה
1,14,הבזק
1,15,וארא
1,15,החיות
1,15,והנה
1,15,אופן
1,15,אחד
1,15,בארץ
1,15,אצל
1,15,החיות
1,15,לארבעת
1,15,פניו
1,16,מראה
1,16,האופנים
1,16,ומעשיהם
1,16,כעין
1,16,תרשיש
1,16,ודמות
1,16,אחד
1,16,לארבעתן
1,16,ומראיהם
1,16,ומעשיהם
1,16,כאשר
1,16,יהיה
1,16,האופן
1,16,בתוך
1,16,האופן
1,17,על
1,17,ארבעת
1,17,רבעיהן
1,17,בלכתם
1,17,ילכו
1,17,לא
1,17,יסבו
1,17,בלכתן
1,18,וגביהן
1,18,וגבה
1,18,להם
1,18,ויראה
1,18,להם
1,18,וגבתם
1,18,מלאת
