chapter,verse,word
1,1,בשנת
1,1,שלוש
1,1,למלכות
1,1,יהויקים
1,1,מלך
1,1,יהודה
1,1,בא
1,1,נבוכדנאצר
1,1,מלך
1,1,בבל
1,1,ירושלם
1,1,ויצר
1,1,עליה
1,2,ויתן
1,2,אדני
1,2,בידו
1,2,את
1,2,יהויקים
1,2,מלך
1,2,יהודה
1,2,ומקצת
1,2,כלי
1,2,בית
1,2,האלהים
1,2,ויביאם
1,2,ארץ
1,2,שנער
1,2,בית
1,2,אלהיו
1,2,ואת
1,2,הכלים
1,2,הביא
1,2,בית
1,2,אוצר
1,2,אלהיו
1,3,ויאמר
1,3,המלך
1,3,לאשפנז
1,3,רב
1,3,סריסיו
1,3,להביא
1,3,מבני
1,3,ישראל
1,3,ומזרע
1,3,המלוכה
1,3,ומן
1,3,הפרתמים
1,4,ילדים
1,4,אשר
1,4,אין
1,4,בהם
1,4,כל
1,4,מאום
1,4,וטובי
1,4,מראה
1,4,ומשכילים
1,4,בכל
1,4,חכמה
1,4,וידעי
1,4,דעת
1,4,ומביני
1,4,מדע
1,4,ואשר
1,4,כח
1,4,בהם
1,4,לעמד
1,4,בהיכל
1,4,המלך
1,4,וללמדם
1,4,ספר
1,4,ולשון
1,4,כשדים
1,5,וימן
1,5,להם
1,5,המלך
1,5,דבר
1,5,יום
1,5,ביומו
1,5,מפת
1,5,בג
1,5,המלך
1,5,ומיין
1,5,משתיו
1,5,ולגדלם
1,5,שנים
1,5,שלוש
1,5,ומקצתם
1,5,יעמדו
1,5,לפני
1,5,המלך
1,6,ויהי
1,6,בהם
1,6,מבני
1,6,יהודה
1,6,דניאל
1,6,חנניה
1,6,מישאל
1,6,ועזריה
1,7,וישם
1,7,להם
1,7,שר
1,7,הסריסים
1,7,שמות
1,7,וישם
1,7,לדניאל
1,7,בלטשאצר
1,7,ולחנניה
1,7,שדרך
1,7,ולמישאל
1,7,מישך
1,7,ולעזריה
1,7,עבד
1,7,נגו
1,8,וישם
1,8,דניאל
1,8,על
1,8,לבו
1,8,אשר
1,8,לא
1,8,יתגאל
1,8,בפתבג
1,8,המלך
1,8,וביין
1,8,משתיו
1,8,ויבקש
1,8,משר
1,8,הסריסים
1,8,אשר
1,8,לא
1,8,יתגאל
1,9,ויתן
1,9,האלהים
1,9,את
1,9,דניאל
1,9,לחסד
1,9,ולרחמים
1,9,לפני
1,9,שר
1,9,הסריסים
1,10,ויאמר
1,10,שר
1,10,הסריסים
1,10,לדניאל
1,10,ירא
1,10,אני
1,10,את
1,10,אדני
1,10,המלך
1,10,אשר
1,10,מנה
1,10,את
1,10,מאכלכם
1,10,ואת
1,10,משתיכם
1,10,אשר
1,10,למה
1,10,יראה
1,10,את
1,10,פניכם
1,10,זעפים
1,10,מן
1,10,הילדים
1,10,אשר
1,10,כגילכם
1,10,וחיבתם
1,10,את
1,10,ראשי
1,10,למלך
1,11,ויאמר
