chapter,verse,word
1,1,דבר
1,1,יהוה
1,1,אשר
1,1,היה
1,1,אל
1,1,הושע
1,1,בן
1,1,בארי
1,1,בימי
1,1,עזיה
1,1,יותם
1,1,אחז
1,1,יחזקיה
1,1,מלכי
1,1,יהודה
1,1,ובימי
1,1,ירבעם
1,1,בן
1,1,יואש
1,1,מלך
1,1,ישראל
1,2,תחלת
1,2,דבר
1,2,יהוה
1,2,בהושע
1,2,ויאמר
1,2,יהוה
1,2,אל
1,2,הושע
1,2,לך
1,2,קח
1,2,לך
1,2,אשת
1,2,זנונים
1,2,וילדי
1,2,זנונים
1,2,כי
1,2,זנה
1,2,תזנה
1,2,הארץ
1,2,מאחרי
1,2,יהוה
1,3,וילך
1,3,ויקח
1,3,את
1,3,גמר
1,3,בת
1,3,דבלים
1,3,ותהר
1,3,ותלד
1,3,לו
1,3,בן
1,4,ויאמר
1,4,יהוה
1,4,אליו
1,4,קרא
1,4,שמו
1,4,יזרעאל
1,4,כי
1,4,עוד
1,4,מעט
1,4,ופקדתי
1,4,את
1,4,דמי
1,4,יזרעאל
1,4,על
1,4,בית
1,4,יהוא
1,4,והשבתי
1,4,ממלכות
1,4,בית
1,4,ישראל
1,5,והיה
1,5,ביום
1,5,ההוא
1,5,ושברתי
1,5,את
1,5,קשת
1,5,ישראל
1,5,בעמק
1,5,יזרעאל
1,6,ותהר
1,6,עוד
1,6,ותלד
1,6,בת
1,6,ויאמר
1,6,לו
1,6,קרא
1,6,שמה
1,6,לא
1,6,רחמה
1,6,כי
1,6,לא
1,6,אוסיף
1,6,עוד
1,6,ארחם
1,6,את
1,6,בית
1,6,ישראל
1,6,כי
1,6,נשא
1,6,אשא
1,6,להם
1,7,ואת
1,7,בית
1,7,יהודה
1,7,ארחם
1,7,והושעתים
1,7,ביהוה
1,7,אלהיהם
1,7,ולא
1,7,אושיעם
1,7,בקשת
1,7,ובחרב
1,7,ובמלחמה
1,7,בסוסים
1,7,ובפרשים
1,8,ותגמל
1,8,את
1,8,לא
1,8,רחמה
1,8,ותהר
1,8,ותלד
1,8,בן
1,9,ויאמר
1,9,קרא
1,9,שמו
1,9,לא
1,9,עמי
1,9,כי
1,9,אתם
1,9,לא
1,9,עמי
1,9,ואנכי
1,9,לא
1,9,אהיה
1,9,לכם
1,10,והיה
1,10,מספר
1,10,בני
1,10,ישראל
1,10,כחול
1,10,הים
1,10,אשר
1,10,לא
1,10,ימד
1,10,ולא
1,10,יספר
1,10,והיה
1,10,במקום
1,10,אשר
1,10,יאמר
1,10,להם
1,10,לא
1,10,עמי
1,10,אתם
1,10,יאמר
1,10,להם
1,10,בני
1,10,אל
1,10,חי
1,11,ונקבצו
1,11,בני
1,11,יהודה
1,11,ובני
1,11,ישראל
1,11,יחדו
1,11,ושמו
1,11,להם
1,11,ראש
1,11,אחד
1,11,ועלו
1,11,מן
1,11,הארץ
1,11,כי
1,11,גדול
1,11,יום
1,11,יזרעאל
2,1,אמרו
2,1,לאחיכם
2,1,עמי
2,1,ולאחותיכם
2,1,רחמה
2,2,ריבו
2,2,באמכם
2,2,ריבו
2,2,כי
2,2,היא
2,2,לא
2,2,אשתי
2,2,ואנכי
2,2,לא
2,2,אישה
2,2,ותסר
2,2,זנוניה
2,2,מפניה
2,2,ונאפופיה
2,2,מבין
2,2,שדיה
2,3,פן
2,3,אפשיטנה
2,3,ערמה
2,3,והצגתיה
2,3,כיום
2,3,הולדה
2,3,ושמתיה
2,3,כמדבר
2,3,ושתה
2,3,כארץ
2,3,ציה
2,3,והמתיה
2,3,בצמא
2,4,ואת
2,4,בניה
2,4,לא
2,4,ארחם
2,4,כי
2,4,בני
2,4,זנונים
2,4,המה
2,5,כי
2,5,זנתה
2,5,אמם
2,5,הבישה
2,5,הורתם
2,5,כי
2,5,אמרה
2,5,אלכה
2,5,אחרי
2,5,מאהבי
2,5,נתני
2,5,לחמי
2,5,ומימי
2,5,צמרי
2,5,ופשתי
2,5,שמני
2,5,ושקויי
2,6,לכן
2,6,הנני
2,6,שך
2,6,את
2,6,דרכך
2,6,בסירים
2,6,וגדרתי
2,6,את
2,6,גדרה
2,6,ונתיבותיה
2,6,לא
2,6,תמצא
2,7,ורדפה
2,7,את
2,7,מאהביה
2,7,ולא
2,7,תשיג
2,7,אתם
2,7,ובקשתם
2,7,ולא
2,7,תמצא
2,7,ואמרה
2,7,אלכה
2,7,ואשובה
2,7,אל
2,7,אישי
2,7,הראשון
2,7,כי
2,7,טוב
2,7,לי
2,7,אז
2,7,מעתה
2,8,והיא
2,8,לא
2,8,ידעה
2,8,כי
2,8,אנכי
2,8,נתתי
2,8,לה
2,8,הדגן
2,8,והתירוש
2,8,והיצהר
2,8,וכסף
2,8,הרביתי
2,8,לה
2,8,וזהב
2,8,עשו
2,8,לבעל
2,9,לכן
2,9,אשוב
2,9,ולקחתי
2,9,דגני
2,9,בעתו
2,9,ותירושי
2,9,במועדו
2,9,והצלתי
2,9,צמרי
2,9,ופשתי
2,9,לכסות
2,9,את
2,9,ערותה
2,10,ועתה
2,10,אגלה
2,10,את
2,10,נבלתה
2,10,לעיני
2,10,מאהביה
2,10,ואיש
2,10,לא
2,10,יצילנה
2,10,מידי
2,11,והשבתי
2,11,כל
2,11,משושה
2,11,חגה
2,11,חדשה
2,11,ושבתה
2,11,וכל
2,11,מועדה
2,12,והשמתי
2,12,גפנה
2,12,ותאנתה
2,12,אשר
2,12,אמרה
2,12,אתנה
2,12,המה
2,12,לי
2,12,אשר
2,12,נתנו
2,12,לי
2,12,מאהבי
2,12,ושמתים
2,12,ליער
2,12,ואכלתם
2,12,חית
2,12,השדה
2,13,ופקדתי
2,13,עליה
2,13,את
2,13,ימי
2,13,הבעלים
2,13,אשר
2,13,תקטיר
2,13,להם
2,13,ותעד
2,13,נזמה
2,13,וחליתה
2,13,ותלך
2,13,אחרי
2,13,מאהביה
2,13,ואתי
2,13,שכחה
2,13,נאם
2,13,יהוה
2,14,לכן
2,14,הנה
2,14,אנכי
2,14,מפתיה
2,14,והלכתיה
2,14,המדבר
2,14,ודברתי
2,14,על
2,14,לבה
2,15,ונתתי
2,15,לה
2,15,את
2,15,כרמיה
2,15,משם
2,15,ואת
2,15,עמק
2,15,עכור
2,15,לפתח
2,15,תקוה
2,15,וענתה
2,15,שמה
2,15,כימי
2,15,נעוריה
2,15,וכיום
2,15,עלתה
2,15,מארץ
2,15,מצרים
2,16,והיה
2,16,ביום
2,16,ההוא
2,16,נאם
2,16,יהוה
2,16,תקראי
2,16,אישי
2,16,ולא
2,16,תקראי
2,16,לי
2,16,עוד
2,16,בעלי
2,17,והסרתי
2,17,את
2,17,שמות
2,17,הבעלים
2,17,מפיה
2,17,ולא
2,17,יזכרו
2,17,עוד
2,17,בשמם
2,18,וכרתי
2,18,להם
2,18,ברית
2,18,ביום
2,18,ההוא
2,18,עם
2,18,חית
2,18,השדה
2,18,ועם
2,18,עוף
2,18,השמים
2,18,ורמש
2,18,האדמה
2,18,וקשת
2,18,וחרב
2,18,ומלחמה
2,18,אשבור
2,18,מן
2,18,הארץ
2,18,והשכבתים
2,18,לבטח
2,19,וארשתיך
2,19,לי
2,19,לעולם
2,19,וארשתיך
2,19,לי
2,19,בצדק
2,19,ובמשפט
2,19,ובחסד
2,19,וברחמים
2,20,וארשתיך
2,20,לי
2,20,באמונה
2,20,וידעת
2,20,את
2,20,יהוה
2,21,והיה
2,21,ביום
2,21,ההוא
2,21,אענה
2,21,נאם
2,21,יהוה
2,21,אענה
2,21,את
2,21,השמים
2,21,והם
2,21,יענו
2,21,את
2,21,הארץ
2,22,והארץ
2,22,תענה
2,22,את
2,22,הדגן
2,22,ואת
2,22,התירוש
2,22,ואת
2,22,היצהר
2,22,והם
2,22,יענו
2,22,את
2,22,יזרעאל
2,23,וזרעתיה
2,23,לי
2,23,בארץ
2,23,ורחמתי
2,23,את
2,23,לא
2,23,רחמה
2,23,ואמרתי
2,23,ללא
2,23,עמי
2,23,עמי
2,23,אתה
2,23,והוא
2,23,יאמר
2,23,אלהי
3,1,ויאמר
3,1,יהוה
3,1,אלי
3,1,עוד
3,1,לך
3,1,אהב
3,1,אשה
3,1,אהבת
3,1,רע
3,1,ומנאפת
3,1,כאהבת
3,1,יהוה
3,1,את
3,1,בני
3,1,ישראל
3,1,והם
3,1,פנים
3,1,אל
3,1,אלהים
3,1,אחרים
3,1,ואהבי
3,1,אשישי
3,1,ענבים
3,2,ואכרה
3,2,לי
3,2,בחמשה
3,2,עשר
3,2,כסף
3,2,וחמר
3,2,שערים
3,2,ולתך
3,2,שערים
3,3,ואמר
3,3,אליה
3,3,ימים
3,3,רבים
3,3,תשבי
3,3,לי
3,3,לא
3,3,תזני
3,3,ולא
3,3,תהיי
3,3,לאיש
3,3,וגם
3,3,אני
3,3,אליך
3,4,כי
3,4,ימים
3,4,רבים
3,4,ישבו
3,4,בני
3,4,ישראל
3,4,אין
3,4,מלך
3,4,ואין
3,4,שר
3,4,ואין
3,4,זבח
3,4,ואין
3,4,מצבה
3,4,ואין
3,4,אפוד
3,4,ותרפים
3,5,אחר
3,5,ישבו
3,5,בני
3,5,ישראל
3,5,ובקשו
3,5,את
3,5,יהוה
3,5,אלהיהם
3,5,ואת
3,5,דוד
3,5,מלכם
3,5,ופחדו
3,5,אל
3,5,יהוה
3,5,ואל
3,5,טובו
3,5,באחרית
3,5,הימים
4,1,שמעו
4,1,דבר
4,1,יהוה
4,1,בני
4,1,ישראל
4,1,כי
4,1,ריב
4,1,ליהוה
4,1,עם
4,1,יושבי
4,1,הארץ
4,1,כי
4,1,אין
4,1,אמת
4,1,ואין
4,1,חסד
4,1,ואין
4,1,דעת
4,1,אלהים
4,1,בארץ
4,2,אלה
4,2,וכחש
4,2,ורצח
4,2,וגנב
4,2,ונאף
4,2,פרצו
4,2,ודמים
4,2,בדמים
4,2,נגעו
4,3,על
4,3,כן
4,3,תאבל
4,3,הארץ
4,3,ואמלל
4,3,כל
4,3,יושב
4,3,בה
4,3,בחית
4,3,השדה
4,3,ובעוף
4,3,השמים
4,3,וגם
4,3,דגי
4,3,הים
4,3,יאספו
4,4,אך
4,4,איש
4,4,אל
4,4,ירב
4,4,ואל
4,4,יוכח
4,4,איש
4,4,ועמך
4,4,כמריבי
4,4,כהן
4,5,וכשלת
4,5,היום
4,5,וכשל
4,5,גם
4,5,נביא
4,5,עמך
4,5,לילה
4,5,ודמיתי
4,5,אמך
4,6,נדמו
4,6,עמי
4,6,מבלי
4,6,הדעת
4,6,כי
4,6,אתה
4,6,הדעת
4,6,מאסת
4,6,ואמאסאך
4,6,מכהן
4,6,לי
4,6,ותשכח
4,6,תורת
4,6,אלהיך
4,6,אשכח
4,6,בניך
4,6,גם
4,6,אני
4,7,כרבם
4,7,כן
4,7,חטאו
4,7,לי
4,7,כבודם
4,7,בקלון
4,7,אמיר
4,8,חטאת
4,8,עמי
4,8,יאכלו
4,8,ואל
4,8,עונם
4,8,ישאו
4,8,נפשו
4,9,והיה
4,9,כעם
4,9,ככהן
4,9,ופקדתי
4,9,עליו
4,9,דרכיו
4,9,ומעלליו
4,9,אשיב
4,9,לו
4,10,ואכלו
4,10,ולא
4,10,ישבעו
4,10,הזנו
4,10,ולא
4,10,יפרצו
4,10,כי
4,10,את
4,10,יהוה
4,10,עזבו
4,10,לשמר
4,11,זנות
4,11,ויין
4,11,ותירוש
4,11,יקח
4,11,לב
4,12,עמי
4,12,בעצו
4,12,ישאל
4,12,ומקלו
4,12,יגיד
4,12,לו
4,12,כי
4,12,רוח
4,12,זנונים
4,12,התעה
4,12,ויזנו
4,12,מתחת
4,12,אלהיהם
4,13,על
4,13,ראשי
4,13,ההרים
4,13,יזבחו
4,13,ועל
4,13,הגבעות
4,13,יקטרו
4,13,תחת
4,13,אלון
4,13,ולבנה
4,13,ואלה
4,13,כי
4,13,טוב
4,13,צלה
4,13,על
4,13,כן
4,13,תזנינה
4,13,בנותיכם
4,13,וכלותיכם
4,13,תנאפנה
4,14,לא
4,14,אפקוד
4,14,על
4,14,בנותיכם
4,14,כי
4,14,תזנינה
4,14,ועל
4,14,כלותיכם
4,14,כי
4,14,תנאפנה
4,14,כי
4,14,הם
4,14,עם
4,14,הזנות
4,14,יפרדו
4,14,ועם
4,14,הקדשות
4,14,יזבחו
4,14,ועם
4,14,לא
4,14,יבין
4,14,ילבט
4,15,אם
4,15,זנה
4,15,אתה
4,15,ישראל
4,15,אל
4,15,יאשם
4,15,יהודה
4,15,ואל
4,15,תבאו
4,15,הגלגל
4,15,ואל
4,15,תעלו
4,15,בית
4,15,און
4,15,ואל
4,15,תשבעו
4,15,חי
4,15,יהוה
4,16,כי
4,16,כפרה
4,16,סררה
4,16,סרר
4,16,ישראל
4,16,עתה
4,16,ירעם
4,16,יהוה
4,16,ככבש
4,16,במרחב
4,17,חבור
4,17,עצבים
4,17,אפרים
4,17,הנח
4,17,לו
4,18,סר
4,18,סבאם
4,18,הזנה
4,18,הזנו
4,18,אהבו
4,18,הבו
4,18,קלון
4,18,מגניה
4,19,צרר
4,19,רוח
4,19,אותה
4,19,בכנפיה
4,19,ויבשו
4,19,מזבחותם
5,1,שמעו
5,1,זאת
5,1,הכהנים
5,1,והקשיבו
5,1,בית
5,1,ישראל
5,1,ובית
5,1,המלך
5,1,האזינו
5,1,כי
5,1,לכם
5,1,המשפט
5,1,כי
5,1,פח
5,1,הייתם
5,1,למצפה
5,1,ורשת
5,1,פרושה
5,1,על
5,1,תבור
5,2,ושחטה
5,2,שטים
5,2,העמיקו
5,2,ואני
5,2,מוסר
5,2,לכלם
5,3,אני
5,3,ידעתי
5,3,אפרים
5,3,וישראל
5,3,לא
5,3,נכחד
5,3,ממני
5,3,כי
5,3,עתה
5,3,הזנית
5,3,אפרים
5,3,נטמא
5,3,ישראל
5,4,לא
5,4,יתנו
5,4,מעלליהם
5,4,לשוב
5,4,אל
5,4,אלהיהם
5,4,כי
5,4,רוח
5,4,זנונים
5,4,בקרבם
5,4,ואת
5,4,יהוה
5,4,לא
5,4,ידעו
5,5,וענה
5,5,גאון
5,5,ישראל
5,5,בפניו
5,5,וישראל
5,5,ואפרים
5,5,יכשלו
5,5,בעונם
5,5,כשל
5,5,גם
5,5,יהודה
5,5,עמם
5,6,בצאנם
5,6,ובבקרם
5,6,ילכו
5,6,לבקש
5,6,את
5,6,יהוה
5,6,ולא
5,6,ימצאו
5,6,חלץ
5,6,מהם
5,7,ביהוה
5,7,בגדו
5,7,כי
5,7,בנים
5,7,זרים
5,7,ילדו
5,7,עתה
5,7,יאכלם
5,7,חדש
5,7,את
5,7,חלקיהם
5,8,תקעו
5,8,שופר
5,8,בגבעה
5,8,חצצרה
5,8,ברמה
5,8,הריעו
5,8,בית
5,8,און
5,8,אחריך
5,8,בנימין
5,9,אפרים
5,9,לשמה
5,9,תהיה
5,9,ביום
5,9,תוכחה
5,9,בשבטי
5,9,ישראל
5,9,הודעתי
5,9,נאמנה
5,10,היו
5,10,שרי
5,10,יהודה
5,10,כמסיגי
5,10,גבול
5,10,עליהם
5,10,אשפוך
5,10,כמים
5,10,עברתי
5,11,עשוק
5,11,אפרים
5,11,רצוץ
5,11,משפט
5,11,כי
5,11,הואיל
5,11,הלך
5,11,אחרי
5,11,צו
5,12,ואני
5,12,כעש
5,12,לאפרים
5,12,וכרקב
5,12,לבית
5,12,יהודה
5,13,וירא
5,13,אפרים
5,13,את
5,13,חליו
5,13,ויהודה
5,13,את
5,13,מזרו
5,13,וילך
5,13,אפרים
5,13,אל
5,13,אשור
5,13,וישלח
5,13,אל
