chapter,verse,word
1,1,דבר
1,1,יהוה
1,1,אשר
1,1,היה
1,1,אל
1,1,יואל
1,1,בן
1,1,פתואל
1,2,שמעו
1,2,זאת
1,2,הזקנים
1,2,והאזינו
1,2,כל
1,2,יושבי
1,2,הארץ
1,2,ההיתה
1,2,זאת
1,2,בימיכם
1,2,ואם
1,2,בימי
1,2,אבתיכם
1,3,עליה
1,3,לבניכם
1,3,ספרו
1,3,ובניכם
1,3,לבניהם
1,3,ובניהם
1,3,לדור
1,3,אחר
1,4,יתר
1,4,הגזם
1,4,אכל
1,4,הארבה
1,4,ויתר
1,4,הארבה
1,4,אכל
1,4,הילק
1,4,ויתר
1,4,הילק
1,4,אכל
1,4,החסיל
1,5,הקיצו
1,5,שכורים
1,5,ובכו
1,5,והיללו
1,5,כל
1,5,שתי
1,5,יין
1,5,על
1,5,עסיס
1,5,כי
1,5,נכרת
1,5,מפיכם
1,6,כי
1,6,גוי
1,6,עלה
1,6,על
1,6,ארצי
1,6,עצום
1,6,ואין
1,6,מספר
1,6,שניו
1,6,שני
1,6,אריה
1,6,ומתלעות
1,6,לביא
1,6,לו
1,7,שם
1,7,גפני
1,7,לשמה
1,7,ותאנתי
1,7,לקצפה
1,7,חשף
1,7,חשפה
1,7,והשליך
1,7,הלבינו
1,7,שריגיה
1,8,אלי
1,8,כבתולה
1,8,חגרת
1,8,שק
1,8,על
1,8,בעל
1,8,נעוריה
1,9,הכרת
1,9,מנחה
1,9,ונסך
1,9,מבית
1,9,יהוה
1,9,אבלו
1,9,הכהנים
1,9,משרתי
1,9,יהוה
1,10,שדד
1,10,שדה
1,10,אבלה
1,10,אדמה
1,10,כי
1,10,שדד
1,10,דגן
1,10,הוביש
1,10,תירוש
1,10,אמלל
1,10,יצהר
1,11,הבישו
1,11,אכרים
1,11,הילילו
1,11,כרמים
1,11,על
1,11,חטה
1,11,ועל
1,11,שערה
1,11,כי
1,11,אבד
1,11,קציר
1,11,שדה
1,12,הגפן
1,12,הובישה
1,12,והתאנה
1,12,אמללה
1,12,רמון
1,12,גם
1,12,תמר
1,12,ותפוח
1,12,כל
1,12,עצי
1,12,השדה
1,12,יבשו
1,12,כי
1,12,הביש
1,12,ששון
1,12,מן
1,12,בני
1,12,אדם
1,13,חגרו
1,13,וספדו
1,13,הכהנים
1,13,הילילו
1,13,משרתי
1,13,מזבח
1,13,באו
1,13,לינו
1,13,בשקים
1,13,משרתי
1,13,אלהי
1,13,כי
1,13,נמנע
1,13,מבית
1,13,אלהיכם
1,13,מנחה
1,13,ונסך
1,14,קדשו
1,14,צום
1,14,קראו
1,14,עצרה
1,14,אספו
1,14,זקנים
1,14,כל
1,14,ישבי
1,14,הארץ
1,14,בית
1,14,יהוה
1,14,אלהיכם
1,14,וזעקו
1,14,אל
1,14,יהוה
1,15,אהה
1,15,ליום
1,15,כי
1,15,קרוב
1,15,יום
1,15,יהוה
1,15,וכשד
1,15,משדי
1,15,יבוא
1,16,הלוא
1,16,נגד
1,16,עינינו
1,16,אכל
1,16,נכרת
1,16,מבית
1,16,אלהינו
1,16,שמחה
1,16,וגיל
1,17,עבשו
1,17,פרדות
1,17,תחת
1,17,מגרפתיהם
1,17,נשמו
1,17,אצרות
1,17,נהרסו
1,17,ממגרות
1,17,כי
1,17,הביש
1,17,דגן
1,18,מה
1,18,נאנחה
1,18,בהמה
1,18,נבכו
1,18,עדרי
1,18,בקר
1,18,כי
1,18,אין
1,18,מרעה
1,18,להם
1,18,גם
1,18,עדרי
1,18,הצאן
1,18,נאשמו
1,19,אליך
1,19,יהוה
1,19,אקרא
1,19,כי
1,19,אש
1,19,אכלה
1,19,נאות
1,19,מדבר
1,19,ולהבה
1,19,להטה
1,19,כל
1,19,עצי
1,19,השדה
1,20,גם
1,20,בהמות
1,20,שדה
1,20,תערוג
1,20,אליך
1,20,כי
1,20,יבשו
1,20,אפיקי
1,20,מים
1,20,ואש
1,20,אכלה
1,20,נאות
1,20,המדבר
2,1,תקעו
2,1,שופר
2,1,בציון
2,1,והריעו
2,1,בהר
2,1,קדשי
2,1,ירגזו
2,1,כל
2,1,ישבי
2,1,הארץ
2,1,כי
2,1,בא
2,1,יום
2,1,יהוה
2,1,כי
2,1,קרוב
2,2,יום
2,2,חשך
2,2,ואפלה
2,2,יום
2,2,ענן
2,2,וערפל
2,2,כשחר
2,2,פרש
2,2,על
2,2,ההרים
2,2,עם
2,2,רב
2,2,ועצום
2,2,כמהו
2,2,לא
2,2,נהיה
2,2,מן
2,2,העולם
2,2,ואחריו
2,2,לא
2,2,יוסף
2,2,עד
2,2,שני
2,2,דור
2,2,ודור
2,3,לפניו
2,3,אכלה
2,3,אש
2,3,ואחריו
2,3,תלהט
2,3,להבה
2,3,כגן
2,3,עדן
2,3,הארץ
2,3,לפניו
2,3,ואחריו
2,3,מדבר
2,3,שממה
2,3,וגם
2,3,פליטה
2,3,לא
2,3,היתה
2,3,לו
2,4,כמראה
2,4,סוסים
2,4,מראהו
2,4,וכפרשים
2,4,כן
2,4,ירוצון
2,5,כקול
2,5,מרכבות
2,5,על
2,5,ראשי
2,5,ההרים
2,5,ירקדון
2,5,כקול
2,5,להב
2,5,אש
2,5,אכלה
2,5,קש
2,5,כעם
2,5,עצום
2,5,ערוך
2,5,מלחמה
2,6,מפניו
2,6,יחילו
2,6,עמים
2,6,כל
2,6,פנים
2,6,קבצו
2,6,פארור
2,7,כגבורים
2,7,ירצון
2,7,כאנשי
2,7,מלחמה
2,7,יעלו
2,7,חומה
2,7,ואיש
2,7,בדרכיו
2,7,ילכון
2,7,ולא
2,7,יעבטון
2,7,ארחותם
2,8,ואיש
2,8,אחיו
2,8,לא
2,8,ידחקון
2,8,גבר
2,8,במסלתו
2,8,ילכון
2,8,ובעד
2,8,השלח
2,8,יפלו
2,8,לא
2,8,יבצעו
2,9,בעיר
2,9,ישקו
2,9,בחומה
2,9,ירצון
2,9,בבתים
2,9,יעלו
2,9,בעד
2,9,החלונים
2,9,יבאו
2,9,כגנב
2,10,לפניו
2,10,רגזה
2,10,ארץ
2,10,רעשו
2,10,שמים
2,10,שמש
2,10,וירח
2,10,קדרו
2,10,וכוכבים
2,10,אספו
2,10,נגהם
2,11,ויהוה
2,11,נתן
2,11,קולו
2,11,לפני
2,11,חילו
2,11,כי
2,11,רב
2,11,מאד
2,11,מחנהו
2,11,כי
2,11,עצום
2,11,עשה
2,11,דברו
2,11,כי
2,11,גדול
2,11,יום
2,11,יהוה
2,11,ונורא
2,11,מאד
2,11,ומי
2,11,יכילנו
2,12,וגם
2,12,עתה
2,12,נאם
2,12,יהוה
2,12,שבו
2,12,עדי
2,12,בכל
2,12,לבבכם
2,12,ובצום
2,12,ובבכי
2,12,ובמספד
2,13,וקרעו
2,13,לבבכם
2,13,ואל
2,13,בגדיכם
2,13,ושובו
2,13,אל
2,13,יהוה
2,13,אלהיכם
2,13,כי
2,13,חנון
2,13,ורחום
2,13,הוא
2,13,ארך
2,13,אפים
2,13,ורב
2,13,חסד
2,13,ונחם
2,13,על
2,13,הרעה
2,14,מי
2,14,יודע
2,14,ישוב
2,14,ונחם
2,14,והשאיר
2,14,אחריו
2,14,ברכה
2,14,מנחה
2,14,ונסך
2,14,ליהוה
2,14,אלהיכם
2,15,תקעו
2,15,שופר
2,15,בציון
2,15,קדשו
2,15,צום
2,15,קראו
2,15,עצרה
2,16,אספו
2,16,עם
2,16,קדשו
2,16,קהל
2,16,קבצו
2,16,זקנים
2,16,אספו
2,16,עוללים
2,16,וינקי
2,16,שדים
2,16,יצא
2,16,חתן
2,16,מחדרו
2,16,וכלה
2,16,מחפתה
2,17,בין
2,17,האולם
2,17,ולמזבח
2,17,יבכו
2,17,הכהנים
2,17,משרתי
2,17,יהוה
2,17,ויאמרו
2,17,חוסה
2,17,יהוה
2,17,על
2,17,עמך
2,17,ואל
2,17,תתן
2,17,נחלתך
2,17,לחרפה
2,17,למשל
2,17,בם
2,17,גוים
2,17,למה
2,17,יאמרו
2,17,בעמים
2,17,איה
2,17,אלהיהם
2,18,ויקנא
2,18,יהוה
2,18,לארצו
2,18,ויחמל
2,18,על
2,18,עמו
2,19,ויען
2,19,יהוה
2,19,ויאמר
2,19,לעמו
2,19,הנני
2,19,שלח
2,19,לכם
2,19,את
2,19,הדגן
2,19,והתירוש
2,19,והיצהר
2,19,ושבעתם
2,19,אתו
2,19,ולא
2,19,אתן
2,19,אתכם
2,19,עוד
2,19,חרפה
2,19,בגוים
2,20,ואת
2,20,הצפוני
2,20,ארחיק
2,20,מעליכם
2,20,והדחתיו
2,20,אל
2,20,ארץ
2,20,ציה
2,20,ושממה
2,20,את
2,20,פניו
2,20,אל
2,20,הים
2,20,הקדמני
2,20,וספו
2,20,אל
2,20,הים
2,20,האחרון
2,20,ועלה
2,20,באשו
2,20,ותעל
2,20,צחנתו
2,20,כי
2,20,הגדיל
2,20,לעשות
2,21,אל
2,21,תיראי
2,21,אדמה
2,21,גילי
2,21,ושמחי
2,21,כי
2,21,הגדיל
2,21,יהוה
2,21,לעשות
2,22,אל
2,22,תיראו
2,22,בהמות
2,22,שדי
2,22,כי
2,22,דשאו
2,22,נאות
2,22,מדבר
2,22,כי
2,22,עץ
2,22,נשא
2,22,פריו
2,22,תאנה
2,22,וגפן
2,22,נתנו
2,22,חילם
2,23,ובני
2,23,ציון
2,23,גילו
2,23,ושמחו
2,23,ביהוה
2,23,אלהיכם
2,23,כי
2,23,נתן
2,23,לכם
2,23,את
2,23,המורה
2,23,לצדקה
2,23,ויורד
2,23,לכם
2,23,גשם
2,23,מורה
2,23,ומלקוש
2,23,בראשון
2,24,ומלאו
2,24,הגרנות
2,24,בר
2,24,והשיקו
2,24,היקבים
2,24,תירוש
2,24,ויצהר
2,25,ושלמתי
2,25,לכם
2,25,את
2,25,השנים
2,25,אשר
2,25,אכל
2,25,הארבה
2,25,הילק
2,25,והחסיל
2,25,והגזם
2,25,חילי
2,25,הגדול
2,25,אשר
2,25,שלחתי
2,25,בכם
2,26,ואכלתם
2,26,אכול
2,26,ושבוע
2,26,והללתם
2,26,את
2,26,שם
2,26,יהוה
2,26,אלהיכם
2,26,אשר
2,26,עשה
2,26,עמכם
2,26,להפליא
2,26,ולא
2,26,יבשו
2,26,עמי
2,26,לעולם
2,27,וידעתם
2,27,כי
2,27,בקרב
2,27,ישראל
2,27,אני
2,27,ואני
2,27,יהוה
2,27,אלהיכם
2,27,ואין
2,27,עוד
2,27,ולא
2,27,יבשו
2,27,עמי
2,27,לעולם
2,28,והיה
2,28,אחרי
2,28,כן
2,28,אשפוך
2,28,את
2,28,רוחי
2,28,על
2,28,כל
2,28,בשר
2,28,ונבאו
2,28,בניכם
2,28,ובנותיכם
2,28,זקניכם
2,28,חלמות
2,28,יחלמון
2,28,בחוריכם
2,28,חזינות
2,28,יראו
2,29,וגם
2,29,על
2,29,העבדים
2,29,ועל
2,29,השפחות
2,29,בימים
2,29,ההמה
2,29,אשפוך
2,29,את
2,29,רוחי
2,30,ונתתי
2,30,מופתים
2,30,בשמים
2,30,ובארץ
2,30,דם
2,30,ואש
2,30,ותימרות
2,30,עשן
2,31,השמש
2,31,יהפך
2,31,לחשך
2,31,והירח
2,31,לדם
2,31,לפני
2,31,בוא
2,31,יום
2,31,יהוה
2,31,הגדול
2,31,והנורא
2,32,והיה
2,32,כל
2,32,אשר
2,32,יקרא
2,32,בשם
2,32,יהוה
2,32,ימלט
2,32,כי
2,32,בהר
2,32,ציון
2,32,ובירושלם
2,32,תהיה
2,32,פליטה
2,32,כאשר
2,32,אמר
2,32,יהוה
2,32,ובשרידים
2,32,אשר
2,32,יהוה
2,32,קרא
3,1,כי
3,1,הנה
3,1,בימים
3,1,ההמה
3,1,ובעת
3,1,ההיא
3,1,אשר
3,1,אשוב
3,1,את
3,1,שבות
3,1,יהודה
3,1,וירושלם
3,2,וקבצתי
3,2,את
3,2,כל
3,2,הגוים
3,2,והורדתים
3,2,אל
3,2,עמק
3,2,יהושפט
3,2,ונשפטתי
3,2,עמם
3,2,שם
3,2,על
3,2,עמי
3,2,ונחלתי
3,2,ישראל
3,2,אשר
3,2,פזרו
3,2,בגוים
3,2,ואת
3,2,ארצי
3,2,חלקו
3,3,ואל
3,3,עמי
3,3,ידו
3,3,גורל
3,3,ויתנו
3,3,הילד
3,3,בזונה
3,3,והילדה
3,3,מכרו
3,3,ביין
3,3,וישתו
3,4,וגם
3,4,מה
3,4,אתם
3,4,לי
3,4,צר
3,4,וצידון
3,4,וכל
3,4,גלילות
3,4,פלשת
3,4,הגמול
3,4,אתם
3,4,משלמים
3,4,עלי
3,4,ואם
3,4,גמלים
3,4,אתם
3,4,עלי
3,4,קל
3,4,מהרה
3,4,אשיב
3,4,גמלכם
3,4,בראשכם
3,5,אשר
3,5,כספי
3,5,וזהבי
3,5,לקחתם
3,5,ומחמדי
3,5,הטבים
3,5,הבאתם
3,5,להיכליכם
3,6,ובני
3,6,יהודה
3,6,ובני
3,6,ירושלם
3,6,מכרתם
3,6,לבני
3,6,היונים
3,6,למען
3,6,הרחיקם
3,6,מעל
3,6,גבולם
3,7,הנני
3,7,מעירם
3,7,מן
3,7,המקום
3,7,אשר
3,7,מכרתם
3,7,אתם
3,7,שמה
3,7,והשבתי
3,7,גמלכם
3,7,בראשכם
3,8,ומכרתי
3,8,את
3,8,בניכם
3,8,ואת
3,8,בנותיכם
3,8,ביד
3,8,בני
3,8,יהודה
3,8,ומכרום
3,8,לשבאים
3,8,אל
3,8,גוי
3,8,רחוק
3,8,כי
3,8,יהוה
3,8,דבר
3,9,קראו
3,9,זאת
3,9,בגוים
3,9,קדשו
3,9,מלחמה
3,9,העירו
3,9,הגבורים
3,9,יגשו
3,9,יעלו
3,9,כל
3,9,אנשי
3,9,המלחמה
3,10,כתו
3,10,אתיכם
3,10,לחרבות
3,10,ומזמרתיכם
3,10,לרמחים
3,10,החלש
3,10,יאמר
3,10,גבור
3,10,אני
3,11,עושו
3,11,ובאו
3,11,כל
3,11,הגוים
3,11,מסביב
3,11,ונקבצו
3,11,שמה
3,11,הנחת
3,11,יהוה
3,11,גבוריך
3,12,יעורו
3,12,ויעלו
3,12,הגוים
3,12,אל
3,12,עמק
3,12,יהושפט
3,12,כי
3,12,שם
3,12,אשב
3,12,לשפט
3,12,את
3,12,כל
3,12,הגוים
3,12,מסביב
3,13,שלחו
3,13,מגל
3,13,כי
3,13,בשל
3,13,קציר
3,13,באו
3,13,רדו
3,13,כי
3,13,מלאה
3,13,גת
3,13,השיקו
3,13,היקבים
3,13,כי
3,13,רבה
3,13,רעתם
3,14,המונים
3,14,המונים
3,14,בעמק
3,14,החרוץ
3,14,כי
3,14,קרוב
3,14,יום
3,14,יהוה
3,14,בעמק
3,14,החרוץ
3,15,שמש
3,15,וירח
3,15,קדרו
3,15,וכוכבים
3,15,אספו
3,15,נגהם
3,16,ויהוה
3,16,מציון
3,16,ישאג
3,16,ומירושלם
3,16,יתן
3,16,קולו
3,16,ורעשו
3,16,שמים
3,16,וארץ
3,16,ויהוה
3,16,מחסה
3,16,לעמו
3,16,ומעוז
3,16,לבני
3,16,ישראל
3,17,וידעתם
3,17,כי
3,17,אני
3,17,יהוה
3,17,אלהיכם
3,17,שכן
3,17,בציון
3,17,הר
3,17,קדשי
3,17,והיתה
3,17,ירושלם
3,17,קדש
3,17,וזרים
3,17,לא
3,17,יעברו
3,17,בה
3,17,עוד
3,18,והיה
3,18,ביום
3,18,ההוא
3,18,יטפו
3,18,ההרים
3,18,עסיס
3,18,והגבעות
3,18,תלכנה
