chapter,verse,word
1,1,ויקרא
1,1,אל
1,1,משה
1,1,וידבר
1,1,יהוה
1,1,אליו
1,1,מאהל
1,1,מועד
1,1,לאמר
1,2,דבר
1,2,אל
1,2,בני
1,2,ישראל
1,2,ואמרת
1,2,אלהם
1,2,אדם
1,2,כי
1,2,יקריב
1,2,מכם
1,2,קרבן
1,2,ליהוה
1,2,מן
1,2,הבהמה
1,2,מן
1,2,הבקר
1,2,ומן
1,2,הצאן
1,2,תקריבו
1,2,את
1,2,קרבנכם
1,3,אם
1,3,עלה
1,3,קרבנו
1,3,מן
1,3,הבקר
1,3,זכר
1,3,תמים
1,3,יקריבנו
1,3,אל
1,3,פתח
1,3,אהל
1,3,מועד
1,3,יקריב
1,3,אתו
1,3,לרצנו
1,3,לפני
1,3,יהוה
1,4,וסמך
1,4,ידו
1,4,על
1,4,ראש
1,4,העלה
1,4,ונרצה
1,4,לו
1,4,לכפר
1,4,עליו
1,5,ושחט
1,5,את
1,5,בן
1,5,הבקר
1,5,לפני
1,5,יהוה
1,5,והקריבו
1,5,בני
1,5,אהרן
1,5,הכהנים
1,5,את
1,5,הדם
1,5,וזרקו
1,5,את
1,5,הדם
1,5,על
1,5,המזבח
1,5,סביב
1,5,אשר
1,5,פתח
1,5,אהל
1,5,מועד
1,6,והפשיט
1,6,את
1,6,העלה
1,6,ונתח
1,6,אתה
1,6,לנתחיה
1,7,ונתנו
1,7,בני
1,7,אהרן
1,7,הכהן
1,7,אש
1,7,על
1,7,המזבח
1,7,וערכו
1,7,עצים
1,7,על
1,7,האש
1,8,וערכו
1,8,בני
1,8,אהרן
1,8,הכהנים
1,8,את
1,8,הנתחים
1,8,את
1,8,הראש
1,8,ואת
1,8,הפדר
1,8,על
1,8,העצים
1,8,אשר
1,8,על
1,8,האש
1,8,אשר
1,8,על
1,8,המזבח
1,9,וקרבו
1,9,וכרעיו
1,9,ירחץ
1,9,במים
1,9,והקטיר
1,9,הכהן
1,9,את
1,9,הכל
1,9,המזבחה
1,9,עלה
1,9,אשה
1,9,ריח
1,9,ניחוח
1,9,ליהוה
1,10,ואם
1,10,מן
1,10,הצאן
1,10,קרבנו
1,10,מן
1,10,הכשבים
1,10,או
1,10,מן
1,10,העזים
1,10,לעלה
1,10,זכר
1,10,תמים
1,10,יקריבנו
1,11,ושחט
1,11,אתו
1,11,על
1,11,ירך
1,11,המזבח
1,11,צפנה
1,11,לפני
1,11,יהוה
1,11,וזרקו
1,11,בני
1,11,אהרן
1,11,הכהנים
1,11,את
1,11,דמו
1,11,על
1,11,המזבח
1,11,סביב
1,12,ונתח
1,12,אתו
1,12,לנתחיו
1,12,ואת
1,12,ראשו
1,12,ואת
1,12,פדרו
1,12,וערך
1,12,הכהן
1,12,אתם
1,12,על
1,12,העצים
1,12,אשר
1,12,על
1,12,האש
1,12,אשר
1,12,על
1,12,המזבח
1,13,והקרב
1,13,והכרעים
1,13,ירחץ
1,13,במים
1,13,והקריב
1,13,הכהן
1,13,את
1,13,הכל
1,13,והקטיר
1,13,המזבחה
1,13,עלה
1,13,הוא
1,13,אשה
1,13,ריח
1,13,ניחח
1,13,ליהוה
1,14,ואם
1,14,מן
1,14,העוף
1,14,עלה
1,14,קרבנו
1,14,ליהוה
1,14,והקריב
1,14,מן
1,14,התרים
1,14,או
1,14,מן
1,14,בני
1,14,היונה
1,14,את
1,14,קרבנו
1,15,והקריבו
1,15,הכהן
1,15,אל
1,15,המזבח
1,15,ומלק
1,15,את
1,15,ראשו
1,15,והקטיר
1,15,המזבחה
1,15,ונמצה
1,15,דמו
1,15,על
1,15,קיר
1,15,המזבח
1,16,והסיר
1,16,את
1,16,מראתו
1,16,בנצתה
1,16,והשליך
1,16,אתה
1,16,אצל
1,16,המזבח
1,16,קדמה
1,16,אל
1,16,מקום
1,16,הדשן
1,17,ושסע
1,17,אתו
1,17,בכנפיו
1,17,לא
1,17,יבדיל
1,17,והקטיר
1,17,אתו
1,17,הכהן
1,17,המזבחה
1,17,על
1,17,העצים
1,17,אשר
1,17,על
1,17,האש
1,17,עלה
1,17,הוא
1,17,אשה
1,17,ריח
1,17,ניחח
1,17,ליהוה
2,1,ונפש
2,1,כי
2,1,תקריב
2,1,קרבן
2,1,מנחה
2,1,ליהוה
2,1,סלת
2,1,יהיה
2,1,קרבנו
2,1,ויצק
2,1,עליה
2,1,שמן
2,1,ונתן
2,1,עליה
2,1,לבנה
2,2,והביאה
2,2,אל
2,2,בני
2,2,אהרן
2,2,הכהנים
2,2,וקמץ
2,2,משם
2,2,מלא
2,2,קמצו
2,2,מסלתה
2,2,ומשמנה
2,2,על
2,2,כל
2,2,לבנתה
2,2,והקטיר
2,2,הכהן
2,2,את
2,2,אזכרתה
2,2,המזבחה
2,2,אשה
2,2,ריח
2,2,ניחח
2,2,ליהוה
2,3,והנותרת
2,3,מן
2,3,המנחה
2,3,לאהרן
2,3,ולבניו
2,3,קדש
2,3,קדשים
2,3,מאשי
2,3,יהוה
2,4,וכי
2,4,תקרב
2,4,קרבן
2,4,מנחה
2,4,מאפה
2,4,תנור
2,4,סלת
2,4,חלות
2,4,מצת
2,4,בלולת
2,4,בשמן
2,4,ורקיקי
2,4,מצות
2,4,משחים
2,4,בשמן
2,5,ואם
2,5,מנחה
2,5,על
2,5,המחבת
2,5,קרבנך
2,5,סלת
2,5,בלולה
2,5,בשמן
2,5,מצה
2,5,תהיה
2,6,פתות
2,6,אתה
2,6,פתים
2,6,ויצקת
2,6,עליה
2,6,שמן
2,6,מנחה
2,6,הוא
2,7,ואם
2,7,מנחת
2,7,מרחשת
2,7,קרבנך
2,7,סלת
2,7,בשמן
2,7,תעשה
2,8,והבאת
2,8,את
2,8,המנחה
2,8,אשר
2,8,יעשה
2,8,מאלה
2,8,ליהוה
2,8,והקריבה
2,8,אל
