chapter,verse,word
1,1,דברי
1,1,עמוס
1,1,אשר
1,1,היה
1,1,בנקדים
1,1,מתקוע
1,1,אשר
1,1,חזה
1,1,על
1,1,ישראל
1,1,בימי
1,1,עזיה
1,1,מלך
1,1,יהודה
1,1,ובימי
1,1,ירבעם
1,1,בן
1,1,יואש
1,1,מלך
1,1,ישראל
1,1,שנתים
1,1,לפני
1,1,הרעש
1,2,ויאמר
1,2,יהוה
1,2,מציון
1,2,ישאג
1,2,ומירושלם
1,2,יתן
1,2,קולו
1,2,ואבלו
1,2,נאות
1,2,הרעים
1,2,ויבש
1,2,ראש
1,2,הכרמל
1,3,כה
1,3,אמר
1,3,יהוה
1,3,על
1,3,שלשה
1,3,פשעי
1,3,דמשק
1,3,ועל
1,3,ארבעה
1,3,לא
1,3,אשיבנו
1,3,על
1,3,דושם
1,3,בחרצות
1,3,הברזל
1,3,את
1,3,הגלעד
1,4,ושלחתי
1,4,אש
1,4,בבית
1,4,חזאל
1,4,ואכלה
1,4,ארמנות
1,4,בן
1,4,הדד
1,5,ושברתי
1,5,בריח
1,5,דמשק
1,5,והכרתי
1,5,יושב
1,5,מבקעת
1,5,און
1,5,ותומך
1,5,שבט
1,5,מבית
1,5,עדן
1,5,וגלו
1,5,עם
1,5,ארם
1,5,קירה
1,5,אמר
1,5,יהוה
1,6,כה
1,6,אמר
1,6,יהוה
1,6,על
1,6,שלשה
1,6,פשעי
1,6,עזה
1,6,ועל
1,6,ארבעה
1,6,לא
1,6,אשיבנו
1,6,על
1,6,הגלותם
1,6,גלות
1,6,שלמה
1,6,להסגיר
1,6,לאדום
1,7,ושלחתי
1,7,אש
1,7,בחומת
1,7,עזה
1,7,ואכלה
1,7,ארמנתיה
1,8,והכרתי
1,8,יושב
1,8,מאשדוד
1,8,ותומך
1,8,שבט
1,8,מאשקלון
1,8,והשיבותי
1,8,ידי
1,8,על
1,8,עקרון
1,8,ואבדו
1,8,שארית
1,8,פלשתים
1,8,אמר
1,8,אדני
1,8,יהוה
1,9,כה
1,9,אמר
1,9,יהוה
1,9,על
1,9,שלשה
1,9,פשעי
1,9,צר
1,9,ועל
1,9,ארבעה
1,9,לא
1,9,אשיבנו
1,9,על
1,9,הסגירם
1,9,גלות
1,9,שלמה
1,9,לאדום
1,9,ולא
1,9,זכרו
1,9,ברית
1,9,אחים
1,10,ושלחתי
1,10,אש
1,10,בחומת
1,10,צר
1,10,ואכלה
1,10,ארמנתיה
1,11,כה
1,11,אמר
1,11,יהוה
1,11,על
1,11,שלשה
1,11,פשעי
1,11,אדום
1,11,ועל
1,11,ארבעה
1,11,לא
1,11,אשיבנו
1,11,על
1,11,רדפו
1,11,בחרב
1,11,אחיו
1,11,ושחת
1,11,רחמיו
1,11,ויטרף
1,11,לעד
1,11,אפו
1,11,ועברתו
1,11,שמרה
1,11,נצח
1,12,ושלחתי
1,12,אש
1,12,בתימן
1,12,ואכלה
1,12,ארמנות
1,12,בצרה
1,13,כה
1,13,אמר
1,13,יהוה
1,13,על
1,13,שלשה
1,13,פשעי
1,13,בני
1,13,עמון
1,13,ועל
1,13,ארבעה
1,13,לא
1,13,אשיבנו
1,13,על
1,13,בקעם
1,13,הרות
1,13,הגלעד
1,13,למען
1,13,הרחיב
1,13,את
1,13,גבולם
1,14,והצתי
1,14,אש
1,14,בחומת
1,14,רבה
1,14,ואכלה
1,14,ארמנותיה
1,14,בתרועה
1,14,ביום
1,14,מלחמה
1,14,בסער
1,14,ביום
1,14,סופה
1,15,והלך
1,15,מלכם
1,15,בגולה
1,15,הוא
1,15,ושריו
1,15,יחדו
1,15,אמר
1,15,יהוה
2,1,כה
2,1,אמר
2,1,יהוה
2,1,על
2,1,שלשה
2,1,פשעי
2,1,מואב
2,1,ועל
2,1,ארבעה
2,1,לא
2,1,אשיבנו
2,1,על
2,1,שרפו
2,1,עצמות
