chapter,verse,word
1,1,חזון
1,1,עבדיה
1,1,כה
1,1,אמר
1,1,אדני
1,1,יהוה
1,1,לאדום
1,1,שמועה
1,1,שמענו
1,1,מאת
1,1,יהוה
1,1,וציר
1,1,בגוים
1,1,שלח
1,1,קומו
1,1,ונקומה
1,1,עליה
1,1,למלחמה
1,2,הנה
1,2,קטן
1,2,נתתיך
1,2,בגוים
1,2,בזוי
1,2,אתה
1,2,מאד
1,3,זדון
1,3,לבך
1,3,השיאך
1,3,שכני
1,3,בחגוי
1,3,סלע
1,3,מרום
1,3,שבתו
1,3,אמר
1,3,בלבו
1,3,מי
1,3,יורדני
1,3,ארץ
1,4,אם
1,4,תגביה
1,4,כנשר
1,4,ואם
1,4,בין
1,4,כוכבים
1,4,שים
1,4,קנך
1,4,משם
1,4,אורידך
1,4,נאם
1,4,יהוה
1,5,אם
1,5,גנבים
1,5,באו
1,5,לך
1,5,אם
1,5,שודדי
1,5,לילה
1,5,איך
1,5,נדמיתה
1,5,הלוא
1,5,יגנבו
1,5,דים
1,5,אם
1,5,בצרים
1,5,באו
1,5,לך
1,5,הלוא
1,5,ישאירו
1,5,עללות
1,6,איך
1,6,נחפשו
1,6,עשו
1,6,נבעו
1,6,מצפניו
1,7,עד
1,7,הגבול
1,7,שלחוך
1,7,כל
1,7,אנשי
1,7,בריתך
1,7,השיאוך
1,7,יכלו
1,7,לך
1,7,אנשי
1,7,שלמך
1,7,לחמך
1,7,ישימו
1,7,מזור
1,7,תחתיך
1,7,אין
1,7,תבונה
1,7,בו
1,8,הלוא
1,8,ביום
1,8,ההוא
1,8,נאם
1,8,יהוה
1,8,והאבדתי
1,8,חכמים
1,8,מאדום
1,8,ותבונה
1,8,מהר
1,8,עשו
1,9,וחתו
1,9,גבוריך
1,9,תימן
1,9,למען
1,9,יכרת
1,9,איש
1,9,מהר
1,9,עשו
1,9,מקטל
1,10,מחמס
1,10,אחיך
1,10,יעקב
1,10,תכסך
1,10,בושה
1,10,ונכרת
1,10,לעולם
1,11,ביום
1,11,עמדך
1,11,מנגד
1,11,ביום
1,11,שבות
1,11,זרים
1,11,חילו
1,11,ונכרים
1,11,באו
1,11,שערו
1,11,ועל
1,11,ירושלם
1,11,ידו
1,11,גורל
1,11,גם
1,11,אתה
1,11,כאחד
1,11,מהם
1,12,ואל
1,12,תרא
1,12,ביום
1,12,אחיך
1,12,ביום
1,12,נכרו
1,12,ואל
1,12,תשמח
1,12,לבני
1,12,יהודה
1,12,ביום
1,12,אבדם
1,12,ואל
1,12,תגדל
1,12,פיך
1,12,ביום
1,12,צרה
1,13,אל
1,13,תבוא
1,13,בשער
1,13,עמי
1,13,ביום
1,13,אידם
1,13,אל
1,13,תרא
1,13,גם
1,13,אתה
1,13,ברעתו
1,13,ביום
1,13,אידו
1,13,ואל
1,13,תשלחנה
1,13,בחילו
1,13,ביום
1,13,אידו
1,14,ואל
1,14,תעמד
1,14,על
1,14,הפרק
1,14,להכרית
1,14,את
1,14,פליטיו
1,14,ואל
1,14,תסגר
1,14,שרידיו
1,14,ביום
1,14,צרה
1,15,כי
1,15,קרוב
1,15,יום
1,15,יהוה
1,15,על
1,15,כל
1,15,הגוים
1,15,כאשר
1,15,עשית
1,15,יעשה
1,15,לך
1,15,גמלך
1,15,ישוב
1,15,בראשך
1,16,כי
1,16,כאשר
1,16,שתיתם
1,16,על
1,16,הר
1,16,קדשי
1,16,ישתו
1,16,כל
1,16,הגוים
1,16,תמיד
1,16,ושתו
1,16,ולעו
1,16,והיו
1,16,כלוא
1,16,היו
1,17,ובהר
1,17,ציון
1,17,תהיה
1,17,פליטה
1,17,והיה
1,17,קדש
1,17,וירשו
1,17,בית
1,17,יעקב
1,17,את
1,17,מורשיהם
1,18,והיה
1,18,בית
1,18,יעקב
1,18,אש
1,18,ובית
1,18,יוסף
1,18,להבה
1,18,ובית
1,18,עשו
1,18,לקש
1,18,ודלקו
1,18,בהם
1,18,ואכלום
1,18,ולא
1,18,יהיה
1,18,שריד
1,18,לבית
1,18,עשו
1,18,כי
1,18,יהוה
1,18,דבר
1,19,וירשו
1,19,הנגב
1,19,את
1,19,הר
1,19,עשו
1,19,והשפלה
1,19,את
1,19,פלשתים
1,19,וירשו
1,19,את
1,19,שדה
1,19,אפרים
1,19,ואת
1,19,שדה
1,19,שמרון
1,19,ובנימן
1,19,את
1,19,הגלעד
1,20,וגלת
1,20,החל
1,20,הזה
1,20,לבני
1,20,ישראל
1,20,אשר
1,20,כנענים
1,20,עד
1,20,צרפת
1,20,וגלת
1,20,ירושלם
1,20,אשר
1,20,בספרד
1,20,ירשו
1,20,את
1,20,ערי
1,20,הנגב
1,21,ועלו
1,21,מושעים
1,21,בהר
1,21,ציון
1,21,לשפט
1,21,את
1,21,הר
1,21,עשו
1,21,והיתה
1,21,ליהוה
1,21,המלוכה
