chapter,verse,word
1,1,ויהי
1,1,דבר
1,1,יהוה
1,1,אל
1,1,יונה
1,1,בן
1,1,אמתי
1,1,לאמר
1,2,קום
1,2,לך
1,2,אל
1,2,נינוה
1,2,העיר
1,2,הגדולה
1,2,וקרא
1,2,עליה
1,2,כי
1,2,עלתה
1,2,רעתם
1,2,לפני
1,3,ויקם
1,3,יונה
1,3,לברח
1,3,תרשישה
1,3,מלפני
1,3,יהוה
1,3,וירד
1,3,יפו
1,3,וימצא
1,3,אניה
1,3,באה
1,3,תרשיש
1,3,ויתן
1,3,שכרה
1,3,וירד
1,3,בה
1,3,לבוא
1,3,עמהם
1,3,תרשישה
1,3,מלפני
1,3,יהוה
1,4,ויהוה
1,4,הטיל
1,4,רוח
1,4,גדולה
1,4,אל
1,4,הים
1,4,ויהי
1,4,סער
1,4,גדול
1,4,בים
1,4,והאניה
1,4,חשבה
1,4,להשבר
1,5,וייראו
1,5,המלחים
1,5,ויזעקו
1,5,איש
1,5,אל
1,5,אלהיו
1,5,ויטלו
1,5,את
1,5,הכלים
1,5,אשר
1,5,באניה
1,5,אל
1,5,הים
1,5,להקל
1,5,מעליהם
1,5,ויונה
1,5,ירד
1,5,אל
1,5,ירכתי
1,5,הספינה
1,5,וישכב
1,5,וירדם
1,6,ויקרב
1,6,אליו
1,6,רב
1,6,החבל
1,6,ויאמר
1,6,לו
1,6,מה
1,6,לך
1,6,נרדם
1,6,קום
1,6,קרא
1,6,אל
1,6,אלהיך
1,6,אולי
1,6,יתעשת
1,6,האלהים
1,6,לנו
1,6,ולא
1,6,נאבד
1,7,ויאמרו
1,7,איש
1,7,אל
1,7,רעהו
1,7,לכו
1,7,ונפילה
1,7,גורלות
1,7,ונדעה
1,7,בשלמי
1,7,הרעה
1,7,הזאת
1,7,לנו
1,7,ויפלו
1,7,גורלות
1,7,ויפל
1,7,הגורל
1,7,על
1,7,יונה
1,8,ויאמרו
1,8,אליו
1,8,הגידה
1,8,נא
1,8,לנו
1,8,באשר
1,8,למי
1,8,הרעה
1,8,הזאת
1,8,לנו
1,8,מה
1,8,מלאכתך
1,8,ומאין
1,8,תבוא
1,8,מה
1,8,ארצך
1,8,ואי
1,8,מזה
1,8,עם
1,8,אתה
1,9,ויאמר
1,9,אליהם
1,9,עברי
1,9,אנכי
1,9,ואת
1,9,יהוה
1,9,אלהי
1,9,השמים
1,9,אני
1,9,ירא
1,9,אשר
1,9,עשה
1,9,את
1,9,הים
1,9,ואת
1,9,היבשה
1,10,וייראו
1,10,האנשים
1,10,יראה
1,10,גדולה
1,10,ויאמרו
1,10,אליו
1,10,מה
1,10,זאת
1,10,עשית
1,10,כי
1,10,ידעו
