chapter,verse,word
1,1,דבר
1,1,יהוה
1,1,אשר
1,1,היה
1,1,אל
1,1,מיכה
1,1,המרשתי
1,1,בימי
1,1,יותם
1,1,אחז
1,1,יחזקיה
1,1,מלכי
1,1,יהודה
1,1,אשר
1,1,חזה
1,1,על
1,1,שמרון
1,1,וירושלם
1,2,שמעו
1,2,עמים
1,2,כלם
1,2,הקשיבי
1,2,ארץ
1,2,ומלאה
1,2,ויהי
1,2,אדני
1,2,יהוה
1,2,בכם
1,2,לעד
1,2,אדני
1,2,מהיכל
1,2,קדשו
1,3,כי
1,3,הנה
1,3,יהוה
1,3,יצא
1,3,ממקומו
1,3,וירד
1,3,ודרך
1,3,על
1,3,במותי
1,3,ארץ
1,4,ונמסו
1,4,ההרים
1,4,תחתיו
1,4,והעמקים
1,4,יתבקעו
1,4,כדונג
1,4,מפני
1,4,האש
1,4,כמים
1,4,מגרים
1,4,במורד
1,5,בפשע
1,5,יעקב
1,5,כל
1,5,זאת
1,5,ובחטאות
1,5,בית
1,5,ישראל
1,5,מי
1,5,פשע
1,5,יעקב
1,5,הלוא
1,5,שמרון
1,5,ומי
1,5,במות
1,5,יהודה
1,5,הלוא
1,5,ירושלם
1,6,ושמתי
1,6,שמרון
1,6,לעי
1,6,השדה
1,6,למטעי
1,6,כרם
1,6,והגרתי
1,6,לגי
1,6,אבניה
1,6,ויסדיה
1,6,אגלה
1,7,וכל
1,7,פסיליה
1,7,יכתו
1,7,וכל
1,7,אתנניה
1,7,ישרפו
1,7,באש
1,7,וכל
1,7,עצביה
1,7,אשים
1,7,שממה
1,7,כי
1,7,מאתנן
1,7,זונה
1,7,קבצה
1,7,ועד
1,7,אתנן
1,7,זונה
1,7,ישובו
1,8,על
1,8,זאת
1,8,אספדה
1,8,ואילילה
1,8,אילכה
1,8,שילל
1,8,וערום
1,8,אעשה
1,8,מספד
1,8,כתנים
1,8,ואבל
1,8,כבנות
1,8,יענה
1,9,כי
1,9,אנושה
1,9,מכותיה
1,9,כי
1,9,באה
1,9,עד
1,9,יהודה
1,9,נגע
1,9,עד
1,9,שער
1,9,עמי
1,9,עד
1,9,ירושלם
1,10,בגת
1,10,אל
1,10,תגידו
1,10,בכו
1,10,אל
1,10,תבכו
1,10,בבית
1,10,לעפרה
1,10,עפר
1,10,התפלשתי
1,11,עברי
1,11,לכם
1,11,יושבת
1,11,שפיר
1,11,עריה
1,11,בשת
1,11,לא
1,11,יצאה
1,11,יושבת
1,11,צאנן
1,11,מספד
1,11,בית
1,11,האצל
1,11,יקח
1,11,מכם
1,11,עמדתו
1,12,כי
1,12,חלה
1,12,לטוב
1,12,יושבת
1,12,מרות
1,12,כי
1,12,ירד
1,12,רע
1,12,מאת
1,12,יהוה
1,12,לשער
1,12,ירושלם
1,13,רתם
1,13,המרכבה
1,13,לרכש
1,13,יושבת
1,13,לכיש
1,13,ראשית
1,13,חטאת
1,13,היא
1,13,לבת
1,13,ציון
1,13,כי
1,13,בך
1,13,נמצאו
1,13,פשעי
1,13,ישראל
1,14,לכן
1,14,תתני
1,14,שלוחים
1,14,על
1,14,מורשת
1,14,גת
1,14,בתי
1,14,אכזיב
1,14,לאכזב
1,14,למלכי
1,14,ישראל
1,15,עד
1,15,הירש
1,15,אבי
1,15,לך
1,15,יושבת
1,15,מרשה
1,15,עד
1,15,עדלם
1,15,יבוא
1,15,כבוד
1,15,ישראל
1,16,קרחי
1,16,וגזי
1,16,על
1,16,בני
1,16,תענוגיך
1,16,הרחבי
1,16,קרחתך
1,16,כנשר
1,16,כי
1,16,גלו
1,16,ממך
2,1,הוי
2,1,חשבי
2,1,און
2,1,ופעלי
2,1,רע
2,1,על
2,1,משכבותם
2,1,באור
2,1,הבקר
2,1,יעשוה
2,1,כי
2,1,יש
2,1,לאל
2,1,ידם
2,2,וחמדו
2,2,שדות
2,2,וגזלו
2,2,ובתים
2,2,ונשאו
2,2,ועשקו
2,2,גבר
2,2,וביתו
2,2,ואיש
2,2,ונחלתו
2,3,לכן
2,3,כה
2,3,אמר
2,3,יהוה
2,3,הנני
2,3,חשב
2,3,על
2,3,המשפחה
2,3,הזאת
2,3,רעה
2,3,אשר
2,3,לא
2,3,תמישו
2,3,משם
2,3,צוארתיכם
2,3,ולא
2,3,תלכו
2,3,רומה
2,3,כי
2,3,עת
2,3,רעה
2,3,היא
2,4,ביום
2,4,ההוא
2,4,ישא
2,4,עליכם
2,4,משל
2,4,ונהה
2,4,נהי
2,4,נהיה
2,4,אמר
2,4,שדוד
2,4,נשדנו
2,4,חלק
2,4,עמי
2,4,ימיר
2,4,איך
2,4,ימיש
2,4,לי
2,4,לשובב
2,4,שדינו
2,4,יחלק
2,5,לכן
2,5,לא
2,5,יהיה
2,5,לך
2,5,משליך
2,5,חבל
2,5,בגורל
2,5,בקהל
2,5,יהוה
2,6,אל
2,6,תטפו
2,6,יטיפון
2,6,לא
2,6,יטפו
2,6,לאלה
2,6,לא
2,6,יסג
2,6,כלמות
2,7,האמור
2,7,בית
2,7,יעקב
2,7,הקצר
2,7,רוח
2,7,יהוה
2,7,אם
2,7,אלה
2,7,מעלליו
2,7,הלוא
2,7,דברי
2,7,ייטיבו
2,7,עם
2,7,הישר
2,7,הולך
2,8,ואתמול
2,8,עמי
2,8,לאויב
2,8,יקומם
2,8,ממול
2,8,שלמה
2,8,אדר
2,8,תפשטון
2,8,מעברים
2,8,בטח
2,8,שובי
2,8,מלחמה
2,9,נשי
2,9,עמי
2,9,תגרשון
2,9,מבית
2,9,תענגיה
2,9,מעל
2,9,עלליה
2,9,תקחו
2,9,הדרי
2,9,לעולם
2,10,קומו
2,10,ולכו
2,10,כי
2,10,לא
2,10,זאת
2,10,המנוחה
2,10,בעבור
2,10,טמאה
2,10,תחבל
2,10,וחבל
2,10,נמרץ
2,11,לו
2,11,איש
2,11,הלך
2,11,רוח
2,11,ושקר
2,11,כזב
2,11,אטף
2,11,לך
2,11,ליין
2,11,ולשכר
2,11,והיה
2,11,מטיף
2,11,העם
2,11,הזה
2,12,אסף
2,12,אאסף
2,12,יעקב
2,12,כלך
2,12,קבץ
2,12,אקבץ
2,12,שארית
2,12,ישראל
2,12,יחד
2,12,אשימנו
2,12,כצאן
2,12,בצרה
2,12,כעדר
2,12,בתוך
2,12,הדברו
2,12,תהימנה
2,12,מאדם
2,13,עלה
2,13,הפרץ
2,13,לפניהם
2,13,פרצו
2,13,ויעברו
2,13,שער
2,13,ויצאו
2,13,בו
2,13,ויעבר
2,13,מלכם
2,13,לפניהם
2,13,ויהוה
2,13,בראשם
3,1,ואמר
3,1,שמעו
3,1,נא
3,1,ראשי
3,1,יעקב
3,1,וקציני
3,1,בית
3,1,ישראל
3,1,הלוא
3,1,לכם
3,1,לדעת
3,1,את
3,1,המשפט
3,2,שנאי
3,2,טוב
3,2,ואהבי
3,2,רעה
3,2,גזלי
3,2,עורם
3,2,מעליהם
3,2,ושארם
3,2,מעל
3,2,עצמותם
3,3,ואשר
3,3,אכלו
3,3,שאר
3,3,עמי
3,3,ועורם
3,3,מעליהם
3,3,הפשיטו
3,3,ואת
3,3,עצמתיהם
3,3,פצחו
3,3,ופרשו
3,3,כאשר
3,3,בסיר
3,3,וכבשר
3,3,בתוך
3,3,קלחת
3,4,אז
3,4,יזעקו
3,4,אל
3,4,יהוה
3,4,ולא
3,4,יענה
3,4,אותם
3,4,ויסתר
3,4,פניו
3,4,מהם
3,4,בעת
3,4,ההיא
3,4,כאשר
3,4,הרעו
3,4,מעלליהם
3,5,כה
3,5,אמר
3,5,יהוה
3,5,על
3,5,הנביאים
3,5,המתעים
3,5,את
3,5,עמי
3,5,הנשכים
3,5,בשניהם
3,5,וקראו
3,5,שלום
3,5,ואשר
3,5,לא
3,5,יתן
3,5,על
3,5,פיהם
3,5,וקדשו
3,5,עליו
3,5,מלחמה
3,6,לכן
3,6,לילה
3,6,לכם
3,6,מחזון
3,6,וחשכה
3,6,לכם
3,6,מקסם
3,6,ובאה
3,6,השמש
3,6,על
3,6,הנביאים
3,6,וקדר
3,6,עליהם
3,6,היום
3,7,ובשו
3,7,החזים
3,7,וחפרו
3,7,הקסמים
3,7,ועטו
3,7,על
3,7,שפם
3,7,כלם
3,7,כי
3,7,אין
3,7,מענה
3,7,אלהים
3,8,ואולם
3,8,אנכי
3,8,מלאתי
3,8,כח
3,8,את
3,8,רוח
3,8,יהוה
3,8,ומשפט
3,8,וגבורה
3,8,להגיד
3,8,ליעקב
3,8,פשעו
3,8,ולישראל
3,8,חטאתו
3,9,שמעו
3,9,נא
3,9,זאת
3,9,ראשי
3,9,בית
3,9,יעקב
3,9,וקציני
3,9,בית
3,9,ישראל
3,9,המתעבים
3,9,משפט
3,9,ואת
3,9,כל
3,9,הישרה
3,9,יעקשו
3,10,בנה
3,10,ציון
3,10,בדמים
3,10,וירושלם
3,10,בעולה
3,11,ראשיה
3,11,בשחד
3,11,ישפטו
3,11,וכהניה
3,11,במחיר
3,11,יורו
3,11,ונביאיה
3,11,בכסף
3,11,יקסמו
3,11,ועל
3,11,יהוה
3,11,ישענו
3,11,לאמר
3,11,הלוא
3,11,יהוה
3,11,בקרבנו
3,11,לא
3,11,תבוא
3,11,עלינו
3,11,רעה
3,12,לכן
3,12,בגללכם
3,12,ציון
3,12,שדה
3,12,תחרש
3,12,וירושלם
3,12,עיין
3,12,תהיה
3,12,והר
3,12,הבית
3,12,לבמות
3,12,יער
4,1,והיה
4,1,באחרית
4,1,הימים
4,1,יהיה
4,1,הר
4,1,בית
4,1,יהוה
4,1,נכון
4,1,בראש
4,1,ההרים
4,1,ונשא
4,1,הוא
4,1,מגבעות
4,1,ונהרו
4,1,עליו
4,1,עמים
4,2,והלכו
4,2,גוים
4,2,רבים
4,2,ואמרו
4,2,לכו
4,2,ונעלה
4,2,אל
4,2,הר
4,2,יהוה
4,2,ואל
4,2,בית
4,2,אלהי
4,2,יעקב
4,2,ויורנו
4,2,מדרכיו
4,2,ונלכה
4,2,בארחתיו
4,2,כי
4,2,מציון
4,2,תצא
4,2,תורה
4,2,ודבר
4,2,יהוה
4,2,מירושלם
4,3,ושפט
4,3,בין
4,3,עמים
4,3,רבים
4,3,והוכיח
4,3,לגוים
4,3,עצמים
4,3,עד
4,3,רחוק
4,3,וכתתו
4,3,חרבתיהם
4,3,לאתים
4,3,וחניתתיהם
4,3,למזמרות
4,3,לא
4,3,ישאו
4,3,גוי
4,3,אל
4,3,גוי
4,3,חרב
4,3,ולא
4,3,ילמדון
4,3,עוד
4,3,מלחמה
4,4,וישבו
4,4,איש
4,4,תחת
4,4,גפנו
4,4,ותחת
4,4,תאנתו
4,4,ואין
4,4,מחריד
4,4,כי
4,4,פי
4,4,יהוה
4,4,צבאות
4,4,דבר
4,5,כי
4,5,כל
4,5,העמים
4,5,ילכו
4,5,איש
4,5,בשם
4,5,אלהיו
4,5,ואנחנו
4,5,נלך
4,5,בשם
4,5,יהוה
4,5,אלהינו
4,5,לעולם
4,5,ועד
4,6,ביום
4,6,ההוא
4,6,נאם
4,6,יהוה
4,6,אספה
4,6,הצלעה
4,6,והנדחה
4,6,אקבצה
4,6,ואשר
4,6,הרעתי
4,7,ושמתי
4,7,את
4,7,הצלעה
4,7,לשארית
4,7,והנהלאה
4,7,לגוי
4,7,עצום
4,7,ומלך
4,7,יהוה
4,7,עליהם
4,7,בהר
4,7,ציון
4,7,מעתה
4,7,ועד
4,7,עולם
4,8,ואתה
4,8,מגדל
4,8,עדר
4,8,עפל
4,8,בת
4,8,ציון
4,8,עדיך
4,8,תאתה
4,8,ובאה
4,8,הממשלה
4,8,הראשנה
4,8,ממלכת
4,8,לבת
4,8,ירושלם
4,9,עתה
4,9,למה
4,9,תריעי
4,9,רע
4,9,המלך
4,9,אין
4,9,בך
4,9,אם
4,9,יועצך
4,9,אבד
4,9,כי
4,9,החזיקך
4,9,חיל
4,9,כיולדה
4,10,חולי
4,10,וגחי
4,10,בת
4,10,ציון
4,10,כיולדה
4,10,כי
4,10,עתה
4,10,תצאי
4,10,מקריה
4,10,ושכנת
4,10,בשדה
4,10,ובאת
4,10,עד
4,10,בבל
4,10,שם
4,10,תנצלי
4,10,שם
4,10,יגאלך
4,10,יהוה
4,10,מכף
4,10,איביך
4,11,ועתה
4,11,נאספו
4,11,עליך
4,11,גוים
4,11,רבים
4,11,האמרים
4,11,תחנף
4,11,ותחז
4,11,בציון
4,11,עינינו
4,12,והמה
4,12,לא
4,12,ידעו
4,12,מחשבות
4,12,יהוה
4,12,ולא
4,12,הבינו
4,12,עצתו
4,12,כי
4,12,קבצם
4,12,כעמיר
4,12,גרנה
4,13,קומי
4,13,ודושי
4,13,בת
4,13,ציון
4,13,כי
4,13,קרנך
4,13,אשים
4,13,ברזל
4,13,ופרסתיך
4,13,אשים
4,13,נחושה
4,13,והדקות
4,13,עמים
4,13,רבים
4,13,והחרמתי
4,13,ליהוה
4,13,בצעם
4,13,וחילם
4,13,לאדון
4,13,כל
4,13,הארץ
5,1,עתה
5,1,תתגדדי
5,1,בת
5,1,גדוד
5,1,מצור
5,1,שם
5,1,עלינו
5,1,בשבט
5,1,יכו
5,1,על
5,1,הלחי
5,1,את
5,1,שפט
5,1,ישראל
5,2,ואתה
5,2,בית
5,2,לחם
5,2,אפרתה
5,2,צעיר
5,2,להיות
5,2,באלפי
5,2,יהודה
5,2,ממך
5,2,לי
5,2,יצא
5,2,להיות
5,2,מושל
5,2,בישראל
5,2,ומוצאתיו
5,2,מקדם
5,2,מימי
5,2,עולם
5,3,לכן
5,3,יתנם
5,3,עד
5,3,עת
5,3,יולדה
5,3,ילדה
5,3,ויתר
5,3,אחיו
5,3,ישובון
5,3,על
5,3,בני
5,3,ישראל
5,4,ועמד
5,4,ורעה
5,4,בעז
5,4,יהוה
5,4,בגאון
5,4,שם
5,4,יהוה
5,4,אלהיו
5,4,וישבו
5,4,כי
5,4,עתה
5,4,יגדל
5,4,עד
5,4,אפסי
5,4,ארץ
5,5,והיה
5,5,זה
5,5,שלום
5,5,אשור
5,5,כי
5,5,יבוא
5,5,בארצנו
5,5,וכי
5,5,ידרך
5,5,בארמנתינו
5,5,והקמנו
5,5,עליו
5,5,שבעה
5,5,רעים
5,5,ושמנה
5,5,נסיכי
5,5,אדם
5,6,ורעו
5,6,את
5,6,ארץ
5,6,אשור
5,6,בחרב
5,6,ואת
5,6,ארץ
5,6,נמרד
5,6,בפתחיה
5,6,והציל
5,6,מאשור
5,6,כי
5,6,יבוא
5,6,בארצנו
5,6,וכי
5,6,ידרך
5,6,בגבולנו
5,7,והיה
5,7,שארית
5,7,יעקב
5,7,בקרב
5,7,עמים
5,7,רבים
5,7,כטל
5,7,מאת
5,7,יהוה
5,7,כרביבים
5,7,עלי
5,7,עשב
5,7,אשר
5,7,לא
5,7,יקוה
5,7,לאיש
5,7,ולא
5,7,ייחל
5,7,לבני
5,7,אדם
5,8,והיה
5,8,שארית
5,8,יעקב
5,8,בגוים
5,8,בקרב
5,8,עמים
5,8,רבים
5,8,כאריה
5,8,בבהמות
5,8,יער
5,8,ככפיר
5,8,בעדרי
5,8,צאן
5,8,אשר
5,8,אם
5,8,עבר
5,8,ורמס
5,8,וטרף
5,8,ואין
5,8,מציל
5,9,תרם
5,9,ידך
5,9,על
5,9,צריך
5,9,וכל
5,9,איביך
5,9,יכרתו
5,10,והיה
5,10,ביום
5,10,ההוא
5,10,נאם
5,10,יהוה
5,10,והכרתי
5,10,סוסיך
5,10,מקרבך
5,10,והאבדתי
5,10,מרכבתיך
5,11,והכרתי
5,11,ערי
5,11,ארצך
