chapter,verse,word
1,1,משא
1,1,נינוה
1,1,ספר
1,1,חזון
1,1,נחום
1,1,האלקשי
1,2,אל
1,2,קנוא
1,2,ונקם
1,2,יהוה
1,2,נקם
1,2,יהוה
1,2,ובעל
1,2,חמה
1,2,נקם
1,2,יהוה
1,2,לצריו
1,2,ונוטר
1,2,הוא
1,2,לאיביו
1,3,יהוה
1,3,ארך
1,3,אפים
1,3,וגדול
1,3,כח
1,3,ונקה
1,3,לא
1,3,ינקה
1,3,יהוה
1,3,בסופה
1,3,ובשערה
1,3,דרכו
1,3,וענן
1,3,אבק
1,3,רגליו
1,4,גוער
1,4,בים
1,4,ויבשהו
1,4,וכל
1,4,הנהרות
1,4,החריב
1,4,אמלל
1,4,בשן
1,4,וכרמל
1,4,ופרח
1,4,לבנון
1,4,אמלל
1,5,הרים
1,5,רעשו
1,5,ממנו
1,5,והגבעות
1,5,התמגגו
1,5,ותשא
1,5,הארץ
1,5,מפניו
1,5,ותבל
1,5,וכל
1,5,ישבי
1,5,בה
1,6,לפני
1,6,זעמו
1,6,מי
1,6,יעמוד
1,6,ומי
1,6,יקום
1,6,בחרון
1,6,אפו
1,6,חמתו
1,6,נתכה
1,6,כאש
1,6,והצרים
1,6,נתצו
1,6,ממנו
1,7,טוב
1,7,יהוה
1,7,למעוז
1,7,ביום
1,7,צרה
1,7,וידע
1,7,חסי
1,7,בו
1,8,ובשטף
1,8,עבר
1,8,כלה
1,8,יעשה
1,8,מקומה
1,8,ואיביו
1,8,ירדף
1,8,חשך
1,9,מה
1,9,תחשבון
1,9,אל
1,9,יהוה
1,9,כלה
1,9,הוא
1,9,עשה
1,9,לא
1,9,תקום
1,9,פעמים
1,9,צרה
1,10,כי
1,10,עד
1,10,סירים
1,10,סבכים
1,10,וכסבאם
1,10,סבואים
1,10,אכלו
1,10,כקש
1,10,יבש
1,10,מלא
1,11,ממך
1,11,יצא
1,11,חשב
1,11,על
1,11,יהוה
1,11,רעה
1,11,יעץ
1,11,בליעל
1,12,כה
1,12,אמר
1,12,יהוה
1,12,אם
1,12,שלמים
1,12,וכן
1,12,רבים
1,12,וכן
1,12,נגזו
1,12,ועבר
1,12,וענתך
1,12,לא
1,12,אענך
1,12,עוד
1,13,ועתה
1,13,אשבר
1,13,מטהו
1,13,מעליך
1,13,ומוסרתיך
1,13,אנתק
1,14,וצוה
1,14,עליך
1,14,יהוה
1,14,לא
1,14,יזרע
1,14,משמך
1,14,עוד
1,14,מבית
1,14,אלהיך
1,14,אכרית
1,14,פסל
1,14,ומסכה
1,14,אשים
1,14,קברך
1,14,כי
1,14,קלות
1,15,הנה
1,15,על
1,15,ההרים
1,15,רגלי
1,15,מבשר
1,15,משמיע
1,15,שלום
1,15,חגי
1,15,יהודה
1,15,חגיך
1,15,שלמי
1,15,נדריך
1,15,כי
1,15,לא
1,15,יוסיף
1,15,עוד
1,15,לעבור
1,15,בך
1,15,בליעל
1,15,כלה
1,15,נכרת
2,1,עלה
2,1,מפיץ
2,1,על
2,1,פניך
2,1,נצור
2,1,מצרה
2,1,צפה
2,1,דרך
2,1,חזק
2,1,מתנים
2,1,אמץ
2,1,כח
2,1,מאד
2,2,כי
2,2,שב
2,2,יהוה
2,2,את
2,2,גאון
2,2,יעקב
2,2,כגאון
2,2,ישראל
2,2,כי
2,2,בקקום
2,2,בקקים
2,2,וזמריהם
2,2,שחתו
2,3,מגן
2,3,גבריהו
2,3,מאדם
2,3,אנשי
2,3,חיל
2,3,מתלעים
2,3,באש
2,3,פלדות
2,3,הרכב
2,3,ביום
2,3,הכינו
2,3,והברשים
2,3,הרעלו
2,4,בחוצות
2,4,יתהוללו
2,4,הרכב
2,4,ישתקשקון
2,4,ברחבות
2,4,מראיהן
2,4,כלפידם
2,4,כברקים
2,4,ירוצצו
2,5,יזכר
2,5,אדיריו
2,5,יכשלו
2,5,בהלכותם
2,5,ימהרו
2,5,חומתה
2,5,והכן
2,5,הסכך
2,6,שערי
2,6,הנהרות
2,6,נפתחו
2,6,וההיכל
2,6,נמוג
2,7,והצב
2,7,גלתה
2,7,העלתה
2,7,ואמהתיה
2,7,מנהגות
2,7,כקול
2,7,יונים
2,7,מתפפת
2,7,על
2,7,לבבהן
2,8,ונינוה
2,8,כברכת
2,8,מים
2,8,מימי
2,8,היא
2,8,והמה
2,8,נסים
2,8,עמדו
2,8,עמדו
2,8,ואין
2,8,מפנה
2,9,בזו
2,9,כסף
2,9,בזו
2,9,זהב
2,9,ואין
2,9,קצה
2,9,לתכונה
2,9,כבד
2,9,מכל
2,9,כלי
2,9,חמדה
2,10,בוקה
2,10,ומבוקה
2,10,ומבלקה
2,10,ולב
2,10,נמס
2,10,ופק
