chapter,verse,word
1,1,המשא
1,1,אשר
1,1,חזה
1,1,חבקוק
1,1,הנביא
1,2,עד
1,2,אנה
1,2,יהוה
1,2,שועתי
1,2,ולא
1,2,תשמע
1,2,אזעק
1,2,אליך
1,2,חמס
1,2,ולא
1,2,תושיע
1,3,למה
1,3,תראני
1,3,און
1,3,ועמל
1,3,תביט
1,3,ושד
1,3,וחמס
1,3,לנגדי
1,3,ויהי
1,3,ריב
1,3,ומדון
1,3,ישא
1,4,על
1,4,כן
1,4,תפוג
1,4,תורה
1,4,ולא
1,4,יצא
1,4,לנצח
1,4,משפט
1,4,כי
1,4,רשע
1,4,מכתיר
1,4,את
1,4,הצדיק
1,4,על
1,4,כן
1,4,יצא
1,4,משפט
1,4,מעקל
1,5,ראו
1,5,בגוים
1,5,והביטו
1,5,והתמהו
1,5,תמהו
1,5,כי
1,5,פעל
1,5,פעל
1,5,בימיכם
1,5,לא
1,5,תאמינו
1,5,כי
1,5,יספר
1,6,כי
1,6,הנני
1,6,מקים
1,6,את
1,6,הכשדים
1,6,הגוי
1,6,המר
1,6,והנמהר
1,6,ההולך
1,6,למרחבי
1,6,ארץ
1,6,לרשת
1,6,משכנות
1,6,לא
1,6,לו
1,7,אים
1,7,ונורא
1,7,הוא
1,7,ממנו
1,7,משפטו
1,7,ושאתו
1,7,יצא
1,8,וקלו
1,8,מנמרים
1,8,סוסיו
1,8,וחדו
1,8,מזאבי
1,8,ערב
1,8,ופשו
1,8,פרשיו
1,8,ופרשיו
1,8,מרחוק
1,8,יבאו
1,8,יעפו
1,8,כנשר
1,8,חש
1,8,לאכול
1,9,כלה
1,9,לחמס
1,9,יבוא
1,9,מגמת
1,9,פניהם
1,9,קדימה
1,9,ויאסף
1,9,כחול
1,9,שבי
1,10,והוא
1,10,במלכים
1,10,יתקלס
1,10,ורזנים
1,10,משחק
1,10,לו
1,10,הוא
1,10,לכל
1,10,מבצר
1,10,ישחק
1,10,ויצבר
1,10,עפר
1,10,וילכדה
1,11,אז
1,11,חלף
1,11,רוח
1,11,ויעבר
1,11,ואשם
1,11,זו
1,11,כחו
1,11,לאלהו
1,12,הלוא
1,12,אתה
1,12,מקדם
1,12,יהוה
1,12,אלהי
1,12,קדשי
1,12,לא
1,12,נמות
1,12,יהוה
1,12,למשפט
1,12,שמתו
1,12,וצור
1,12,להוכיח
1,12,יסדתו
1,13,טהור
1,13,עינים
1,13,מראות
1,13,רע
1,13,והביט
1,13,אל
1,13,עמל
1,13,לא
1,13,תוכל
1,13,למה
1,13,תביט
1,13,בוגדים
1,13,תחריש
1,13,בבלע
1,13,רשע
1,13,צדיק
1,13,ממנו
1,14,ותעשה
1,14,אדם
1,14,כדגי
1,14,הים
1,14,כרמש
1,14,לא
1,14,משל
1,14,בו
1,15,כלה
1,15,בחכה
1,15,העלה
1,15,יגרהו
1,15,בחרמו
1,15,ויאספהו
1,15,במכמרתו
1,15,על
1,15,כן
1,15,ישמח
1,15,ויגיל
1,16,על
1,16,כן
1,16,יזבח
1,16,לחרמו
1,16,ויקטר
1,16,למכמרתו
1,16,כי
1,16,בהמה
1,16,שמן
1,16,חלקו
1,16,ומאכלו
1,16,בראה
1,17,העל
1,17,כן
1,17,יריק
1,17,חרמו
1,17,ותמיד
1,17,להרג
1,17,גוים
1,17,לא
1,17,יחמול
2,1,על
2,1,משמרתי
2,1,אעמדה
2,1,ואתיצבה
2,1,על
2,1,מצור
2,1,ואצפה
2,1,לראות
2,1,מה
2,1,ידבר
2,1,בי
2,1,ומה
2,1,אשיב
2,1,על
2,1,תוכחתי
2,2,ויענני
2,2,יהוה
2,2,ויאמר
2,2,כתוב
2,2,חזון
2,2,ובאר
2,2,על
2,2,הלחות
2,2,למען
2,2,ירוץ
2,2,קורא
2,2,בו
2,3,כי
2,3,עוד
2,3,חזון
2,3,למועד
2,3,ויפח
2,3,לקץ
2,3,ולא
2,3,יכזב
2,3,אם
2,3,יתמהמה
2,3,חכה
2,3,לו
2,3,כי
2,3,בא
2,3,יבא
2,3,לא
2,3,יאחר
2,4,הנה
2,4,עפלה
2,4,לא
2,4,ישרה
2,4,נפשו
2,4,בו
2,4,וצדיק
2,4,באמונתו
2,4,יחיה
2,5,ואף
2,5,כי
2,5,היין
2,5,בוגד
2,5,גבר
2,5,יהיר
2,5,ולא
2,5,ינוה
2,5,אשר
2,5,הרחיב
2,5,כשאול
2,5,נפשו
2,5,והוא
2,5,כמות
2,5,ולא
2,5,ישבע
2,5,ויאסף
2,5,אליו
2,5,כל
2,5,הגוים
2,5,ויקבץ
2,5,אליו
2,5,כל
2,5,העמים
2,6,הלוא
2,6,אלה
2,6,כלם
2,6,עליו
2,6,משל
2,6,ישאו
2,6,ומליצה
2,6,חידות
2,6,לו
2,6,ויאמר
2,6,הוי
2,6,המרבה
2,6,לא
2,6,לו
2,6,עד
2,6,מתי
2,6,ומכביד
2,6,עליו
2,6,עבטיט
2,7,הלוא
2,7,פתע
2,7,יקומו
2,7,נשכיך
2,7,ויקצו
2,7,מזעזעיך
2,7,והיית
2,7,למשסות
2,7,למו
2,8,כי
2,8,אתה
2,8,שלות
2,8,גוים
2,8,רבים
2,8,ישלוך
2,8,כל
2,8,יתר
2,8,עמים
2,8,מדמי
2,8,אדם
2,8,וחמס
2,8,ארץ
2,8,קריה
2,8,וכל
2,8,ישבי
2,8,בה
2,9,הוי
2,9,בצע
2,9,בצע
2,9,רע
2,9,לביתו
2,9,לשום
2,9,במרום
2,9,קנו
2,9,להנצל
2,9,מכף
2,9,רע
2,10,יעצת
2,10,בשת
2,10,לביתך
2,10,קצות
2,10,עמים
2,10,רבים
2,10,וחוטא
2,10,נפשך
2,11,כי
2,11,אבן
2,11,מקיר
2,11,תזעק
2,11,וכפיס
2,11,מעץ
2,11,יעננה
2,12,הוי
2,12,בנה
2,12,עיר
2,12,בדמים
2,12,וכונן
2,12,קריה
2,12,בעולה
2,13,הלוא
2,13,הנה
2,13,מאת
2,13,יהוה
2,13,צבאות
2,13,וייגעו
2,13,עמים
2,13,בדי
2,13,אש
2,13,ולאמים
2,13,בדי
2,13,ריק
2,13,יעפו
2,14,כי
2,14,תמלא
2,14,הארץ
2,14,לדעת
2,14,את
2,14,כבוד
2,14,יהוה
2,14,כמים
2,14,יכסו
2,14,על
2,14,ים
2,15,הוי
2,15,משקה
2,15,רעהו
2,15,מספח
2,15,חמתך
2,15,ואף
2,15,שכר
2,15,למען
2,15,הביט
2,15,על
2,15,מעוריהם
2,16,שבעת
2,16,קלון
2,16,מכבוד
2,16,שתה
2,16,גם
2,16,אתה
2,16,והערל
2,16,תסוב
2,16,עליך
2,16,כוס
2,16,ימין
2,16,יהוה
2,16,וקיקלון
2,16,על
2,16,כבודך
2,17,כי
2,17,חמס
2,17,לבנון
2,17,יכסך
2,17,ושד
2,17,בהמות
2,17,יחיתן
2,17,מדמי
2,17,אדם
2,17,וחמס
2,17,ארץ
2,17,קריה
2,17,וכל
2,17,ישבי
2,17,בה
2,18,מה
2,18,הועיל
2,18,פסל
2,18,כי
2,18,פסלו
2,18,יצרו
2,18,מסכה
2,18,ומורה
2,18,שקר
2,18,כי
2,18,בטח
2,18,יצר
2,18,יצרו
2,18,עליו
2,18,לעשות
2,18,אלילים
2,18,אלמים
2,19,הוי
2,19,אמר
2,19,לעץ
2,19,הקיצה
2,19,עורי
2,19,לאבן
2,19,דומם
2,19,הוא
2,19,יורה
2,19,הנה
2,19,הוא
2,19,תפוש
2,19,זהב
2,19,וכסף
2,19,וכל
2,19,רוח
2,19,אין
2,19,בקרבו
2,20,ויהוה
2,20,בהיכל
2,20,קדשו
2,20,הס
2,20,מפניו
2,20,כל
2,20,הארץ
3,1,תפלה
3,1,לחבקוק
3,1,הנביא
3,1,על
3,1,שגינות
3,2,יהוה
3,2,שמעתי
3,2,שמעך
3,2,יראתי
3,2,יהוה
3,2,פעלך
3,2,בקרב
3,2,שנים
3,2,חייהו
3,2,בקרב
3,2,שנים
3,2,תודיע
3,2,ברגז
3,2,רחם
3,2,תזכור
3,3,אלוה
3,3,מתימן
3,3,יבוא
3,3,וקדוש
3,3,מהר
3,3,פארן
3,3,סלה
3,3,כסה
3,3,שמים
3,3,הודו
3,3,ותהלתו
3,3,מלאה
3,3,הארץ
3,4,ונגה
3,4,כאור
3,4,תהיה
3,4,קרנים
3,4,מידו
3,4,לו
3,4,ושם
3,4,חביון
3,4,עזה
3,5,לפניו
3,5,ילך
3,5,דבר
3,5,ויצא
3,5,רשף
3,5,לרגליו
3,6,עמד
3,6,וימדד
3,6,ארץ
3,6,ראה
3,6,ויתר
3,6,גוים
3,6,ויתפצצו
3,6,הררי
3,6,עד
3,6,שחו
3,6,גבעות
3,6,עולם
3,6,הליכות
3,6,עולם
3,6,לו
3,7,תחת
3,7,און
3,7,ראיתי
3,7,אהלי
3,7,כושן
3,7,ירגזון
3,7,יריעות
3,7,ארץ
3,7,מדין
3,8,הבנהרים
3,8,חרה
3,8,יהוה
