chapter,verse,word
1,1,דבר
1,1,יהוה
1,1,אשר
1,1,היה
1,1,אל
1,1,צפניה
1,1,בן
1,1,כושי
1,1,בן
1,1,גדליה
1,1,בן
1,1,אמריה
1,1,בן
1,1,חזקיה
1,1,בימי
1,1,יאשיהו
1,1,בן
1,1,אמון
1,1,מלך
1,1,יהודה
1,2,אסף
1,2,אסף
1,2,כל
1,2,מעל
1,2,פני
1,2,האדמה
1,2,נאם
1,2,יהוה
1,3,אסף
1,3,אדם
1,3,ובהמה
1,3,אסף
1,3,עוף
1,3,השמים
1,3,ודגי
1,3,הים
1,3,והמכשלות
1,3,את
1,3,הרשעים
1,3,והכרתי
1,3,את
1,3,האדם
1,3,מעל
1,3,פני
1,3,האדמה
1,3,נאם
1,3,יהוה
1,4,ונטיתי
1,4,ידי
1,4,על
1,4,יהודה
1,4,ועל
1,4,כל
1,4,יושבי
1,4,ירושלם
1,4,והכרתי
1,4,מן
1,4,המקום
1,4,הזה
1,4,את
1,4,שאר
1,4,הבעל
1,4,את
1,4,שם
1,4,הכמרים
1,4,עם
1,4,הכהנים
1,5,ואת
1,5,המשתחוים
1,5,על
1,5,הגגות
1,5,לצבא
1,5,השמים
1,5,ואת
1,5,המשתחוים
1,5,הנשבעים
1,5,ליהוה
1,5,והנשבעים
1,5,במלכם
1,6,ואת
1,6,הנסוגים
1,6,מאחרי
1,6,יהוה
1,6,ואשר
1,6,לא
1,6,בקשו
1,6,את
1,6,יהוה
1,6,ולא
1,6,דרשהו
1,7,הס
1,7,מפני
1,7,אדני
1,7,יהוה
1,7,כי
1,7,קרוב
1,7,יום
1,7,יהוה
1,7,כי
1,7,הכין
1,7,יהוה
1,7,זבח
1,7,הקדיש
1,7,קראיו
1,8,והיה
1,8,ביום
1,8,זבח
1,8,יהוה
1,8,ופקדתי
1,8,על
1,8,השרים
1,8,ועל
1,8,בני
1,8,המלך
1,8,ועל
1,8,כל
1,8,הלבשים
1,8,מלבוש
1,8,נכרי
1,9,ופקדתי
1,9,על
1,9,כל
1,9,הדולג
1,9,על
1,9,המפתן
1,9,ביום
1,9,ההוא
1,9,הממלאים
1,9,בית
1,9,אדניהם
1,9,חמס
1,9,ומרמה
1,10,והיה
1,10,ביום
1,10,ההוא
1,10,נאם
1,10,יהוה
1,10,קול
1,10,צעקה
1,10,משער
1,10,הדגים
1,10,ויללה
1,10,מן
1,10,המשנה
1,10,ושבר
1,10,גדול
1,10,מהגבעות
1,11,הילילו
1,11,ישבי
1,11,המכתש
1,11,כי
1,11,נדמה
1,11,כל
1,11,עם
1,11,כנען
1,11,נכרתו
1,11,כל
1,11,נטילי
1,11,כסף
1,12,והיה
1,12,בעת
1,12,ההיא
1,12,אחפש
1,12,את
1,12,ירושלם
1,12,בנרות
1,12,ופקדתי
1,12,על
1,12,האנשים
1,12,הקפאים
1,12,על
1,12,שמריהם
1,12,האמרים
1,12,בלבבם
1,12,לא
1,12,ייטיב
1,12,יהוה
1,12,ולא
1,12,ירע
1,13,והיה
1,13,חילם
1,13,למשסה
1,13,ובתיהם
1,13,לשממה
1,13,ובנו
1,13,בתים
1,13,ולא
1,13,ישבו
1,13,ונטעו
1,13,כרמים
1,13,ולא
1,13,ישתו
1,13,את
1,13,יינם
1,14,קרוב
1,14,יום
1,14,יהוה
1,14,הגדול
1,14,קרוב
1,14,ומהר
1,14,מאד
1,14,קול
1,14,יום
1,14,יהוה
1,14,מר
1,14,צרח
1,14,שם
1,14,גבור
1,15,יום
1,15,עברה
1,15,היום
1,15,ההוא
1,15,יום
1,15,צרה
1,15,ומצוקה
1,15,יום
1,15,שאה
1,15,ומשואה
1,15,יום
1,15,חשך
1,15,ואפלה
1,15,יום
1,15,ענן
1,15,וערפל
1,16,יום
1,16,שופר
1,16,ותרועה
1,16,על
1,16,הערים
1,16,הבצרות
1,16,ועל
1,16,הפנות
1,16,הגבהות
1,17,והצרתי
1,17,לאדם
1,17,והלכו
1,17,כעורים
1,17,כי
1,17,ליהוה
1,17,חטאו
1,17,ושפך
1,17,דמם
1,17,כעפר
1,17,ולחמם
1,17,כגללים
1,18,גם
1,18,כספם
1,18,גם
1,18,זהבם
1,18,לא
1,18,יוכל
1,18,להצילם
1,18,ביום
1,18,עברת
1,18,יהוה
1,18,ובאש
1,18,קנאתו
1,18,תאכל
1,18,כל
1,18,הארץ
1,18,כי
1,18,כלה
1,18,אך
1,18,נבהלה
1,18,יעשה
1,18,את
1,18,כל
1,18,ישבי
1,18,הארץ
2,1,התקוששו
2,1,וקושו
2,1,הגוי
2,1,לא
2,1,נכסף
2,2,בטרם
2,2,לדת
2,2,חק
2,2,כמץ
2,2,עבר
2,2,יום
2,2,בטרם
2,2,לא
2,2,יבוא
2,2,עליכם
2,2,חרון
2,2,אף
2,2,יהוה
2,2,בטרם
2,2,לא
2,2,יבוא
2,2,עליכם
2,2,יום
2,2,אף
2,2,יהוה
2,3,בקשו
2,3,את
2,3,יהוה
2,3,כל
2,3,ענוי
2,3,הארץ
2,3,אשר
2,3,משפטו
2,3,פעלו
2,3,בקשו
2,3,צדק
2,3,בקשו
2,3,ענוה
2,3,אולי
2,3,תסתרו
2,3,ביום
2,3,אף
2,3,יהוה
2,4,כי
2,4,עזה
2,4,עזובה
2,4,תהיה
2,4,ואשקלון
2,4,לשממה
2,4,אשדוד
2,4,בצהרים
2,4,יגרשוה
2,4,ועקרון
2,4,תעקר
2,5,הוי
2,5,ישבי
2,5,חבל
2,5,הים
2,5,גוי
2,5,כרתים
2,5,דבר
2,5,יהוה
2,5,עליכם
2,5,כנען
2,5,ארץ
2,5,פלשתים
2,5,והאבדתיך
2,5,מאין
2,5,יושב
2,6,והיתה
2,6,חבל
2,6,הים
2,6,נות
2,6,כרת
2,6,רעים
2,6,וגדרות
2,6,צאן
2,7,והיה
2,7,חבל
2,7,לשארית
2,7,בית
2,7,יהודה
2,7,עליהם
2,7,ירעון
2,7,בבתי
2,7,אשקלון
2,7,בערב
2,7,ירבצון
2,7,כי
2,7,יפקדם
2,7,יהוה
2,7,אלהיהם
2,7,ושב
2,7,שבותם
2,8,שמעתי
2,8,חרפת
2,8,מואב
2,8,וגדופי
2,8,בני
2,8,עמון
2,8,אשר
2,8,חרפו
2,8,את
2,8,עמי
2,8,ויגדילו
2,8,על
2,8,גבולם
2,9,לכן
2,9,חי
2,9,אני
2,9,נאם
2,9,יהוה
2,9,צבאות
2,9,אלהי
2,9,ישראל
2,9,כי
2,9,מואב
2,9,כסדם
2,9,תהיה
2,9,ובני
2,9,עמון
2,9,כעמרה
2,9,ממשק
2,9,חרול
2,9,ומכרה
2,9,מלח
2,9,ושממה
2,9,עד
2,9,עולם
2,9,שארית
2,9,עמי
2,9,יבזום
2,9,ויתר
2,9,גוי
2,9,ינחלום
2,10,זאת
2,10,להם
2,10,תחת
2,10,גאונם
2,10,כי
2,10,חרפו
2,10,ויגדלו
2,10,על
2,10,עם
2,10,יהוה
2,10,צבאות
2,11,נורא
2,11,יהוה
2,11,עליהם
2,11,כי
2,11,רזה
2,11,את
2,11,כל
2,11,אלהי
2,11,הארץ
2,11,וישתחוו
2,11,לו
2,11,איש
2,11,ממקומו
2,11,כל
2,11,איי
2,11,הגוים
2,12,גם
2,12,אתם
2,12,כושים
2,12,חללי
2,12,חרבי
2,12,המה
2,13,ויט
2,13,ידו
2,13,על
2,13,צפון
2,13,ויאבד
2,13,את
2,13,אשור
2,13,וישם
2,13,את
2,13,נינוה
2,13,לשממה
2,13,ציה
2,13,כמדבר
2,14,ורבצו
2,14,בתוכה
2,14,עדרים
2,14,כל
2,14,חיתו
2,14,גוי
2,14,גם
2,14,קאת
2,14,גם
2,14,קפד
2,14,בכפתריה
2,14,ילינו
2,14,קול
2,14,ישורר
2,14,בחלון
2,14,חרב
2,14,בסף
2,14,כי
2,14,ארזה
2,14,ערה
2,15,זאת
2,15,העיר
2,15,העליזה
2,15,היושבת
2,15,לבטח
2,15,האמרה
2,15,בלבבה
2,15,אני
2,15,ואפסי
2,15,עוד
2,15,איך
2,15,היתה
2,15,לשמה
2,15,מרבץ
2,15,לחיה
2,15,כל
2,15,עובר
2,15,עליה
2,15,ישרק
2,15,יניע
2,15,ידו
3,1,הוי
3,1,מראה
3,1,ונגאלה
3,1,העיר
3,1,היונה
3,2,לא
3,2,שמעה
3,2,בקול
3,2,לא
3,2,לקחה
3,2,מוסר
3,2,ביהוה
3,2,לא
3,2,בטחה
3,2,אל
3,2,אלהיה
3,2,לא
3,2,קרבה
3,3,שריה
3,3,בקרבה
3,3,אריות
3,3,שאגים
3,3,שפטיה
3,3,זאבי
3,3,ערב
3,3,לא
3,3,גרמו
3,3,לבקר
3,4,נביאיה
3,4,פחזים
3,4,אנשי
3,4,בגדות
3,4,כהניה
3,4,חללו
3,4,קדש
3,4,חמסו
3,4,תורה
3,5,יהוה
3,5,צדיק
3,5,בקרבה
3,5,לא
3,5,יעשה
3,5,עולה
3,5,בבקר
3,5,בבקר
3,5,משפטו
3,5,יתן
3,5,לאור
3,5,לא
3,5,נעדר
3,5,ולא
3,5,יודע
3,5,עול
3,5,בשת
3,6,הכרתי
3,6,גוים
3,6,נשמו
3,6,פנותם
3,6,החרבתי
3,6,חוצותם
3,6,מבלי
3,6,עובר
3,6,נצדו
3,6,עריהם
3,6,מבלי
3,6,איש
3,6,מאין
3,6,יושב
3,7,אמרתי
3,7,אך
3,7,תיראי
3,7,אותי
3,7,תקחי
3,7,מוסר
3,7,ולא
3,7,יכרת
3,7,מעונה
3,7,כל
3,7,אשר
3,7,פקדתי
3,7,עליה
3,7,אכן
3,7,השכימו
3,7,השחיתו
3,7,כל
3,7,עלילותם
3,8,לכן
3,8,חכו
3,8,לי
3,8,נאם
3,8,יהוה
3,8,ליום
3,8,קומי
3,8,לעד
3,8,כי
3,8,משפטי
3,8,לאסף
3,8,גוים
3,8,לקבצי
3,8,ממלכות
3,8,לשפך
3,8,עליהם
3,8,זעמי
3,8,כל
3,8,חרון
3,8,אפי
3,8,כי
3,8,באש
3,8,קנאתי
3,8,תאכל
3,8,כל
3,8,הארץ
3,9,כי
3,9,אז
3,9,אהפך
3,9,אל
3,9,עמים
3,9,שפה
3,9,ברורה
3,9,לקרא
3,9,כלם
3,9,בשם
3,9,יהוה
3,9,לעבדו
3,9,שכם
3,9,אחד
3,10,מעבר
3,10,לנהרי
3,10,כוש
3,10,עתרי
3,10,בת
3,10,פוצי
3,10,יובלון
3,10,מנחתי
3,11,ביום
3,11,ההוא
3,11,לא
3,11,תבושי
3,11,מכל
3,11,עלילתיך
3,11,אשר
3,11,פשעת
3,11,בי
3,11,כי
3,11,אז
3,11,אסיר
3,11,מקרבך
3,11,עליזי
3,11,גאותך
3,11,ולא
3,11,תוספי
3,11,לגבהה
3,11,עוד
3,11,בהר
3,11,קדשי
3,12,והשארתי
3,12,בקרבך
3,12,עם
3,12,עני
3,12,ודל
3,12,וחסו
3,12,בשם
3,12,יהוה
3,13,שארית
3,13,ישראל
3,13,לא
3,13,יעשו
3,13,עולה
3,13,ולא
3,13,ידברו
3,13,כזב
3,13,ולא
3,13,ימצא
3,13,בפיהם
3,13,לשון
3,13,תרמית
3,13,כי
3,13,המה
3,13,ירעו
3,13,ורבצו
3,13,ואין
3,13,מחריד
3,14,רני
3,14,בת
3,14,ציון
3,14,הריעו
3,14,ישראל
3,14,שמחי
3,14,ועלזי
3,14,בכל
3,14,לב
3,14,בת
3,14,ירושלם
3,15,הסיר
3,15,יהוה
3,15,משפטיך
3,15,פנה
3,15,איבך
3,15,מלך
3,15,ישראל
3,15,יהוה
3,15,בקרבך
3,15,לא
3,15,תיראי
3,15,רע
3,15,עוד
3,16,ביום
3,16,ההוא
3,16,יאמר
3,16,לירושלם
3,16,אל
3,16,תיראי
3,16,ציון
3,16,אל
3,16,ירפו
3,16,ידיך
3,17,יהוה
3,17,אלהיך
3,17,בקרבך
3,17,גבור
3,17,יושיע
3,17,ישיש
3,17,עליך
3,17,בשמחה
3,17,יחריש
3,17,באהבתו
3,17,יגיל
3,17,עליך
3,17,ברנה
3,18,נוגי
3,18,ממועד
3,18,אספתי
3,18,ממך
3,18,היו
3,18,משאת
3,18,עליה
3,18,חרפה
3,19,הנני
3,19,עשה
3,19,את
3,19,כל
3,19,מעניך
3,19,בעת
3,19,ההיא
3,19,והושעתי
3,19,את
3,19,הצלעה
3,19,והנדחה
3,19,אקבץ
3,19,ושמתים
3,19,לתהלה
3,19,ולשם
3,19,בכל
3,19,הארץ
3,19,בשתם
3,20,בעת
3,20,ההיא
3,20,אביא
3,20,אתכם
3,20,ובעת
3,20,קבצי
3,20,אתכם
3,20,כי
3,20,אתן
3,20,אתכם
3,20,לשם
3,20,ולתהלה
3,20,בכל
3,20,עמי
3,20,הארץ
3,20,בשובי
3,20,את
3,20,שבותיכם
3,20,לעיניכם
3,20,אמר
3,20,יהוה
