chapter,verse,word
1,1,בשנת
1,1,שתים
1,1,לדריוש
1,1,המלך
1,1,בחדש
1,1,הששי
1,1,ביום
1,1,אחד
1,1,לחדש
1,1,היה
1,1,דבר
1,1,יהוה
1,1,ביד
1,1,חגי
1,1,הנביא
1,1,אל
1,1,זרבבל
1,1,בן
1,1,שאלתיאל
1,1,פחת
1,1,יהודה
1,1,ואל
1,1,יהושע
1,1,בן
1,1,יהוצדק
1,1,הכהן
1,1,הגדול
1,1,לאמר
1,2,כה
1,2,אמר
1,2,יהוה
1,2,צבאות
1,2,לאמר
1,2,העם
1,2,הזה
1,2,אמרו
1,2,לא
1,2,עת
1,2,בא
1,2,עת
1,2,בית
1,2,יהוה
1,2,להבנות
1,3,ויהי
1,3,דבר
1,3,יהוה
1,3,ביד
1,3,חגי
1,3,הנביא
1,3,לאמר
1,4,העת
1,4,לכם
1,4,אתם
1,4,לשבת
1,4,בבתיכם
1,4,ספונים
1,4,והבית
1,4,הזה
1,4,חרב
1,5,ועתה
1,5,כה
1,5,אמר
1,5,יהוה
1,5,צבאות
1,5,שימו
1,5,לבבכם
1,5,על
1,5,דרכיכם
1,6,זרעתם
1,6,הרבה
1,6,והבא
1,6,מעט
1,6,אכול
1,6,ואין
1,6,לשבעה
1,6,שתו
1,6,ואין
1,6,לשכרה
1,6,לבוש
1,6,ואין
1,6,לחם
1,6,לו
1,6,והמשתכר
1,6,משתכר
1,6,אל
1,6,צרור
1,6,נקוב
1,7,כה
1,7,אמר
1,7,יהוה
1,7,צבאות
1,7,שימו
1,7,לבבכם
1,7,על
1,7,דרכיכם
1,8,עלו
1,8,ההר
1,8,והבאתם
1,8,עץ
1,8,ובנו
1,8,הבית
1,8,וארצה
1,8,בו
1,8,ואכבד
1,8,אמר
1,8,יהוה
1,9,פנה
1,9,אל
1,9,הרבה
1,9,והנה
1,9,למעט
1,9,והבאתם
1,9,הבית
1,9,ונפחתי
1,9,בו
1,9,יען
1,9,מה
1,9,נאם
1,9,יהוה
1,9,צבאות
1,9,יען
1,9,ביתי
1,9,אשר
1,9,הוא
1,9,חרב
1,9,ואתם
1,9,רצים
1,9,איש
1,9,לביתו
1,10,על
1,10,כן
1,10,עליכם
1,10,כלאו
1,10,שמים
1,10,מטל
1,10,והארץ
1,10,כלאה
1,10,יבולה
1,11,ואקרא
1,11,חרב
1,11,על
1,11,הארץ
1,11,ועל
1,11,ההרים
1,11,ועל
1,11,הדגן
1,11,ועל
1,11,התירוש
1,11,ועל
1,11,היצהר
1,11,ועל
1,11,אשר
