chapter,verse,word
1,1,בחדש
1,1,השמיני
1,1,בשנת
1,1,שתים
1,1,לדריוש
1,1,היה
1,1,דבר
1,1,יהוה
1,1,אל
1,1,זכריה
1,1,בן
1,1,ברכיה
1,1,בן
1,1,עדו
1,1,הנביא
1,1,לאמר
1,2,קצף
1,2,יהוה
1,2,על
1,2,אבותיכם
1,2,קצף
1,3,ואמרת
1,3,אלהם
1,3,כה
1,3,אמר
1,3,יהוה
1,3,צבאות
1,3,שובו
1,3,אלי
1,3,נאם
1,3,יהוה
1,3,צבאות
1,3,ואשוב
1,3,אליכם
1,3,אמר
1,3,יהוה
1,3,צבאות
1,4,אל
1,4,תהיו
1,4,כאבתיכם
1,4,אשר
1,4,קראו
1,4,אליהם
1,4,הנביאים
1,4,הראשנים
1,4,לאמר
1,4,כה
1,4,אמר
1,4,יהוה
1,4,צבאות
1,4,שובו
1,4,נא
1,4,מדרכיכם
1,4,הרעים
1,4,ומעליליכם
1,4,הרעים
1,4,ולא
1,4,שמעו
1,4,ולא
1,4,הקשיבו
1,4,אלי
1,4,נאם
1,4,יהוה
1,5,אבותיכם
1,5,איה
1,5,הם
1,5,והנבאים
1,5,הלעולם
1,5,יחיו
1,6,אך
1,6,דברי
1,6,וחקי
1,6,אשר
1,6,צויתי
1,6,את
1,6,עבדי
1,6,הנביאים
1,6,הלוא
1,6,השיגו
1,6,אבתיכם
1,6,וישובו
1,6,ויאמרו
1,6,כאשר
1,6,זמם
1,6,יהוה
1,6,צבאות
1,6,לעשות
1,6,לנו
1,6,כדרכינו
1,6,וכמעללינו
1,6,כן
1,6,עשה
1,6,אתנו
1,7,ביום
1,7,עשרים
1,7,וארבעה
1,7,לעשתי
1,7,עשר
1,7,חדש
1,7,הוא
1,7,חדש
1,7,שבט
1,7,בשנת
1,7,שתים
1,7,לדריוש
1,7,היה
1,7,דבר
1,7,יהוה
1,7,אל
1,7,זכריה
1,7,בן
1,7,ברכיהו
1,7,בן
1,7,עדוא
1,7,הנביא
1,7,לאמר
1,8,ראיתי
1,8,הלילה
1,8,והנה
1,8,איש
1,8,רכב
1,8,על
1,8,סוס
1,8,אדם
1,8,והוא
1,8,עמד
1,8,בין
1,8,ההדסים
1,8,אשר
1,8,במצלה
1,8,ואחריו
1,8,סוסים
1,8,אדמים
1,8,שרקים
1,8,ולבנים
1,9,ואמר
1,9,מה
1,9,אלה
1,9,אדני
1,9,ויאמר
1,9,אלי
1,9,המלאך
1,9,הדבר
1,9,בי
1,9,אני
1,9,אראך
1,9,מה
1,9,המה
1,9,אלה
1,10,ויען
1,10,האיש
1,10,העמד
1,10,בין
1,10,ההדסים
1,10,ויאמר
1,10,אלה
1,10,אשר
1,10,שלח
1,10,יהוה
1,10,להתהלך
1,10,בארץ
1,11,ויענו
1,11,את
1,11,מלאך
1,11,יהוה
1,11,העמד
1,11,בין
1,11,ההדסים
1,11,ויאמרו
1,11,התהלכנו
1,11,בארץ
1,11,והנה
1,11,כל
1,11,הארץ
1,11,ישבת
1,11,ושקטת
1,12,ויען
1,12,מלאך
1,12,יהוה
1,12,ויאמר
1,12,יהוה
1,12,צבאות
1,12,עד
1,12,מתי
1,12,אתה
1,12,לא
1,12,תרחם
1,12,את
1,12,ירושלם
1,12,ואת
1,12,ערי
1,12,יהודה
1,12,אשר
1,12,זעמתה
1,12,זה
1,12,שבעים
1,12,שנה
1,13,ויען
1,13,יהוה
1,13,את
1,13,המלאך
1,13,הדבר
1,13,בי
1,13,דברים
1,13,טובים
1,13,דברים
1,13,נחמים
1,14,ויאמר
1,14,אלי
1,14,המלאך
1,14,הדבר
1,14,בי
1,14,קרא
1,14,לאמר
1,14,כה
1,14,אמר
1,14,יהוה
1,14,צבאות
1,14,קנאתי
1,14,לירושלם
1,14,ולציון
1,14,קנאה
1,14,גדולה
1,15,וקצף
1,15,גדול
1,15,אני
1,15,קצף
1,15,על
1,15,הגוים
1,15,השאננים
1,15,אשר
1,15,אני
1,15,קצפתי
1,15,מעט
1,15,והמה
1,15,עזרו
1,15,לרעה
1,16,לכן
1,16,כה
1,16,אמר
1,16,יהוה
1,16,שבתי
1,16,לירושלם
1,16,ברחמים
1,16,ביתי
1,16,יבנה
1,16,בה
1,16,נאם
1,16,יהוה
1,16,צבאות
1,16,וקוה
1,16,ינטה
1,16,על
1,16,ירושלם
1,17,עוד
1,17,קרא
1,17,לאמר
1,17,כה
1,17,אמר
1,17,יהוה
1,17,צבאות
1,17,עוד
1,17,תפוצינה
1,17,ערי
1,17,מטוב
1,17,ונחם
1,17,יהוה
1,17,עוד
1,17,את
1,17,ציון
1,17,ובחר
1,17,עוד
1,17,בירושלם
1,18,ואשא
1,18,את
1,18,עיני
