chapter,verse,word
1,1,משא
1,1,דבר
1,1,יהוה
1,1,אל
1,1,ישראל
1,1,ביד
1,1,מלאכי
1,2,אהבתי
1,2,אתכם
1,2,אמר
1,2,יהוה
1,2,ואמרתם
1,2,במה
1,2,אהבתנו
1,2,הלוא
1,2,אח
1,2,עשו
1,2,ליעקב
1,2,נאם
1,2,יהוה
1,2,ואהב
1,2,את
1,2,יעקב
1,3,ואת
1,3,עשו
1,3,שנאתי
1,3,ואשים
1,3,את
1,3,הריו
1,3,שממה
1,3,ואת
1,3,נחלתו
1,3,לתנות
1,3,מדבר
1,4,כי
1,4,תאמר
1,4,אדום
1,4,רששנו
1,4,ונשוב
1,4,ונבנה
1,4,חרבות
1,4,כה
1,4,אמר
1,4,יהוה
1,4,צבאות
1,4,המה
1,4,יבנו
1,4,ואני
1,4,אהרוס
1,4,וקראו
1,4,להם
1,4,גבול
1,4,רשעה
1,4,והעם
1,4,אשר
1,4,זעם
1,4,יהוה
1,4,עד
1,4,עולם
1,5,ועיניכם
1,5,תראינה
1,5,ואתם
1,5,תאמרו
1,5,יגדל
1,5,יהוה
1,5,מעל
1,5,לגבול
1,5,ישראל
1,6,בן
1,6,יכבד
1,6,אב
1,6,ועבד
1,6,אדניו
1,6,ואם
1,6,אב
1,6,אני
1,6,איה
1,6,כבודי
1,6,ואם
1,6,אדונים
1,6,אני
1,6,איה
1,6,מוראי
1,6,אמר
1,6,יהוה
1,6,צבאות
1,6,לכם
1,6,הכהנים
1,6,בוזי
1,6,שמי
1,6,ואמרתם
1,6,במה
1,6,בזינו
1,6,את
1,6,שמך
1,7,מגישים
1,7,על
1,7,מזבחי
1,7,לחם
1,7,מגאל
1,7,ואמרתם
1,7,במה
1,7,גאלנוך
1,7,באמרכם
1,7,שלחן
1,7,יהוה
1,7,נבזה
1,7,הוא
1,8,וכי
1,8,תגשון
1,8,עור
1,8,לזבח
1,8,אין
1,8,רע
1,8,וכי
1,8,תגישו
1,8,פסח
1,8,וחלה
1,8,אין
1,8,רע
1,8,הקריבהו
1,8,נא
1,8,לפחתך
1,8,הירצך
1,8,או
1,8,הישא
1,8,פניך
1,8,אמר
1,8,יהוה
1,8,צבאות
1,9,ועתה
1,9,חלו
1,9,נא
1,9,פני
1,9,אל
1,9,ויחננו
1,9,מידכם
1,9,היתה
1,9,זאת
1,9,הישא
1,9,מכם
1,9,פנים
1,9,אמר
1,9,יהוה
1,9,צבאות
1,10,מי
1,10,גם
1,10,בכם
1,10,ויסגר
1,10,דלתים
1,10,ולא
1,10,תאירו
1,10,מזבחי
1,10,חנם
1,10,אין
1,10,לי
1,10,חפץ
1,10,בכם
1,10,אמר
1,10,יהוה
1,10,צבאות
1,10,ומנחה
1,10,לא
1,10,ארצה
1,10,מידכם
1,11,כי
1,11,ממזרח
1,11,שמש
1,11,ועד
1,11,מבואו
1,11,גדול
1,11,שמי
1,11,בגוים
1,11,ובכל
1,11,מקום
1,11,מקטר
1,11,מגש
1,11,לשמי
1,11,ומנחה
1,11,טהורה
1,11,כי
1,11,גדול
1,11,שמי
1,11,בגוים
1,11,אמר
1,11,יהוה
1,11,צבאות
1,12,ואתם
1,12,מחללים
1,12,אותו
1,12,באמרכם
1,12,שלחן
1,12,אדני
1,12,מגאל
1,12,הוא
1,12,וניבו
1,12,נבזה
1,12,אכלו
1,13,ואמרתם
1,13,הנה
1,13,מתלאה
1,13,והפחתם
1,13,אותו
