chapter,verse,word
1,1,ויהי
1,1,אחרי
1,1,מות
1,1,משה
1,1,עבד
1,1,יהוה
1,1,ויאמר
1,1,יהוה
1,1,אל
1,1,יהושע
1,1,בן
1,1,נון
1,1,משרת
1,1,משה
1,1,לאמר
1,2,משה
1,2,עבדי
1,2,מת
1,2,ועתה
1,2,קום
1,2,עבר
1,2,את
1,2,הירדן
1,2,הזה
1,2,אתה
1,2,וכל
1,2,העם
1,2,הזה
1,2,אל
1,2,הארץ
1,2,אשר
1,2,אנכי
1,2,נתן
1,2,להם
1,2,לבני
1,2,ישראל
1,3,כל
1,3,מקום
1,3,אשר
1,3,תדרך
1,3,כף
1,3,רגלכם
1,3,בו
1,3,לכם
1,3,נתתיו
1,3,כאשר
1,3,דברתי
1,3,אל
1,3,משה
1,4,מהמדבר
1,4,והלבנון
1,4,הזה
1,4,ועד
1,4,הנהר
1,4,הגדול
1,4,נהר
1,4,פרת
1,4,כל
1,4,ארץ
1,4,החתים
1,4,ועד
1,4,הים
1,4,הגדול
1,4,מבוא
1,4,השמש
1,4,יהיה
1,4,גבולכם
1,5,לא
1,5,יתיצב
1,5,איש
1,5,לפניך
1,5,כל
1,5,ימי
1,5,חייך
1,5,כאשר
1,5,הייתי
1,5,עם
1,5,משה
1,5,אהיה
1,5,עמך
1,5,לא
1,5,ארפך
1,5,ולא
1,5,אעזבך
1,6,חזק
1,6,ואמץ
1,6,כי
1,6,אתה
1,6,תנחיל
1,6,את
1,6,העם
1,6,הזה
1,6,את
1,6,הארץ
1,6,אשר
1,6,נשבעתי
1,6,לאבותם
1,6,לתת
1,6,להם
1,7,רק
1,7,חזק
1,7,ואמץ
1,7,מאד
1,7,לשמר
1,7,לעשות
1,7,ככל
1,7,התורה
1,7,אשר
1,7,צוך
1,7,משה
1,7,עבדי
1,7,אל
1,7,תסור
1,7,ממנו
1,7,ימין
1,7,ושמאול
1,7,למען
1,7,תשכיל
1,7,בכל
1,7,אשר
1,7,תלך
1,8,לא
1,8,ימוש
1,8,ספר
1,8,התורה
1,8,הזה
1,8,מפיך
1,8,והגית
1,8,בו
1,8,יומם
1,8,ולילה
1,8,למען
1,8,תשמר
1,8,לעשות
1,8,ככל
1,8,הכתוב
1,8,בו
1,8,כי
1,8,אז
1,8,תצליח
1,8,את
1,8,דרכך
1,8,ואז
1,8,תשכיל
1,9,הלוא
1,9,צויתיך
1,9,חזק
1,9,ואמץ
1,9,אל
1,9,תערץ
1,9,ואל
1,9,תחת
1,9,כי
1,9,עמך
1,9,יהוה
1,9,אלהיך
1,9,בכל
1,9,אשר
1,9,תלך
1,10,ויצו
1,10,יהושע
1,10,את
1,10,שטרי
1,10,העם
1,10,לאמר
1,11,עברו
1,11,בקרב
1,11,המחנה
1,11,וצוו
1,11,את
1,11,העם
1,11,לאמר
1,11,הכינו
1,11,לכם
1,11,צידה
1,11,כי
1,11,בעוד
1,11,שלשת
1,11,ימים
1,11,אתם
1,11,עברים
1,11,את
1,11,הירדן
1,11,הזה
1,11,לבוא
1,11,לרשת
1,11,את
1,11,הארץ
1,11,אשר
1,11,יהוה
1,11,אלהיכם
1,11,נתן
1,11,לכם
1,11,לרשתה
1,12,ולראובני
1,12,ולגדי
1,12,ולחצי
1,12,שבט
1,12,המנשה
1,12,אמר
1,12,יהושע
1,12,לאמר
1,13,זכור
1,13,את
1,13,הדבר
1,13,אשר
1,13,צוה
1,13,אתכם
1,13,משה
1,13,עבד
1,13,יהוה
1,13,לאמר
1,13,יהוה
1,13,אלהיכם
1,13,מניח
1,13,לכם
1,13,ונתן
1,13,לכם
1,13,את
1,13,הארץ
1,13,הזאת
1,14,נשיכם
1,14,טפכם
1,14,ומקניכם
1,14,ישבו
1,14,בארץ
1,14,אשר
1,14,נתן
1,14,לכם
1,14,משה
