chapter,verse,word
1,1,ויהי
1,1,אחרי
1,1,מות
1,1,יהושע
1,1,וישאלו
1,1,בני
1,1,ישראל
1,1,ביהוה
1,1,לאמר
1,1,מי
1,1,יעלה
1,1,לנו
1,1,אל
1,1,הכנעני
1,1,בתחלה
1,1,להלחם
1,1,בו
1,2,ויאמר
1,2,יהוה
1,2,יהודה
1,2,יעלה
1,2,הנה
1,2,נתתי
1,2,את
1,2,הארץ
1,2,בידו
1,3,ויאמר
1,3,יהודה
1,3,לשמעון
1,3,אחיו
1,3,עלה
1,3,אתי
1,3,בגורלי
1,3,ונלחמה
1,3,בכנעני
1,3,והלכתי
1,3,גם
1,3,אני
1,3,אתך
1,3,בגורלך
1,3,וילך
1,3,אתו
1,3,שמעון
1,4,ויעל
1,4,יהודה
1,4,ויתן
1,4,יהוה
1,4,את
1,4,הכנעני
1,4,והפרזי
1,4,בידם
1,4,ויכום
1,4,בבזק
1,4,עשרת
1,4,אלפים
1,4,איש
1,5,וימצאו
1,5,את
1,5,אדני
1,5,בזק
1,5,בבזק
1,5,וילחמו
1,5,בו
1,5,ויכו
1,5,את
1,5,הכנעני
1,5,ואת
1,5,הפרזי
1,6,וינס
1,6,אדני
1,6,בזק
1,6,וירדפו
1,6,אחריו
1,6,ויאחזו
1,6,אתו
1,6,ויקצצו
1,6,את
1,6,בהנות
1,6,ידיו
1,6,ורגליו
1,7,ויאמר
1,7,אדני
1,7,בזק
1,7,שבעים
1,7,מלכים
1,7,בהנות
1,7,ידיהם
1,7,ורגליהם
1,7,מקצצים
1,7,היו
1,7,מלקטים
1,7,תחת
1,7,שלחני
1,7,כאשר
1,7,עשיתי
1,7,כן
1,7,שלם
1,7,לי
1,7,אלהים
1,7,ויביאהו
1,7,ירושלם
1,7,וימת
1,7,שם
1,8,וילחמו
1,8,בני
1,8,יהודה
1,8,בירושלם
1,8,וילכדו
1,8,אותה
1,8,ויכוה
1,8,לפי
1,8,חרב
1,8,ואת
1,8,העיר
1,8,שלחו
1,8,באש
1,9,ואחר
1,9,ירדו
1,9,בני
1,9,יהודה
1,9,להלחם
1,9,בכנעני
1,9,יושב
1,9,ההר
1,9,והנגב
1,9,והשפלה
1,10,וילך
1,10,יהודה
1,10,אל
1,10,הכנעני
1,10,היושב
1,10,בחברון
1,10,ושם
1,10,חברון
1,10,לפנים
1,10,קרית
1,10,ארבע
1,10,ויכו
1,10,את
1,10,ששי
1,10,ואת
1,10,אחימן
1,10,ואת
1,10,תלמי
1,11,וילך
1,11,משם
1,11,אל
1,11,יושבי
1,11,דביר
1,11,ושם
1,11,דביר
1,11,לפנים
1,11,קרית
1,11,ספר
1,12,ויאמר
1,12,כלב
1,12,אשר
1,12,יכה
1,12,את
1,12,קרית
1,12,ספר
1,12,ולכדה
1,12,ונתתי
1,12,לו
1,12,את
1,12,עכסה
1,12,בתי
1,12,לאשה
1,13,וילכדה
1,13,עתניאל
1,13,בן
1,13,קנז
1,13,אחי
1,13,כלב
1,13,הקטן
1,13,ממנו
1,13,ויתן
1,13,לו
1,13,את
1,13,עכסה
1,13,בתו
1,13,לאשה
1,14,ויהי
1,14,בבואה
1,14,ותסיתהו
1,14,לשאול
1,14,מאת
1,14,אביה
1,14,השדה
1,14,ותצנח
1,14,מעל
1,14,החמור
1,14,ויאמר
1,14,לה
1,14,כלב
1,14,מה
1,14,לך
1,15,ותאמר
1,15,לו
1,15,הבה
1,15,לי
1,15,ברכה
1,15,כי
1,15,ארץ
1,15,הנגב
1,15,נתתני
1,15,ונתתה
1,15,לי
1,15,גלת
1,15,מים
1,15,ויתן
1,15,לה
1,15,כלב
1,15,את
1,15,גלת
1,15,עלית
1,15,ואת
1,15,גלת
1,15,תחתית
1,16,ובני
1,16,קיני
1,16,חתן
1,16,משה
1,16,עלו
